date,open,high,low,close,volume
2017-01-03,112.2815,112.7954,111.2731,112.6208,28781865
2017-01-04,112.3299,112.9699,112.233,112.4948,21118116
2017-01-05,112.3978,113.3133,112.2912,113.0669,22193587
2017-01-06,113.2317,114.5698,112.9311,114.3274,31751900
2017-01-09,114.3661,115.8012,114.3564,115.3745,33561948
2017-01-10,115.1612,115.7527,114.7055,115.4909,24462051
2017-01-11,115.1321,116.286,114.9964,116.1114,27588593
2017-01-12,115.2824,115.6751,114.6182,115.6266,27086220
2017-01-13,115.4909,115.9854,115.2,115.423,26111948
2017-01-17,114.7443,116.5866,114.6279,116.3538,34439843
2017-01-18,116.3538,116.8387,116.0727,116.3442,23712961
2017-01-19,115.7721,116.4411,115.743,116.1405,25597291
2017-01-20,116.7902,116.7902,116.0965,116.3538,32597892
2017-01-23,116.3538,117.1392,116.1308,116.4314,22050218
2017-01-24,115.9175,116.4508,115.869,116.3248,23211038
2017-01-25,116.7611,118.39,116.6253,118.1767,32586673
2017-01-26,117.9731,118.7197,117.9052,118.2349,26337576
2017-01-27,118.4288,118.6324,117.9052,118.2446,20562944
2017-01-30,117.2556,117.9343,116.9938,117.9343,30377503
2017-01-31,117.4689,117.7016,116.955,117.6628,49200993
2017-02-01,123.1702,126.5251,123.1509,124.838,111985040
2017-02-02,124.0865,125.4585,123.8975,124.6247,33710411
2017-02-03,124.4114,125.2646,124.2659,125.158,24507301
2017-02-06,125.2064,126.5348,124.9834,126.3312,26845924
2017-02-07,126.5736,128.0765,126.4863,127.5335,38183841
2017-02-08,127.359,128.2026,127.2329,128.028,23004072
2017-02-09,128.2033,128.9775,127.6872,128.9532,28349859
2017-02-10,128.9921,129.4596,128.5928,128.661,20065458
2017-02-13,129.5959,130.3165,129.2745,129.8004,23035421
2017-02-14,129.9757,131.5533,129.7614,131.4851,33226223
2017-02-15,131.972,132.7024,131.0956,131.9623,35623100
2017-02-16,132.1181,132.3421,131.3096,131.8016,22584555
2017-02-17,131.563,132.2739,131.563,132.1668,22198197
2017-02-21,132.6634,133.1698,132.42,133.1211,24507156
2017-02-22,132.8582,133.5301,132.5466,133.5204,20836932
2017-02-23,133.7833,133.8807,132.7316,132.9556,20788186
