date,open,high,low,close,volume
2017-01-03,103.43,104.03,102.81,103.48,2277933
2017-01-04,103.74,104.37,103.495,104.14,1712583
2017-01-05,104.13,106.02,103.77,105.91,2504772
2017-01-06,105.98,108.43,105.25,108.3,2626352
2017-01-09,107.96,108.79,107.56,108.57,2925379
2017-01-10,108.57,108.79,107.61,108.26,3080998
2017-01-11,108.23,109.05,108.0,108.99,1783953
2017-01-12,107.99,108.74,107.16,108.59,1617882
2017-01-13,108.84,108.9,107.98,108.53,1594154
2017-01-17,107.79,108.05,107.06,108.0,1697769
2017-01-18,108.5,109.17,107.53,108.79,2537255
2017-01-19,108.63,109.98,108.04,109.79,3090902
2017-01-20,110.02,110.81,109.57,110.71,3179186
2017-01-23,110.71,111.92,110.3,110.97,2574228
2017-01-24,111.46,114.17,111.34,113.72,3654774
2017-01-25,113.77,114.57,113.29,114.25,4116861
2017-01-26,113.79,114.44,112.73,112.88,2745739
2017-01-27,113.07,114.01,112.75,113.99,1696857
2017-01-30,113.22,113.87,112.26,113.82,2176539
2017-01-31,113.22,113.75,112.695,113.38,1716649
2017-02-01,113.31,113.64,112.6807,113.36,1859067
2017-02-02,112.82,113.58,112.27,113.16,1695789
2017-02-03,113.55,115.45,113.42,115.17,2507874
2017-02-06,114.68,114.825,113.2901,114.46,3067477
2017-02-07,114.83,115.19,114.54,114.96,1643454
2017-02-08,115.0,116.38,114.451,116.13,2591686
2017-02-09,116.26,116.9,116.02,116.44,1688862
2017-02-10,116.51,116.94,115.03,116.85,2612905
2017-02-13,117.03,117.94,116.2,117.65,1910382
2017-02-14,117.65,117.79,116.67,117.58,1556662
2017-02-15,117.33,119.09,117.07,118.73,1699561
2017-02-16,118.84,119.47,118.47,118.93,1649517
2017-02-17,118.79,119.72,118.24,119.67,2143337
2017-02-21,119.73,120.169,119.31,119.63,2032259
2017-02-22,119.67,119.89,118.85,119.47,1982071
2017-02-23,120.1,120.15,118.03,118.83,2382433
2017-02-24,118.3,119.32,117.83,119.31,1942492
2017-02-27,119.02,119.199,118.07,118.78,1550480
2017-02-28,118.83,118.84,118.02,118.34,2008016
2017-03-01,119.24,120.57,118.38,120.35,2356481
2017-03-02,120.09,120.12,119.28,119.9,1819664
2017-03-03,119.83,120.13,119.48,120.04,1361060
2017-03-06,119.73,120.48,119.37,120.15,1979700
2017-03-07,120.06,120.69,119.69,119.98,1872509
2017-03-08,120.21,120.66,119.35,119.6,2963124
2017-03-09,119.82,120.26,119.11,119.91,1984225
2017-03-10,120.57,121.37,120.241,121.09,2211585
2017-03-13,121.11,121.96,120.89,121.8,1805225
2017-03-14,121.65,121.99,120.62,121.44,1507722
2017-03-15,122.0,122.42,120.9,122.11,2396325
2017-03-16,123.25,123.6,121.525,122.35,4044627
2017-03-17,128.45,130.3,126.94,127.01,8749926
2017-03-20,126.99,128.09,125.79,126.31,3320867
2017-03-21,126.64,127.36,124.96,125.07,3105349
2017-03-22,124.6,126.94,124.51,126.21,3477250
2017-03-23,126.2,127.25,126.01,126.87,2197390
2017-03-24,127.86,129.0,127.05,127.7,3044007
2017-03-27,127.48,128.837,126.36,128.25,2424236
2017-03-28,127.81,129.28,127.81,128.69,2213163
2017-03-29,128.4,129.63,128.2,129.58,2272464
2017-03-30,129.55,130.28,129.3,129.61,2205186
2017-03-31,129.57,130.69,129.4,130.13,2086431
2017-04-03,129.585,130.7499,128.88,129.59,2337174
2017-04-04,129.47,130.372,129.02,130.04,2026519
2017-04-05,130.58,131.33,129.375,129.89,2811597
2017-04-06,129.86,130.22,129.16,130.15,1890783
2017-04-07,130.15,130.67,129.52,130.22,2287623
2017-04-10,130.32,130.38,129.47,130.16,2234853
2017-04-11,129.91,130.165,128.21,129.95,2331569
2017-04-12,129.96,129.96,128.72,129.38,2106257
2017-04-13,129.63,130.42,129.05,129.05,1815148
2017-04-17,129.69,130.36,129.11,129.99,1395416
2017-04-18,129.74,130.23,129.48,129.81,1499916
2017-04-19,129.9,130.98,129.82,130.22,2007572
2017-04-20,130.7,131.99,130.28,131.42,2004260
2017-04-21,131.84,131.97,131.03,131.52,2137086
2017-04-24,132.94,133.1799,132.17,132.89,1845569
2017-04-25,133.44,133.72,132.88,133.49,2504120
2017-04-26,133.5,133.8,132.42,132.79,1635874
2017-04-27,133.13,134.25,132.76,133.38,1658147
2017-04-28,133.4,133.92,132.67,133.74,1749243
2017-05-01,134.3,135.34,133.71,135.11,1811962
2017-05-02,135.54,135.7,134.75,135.0,2692920
2017-05-03,134.99,135.21,134.38,134.85,1974174
2017-05-04,135.13,135.35,134.405,134.61,1810507
2017-05-05,135.19,135.19,134.19,134.84,1845506
2017-05-08,135.36,135.385,134.22,135.12,1583085
2017-05-09,135.33,135.62,134.9,135.6,1692745
2017-05-10,135.86,136.745,135.51,136.15,1755377
2017-05-11,135.98,136.31,135.395,136.29,1344005
2017-05-12,136.45,137.38,135.885,136.84,1626639
2017-05-15,137.13,137.71,136.83,137.6,3210300
2017-05-16,138.06,138.39,137.6,138.03,2271821
2017-05-17,137.2,137.32,134.2401,134.33,3558545
2017-05-18,132.77,134.85,130.82,134.54,4158708
2017-05-19,135.18,136.61,134.34,136.43,3721729
2017-05-22,137.38,139.19,136.58,138.86,2515974
2017-05-23,139.16,139.95,138.7,139.52,2123751
2017-05-24,140.18,141.25,139.81,141.12,1700445
2017-05-25,142.16,143.48,141.8,142.85,1731076
2017-05-26,142.93,143.1,141.6744,141.89,1604223
2017-05-30,141.8,142.56,141.501,142.41,1541204
2017-05-31,143.04,143.19,141.41,141.86,2944380
2017-06-01,141.64,142.49,140.93,141.38,2407737
2017-06-02,142.12,143.57,141.86,143.48,2885683
2017-06-05,144.14,144.34,143.51,143.59,1847635
2017-06-06,143.35,144.17,142.73,143.03,2162703
2017-06-07,143.33,143.77,142.4501,143.62,1633783
2017-06-08,143.96,143.97,141.74,142.63,2811524
2017-06-09,143.14,143.585,135.76,138.05,4146190
2017-06-12,133.72,138.64,131.2001,137.25,6772355
2017-06-13,138.79,139.86,138.09,139.09,2871379
2017-06-14,139.29,140.848,136.41,138.25,2831058
2017-06-15,136.63,137.9,134.45,137.52,2804410
2017-06-16,137.35,138.35,136.29,137.84,4205798
2017-06-19,138.79,141.47,138.635,140.35,4356865
2017-06-20,141.21,142.3,140.19,140.91,5454713
2017-06-21,145.08,147.45,142.75,144.24,8251897
2017-06-22,145.15,145.772,143.66,143.69,3688418
2017-06-23,143.75,145.59,143.06,145.41,3418994
2017-06-26,146.06,146.89,144.36,144.96,2775521
2017-06-27,144.33,144.81,142.537,142.54,3018939
2017-06-28,143.01,144.08,141.15,143.81,2507882
2017-06-29,143.06,143.2,139.65,141.24,2653886
2017-06-30,141.87,142.81,140.74,141.44,2331025
2017-07-03,141.73,142.15,138.31,138.41,1785994
2017-07-05,138.65,141.97,138.55,141.21,2229878
2017-07-06,139.73,141.18,138.88,140.75,1803234
2017-07-07,141.07,143.36,140.97,142.22,1533905
2017-07-10,142.21,143.88,141.57,143.34,1615161
2017-07-11,142.99,143.98,142.1201,142.93,1623715
2017-07-12,144.0,146.19,143.795,145.91,1812071
2017-07-13,145.91,146.48,144.935,145.05,1308293
2017-07-14,145.59,146.48,145.22,146.16,2283792
2017-07-17,146.16,146.73,145.39,146.4,1310498
2017-07-18,146.47,147.96,145.37,147.89,1821001
2017-07-19,147.89,149.32,147.4998,148.92,1880053
2017-07-20,149.07,150.1,148.35,149.94,1565992
2017-07-21,149.16,150.4,148.9102,149.52,1819773
2017-07-24,149.16,149.95,149.035,149.53,1503366
2017-07-25,149.82,149.9041,148.14,148.21,1591819
2017-07-26,148.62,149.83,148.42,149.78,1363136
2017-07-27,149.87,150.37,144.28,146.2,3058648
2017-07-28,145.77,147.24,144.5,146.73,1399373
2017-07-31,146.36,146.91,145.06,146.49,2188441
2017-08-01,147.74,148.9,147.54,148.44,1450203
2017-08-02,147.56,147.6,144.52,147.13,2111957
2017-08-03,147.47,147.98,145.68,147.79,1510601
2017-08-04,148.25,148.62,147.27,147.71,1503962
2017-08-07,147.74,148.9,147.54,148.44,1455624
2017-08-08,148.14,148.86,146.36,147.81,1508814
2017-08-09,146.68,148.4986,146.5,148.35,1177923
2017-08-10,147.23,147.74,144.72,144.92,1902025
2017-08-11,145.25,147.1,144.18,146.47,1382926
2017-08-14,147.81,149.5,147.56,149.16,1171641
2017-08-15,149.56,150.65,148.41,150.36,1144138
2017-08-16,150.7,151.99,149.76,151.8,1454988
2017-08-17,151.66,151.72,148.19,148.23,2125510
2017-08-18,147.74,148.6862,147.12,147.97,1699265
2017-08-21,148.05,149.33,147.57,149.26,1244766
2017-08-22,150.14,152.59,150.14,152.25,1981335
2017-08-23,152.18,152.18,150.75,151.1,1355045
2017-08-24,151.22,151.83,149.17,150.81,1449409
2017-08-25,152.0,153.0,150.91,151.45,1182292
2017-08-28,151.87,152.5,151.19,151.79,952629
2017-08-29,150.55,152.76,150.01,152.14,1189020
2017-08-30,152.05,154.26,151.89,153.67,1466018
2017-08-31,154.36,155.36,154.35,155.16,1895007
2017-09-01,155.76,156.06,154.38,155.06,1321349
2017-09-05,154.83,155.41,153.31,154.28,1355632
2017-09-06,155.11,155.555,153.61,153.76,1224410
2017-09-07,154.49,155.885,153.64,155.47,1445441
2017-09-08,155.24,155.88,154.29,155.34,1449916
2017-09-11,156.59,157.89,156.38,156.87,1715997
2017-09-12,156.76,157.2152,154.92,156.31,1766416
2017-09-13,155.88,156.7,155.39,156.24,1363910
2017-09-14,155.37,156.2,154.68,154.95,1676406
2017-09-15,154.9,155.19,153.56,154.49,3012822
2017-09-18,155.01,156.3,154.37,155.77,2581009
2017-09-19,156.3,157.05,155.81,156.6,4014750
2017-09-20,151.99,152.4,149.0,149.96,9372344
2017-09-21,150.38,151.25,148.3,149.3,4991765
2017-09-22,148.69,149.5,147.85,148.5,2929187
2017-09-25,148.39,148.71,143.95,144.57,4869526
2017-09-26,145.5,146.35,143.96,145.4,3279994
2017-09-27,146.31,147.09,145.7535,146.43,2947611
2017-09-28,146.14,147.32,145.3914,146.83,1666974
2017-09-29,146.69,149.28,146.6,149.18,2181258
2017-10-02,149.79,150.48,147.52,147.94,2341670
2017-10-03,148.48,148.8,147.985,148.6,1808225
2017-10-04,148.21,148.46,146.6,147.95,2885596
2017-10-05,148.49,150.45,147.71,150.25,2413792
2017-10-06,149.96,151.36,149.5301,151.12,2283030
2017-10-09,150.76,151.57,150.25,151.5,1461004
2017-10-10,152.0,152.86,151.32,152.15,2817629
2017-10-11,152.09,154.0,151.35,153.65,2791024
2017-10-12,153.72,154.85,153.39,153.61,2430193
2017-10-13,153.96,154.59,153.06,153.93,2515573
2017-10-16,151.15,153.07,149.2811,150.46,3833182
2017-10-17,150.52,150.93,148.15,150.38,3547811
2017-10-18,150.33,153.43,149.03,153.0,4290947
2017-10-19,165.5,172.15,164.42,171.73,13522642
2017-10-20,171.5,175.87,171.355,175.64,6019412
2017-10-23,175.68,175.85,171.83,172.16,3220814
2017-10-24,171.47,172.49,170.491,171.58,2658577
2017-10-25,170.37,173.41,170.035,171.83,2785655
2017-10-26,172.06,175.02,172.02,173.75,2581165
2017-10-27,174.02,177.58,174.02,177.33,2807106
2017-10-30,177.0,177.48,174.45,176.03,2124220
2017-10-31,176.16,176.73,174.52,175.16,2656509
2017-11-01,176.59,176.94,174.7,176.25,2002919
2017-11-02,178.02,181.48,175.8,180.94,3262340
2017-11-03,181.76,182.74,179.64,182.3,2244714
2017-11-06,182.01,182.29,180.54,180.8,2022474
2017-11-07,181.23,181.78,180.11,180.88,2544173
2017-11-08,181.19,184.44,181.06,184.06,1791797
2017-11-09,182.88,183.079,179.03,181.92,2703644
2017-11-10,181.0,182.06,179.83,181.72,2082659
2017-11-13,180.5,182.32,179.75,181.85,1496104
2017-11-14,181.98,182.17,180.31,181.32,1549658
2017-11-15,180.92,181.7275,179.6043,180.08,1980859
2017-11-16,181.18,182.44,180.58,182.3,1961186
2017-11-17,182.08,182.9105,181.135,182.24,1482133
2017-11-20,182.8,183.43,181.34,182.34,1118117
2017-11-21,183.75,185.55,182.835,184.15,2036520
2017-11-22,184.32,184.5,182.62,182.9,1546690
2017-11-24,182.96,184.71,182.96,184.46,662988
2017-11-27,184.83,185.84,184.09,185.0,1305108
2017-11-28,185.62,186.27,184.37,185.4,1647026
2017-11-29,183.87,184.73,175.31,176.85,4320844
2017-11-30,178.14,181.67,176.5501,181.47,3976326
2017-12-01,179.51,182.0,177.13,179.52,3016883
2017-12-04,180.34,180.62,168.43,168.44,5931410
2017-12-05,167.69,171.78,165.68,167.54,4698710
2017-12-06,166.79,173.96,165.75,173.52,3773011
2017-12-07,173.46,175.9,172.13,174.61,2442047
2017-12-08,177.08,177.2,173.17,173.57,2101808
2017-12-11,173.77,174.98,173.2,174.31,2776719
2017-12-12,172.69,174.13,170.43,172.54,3924191
2017-12-13,173.5,177.42,173.29,176.83,4591716
2017-12-14,178.26,178.72,174.98,175.0,4720922
2017-12-15,179.36,179.98,174.3004,177.51,9191676
2017-12-18,178.42,179.15,175.31,176.74,3435384
2017-12-19,176.01,176.76,174.23,174.97,2509526
2017-12-20,176.0,176.0,172.92,174.25,2677319
2017-12-21,174.05,175.32,174.0,174.56,2164450
2017-12-22,173.99,175.1,173.75,175.0,1702630
2017-12-26,174.36,175.0,173.03,174.44,918355
2017-12-27,174.65,175.44,173.97,175.36,1527819
2017-12-28,175.92,176.0,174.85,175.55,1043660
2017-12-29,175.19,176.97,175.1,175.24,1810263
2018-01-02,175.85,177.8,175.26,177.7,2432814
2018-01-03,178.0,181.89,177.7,181.04,2561213
