date,open,high,low,close,volume
2017-01-03,69.6213,71.0877,69.1322,69.5302,2687647
2017-01-04,69.7843,70.0299,69.2856,69.3911,1970972
2017-01-05,69.4391,69.6309,68.3554,68.3938,2067347
2017-01-06,68.6431,68.9979,68.0874,68.6623,2069899
2017-01-09,68.7007,69.5351,68.5856,68.9883,2399482
2017-01-10,68.9212,69.535,68.902,69.3815,2403211
2017-01-11,69.3048,69.6788,69.113,69.6404,1581704
2017-01-12,69.4487,69.4487,68.0869,69.2569,2099204
2017-01-13,69.3911,69.8933,69.1562,69.6884,1509448
2017-01-17,69.2664,70.398,68.902,69.3144,2374615
2017-01-18,69.6596,70.609,69.2569,70.0144,2107097
2017-01-19,69.8898,70.3788,69.324,69.4678,1988799
2017-01-20,69.1322,70.6282,69.1322,69.8898,1811606
2017-01-23,69.7555,70.235,69.4391,69.7939,2205565
2017-01-24,70.0144,70.657,69.5817,70.4939,3312910
2017-01-25,71.6207,72.4886,71.4529,71.4817,3944255
2017-01-26,71.3186,71.4817,70.7433,71.1556,4172570
2017-01-27,71.4913,73.7832,71.2036,73.7736,3820728
2017-01-30,73.6106,73.6106,72.1434,73.1503,2477104
2017-01-31,73.016,73.064,71.5344,71.8653,2610137
2017-02-01,72.6516,73.5818,72.3256,73.0448,2589106
2017-02-02,72.5557,72.9105,72.0571,72.1434,2490038
2017-02-03,72.4215,72.6228,72.1721,72.4215,2143141
2017-02-06,72.5461,72.5461,71.8653,72.431,1789190
2017-02-07,72.5845,73.438,72.2968,73.179,2136116
2017-02-08,73.8407,74.56,73.6298,74.301,3397804
2017-02-09,74.5791,74.5791,73.3421,73.3708,2192298
2017-02-10,73.6298,73.6298,72.4406,73.39,1668587
2017-02-13,73.8503,74.8285,73.6585,74.723,2637630
2017-02-14,74.6463,74.7709,73.9079,74.6463,2589583
2017-02-15,77.4848,78.2808,74.7613,78.252,7032662
2017-02-16,77.6766,79.1822,77.4369,78.6068,3465020
2017-02-17,78.4438,79.1151,78.1369,79.0959,2933246
2017-02-21,79.1151,79.4699,78.626,79.4219,2375575
2017-02-22,79.3641,79.4412,78.6023,79.123,3680283
2017-02-23,79.2098,79.2194,78.1299,78.6891,2277865
2017-02-24,78.072,78.7759,77.9303,78.7566,2841133
2017-02-27,78.7277,79.4798,78.3323,79.3351,1793205
2017-02-28,79.2387,79.2966,78.6602,78.9977,2045377
2017-03-01,79.499,80.7911,79.2098,80.7622,2265145
2017-03-02,80.4054,81.0707,80.0679,80.6561,2714886
2017-03-03,80.6272,80.6561,80.0679,80.2029,2357205
2017-03-06,80.0294,81.225,79.4026,80.8489,3717381
2017-03-07,80.7043,81.1546,80.2318,80.4247,2892716
2017-03-08,80.7718,80.8489,80.2029,80.4922,2381960
2017-03-09,80.3958,80.6657,79.8365,80.1933,2005287
2017-03-10,80.8682,80.8682,79.0941,79.258,7495536
2017-03-13,79.2098,80.0197,79.1135,79.7979,4873827
2017-03-14,79.5665,80.7332,79.4508,80.685,4881069
2017-03-15,80.4633,80.6754,79.6003,80.5211,4499154
2017-03-16,80.309,80.5115,79.4605,79.7594,4107669
2017-03-17,80.3283,80.3524,79.769,80.2801,4184005
2017-03-20,80.2801,80.7043,79.9137,79.9329,2713967
2017-03-21,80.2704,80.4729,78.7662,78.8723,3316568
2017-03-22,78.9109,79.3158,78.7277,79.1809,2604890
2017-03-23,79.2966,79.3833,78.3998,78.6216,3394961
2017-03-24,78.9302,79.9784,78.4866,78.718,2223544
2017-03-27,78.1009,78.6216,77.5128,78.4866,2450693
2017-03-28,78.3998,79.5569,78.1684,79.258,2916355
2017-03-29,78.9591,79.2773,78.5541,78.9784,2040482
2017-03-30,78.9398,79.6533,78.7084,79.258,1337976
2017-03-31,79.1134,79.528,78.8434,79.0169,2337302
2017-04-03,79.0844,79.3255,77.966,78.3323,3084353
2017-04-04,77.9177,78.477,77.6188,78.3323,5040761
2017-04-05,78.6698,78.7277,77.1367,77.1753,3514192
2017-04-06,77.2428,77.7731,76.7414,77.4453,3970751
2017-04-07,77.426,77.7056,76.7993,77.1464,3308798
