date,open,high,low,close,volume
2017-01-03,98.0892,99.2389,98.0222,99.1623,2227449
2017-01-04,99.0761,99.6222,98.9228,99.3156,2498459
2017-01-05,99.124,99.536,98.1084,98.7216,2215362
2017-01-06,98.9036,98.9419,97.9838,98.7886,2016595
2017-01-09,98.6353,98.9132,98.1755,98.1755,1379273
2017-01-10,97.9647,98.7216,97.7635,97.9168,1639355
2017-01-11,97.9838,99.2389,97.9838,98.8749,1783842
2017-01-12,98.6641,99.5647,97.9551,99.4497,1546666
2017-01-13,99.421,99.7276,98.8461,99.421,1628270
2017-01-17,98.9898,99.1968,98.5779,98.7503,1276993
2017-01-18,99.1527,99.1527,98.4246,98.597,1485900
2017-01-19,98.4821,98.9371,98.3958,98.6545,1530993
2017-01-20,98.6833,99.3922,98.4916,98.9132,1653207
2017-01-23,98.5012,98.7791,97.591,97.9168,1486737
2017-01-24,97.9647,99.0186,97.8593,98.9132,1687913
2017-01-25,99.124,99.306,98.0892,98.3958,1979432
2017-01-26,98.118,98.3575,97.7252,97.7635,2119697
2017-01-27,97.1886,97.8689,96.9395,97.4473,1804455
2017-01-30,97.3036,97.7347,96.6713,97.6964,1648288
2017-01-31,97.524,97.8521,96.5467,96.7575,2610235
2017-02-01,92.0054,93.2413,90.1658,91.2581,8013843
2017-02-02,91.2389,93.1168,91.0473,92.2832,3975500
2017-02-03,93.1359,93.318,92.4652,92.8102,2936592
2017-02-06,92.6281,93.0018,92.0437,92.4269,1770640
2017-02-07,92.4557,92.8006,91.8904,92.2545,1521355
2017-02-08,92.1587,92.9922,92.0245,92.5323,1297972
2017-02-09,92.7144,93.8832,92.2736,93.5575,3380808
2017-02-10,93.6054,94.1802,93.3754,93.7203,1214696
2017-02-13,93.9503,94.4677,93.9503,94.4485,1500759
2017-02-14,94.2952,95.4257,94.1994,95.2725,1615005
2017-02-15,94.7455,95.4784,94.4102,95.4737,1579762
2017-02-16,95.4162,95.694,95.0329,95.694,1314754
2017-02-17,95.4257,95.5216,94.6784,95.5024,1577550
2017-02-21,95.2245,95.4162,94.6114,95.0617,2099415
2017-02-22,94.9371,96.4605,94.9371,96.2114,1677855
2017-02-23,96.5659,97.5144,96.2784,97.3803,1459263
2017-02-24,97.3707,98.6928,97.0545,98.6833,1774494
2017-02-27,98.6162,98.8174,98.1755,98.3958,1188346
2017-02-28,98.3767,98.5012,97.9551,98.3192,2060663
2017-03-01,99.3156,100.3216,98.9036,100.1491,1828233
2017-03-02,99.7755,99.9986,99.5072,99.7084,1697190
2017-03-03,99.5934,100.2258,99.2869,100.1204,1216370
2017-03-06,99.5264,100.5994,99.5264,100.5515,1678307
2017-03-07,100.1587,100.4557,99.5455,99.9,1881528
2017-03-08,99.823,100.3143,99.5533,99.9097,1577185
2017-03-09,99.7748,100.2661,99.1487,99.6111,1393832
2017-03-10,100.0638,100.796,99.7459,100.7189,1556780
2017-03-13,100.6611,101.0561,100.3239,100.9983,1802650
2017-03-14,100.8249,100.9212,99.8904,100.1602,1848326
2017-03-15,100.4492,100.9501,99.8567,100.8345,1500187
2017-03-16,100.8153,101.0465,100.0927,100.4299,1231091
2017-03-17,100.4877,101.3451,100.218,101.2584,2890349
2017-03-20,101.3162,101.3258,100.401,100.6226,1323403
2017-03-21,101.0561,101.1139,99.216,99.3413,1612663
2017-03-22,99.5629,99.9386,99.1198,99.8808,2011038
2017-03-23,99.6978,100.428,99.3221,99.7267,1010177
2017-03-24,99.9482,100.3528,99.2835,99.5918,1359886
2017-03-27,98.9656,99.4762,98.6188,99.139,1504466
2017-03-28,98.7729,99.823,98.4647,99.4955,1485979
2017-03-29,99.139,99.2546,98.1468,98.3876,2245094
2017-03-30,98.3298,98.6911,98.0408,98.4261,1225705
2017-03-31,98.3972,98.8596,98.2431,98.6381,1374619
2017-04-03,98.4839,98.8115,97.3183,97.5591,1637602
2017-04-04,97.6169,97.8096,97.1641,97.7325,1143284
2017-04-05,98.0793,99.2354,97.5319,98.1949,1693915
2017-04-06,98.1564,98.1757,97.7325,98.0215,1087075
2017-04-07,98.1371,98.6638,97.7422,98.4454,1601267
2017-04-10,98.4165,98.9174,98.0601,98.3972,979983
2017-04-11,98.1468,98.6766,97.6169,98.3491,908733
2017-04-12,98.0023,98.3587,97.7711,98.2142,1812265
2017-04-13,98.5128,98.5128,97.5302,97.5495,1218656
2017-04-17,98.2142,98.2624,97.6458,98.1275,1215383
2017-04-18,97.8481,98.7151,96.4127,98.1949,1570970
2017-04-19,98.3587,98.8018,98.0504,98.3298,1113025
2017-04-20,98.5899,99.534,98.4839,99.2643,1218209
2017-04-21,99.2643,99.6881,98.7344,98.9271,1528866
2017-04-24,100.1891,100.3721,99.3221,100.3239,1887063
2017-04-25,100.3239,101.3644,100.2759,101.1621,1306521
2017-04-26,100.6804,101.2969,100.4877,101.0176,1431106
2017-04-27,101.4029,101.8027,100.8153,101.3066,1505235
2017-04-28,101.1813,101.4222,100.4685,100.6611,1610922
2017-05-01,100.4685,100.5841,99.7941,100.1602,1406147
2017-05-02,100.3721,100.6033,99.8037,100.1987,2254321
2017-05-03,95.3241,95.9696,92.0005,93.9369,6336007
2017-05-04,94.7076,95.4975,94.014,95.4686,3377997
2017-05-05,95.7095,95.8829,95.0255,95.6517,1858701
2017-05-08,95.854,95.9985,92.8868,93.1566,4799832
2017-05-09,93.0891,93.8598,92.646,93.5226,2625166
2017-05-10,93.4167,93.9273,92.3377,93.0891,2919989
2017-05-11,92.9928,93.0602,92.357,92.9254,3029071
2017-05-12,93.0313,93.7346,92.7231,93.6094,1957341
2017-05-15,93.4552,94.9292,93.2145,94.8424,3364035
2017-05-16,94.7846,95.1411,94.5534,94.7172,2213286
2017-05-17,94.1199,94.486,93.6672,93.7346,2802578
2017-05-18,93.5901,95.0351,93.2529,94.7461,2197346
2017-05-19,94.7365,95.2952,94.303,95.0062,2790653
2017-05-22,94.8714,95.9118,94.8328,95.8058,2015167
2017-05-23,95.7287,95.8925,95.4301,95.8829,1398899
2017-05-24,95.8443,96.3935,95.7889,96.3164,1942989
2017-05-25,96.5958,97.7133,96.3646,97.4531,1832479
2017-05-26,97.5206,97.8096,97.2123,97.6362,1919119
2017-05-30,97.5013,97.9348,96.851,97.8096,1728899
2017-05-31,97.9734,98.744,97.7903,98.6188,3173099
2017-06-01,99.2257,99.6111,98.272,99.5629,2432234
2017-06-02,96.4513,97.3713,94.8906,97.2797,8135692
2017-06-05,97.3953,97.9011,97.1882,97.3953,3138573
2017-06-06,97.299,97.9878,96.9618,97.4917,1992199
2017-06-07,97.8598,98.3345,97.5498,97.792,2359529
2017-06-08,97.9567,98.1068,97.3076,97.6273,2613062
2017-06-09,97.7145,98.102,96.736,96.9879,4273958
2017-06-12,97.2397,98.3926,96.9007,98.3733,2030061
2017-06-13,98.4411,98.8964,97.9954,98.693,2358256
2017-06-14,99.003,99.1192,97.6854,98.0923,2679894
2017-06-15,97.7338,99.1096,97.4626,98.9836,1618889
2017-06-16,98.4798,100.4853,98.4798,100.2624,3572702
2017-06-19,100.495,100.9115,100.0348,100.8631,2019721
2017-06-20,99.3227,100.1656,99.2452,99.2839,3590273
2017-06-21,100.5046,100.5046,98.8674,99.3033,3087771
2017-06-22,99.4874,99.4874,98.2086,98.7317,2326444
2017-06-23,98.6348,98.848,98.1214,98.2473,2835440
2017-06-26,98.4895,99.0853,98.2764,99.0224,2412580
2017-06-27,98.6639,99.4098,98.3248,98.3345,2882168
2017-06-28,98.6252,99.6327,97.4238,99.4777,2934774
2017-06-29,99.2064,99.3421,97.9179,98.2958,3799772
2017-06-30,99.003,99.6037,98.5864,99.2646,2958583
2017-07-03,98.7995,99.9234,98.7317,99.2258,1591065
2017-07-05,99.6037,100.8728,98.7027,100.8244,2836689
2017-07-06,100.524,100.524,99.594,100.214,2724710
2017-07-07,100.5143,102.1226,100.1946,101.861,2774122
2017-07-10,101.7254,102.0838,100.4078,100.4271,5423027
2017-07-11,100.0106,100.3739,97.9954,98.6639,5087742
2017-07-12,99.594,100.2334,99.1385,99.3033,3086237
2017-07-13,99.2936,99.4777,98.257,98.4605,4710200
2017-07-14,98.4411,98.722,98.0826,98.1892,2837393
2017-07-17,98.2182,98.6348,98.0632,98.5283,3149451
2017-07-18,97.792,98.2182,97.3754,98.1456,2377671
2017-07-19,98.3345,99.8555,98.0439,99.5455,3678461
2017-07-20,99.7199,100.2431,99.623,100.1171,3110934
2017-07-21,99.4777,101.6672,99.4777,101.3184,3722249
2017-07-24,101.0859,101.1828,99.2646,100.3109,5402195
2017-07-25,100.4562,100.805,99.5019,99.9621,3231286
2017-07-26,100.3303,102.7523,99.81,102.6748,5618274
2017-07-27,100.2721,116.2575,100.2721,112.0238,29837591
2017-07-28,111.6557,113.9905,111.4086,113.7193,7880377
2017-07-31,114.3199,117.9723,114.194,115.2015,8185980
2017-08-01,115.0853,115.6569,112.702,113.138,5612306
2017-08-02,112.0432,112.8086,110.5609,111.6557,9973140
2017-08-03,110.1443,110.2993,107.5382,108.2842,9003417
2017-08-04,109.9603,110.3672,106.6663,107.9161,8109438
2017-08-07,108.0226,110.4447,107.5867,108.6717,4012798
2017-08-08,108.7008,109.0496,104.6996,105.1259,9711206
2017-08-09,105.4456,106.676,104.6899,106.24,8389744
2017-08-10,105.4068,106.4144,104.5349,105.5037,4881486
2017-08-11,105.3778,106.2594,104.8449,105.4165,4639179
2017-08-14,105.93,106.5016,105.5037,106.2691,10771814
2017-08-15,106.5888,108.2891,106.0172,108.1001,5796206
2017-08-16,108.3327,108.4004,107.0926,107.6351,2519049
2017-08-17,107.2379,107.4898,101.3572,101.4153,12980900
2017-08-18,100.9503,101.6866,100.2043,101.1538,5300922
2017-08-21,101.2603,101.5703,99.6327,99.6812,4317182
2017-08-22,101.5994,101.8222,100.1365,100.4853,2974974
2017-08-23,100.2043,100.679,99.6046,100.2334,13192860
2017-08-24,100.369,101.9288,100.1365,101.3281,3041388
2017-08-25,101.5994,102.1419,101.2022,101.3281,3448701
2017-08-28,101.6091,101.9579,101.27,101.4928,1656338
2017-08-29,100.7469,102.0547,100.524,101.8416,2553929
2017-08-30,101.9966,102.9897,101.396,102.6263,8830992
2017-08-31,103.1689,103.4789,102.6554,103.1495,2100323
2017-09-01,103.2076,104.2249,103.0429,104.0021,2195270
2017-09-05,103.3142,104.2055,102.636,103.1108,5484974
2017-09-06,103.7114,105.7217,103.2948,104.6802,5174112
2017-09-07,105.586,106.6378,105.3035,106.0827,3920520
2017-09-08,105.9366,106.5891,105.099,105.586,3124962
2017-09-11,105.995,106.1606,104.0666,104.6997,5674572
2017-09-12,104.2614,105.8587,103.5894,105.1087,3076302
2017-09-13,105.0698,105.1574,104.3685,104.4075,1905546
2017-09-14,103.8621,104.4367,103.5602,104.0082,1924494
2017-09-15,104.1056,104.9821,103.4822,103.9984,3116724
2017-09-18,104.0471,104.1737,103.4822,103.7744,3541715
2017-09-19,104.164,104.9042,103.9205,104.6802,1799594
2017-09-20,104.8263,105.1282,103.5504,104.0471,2471870
2017-09-21,104.2906,104.5731,103.9303,104.0082,1510089
2017-09-22,103.6575,105.7223,103.5212,105.3425,1804401
2017-09-25,105.099,106.0632,104.6218,105.9853,5069498
2017-09-26,106.3067,106.6671,105.4107,105.4496,1540187
2017-09-27,105.7028,107.0761,105.3113,106.7839,3848773
2017-09-28,106.2872,106.6573,105.2324,106.1801,1939728
2017-09-29,106.2677,106.8813,106.1606,106.4723,1226259
2017-10-02,106.3749,106.6476,105.7028,106.4723,3536242
2017-10-03,106.8034,108.089,106.5015,107.8261,1843482
2017-10-04,107.7676,108.537,106.8424,108.4981,1906342
