date,open,high,low,close,volume
2017-01-03,74.61,77.1,74.5,76.18,1896507
2017-01-04,76.19,77.96,76.09,77.52,1889516
2017-01-05,77.08,77.63,76.33,76.93,1368229
2017-01-06,77.28,79.81,76.89,79.3,1587682
2017-01-09,78.95,79.74,78.26,79.59,1489060
2017-01-10,79.29,80.37,78.56,79.98,1796204
2017-01-11,79.97,81.03,79.17,80.87,1764535
2017-01-12,80.72,80.8559,79.24,80.65,1646368
2017-01-13,80.72,81.41,80.44,81.32,1667539
2017-01-17,80.97,81.23,78.29,78.62,2403471
2017-01-18,79.1,80.06,78.69,79.71,1676898
2017-01-19,80.26,80.78,79.65,79.98,1498045
2017-01-20,80.7,81.89,80.24,81.67,6042539
2017-01-23,81.39,81.91,80.91,81.54,1204968
2017-01-24,81.6,82.63,81.53,82.0,1814753
2017-01-25,82.87,83.96,82.43,82.65,1880649
2017-01-26,82.77,82.935,81.48,81.64,1515815
2017-01-27,81.98,81.98,80.89,81.76,1487100
2017-01-30,81.57,81.67,79.15,81.16,1976275
2017-01-31,80.88,81.35,79.8,81.34,1249458
2017-02-01,81.09,81.96,80.38,81.28,1440878
2017-02-02,80.82,82.87,80.04,82.76,1117014
2017-02-03,83.57,84.965,83.14,84.41,1822421
2017-02-06,84.45,84.55,82.33,82.82,1925015
2017-02-07,82.29,85.11,81.8,84.5,2975440
2017-02-08,84.44,84.89,82.58,82.93,2182342
2017-02-09,84.34,84.911,83.17,83.88,1808434
2017-02-10,83.97,84.46,82.38,83.23,1695088
2017-02-13,83.65,84.72,82.94,84.28,4004607
2017-02-14,84.25,84.59,82.81,84.54,4043480
2017-02-15,84.28,84.935,83.54,84.36,2200824
2017-02-16,84.69,85.46,83.83,85.14,1830356
2017-02-17,84.72,86.49,83.75,86.4,1816273
2017-02-21,87.0,87.52,86.76,87.15,1910450
2017-02-22,86.8,87.14,86.17,86.38,1350021
2017-02-23,86.69,87.37,85.92,87.1,1367978
2017-02-24,86.56,87.69,85.69,87.55,1370189
2017-02-27,87.47,87.9462,86.58,87.74,1535237
2017-02-28,87.82,87.9,85.99,86.3,1973196
2017-03-01,87.38,89.18,86.46,88.93,2501887
2017-03-02,88.73,88.73,87.05,87.32,4309355
2017-03-03,87.0,88.35,84.98,85.32,4616972
2017-03-06,84.3,84.46,82.58,82.94,2572026
2017-03-07,82.39,83.44,81.75,82.07,2292982
2017-03-08,82.53,83.85,81.82,83.46,2235219
2017-03-09,83.22,84.29,82.58,84.24,1935715
2017-03-10,84.8,86.18,84.66,86.12,2404312
2017-03-13,85.42,87.32,85.31,86.69,2412588
2017-03-14,86.6,86.6,85.465,85.91,1396024
2017-03-15,86.6,88.69,85.92,88.4,2365841
2017-03-16,88.6,89.15,85.97,86.73,8109111
2017-03-17,87.13,87.72,86.05,86.22,2446093
2017-03-20,86.29,86.48,85.59,86.32,1194115
2017-03-21,86.5,86.635,83.53,83.64,2565918
2017-03-22,83.9,84.72,83.07,84.6,1567003
2017-03-23,84.61,86.07,84.24,85.69,2238329
2017-03-24,86.0,87.39,85.59,86.48,2059460
2017-03-27,85.41,86.06,83.81,85.44,1774159
2017-03-28,85.43,86.1,85.16,85.47,1086768
2017-03-29,85.31,86.47,84.9751,86.4,1841568
2017-03-30,86.4,87.25,85.775,86.32,946246
2017-03-31,86.02,86.9,85.37,86.47,1251607
2017-04-03,85.24,87.12,84.66,85.39,2478579
2017-04-04,85.16,85.97,84.58,84.95,1497391
2017-04-05,85.27,85.79,83.24,83.54,1885286
2017-04-06,83.49,84.76,82.7,84.07,1793653
2017-04-07,84.07,84.95,83.55,84.79,1920449
2017-04-10,84.91,85.88,84.62,85.66,1292762
2017-04-11,85.35,86.08,84.48,85.99,1362210
2017-04-12,85.87,86.65,84.99,85.62,2405480
2017-04-13,85.2,86.18,84.1,84.91,1970859
2017-04-17,85.37,86.25,85.29,85.99,1191388
2017-04-18,85.39,86.53,85.08,86.41,1321886
2017-04-19,86.79,88.59,86.6,87.93,2375609
2017-04-20,88.3,88.82,87.16,88.41,1594459
2017-04-21,88.63,88.88,88.1,88.58,2111419
2017-04-24,89.7,90.94,89.64,90.14,2439751
2017-04-25,90.8,90.8,89.81,90.32,1761537
2017-04-26,90.31,90.54,89.44,90.23,1615980
2017-04-27,90.66,90.77,90.04,90.63,1168152
2017-04-28,90.77,90.77,89.2,90.07,1628866
2017-05-01,91.75,92.7075,91.17,91.98,1845196
2017-05-02,92.22,93.48,91.288,93.45,1706232
2017-05-03,93.42,93.94,92.85,93.35,2250591
2017-05-04,93.41,93.99,92.93,93.25,1497892
2017-05-05,92.32,93.47,92.18,93.24,2147594
2017-05-08,93.37,93.66,93.08,93.39,1313377
2017-05-09,94.41,95.3,93.99,94.74,2615050
2017-05-10,94.75,96.295,94.54,95.87,2031613
2017-05-11,95.5,95.9,93.87,95.41,1974060
2017-05-12,95.27,95.68,94.76,95.39,1511380
2017-05-15,95.73,97.195,95.69,96.63,2762329
2017-05-16,97.24,98.05,96.55,98.03,1800173
2017-05-17,96.87,97.92,93.87,93.97,3055725
2017-05-18,94.04,96.25,93.07,95.83,2877482
2017-05-19,108.0,112.18,106.87,109.91,10091614
2017-05-22,109.8,114.02,109.76,113.36,4152169
2017-05-23,113.25,114.25,112.43,112.97,2638273
2017-05-24,113.86,114.06,111.85,112.48,3317361
2017-05-25,112.97,114.68,112.97,113.89,2540209
2017-05-26,114.24,114.42,112.87,113.03,2109782
2017-05-30,112.8,113.66,112.26,113.16,2560329
2017-05-31,113.4,113.92,111.5,111.77,3222617
2017-06-01,111.72,113.12,110.94,113.03,2322626
2017-06-02,113.78,113.88,111.76,112.91,2215115
2017-06-05,112.74,113.14,110.23,110.88,4008006
2017-06-06,110.4,112.27,110.19,111.45,2444783
2017-06-07,111.38,112.08,110.6,111.17,2030080
2017-06-08,111.51,111.95,110.2,111.12,2030215
2017-06-09,111.16,111.6999,103.62,105.95,3025574
2017-06-12,104.21,108.62,100.7,107.44,5134599
2017-06-13,107.6,108.24,105.17,107.55,2269770
2017-06-14,108.52,108.65,105.0232,106.2,1974826
2017-06-15,104.77,106.04,103.48,105.58,1824788
2017-06-16,105.5,105.92,103.63,104.88,2566153
2017-06-19,105.6,106.7,105.16,106.16,2481454
2017-06-20,106.01,107.11,104.3,104.93,1955990
2017-06-21,105.88,106.56,104.82,105.69,2645590
2017-06-22,105.72,107.26,104.55,106.78,2327895
2017-06-23,106.4,108.76,105.3,107.75,3666203
2017-06-26,107.76,109.07,105.31,106.12,1873414
2017-06-27,105.58,106.45,102.5,102.92,2269652
2017-06-28,103.69,104.86,101.54,104.28,1642391
2017-06-29,103.57,103.8105,100.0,101.39,2347016
2017-06-30,102.32,102.37,100.75,100.82,1671323
2017-07-03,101.32,101.82,99.32,99.36,1454329
2017-07-05,99.37,103.04,99.22,102.6,2785162
2017-07-06,101.59,103.11,100.794,102.05,2605694
2017-07-07,102.29,104.28,102.29,103.32,1695293
2017-07-10,103.33,104.185,102.38,103.74,1191787
2017-07-11,103.47,104.73,102.98,104.3,1461747
2017-07-12,105.61,107.08,104.76,106.68,2621915
2017-07-13,107.49,108.5,106.38,107.07,1427981
2017-07-14,107.46,108.91,107.01,108.74,1480998
2017-07-17,108.9,109.0,106.56,106.94,1180729
2017-07-18,106.67,107.85,106.23,107.7,866009
2017-07-19,108.5,110.5,108.47,110.25,2044357
2017-07-20,109.72,110.5,108.88,109.91,1270906
2017-07-21,109.41,110.54,109.08,109.75,1116428
2017-07-24,109.59,110.89,109.335,110.81,1953438
2017-07-25,110.91,112.4,110.2,112.26,1342529
2017-07-26,112.5,114.1,112.41,114.08,1891155
2017-07-27,114.97,115.25,109.32,111.52,2362950
2017-07-28,110.6,112.2754,110.3326,111.5,946232
2017-07-31,111.65,112.315,109.78,110.79,1400294
2017-08-01,111.27,112.59,111.1,111.38,1315628
2017-08-02,111.08,111.38,107.28,109.13,1757248
2017-08-03,107.95,108.5,105.6,107.88,2255620
2017-08-04,108.35,109.04,107.56,108.39,1490923
2017-08-07,108.67,111.0,108.4,109.82,1493121
2017-08-08,109.38,110.27,108.0,108.35,1224209
2017-08-09,107.69,107.96,106.54,107.45,1152146
2017-08-10,106.56,107.54,104.77,104.98,1878256
2017-08-11,105.75,108.7577,105.1,108.01,1461174
2017-08-14,109.2,110.0,108.01,108.9,1637895
2017-08-15,109.02,110.1,108.12,109.8,1263288
2017-08-16,110.36,110.93,109.36,110.49,1320473
2017-08-17,110.07,110.82,107.73,107.89,1738684
2017-08-18,107.86,110.1,107.19,108.56,1164390
2017-08-21,108.37,110.3,108.37,109.75,1279193
2017-08-22,110.31,112.235,109.77,111.01,1709003
2017-08-23,110.91,111.34,110.05,110.65,1636197
2017-08-24,110.58,111.25,109.04,110.61,3128431
2017-08-25,115.0,119.73,113.54,114.97,7121029
2017-08-28,115.06,115.14,110.01,111.48,3618404
2017-08-29,109.65,111.895,109.25,111.27,1859022
2017-08-30,111.27,113.67,110.61,113.29,1459278
2017-08-31,113.63,114.7,112.815,114.46,1467187
2017-09-01,114.63,115.62,113.65,113.71,1566451
2017-09-05,113.46,114.81,112.52,113.77,3092938
2017-09-06,114.4,114.78,112.65,113.79,2339923
2017-09-07,114.14,114.465,113.19,114.05,1731436
2017-09-08,114.17,115.72,114.1,114.44,2656502
