date,open,high,low,close,volume
2017-01-03,96.49,98.33,95.801,96.96,816741
2017-01-04,96.85,98.82,96.8,97.77,675902
2017-01-05,97.52,97.77,94.41,94.82,731662
2017-01-06,94.82,95.74,93.6,94.08,998449
2017-01-09,94.13,95.87,93.51,94.79,1033043
2017-01-10,94.61,96.79,94.15,96.13,781184
2017-01-11,96.07,96.76,95.06,96.0,600043
2017-01-12,95.57,95.85,94.4,95.55,513528
2017-01-13,95.65,96.64,95.2791,96.01,516446
2017-01-17,95.47,96.17,94.63,95.34,539607
2017-01-18,95.79,96.11,93.83,94.42,794116
2017-01-19,91.51,91.85,90.21,90.55,2107536
2017-01-20,90.89,92.025,90.86,91.7,822176
2017-01-23,91.58,92.47,91.44,92.04,672955
2017-01-24,92.53,92.67,90.78,91.65,848722
2017-01-25,91.88,93.6,91.76,93.41,449248
2017-01-26,93.46,93.56,91.84,92.23,594581
2017-01-27,91.67,92.47,89.9601,90.93,1719081
2017-01-30,89.64,90.09,88.56,89.98,1433594
2017-01-31,89.72,91.75,89.32,91.69,1693012
2017-02-01,97.0,102.0,95.43,97.25,3782000
2017-02-02,97.38,98.54,94.72,95.13,1761685
2017-02-03,95.43,96.52,94.14,95.82,1104765
2017-02-06,96.0,96.24,93.3,93.85,1238532
2017-02-07,94.31,94.5,93.09,93.65,954133
2017-02-08,93.25,94.19,92.61,94.17,599577
2017-02-09,94.2,96.49,94.2,95.98,670487
2017-02-10,95.96,97.22,95.17,96.97,740533
2017-02-13,96.92,98.02,96.4001,97.61,592845
2017-02-14,97.67,99.28,97.31,98.39,791106
2017-02-15,98.27,100.12,98.1684,99.96,598115
2017-02-16,100.0,100.76,99.62,100.42,846216
2017-02-17,100.35,101.83,99.6,101.765,664161
2017-02-21,102.28,102.9,101.06,101.86,571775
2017-02-22,100.61,101.195,100.025,101.09,870874
2017-02-23,101.21,101.65,100.27,101.16,610415
2017-02-24,100.57,103.04,100.57,102.89,724021
2017-02-27,102.57,103.24,102.11,102.26,631021
2017-02-28,102.27,103.83,102.27,102.76,778510
2017-03-01,103.77,104.42,102.67,103.83,780988
2017-03-02,104.09,104.53,103.16,104.12,568489
2017-03-03,104.2,104.25,103.12,104.04,516587
2017-03-06,104.1,104.7,102.18,102.74,771815
2017-03-07,102.47,103.82,102.02,103.15,609327
2017-03-08,103.65,104.59,103.39,103.72,375301
2017-03-09,104.09,105.5899,103.2204,105.36,482173
2017-03-10,105.84,105.92,104.395,105.32,448236
2017-03-13,105.47,108.27,105.47,107.99,665790
2017-03-14,107.84,107.84,106.62,107.48,490480
2017-03-15,107.59,110.87,107.12,110.31,1082028
2017-03-16,110.65,111.3955,109.76,110.47,616810
2017-03-17,110.89,113.0,110.56,111.85,1195094
2017-03-20,112.25,113.31,111.65,113.23,862349
2017-03-21,113.77,114.29,110.58,111.06,1027791
2017-03-22,110.95,112.49,110.25,111.99,509571
2017-03-23,111.93,113.33,111.35,112.55,526688
2017-03-24,112.64,114.99,112.64,113.87,664630
2017-03-27,113.42,114.49,112.21,114.02,641128
2017-03-28,113.76,114.35,113.215,113.9,394501
2017-03-29,113.81,114.92,113.252,114.23,297599
2017-03-30,114.59,114.98,113.75,113.96,637395
2017-03-31,113.7,115.2,113.46,114.71,563201
2017-04-03,115.13,116.75,114.8,116.36,1110025
2017-04-04,116.56,116.99,115.25,115.61,578943
2017-04-05,115.94,116.45,114.72,114.8,448811
2017-04-06,114.77,115.36,114.18,115.19,509600
2017-04-07,114.76,115.74,114.66,114.74,511730
2017-04-10,115.25,115.25,114.27,114.73,446289
2017-04-11,114.82,115.25,114.1,114.95,473945
2017-04-12,115.16,115.5,113.93,114.11,484638
2017-04-13,113.97,114.72,113.4,113.73,497186
2017-04-17,113.96,115.31,113.815,115.18,465244
2017-04-18,114.94,116.4,114.74,116.32,410061
2017-04-19,116.65,117.98,116.574,117.55,490018
2017-04-20,117.5,119.19,116.3201,118.87,670080
2017-04-21,119.1,120.02,118.08,118.44,719645
2017-04-24,120.02,120.875,119.05,120.34,824326
2017-04-25,121.47,121.79,118.37,118.78,1075021
2017-04-26,119.24,120.06,118.45,119.74,570085
2017-04-27,119.96,120.41,119.16,120.09,1301277
2017-04-28,139.79,145.24,133.71,134.62,4319723
2017-05-01,135.39,136.33,133.03,133.68,1433294
2017-05-02,133.56,135.3,133.38,134.12,1642979
2017-05-03,134.5,135.84,131.32,131.97,1720208
2017-05-04,132.21,142.18,132.02,141.89,2072614
2017-05-05,141.69,141.85,137.7687,138.03,1440066
2017-05-08,138.25,138.77,136.32,137.0,1411660
2017-05-09,137.97,138.97,137.23,138.17,730088
2017-05-10,137.96,138.355,135.81,137.01,1119265
2017-05-11,136.51,137.61,135.85,137.46,561025
2017-05-12,137.24,139.229,137.14,138.67,689635
2017-05-15,138.9,139.95,138.16,138.46,788698
2017-05-16,138.83,139.12,137.5,138.61,595772
2017-05-17,137.53,137.89,134.68,136.08,733780
2017-05-18,136.0,138.84,135.59,137.69,882702
2017-05-19,138.0,138.99,137.7,138.43,768074
2017-05-22,139.23,139.42,138.04,138.1,982949
2017-05-23,137.93,138.31,136.26,138.22,894555
2017-05-24,138.78,139.26,137.78,138.65,1017447
2017-05-25,138.71,141.94,138.71,141.39,1908345
2017-05-26,141.4,143.09,140.24,142.1,1176927
2017-05-30,142.56,144.45,141.7,143.33,766822
2017-05-31,144.59,146.0,142.6,145.2,1151754
2017-06-01,146.36,147.0,144.04,145.91,964552
2017-06-02,146.57,150.355,146.52,149.7,1235830
2017-06-05,150.0,150.56,148.6,148.83,830633
2017-06-06,148.74,149.53,147.4,148.62,534459
2017-06-07,149.15,149.64,148.57,149.13,652331
2017-06-08,149.25,151.91,148.46,151.82,776393
2017-06-09,152.16,153.93,146.11,148.85,1150346
2017-06-12,147.34,147.79,139.0,143.41,2236859
2017-06-13,144.17,146.03,142.04,144.38,1024294
2017-06-14,145.38,145.81,142.99,144.3,867517
2017-06-15,142.95,144.17,142.01,144.02,1055616
2017-06-16,144.78,145.51,144.01,145.26,17940259
2017-06-19,146.32,152.14,146.25,149.7,1636527
2017-06-20,150.08,150.84,146.77,146.99,943852
2017-06-21,147.16,149.77,147.1525,149.42,670304
2017-06-22,150.07,150.98,148.85,149.69,655055
2017-06-23,154.85,154.85,151.24,153.5,2206218
2017-06-26,153.66,154.79,151.45,151.67,724763
2017-06-27,151.15,152.83,148.94,149.34,883219
