date,open,high,low,close,volume
2017-01-03,31.5581,31.8994,30.8754,31.1485,13209441
2017-01-04,31.2948,31.7044,31.2655,31.4411,9460624
2017-01-05,31.4996,31.5971,31.1192,31.3045,7290175
2017-01-06,31.246,31.4313,31.0705,31.246,7063604
2017-01-09,31.4703,32.2505,31.4118,31.9677,9271782
2017-01-10,32.0554,32.3773,31.9287,32.309,8753286
2017-01-11,32.387,32.6503,31.9872,32.6406,10620118
2017-01-12,32.426,32.5137,31.7921,32.4845,6484120
2017-01-13,32.4943,33.055,32.4748,32.9526,6911166
2017-01-17,32.9526,32.9917,32.27,32.4748,6428559
2017-01-18,32.8454,33.1574,32.6991,32.8551,10609448
2017-01-19,32.8649,33.2842,32.8356,32.9136,8333520
2017-01-20,33.0794,33.333,32.9283,33.0014,8571730
2017-01-23,32.9234,33.3524,32.7283,32.9136,7254438
2017-01-24,33.0502,33.3622,33.0404,33.1867,9702805
2017-01-25,33.45,33.9669,33.372,33.567,12230219
2017-01-26,33.567,33.6158,33.0112,33.1379,9375456
2017-01-27,33.411,34.2789,33.372,34.1717,11055855
2017-01-30,33.9279,33.9669,32.9331,33.489,11183818
2017-01-31,33.294,33.4646,33.0892,33.4012,9468804
2017-02-01,33.7328,34.1814,33.645,34.1619,15244891
2017-02-02,34.1034,34.1619,33.7816,34.0741,7517981
2017-02-03,34.1132,34.513,34.1132,34.435,8560301
2017-02-06,34.4447,34.513,34.1424,34.3082,5877077
2017-02-07,34.5032,34.7568,34.2009,34.6593,8155222
2017-02-08,34.9128,34.9128,34.3081,34.7178,8735864
2017-02-09,34.8641,34.9616,34.5032,34.5325,6515495
2017-02-10,34.7568,34.7568,34.2204,34.4447,11636382
2017-02-13,34.8348,34.9416,34.4935,34.5813,11900268
2017-02-14,34.6203,34.669,34.2497,34.357,9956599
2017-02-15,34.5813,34.8494,34.3872,34.6105,17409981
2017-02-16,34.7373,34.7666,33.7231,34.3082,21684867
2017-02-17,34.2006,35.0124,33.9561,34.8852,14892760
2017-02-21,34.7336,36.0099,34.7336,35.7752,13814798
2017-02-22,35.6481,35.8632,35.4134,35.7068,10380015
2017-02-23,35.7557,35.8535,35.1102,35.3645,7852525
2017-02-24,35.0222,35.5209,34.7679,35.5014,7505777
2017-02-27,35.6676,35.697,35.3058,35.6285,6491371
2017-02-28,35.5307,35.6383,35.3086,35.4231,8585589
2017-03-01,35.7165,36.1175,35.697,36.0393,7298251
2017-03-02,35.9024,36.1371,35.5307,35.6872,7854762
2017-03-03,35.6383,36.0686,35.6187,36.0588,7257496
2017-03-06,35.873,36.142,35.7068,36.0491,9219071
2017-03-07,36.0002,36.4403,35.9415,36.1566,7841451
2017-03-08,36.1958,36.4109,36.1469,36.3718,8052683
2017-03-09,36.2153,36.6554,36.2055,36.5576,8494054
2017-03-10,36.8315,37.3498,36.8217,37.2813,11486540
2017-03-13,37.3596,37.741,37.3302,37.5943,9111376
2017-03-14,37.5063,37.5943,36.9488,37.428,9646912
2017-03-15,37.565,38.0931,37.4574,38.0637,9405810
2017-03-16,38.142,38.4158,37.9953,38.1909,8305248
2017-03-17,38.4745,38.5136,38.2251,38.4158,11023657
2017-03-20,38.4647,38.8901,38.3474,38.6994,6916906
2017-03-21,38.8266,38.9342,37.4574,37.7312,13550141
2017-03-22,37.6334,37.9757,37.4965,37.9659,9075725
2017-03-23,37.9855,38.2488,37.7606,37.9953,6904579
2017-03-24,38.5136,38.807,37.8877,38.1126,9059928
2017-03-27,37.6041,38.142,37.4525,38.0051,6823948
2017-03-28,37.8877,38.3327,37.8583,37.9659,7924875
2017-03-29,37.9659,38.09,37.8095,38.0148,6404366
2017-03-30,38.054,38.2691,37.9464,38.0344,5997692
2017-03-31,37.9464,38.1811,37.6823,38.0442,8567565
2017-04-03,38.1322,38.2007,37.6725,38.0344,7165262
2017-04-04,37.8584,38.1615,37.8046,38.142,7241421
2017-04-05,38.2985,38.4843,37.5356,37.5356,6927418
2017-04-06,37.5063,37.7997,37.0173,37.7312,7158874
2017-04-07,37.6041,38.1713,37.6041,38.0735,6314603
2017-04-10,37.9659,38.3376,37.8926,38.0051,7339629
2017-04-11,37.8388,37.8388,36.7728,37.3596,10549694
2017-04-12,37.5063,37.5258,36.8021,36.939,6802507
2017-04-13,36.8412,37.4085,36.587,36.6945,5753986
2017-04-17,36.8119,37.1933,36.7434,37.1835,5242480
2017-04-18,36.9586,37.2716,36.7728,37.2129,6047326
2017-04-19,38.3376,38.7826,38.2887,38.3865,13394449
2017-04-20,38.6701,39.0906,38.2887,39.0124,9402816
2017-04-21,39.0222,39.2031,38.6016,38.9146,8762041
2017-04-24,39.4818,39.7165,39.208,39.5503,6925408
2017-04-25,39.7263,39.9708,39.3938,39.8926,7236945
2017-04-26,39.8828,40.0197,39.5356,39.8143,5578304
2017-04-27,40.0588,40.8999,40.0393,40.4207,8312470
2017-04-28,40.1958,40.4207,39.6872,39.7165,9209031
2017-05-01,40.0784,40.7923,39.9513,40.7826,7478348
2017-05-02,40.8021,40.8315,40.2251,40.7923,6950795
2017-05-03,40.7923,40.7923,40.2936,40.6359,5673883
2017-05-04,40.7337,40.8901,40.4989,40.7043,5016859
2017-05-05,40.9293,40.9684,40.3914,40.9097,4748163
2017-05-08,40.9782,41.0368,40.5283,40.6261,6380021
2017-05-09,40.8999,41.3205,40.8021,41.1151,8074643
2017-05-10,41.5943,42.142,41.5356,41.9268,11555055
2017-05-11,42.0735,42.5234,41.7899,42.5234,11149880
2017-05-12,42.5723,42.6799,42.1126,42.4843,9365074
2017-05-15,42.9146,43.4476,42.7483,43.3449,12098120
2017-05-16,43.8144,44.0882,43.3351,44.0784,13410525
2017-05-17,43.5992,43.7166,41.7899,41.8192,20062012
2017-05-18,42.1518,43.1298,41.8926,42.9439,21882225
2017-05-19,44.0589,44.7337,42.9439,43.1102,23338575
2017-05-22,43.2178,44.01,42.6603,43.7459,12606288
2017-05-23,43.9224,44.0498,43.4225,44.0204,8541940
2017-05-24,44.1086,44.236,43.5891,43.7459,7570534
2017-05-25,43.8733,44.4321,43.6685,44.1282,8662611
2017-05-26,43.9812,44.5987,43.8634,44.5987,6633378
2017-05-30,44.5693,44.8339,44.3144,44.6575,6593508
2017-05-31,44.7555,45.1231,44.4321,44.9712,13082140
2017-06-01,45.0594,45.3436,44.8927,45.0888,7176781
2017-06-02,45.3044,45.9317,44.9908,45.8729,9523927
2017-06-05,45.7063,46.3042,45.5887,45.7945,6807565
2017-06-06,45.6475,46.2748,45.5593,45.6475,7806155
2017-06-07,45.7749,46.4022,45.6965,46.3238,8026510
2017-06-08,46.4611,46.5297,46.0004,46.4905,7936089
2017-06-09,46.6767,46.9119,42.5501,43.8537,20477177
2017-06-12,43.2656,43.6185,41.4778,43.4617,20623498
2017-06-13,44.0204,44.5987,43.4029,43.9616,12330638
2017-06-14,44.187,44.3879,42.5109,43.1088,10697299
2017-06-15,42.3344,42.8049,41.9816,42.305,11523008
2017-06-16,42.3344,43.0304,42.2021,42.256,10775074
2017-06-19,42.8343,43.5107,42.7657,43.4127,9649864
2017-06-20,43.3833,43.7067,42.4423,42.5011,9083673
2017-06-21,42.5501,42.952,42.2364,42.7559,9713578
2017-06-22,42.8245,43.05,42.2266,42.4815,7632051
2017-06-23,42.5893,43.4225,42.5501,43.2166,13947666
2017-06-26,43.5891,43.7655,42.06,42.3933,10911376
2017-06-27,42.1482,42.2462,41.0014,41.0602,12734948
2017-06-28,41.07,41.9277,40.5995,41.8444,14308333
2017-06-29,41.5111,41.6189,39.982,40.6191,12362485
2017-06-30,40.9818,41.1876,40.276,40.4917,10044092
2017-07-03,40.5113,41.1288,40.1682,40.1976,6519489
2017-07-05,40.4623,41.3935,40.4329,41.2856,10942496
2017-07-06,40.8936,41.7463,40.7367,41.2758,11934214
2017-07-07,41.5209,42.9275,41.5209,42.6775,10748709
2017-07-10,42.7363,43.6185,42.6481,43.3342,10357926
2017-07-11,43.3342,44.5987,43.1676,44.5007,13527360
2017-07-12,44.7751,45.0692,43.9518,44.383,10395825
2017-07-13,44.383,44.7525,44.1003,44.4027,9036082
2017-07-14,44.4811,45.2162,44.4517,45.2064,8085735
2017-07-17,45.2848,45.5299,44.7751,45.2358,7679902
2017-07-18,45.1084,45.7063,44.7751,45.6965,6594152
2017-07-19,45.971,46.2748,45.8186,46.2454,9533910
2017-07-20,46.1768,46.4022,45.4515,46.314,8782346
2017-07-21,45.8533,46.069,45.3142,45.8827,7539498
2017-07-24,45.7553,46.0886,45.6377,45.8533,8495499
2017-07-25,45.7063,45.7406,44.9418,45.4809,7271894
2017-07-26,45.6867,46.5297,45.5985,46.5101,9161265
2017-07-27,46.5591,46.6473,44.4027,45.128,17026585
2017-07-28,44.9908,45.0888,44.0204,44.3536,9584336
2017-07-31,44.5301,44.5791,43.1382,43.4323,11121273
2017-08-01,43.5107,43.9028,43.1431,43.2264,9452283
2017-08-02,43.4715,43.5597,41.6679,41.8836,15631985
2017-08-03,41.8542,42.2609,41.4719,41.8542,11475763
2017-08-04,42.0012,42.2854,41.5209,41.9718,7510942
2017-08-07,42.011,43.1725,42.0012,43.0892,7758354
2017-08-08,43.1676,43.6381,42.8638,43.0304,9798285
2017-08-09,42.5305,43.1529,42.207,42.9422,5634688
2017-08-10,42.5109,42.7167,41.1092,41.1974,11299315
2017-08-11,41.1974,42.2854,41.1484,42.2266,10761599
2017-08-14,42.8343,43.3636,42.7265,42.9128,9764788
2017-08-15,42.9814,43.4715,42.7363,43.0108,6250208
2017-08-16,43.4715,43.7322,42.8932,43.5793,8490601
2017-08-17,43.4519,43.5205,42.1482,42.2658,14283433
2017-08-18,43.8832,44.3536,42.7951,43.4225,20996205
2017-08-21,43.2362,43.3833,42.1689,42.4521,14374518
2017-08-22,42.8549,43.7489,42.8451,43.6703,8664516
2017-08-23,43.4247,43.4247,43.0612,43.2479,8480893
2017-08-24,43.523,43.5328,42.4914,42.9531,9252991
2017-08-25,43.0219,43.1791,42.3637,42.5503,6385750
2017-08-28,42.5994,42.9541,42.5994,42.8647,5545131
2017-08-29,42.2654,43.4149,42.1799,43.2479,6768784
2017-08-30,43.2282,44.6921,43.2184,44.6724,8797177
2017-08-31,44.6331,44.6724,44.0535,44.3286,9213406
2017-09-01,44.3973,44.5019,43.9749,44.3089,5307511
2017-09-05,43.8472,44.1714,43.1005,43.6998,9214780
2017-09-06,43.9159,44.1665,43.4345,43.9454,12116667
2017-09-07,44.1517,44.6037,43.8079,44.4268,8291534
2017-09-08,44.4072,44.4563,43.3461,43.5721,8128854
2017-09-11,44.1026,44.9868,44.0633,44.7805,8893042
2017-09-12,45.0359,45.2128,44.5742,44.8493,7234426
2017-09-13,45.2914,45.6058,44.7314,45.311,7500510
2017-09-14,45.1735,46.5293,44.977,46.2247,12338916
2017-09-15,46.1461,46.8535,46.0479,46.3131,13880440
2017-09-18,46.9616,47.676,46.9026,47.2072,11215511
2017-09-19,47.1875,47.6493,46.7454,47.4135,9384975
2017-09-20,47.5216,47.5216,45.9595,46.4507,11021297
2017-09-21,46.4802,46.6963,45.9398,46.323,8533594
2017-09-22,46.0675,47.0795,46.0184,46.9321,5867667
2017-09-25,46.6865,46.8044,45.1637,45.5173,11445862
2017-09-26,45.7433,46.038,44.7805,45.1145,11086582
2017-09-27,45.9103,48.8381,45.8612,47.9833,20364432
2017-09-28,48.0619,49.9875,47.7967,49.7321,22109112
2017-09-29,49.7026,51.363,49.6731,51.1763,21008733
2017-10-02,51.2942,51.7068,50.7146,51.1665,15636031
2017-10-03,51.2942,51.4416,50.3609,50.9307,11304643
2017-10-04,50.8718,51.0879,50.2528,50.6949,8294699
2017-10-05,50.744,50.8325,49.8795,50.5279,9337020
2017-10-06,50.3019,51.4907,50.2528,51.4809,8509548
2017-10-09,51.7658,52.113,51.2942,51.7658,8762962
2017-10-10,52.1195,52.1391,50.8816,51.6675,8217204
2017-10-11,51.4711,52.4388,51.3826,52.2963,7745998
2017-10-12,52.2177,53.1805,52.1097,52.3749,12611372
2017-10-13,52.6598,53.097,52.3032,52.9939,10208344
2017-10-16,53.3279,54.1237,53.3279,54.0746,9921082
2017-10-17,54.0058,54.3104,53.3279,54.163,10241702
2017-10-18,54.3202,54.6346,53.7111,54.3693,9459402
2017-10-19,53.7405,54.3693,53.2002,54.3595,7969205
2017-10-20,54.8605,55.2486,54.7525,55.1061,10575253
2017-10-23,55.4991,55.7349,54.8212,55.3812,11003932
2017-10-24,55.617,55.6662,54.8802,55.3911,7763858
2017-10-25,55.3026,55.3911,53.6138,54.33,13694570
2017-10-26,54.6935,55.4402,54.6149,54.949,8210468
2017-10-27,55.2732,55.8233,54.5265,55.6956,10523573
2017-10-30,55.509,55.6072,54.6051,54.9195,7336197
2017-10-31,55.0669,55.6858,54.7132,55.4402,7661511
2017-11-01,56.0002,56.335,54.2318,54.7328,10479942
2017-11-02,54.7426,55.3911,54.1433,55.2732,6545508
2017-11-03,55.3026,55.5581,54.9391,55.5581,5566417
2017-11-06,55.6956,55.7251,54.723,55.3419,7887713
2017-11-07,55.3911,56.2065,55.3223,55.4795,8177438
2017-11-08,55.4991,56.1279,55.2339,55.9216,7468240
2017-11-09,55.4893,55.5876,53.8396,54.5069,10258117
2017-11-10,54.6739,55.5188,54.3398,55.3714,7373087
2017-11-13,55.4107,56.0886,55.116,56.0297,9414477
2017-11-14,55.8332,55.9019,54.8212,55.4304,9640841
2017-11-15,55.2437,55.5483,54.4872,54.7918,9612481
2017-11-16,55.3714,56.9826,55.2732,56.8255,16712331
2017-11-17,59.3995,59.822,55.1012,55.4991,27436497
2017-11-20,55.6662,57.1987,55.6662,56.6093,14360173
2017-11-21,56.9826,57.8276,56.9826,57.7686,10199364
2017-11-22,58.0048,58.0639,56.5877,56.7648,8302387
2017-11-24,56.9321,57.2077,56.755,56.9912,3703283
2017-11-27,56.0169,56.4204,55.3772,56.0366,7962088
2017-11-28,56.0956,56.7156,55.8594,56.4204,7878914
2017-11-29,55.9578,56.1547,50.7714,52.0705,25319760
2017-11-30,52.8578,52.9021,51.4997,51.9327,14549690
2017-12-01,51.1749,51.879,49.5718,51.0864,16271762
2017-12-04,51.234,51.5095,48.4883,48.9803,19956122
2017-12-05,48.6654,51.0765,47.4844,49.2854,21045742
2017-12-06,49.0787,50.4555,48.316,50.2006,19296322
2017-12-07,50.8699,51.7556,50.5156,51.4702,14690099
2017-12-08,52.1591,52.9365,50.3778,50.614,15131797
2017-12-11,50.7518,51.3718,50.1613,50.801,9740829
2017-12-12,50.6829,50.9191,49.6102,49.6692,9547496
2017-12-13,50.0038,50.2695,49.7676,49.9546,13858344
2017-12-14,50.1908,50.988,49.7676,50.4959,8940288
2017-12-15,50.7518,52.041,50.3384,51.7064,14575378
2017-12-18,52.3165,52.6905,51.9229,52.5527,13304279
2017-12-19,52.0115,52.5823,51.4997,52.1197,10922643
2017-12-20,53.2515,53.3892,52.0803,52.4445,9950750
2017-12-21,52.3362,52.4642,50.988,51.0667,9530910
2017-12-22,50.9289,51.4111,50.486,51.234,8087577
2017-12-26,50.4073,50.614,49.62,50.24,7393627
2017-12-27,50.5254,51.0076,50.1613,50.86,5962129
2017-12-28,51.0667,51.3226,50.6839,50.8994,5634394
2017-12-29,50.9978,51.1159,50.2499,50.3089,6971504
2018-01-02,50.86,52.2181,50.4073,52.1984,9819493
2018-01-03,52.6905,53.4167,52.3416,53.1235,10898946
2018-01-04,53.6353,54.0683,53.1235,53.4286,9462780
