date,open,high,low,close,volume
2017-01-03,139.7275,142.6948,139.0282,142.4396,3640901
2017-01-04,143.7248,145.2652,143.4224,144.4619,3945903
2017-01-05,144.3202,144.9628,143.1767,144.5659,3441661
2017-01-06,151.0863,152.1447,148.0529,148.1569,9899296
2017-01-09,148.3742,150.2028,148.0151,150.1036,4247693
2017-01-10,149.7728,150.3776,148.5916,150.028,3324424
2017-01-11,150.4059,150.4059,146.0023,148.0057,4821283
2017-01-12,146.8906,147.5615,146.059,146.815,3234780
2017-01-13,146.7394,148.5632,146.3708,147.5332,2637514
2017-01-17,146.6071,147.5332,145.0856,146.2858,3404875
2017-01-18,147.1268,147.3631,146.0117,147.2024,2432740
2017-01-19,146.5976,147.1282,144.8248,145.3408,2572172
2017-01-20,146.2007,146.8055,145.3597,146.1629,3067372
2017-01-23,145.7282,146.0495,144.0178,144.3202,2458158
2017-01-24,144.4147,144.5848,142.1041,143.498,3027683
2017-01-25,144.1406,146.3047,143.4224,145.6243,3482641
2017-01-26,146.4748,147.2308,144.4903,144.5659,3366902
2017-01-27,144.8021,148.8373,144.3581,148.516,4885184
2017-01-30,148.464,148.5349,145.3124,145.9361,3758356
2017-01-31,145.2463,148.327,144.7265,148.0624,3351306
2017-02-01,149.8673,150.9635,148.412,150.8879,3924817
2017-02-02,150.9446,151.143,148.2797,150.8028,4445428
2017-02-03,156.9642,158.618,155.7924,158.3156,7366635
2017-02-06,157.0398,157.7108,156.0476,157.4178,4389155
2017-02-07,157.8147,158.4951,156.4917,157.6446,3584279
2017-02-08,157.3422,159.0905,157.1721,158.8731,3493436
2017-02-09,156.6335,158.5613,156.3972,158.2589,4281382
2017-02-10,158.5707,159.0527,157.8431,158.6558,2931238
2017-02-13,159.5883,160.1021,158.5987,159.5312,3602846
2017-02-14,158.9698,159.9213,157.5426,159.9023,3116698
2017-02-15,159.2077,163.6608,158.9032,163.461,4058811
2017-02-16,163.2421,163.8226,162.0433,163.7655,2660644
2017-02-17,163.0423,164.9549,160.7016,164.8883,4154875
2017-02-21,164.4696,165.0881,163.5276,164.7455,3941221
2017-02-22,163.9748,166.2299,163.5562,164.2412,2579797
2017-02-23,164.3744,165.5734,163.5561,165.5734,2191424
2017-02-24,164.8883,166.2489,164.1175,166.0967,2677307
2017-02-27,165.7637,167.7238,165.2879,167.5906,2850737
2017-02-28,166.9531,169.6078,166.915,167.9712,3370380
2017-03-01,169.3699,170.9685,167.2385,169.5983,3532349
2017-03-02,169.1035,170.1882,168.2471,169.4365,3493003
2017-03-03,169.8076,171.7772,168.9417,171.4632,2900888
2017-03-06,170.8448,171.5965,169.5221,170.7591,3280087
2017-03-07,168.799,169.9313,167.7333,168.78,3328877
2017-03-08,168.6563,170.0931,168.5516,169.1606,2320991
2017-03-09,169.4175,170.4356,168.485,170.2453,2505311
2017-03-10,170.7686,173.1094,170.4261,172.6431,4589257
2017-03-13,173.1094,173.176,171.5774,172.272,2530960
2017-03-14,171.6726,172.7573,170.9209,171.3871,2746605
2017-03-15,171.5679,175.2788,171.5679,173.7469,4197296
2017-03-16,172.7954,173.0237,169.3889,171.3776,6014375
2017-03-17,159.2553,163.2707,157.9041,160.4352,23936848
2017-03-20,161.4057,161.4818,159.6264,161.0346,5831538
2017-03-21,161.8053,161.9576,158.418,158.7605,4922665
2017-03-22,159.7881,159.8357,158.5131,159.3314,5070374
2017-03-23,159.36,159.8738,157.5426,157.9898,4432154
2017-03-24,158.6083,158.8319,157.0763,157.7043,3175587
2017-03-27,156.7813,158.5321,155.0972,156.9146,4733979
2017-03-28,156.1533,158.1991,155.7918,156.7243,6526446
2017-03-29,156.4959,157.2095,155.0401,155.1542,4070780
2017-03-30,156.1153,156.8099,155.297,156.4103,2262328
2017-03-31,156.3532,157.4569,155.9059,156.1153,2811836
2017-04-03,156.6481,157.0192,155.5919,155.944,3047953
2017-04-04,155.8393,156.5149,155.2113,156.3912,2239434
2017-04-05,155.3541,156.7718,153.8412,154.374,3542256
2017-04-06,154.3359,155.5253,153.7746,154.3835,3024172
2017-04-07,155.0115,156.277,154.3835,155.4587,2202242
2017-04-10,155.9059,156.277,154.7356,154.8973,1772029
2017-04-11,154.9925,155.4778,153.727,155.2018,1990300
2017-04-12,156.1248,156.1438,154.2979,155.1447,2248673
2017-04-13,155.3636,155.6966,153.5081,153.7746,2568793
2017-04-17,153.5176,154.6404,153.4415,154.2503,2364877
2017-04-18,154.079,154.079,152.509,153.432,2532118
2017-04-19,154.2408,154.7546,153.3178,153.4415,2344063
2017-04-20,153.2417,154.8783,153.2036,154.1837,2070152
2017-04-21,154.2884,154.8402,152.4805,152.6327,2906923
2017-04-24,154.6214,155.6681,154.0505,155.2304,3498403
2017-04-25,155.5919,157.2856,155.4778,156.7147,3529408
2017-04-26,157.5806,157.5806,156.3719,156.6291,4175536
2017-04-27,152.3663,155.5089,152.2426,154.8307,5699193
2017-04-28,154.5167,155.5539,153.6984,155.4016,2942158
2017-05-01,155.7442,156.4673,154.5738,154.7166,2522034
2017-05-02,155.963,155.9916,154.5358,155.5634,3737839
2017-05-03,155.8774,156.1248,155.0972,155.8679,2855073
2017-05-04,156.2104,156.8289,155.5919,156.3246,2543448
2017-05-05,156.8194,156.8194,154.5453,155.8679,2970385
2017-05-08,155.7918,155.8679,154.5929,155.1257,2291872
2017-05-09,155.2589,156.1248,154.9354,155.3065,2305526
2017-05-10,155.335,155.5539,151.9572,152.7279,5201025
2017-05-11,152.1094,152.7374,150.6155,152.3187,3510153
2017-05-12,152.7089,152.8326,151.7288,152.4519,2706045
2017-05-15,152.2699,153.4871,152.107,153.3146,3318715
2017-05-16,153.5446,153.8129,152.8234,153.3337,2281173
2017-05-17,152.1645,152.6581,150.401,150.5256,3073212
2017-05-18,150.8227,152.1836,149.7877,151.3882,2163252
2017-05-19,151.0336,151.9824,149.8452,149.9985,2577270
2017-05-22,147.2,148.1728,146.1074,146.6537,6911699
2017-05-23,146.2991,148.1392,145.8295,147.66,3581999
2017-05-24,148.3309,148.5417,147.3917,148.168,2669558
2017-05-25,148.7334,149.5481,148.1871,148.9634,2965848
2017-05-26,149.1264,149.6343,148.3501,148.5609,2731557
2017-05-30,148.5609,148.9011,147.1712,147.4492,2716816
2017-05-31,147.2767,148.9059,147.2767,148.7813,3891263
2017-06-01,148.9347,150.2477,148.7813,149.7397,3005265
2017-06-02,150.7269,152.9791,150.4681,152.5287,3320771
2017-06-05,153.6212,154.4167,151.6853,153.5542,4611127
2017-06-06,153.4679,154.2241,152.6149,152.8929,3002487
2017-06-07,153.1708,155.308,153.1037,154.9342,3571518
2017-06-08,155.2409,156.3766,154.6946,155.8831,3555137
2017-06-09,155.9789,159.2249,155.8639,157.2344,4086842
2017-06-12,158.1353,160.2725,156.4868,158.0203,4344480
2017-06-13,157.6273,158.2215,156.9565,157.589,2568170
2017-06-14,157.5219,158.9787,157.1481,158.2311,2594842
2017-06-15,157.4069,158.0394,155.7872,157.2823,3585036
2017-06-16,157.0235,157.2727,154.4263,155.6626,5887244
2017-06-19,156.3143,158.3461,155.9214,158.2215,3043884
2017-06-20,158.5474,161.6814,157.934,159.3716,3857863
2017-06-21,160.2438,164.614,159.4387,164.2211,5490814
2017-06-22,165.2657,168.1505,164.9399,166.5883,5745765
2017-06-23,166.0325,166.8854,163.8473,165.3233,14368474
2017-06-26,166.1762,167.4509,165.237,166.4446,3037563
2017-06-27,165.8216,166.6842,163.6652,163.7419,2941462
2017-06-28,164.2882,167.2778,163.7227,166.8279,2890490
2017-06-29,167.2305,167.4509,163.9048,165.4095,2491761
2017-06-30,166.3871,167.0004,164.8536,165.0645,2695516
2017-07-03,165.4478,167.0771,165.4478,165.6108,1395060
2017-07-05,165.4862,167.125,164.7674,167.01,2830025
2017-07-06,165.8983,166.3871,164.1828,164.5757,2566438
2017-07-07,164.499,164.8728,163.4927,164.2978,2612936
2017-07-10,164.4511,165.3713,163.8857,165.0357,2070609
2017-07-11,166.9334,167.1778,164.9111,166.1091,2198020
2017-07-12,166.4829,166.9909,165.4862,166.0612,1976853
2017-07-13,166.0708,168.8693,165.8887,167.7576,2999889
2017-07-14,168.1314,170.2877,167.1538,169.7606,2720648
2017-07-17,169.4827,171.4524,169.3293,170.0194,2692421
2017-07-18,169.3102,170.2398,168.8118,170.0961,1820392
2017-07-19,170.6903,171.7445,169.176,171.7253,2440745
2017-07-20,171.6007,173.2109,171.4378,171.8595,3039256
2017-07-21,171.802,173.0383,171.7062,172.7125,2674714
2017-07-24,172.6933,173.9105,171.227,173.5271,2503137
2017-07-25,174.4759,175.0031,172.8371,173.3642,3343223
2017-07-26,168.6872,171.4139,167.9109,168.5722,5446135
2017-07-27,167.7192,168.1793,163.4352,164.9878,5523230
2017-07-28,164.8249,167.7767,164.5661,167.2784,2463475
2017-07-31,167.2496,169.4348,167.0004,167.2496,2424761
2017-08-01,167.5371,167.8247,166.435,166.8854,2069552
2017-08-02,166.3487,167.3263,166.0037,167.2017,2209159
2017-08-03,166.3009,167.4413,166.0516,166.9334,1725912
2017-08-04,167.0196,167.5467,165.7066,166.6171,1915679
2017-08-07,166.6363,167.3838,166.0516,167.3167,1193843
2017-08-08,166.7225,167.6234,165.7833,166.4637,2325311
2017-08-09,165.8983,166.9334,165.467,166.3296,1972231
