date,open,high,low,close,volume
2017-01-03,109.2445,109.5398,108.4226,108.7228,874654
2017-01-04,108.1224,108.6244,107.9058,108.2011,846218
2017-01-05,109.0673,110.1501,109.0181,109.5005,493762
2017-01-06,108.8311,109.845,108.5752,109.3823,360614
2017-01-09,109.2839,110.9672,109.2741,110.7309,555492
2017-01-10,110.8195,111.3609,110.8195,110.8884,816605
2017-01-11,110.4947,111.735,110.4356,111.7054,419852
2017-01-12,112.1582,113.0245,111.2329,112.9753,713915
2017-01-13,112.9753,113.7332,112.9556,113.497,1474208
2017-01-17,113.8218,114.501,113.0934,114.0974,1381371
2017-01-18,120.1611,123.9114,120.0331,121.047,4391958
2017-01-19,118.97,120.0824,118.5763,119.9544,1936695
2017-01-20,119.6197,120.3974,119.6197,120.1414,787454
2017-01-23,120.0627,120.4072,118.7141,120.2595,1570553
2017-01-24,120.3678,121.0766,120.1611,120.6336,975087
2017-01-25,120.5942,121.047,120.358,120.86,649534
2017-01-26,119.4032,120.2497,119.1768,119.2358,611706
2017-01-27,119.541,120.171,119.1472,119.8658,664343
2017-01-30,119.0193,119.9544,118.1432,119.8067,1161032
2017-01-31,119.7378,120.0922,119.098,119.5016,1435692
2017-02-01,119.7477,120.2005,119.1078,119.413,1324600
2017-02-02,121.1652,121.2636,120.3777,120.8206,632842
2017-02-03,120.988,121.6377,120.9486,121.0864,358736
2017-02-06,120.3285,120.7124,119.9642,120.3186,261499
2017-02-07,120.1217,121.6327,119.9642,121.3325,1117990
2017-02-08,121.4802,122.3169,121.0667,122.1495,853088
2017-02-09,122.4645,123.5867,122.3759,122.5728,820620
2017-02-10,122.8484,123.2914,122.2086,122.8976,791703
2017-02-13,124.1675,124.6547,123.7836,124.5218,1053349
2017-02-14,124.1084,124.5218,123.6556,124.2757,1825951
2017-02-15,123.4883,125.2896,123.3406,125.27,900835
2017-02-16,124.5711,125.4471,124.5022,125.2798,1023476
2017-02-17,123.8722,124.8959,123.8525,124.8959,808060
2017-02-21,123.3209,125.6046,123.2914,125.5948,3895811
2017-02-22,123.1437,123.5473,121.6475,121.8936,2312077
2017-02-23,122.5826,122.6712,121.3227,121.8444,764457
2017-02-24,120.3777,121.0274,119.7378,120.6139,1443058
2017-02-27,120.3777,121.0963,120.171,120.9781,736534
2017-02-28,119.6,120.3088,119.5114,119.7871,1033589
2017-03-01,120.5844,121.9822,120.5155,121.5392,1274350
2017-03-02,119.8756,120.6336,119.5803,119.6689,961800
2017-03-03,120.8403,121.0667,119.9249,121.0569,783790
2017-03-06,119.3539,120.0036,118.8913,119.6985,495328
2017-03-07,119.3539,119.4917,117.9561,118.1038,1234492
2017-03-08,118.9307,119.2752,118.4582,118.8618,575782
2017-03-09,119.285,119.6394,118.7732,119.3539,406109
2017-03-10,122.5236,123.1536,122.0019,123.0453,1016073
2017-03-13,121.6278,122.5137,121.4998,122.248,838182
2017-03-14,122.8189,122.8779,121.9231,122.0511,412890
2017-03-15,122.8976,124.3348,122.6319,124.0986,838908
2017-03-16,122.937,124.2757,122.8583,124.2167,424156
2017-03-17,125.201,126.4217,124.9451,125.8999,1030315
2017-03-20,126.8252,127.1402,125.9787,126.2642,577622
2017-03-21,127.662,127.7947,124.1773,124.3447,1398833
2017-03-22,125.0829,127.219,125.0239,126.904,529907
2017-03-23,127.1796,127.6718,126.7859,127.1993,265972
2017-03-24,131.1958,131.4606,129.8965,130.1721,1709816
2017-03-27,130.7036,131.1171,130.2902,130.6249,2238226
2017-03-28,131.2844,132.19,131.0383,131.6978,1370262
2017-03-29,131.0777,131.373,130.4674,130.8316,358346
2017-03-30,130.3099,131.1023,130.2705,130.556,361085
2017-03-31,130.2016,131.1072,130.054,130.7233,535518
2017-04-03,130.2804,130.6741,129.1287,130.113,564319
2017-04-04,130.2311,130.6987,129.7892,130.6643,583991
2017-04-05,129.5421,129.9457,128.8727,128.981,557190
2017-04-06,128.9023,129.1877,128.5085,128.9318,370038
2017-04-07,128.4987,129.5913,128.4888,129.1287,546942
2017-04-10,128.5873,128.7448,127.6718,127.8785,1180769
2017-04-11,127.6127,127.8195,126.3035,127.7801,613167
2017-04-12,127.721,127.9376,126.2937,126.9926,485300
2017-04-13,126.9926,127.849,126.3331,126.3724,575560
2017-04-17,126.8745,128.2526,126.8745,128.1344,334820
2017-04-18,128.3412,128.9121,127.7702,128.6069,915742
2017-04-19,131.0285,131.6191,124.069,124.9057,3355654
2017-04-20,128.0655,128.7743,127.2682,128.0163,2259456
2017-04-21,128.3116,128.4494,127.6915,127.9966,1298962
2017-04-24,131.5403,132.19,130.6347,131.373,685108
2017-04-25,132.7905,132.8397,131.7667,132.1408,681262
2017-04-26,130.9596,131.3435,129.9358,130.3886,633555
2017-04-27,130.5855,131.7963,130.2813,130.871,453312
2017-04-28,132.1526,132.1923,130.6437,130.882,753436
2017-05-01,131.0805,132.0334,130.7529,131.8845,264226
2017-05-02,132.9963,134.0585,132.7482,133.9989,850731
2017-05-03,132.8276,133.9691,132.7581,133.1849,1008286
2017-05-04,132.768,134.396,132.7581,134.0684,871416
2017-05-05,133.6217,134.9221,133.4827,134.8427,481001
2017-05-08,132.5695,132.7928,132.093,132.2915,957787
2017-05-09,133.314,134.1577,133.2544,133.9691,438180
2017-05-10,133.0658,133.5125,132.5298,132.8176,703923
2017-05-11,132.2518,133.2842,131.8448,133.175,639901
2017-05-12,133.1254,134.4754,133.1154,134.4456,443293
2017-05-15,134.4158,135.1405,134.2173,134.7434,577490
2017-05-16,135.875,136.2622,135.4978,136.2522,729080
2017-05-17,134.664,134.9717,131.825,131.8349,645698
2017-05-18,131.6265,133.2941,131.3386,133.0162,689463
2017-05-19,134.0088,134.4357,133.5423,133.8599,619247
2017-05-22,132.9963,133.5324,132.6886,133.2246,548822
2017-05-23,133.6515,133.8202,132.7382,132.9268,687195
2017-05-24,132.9864,133.2941,132.1923,132.5099,938046
2017-05-25,132.5099,134.0287,132.5099,133.8996,457585
2017-05-26,132.8772,133.6118,132.5695,133.2147,731781
2017-05-30,132.0831,132.8276,132.0235,132.4305,1020211
2017-05-31,132.0831,132.361,130.6536,131.0209,1435978
2017-06-01,131.9242,132.8474,131.6463,132.8276,707652
2017-06-02,133.6316,133.8004,132.5695,133.711,334251
2017-06-05,131.9242,132.8474,131.8051,132.1823,519515
2017-06-06,131.3882,132.3412,131.3684,131.6463,614464
2017-06-07,132.8077,133.4728,132.1228,133.0062,413566
2017-06-08,133.5224,134.0982,132.6787,134.0188,312369
2017-06-09,133.2445,133.4629,127.7154,129.0753,1203946
2017-06-12,128.2713,128.6187,125.1047,128.1323,1941373
2017-06-13,130.2318,131.1202,129.393,130.9614,1374077
2017-06-14,131.4378,131.5768,128.0926,129.1944,857730
2017-06-15,126.9312,127.2091,126.0676,126.6433,1551767
2017-06-16,128.2514,129.1349,127.8295,128.6783,925298
2017-06-19,130.2268,130.8522,129.8198,130.4849,387954
2017-06-20,129.6709,130.0978,127.4871,127.5466,604063
2017-06-21,127.636,129.6709,127.5566,129.4724,710622
2017-06-22,129.3235,129.8297,128.7279,129.0654,660598
2017-06-23,131.964,134.4257,131.9242,133.6515,1276120
2017-06-26,134.8129,135.071,132.6787,132.7978,978350
2017-06-27,133.7309,133.9096,131.3187,131.3981,1783844
2017-06-28,132.2419,134.2868,131.5222,133.9989,773881
2017-06-29,131.6959,132.2022,127.4027,128.6485,1988535
2017-06-30,130.1474,130.5147,128.9264,129.3533,899490
2017-07-03,130.1375,130.3757,128.3805,128.718,427905
2017-07-05,128.5393,130.604,128.4897,130.5147,796398
2017-07-06,129.8297,130.8025,129.1448,130.2566,832023
2017-07-07,130.8621,132.5595,130.8621,131.9143,588912
2017-07-10,133.0162,134.0585,132.5298,133.8202,440027
2017-07-11,132.7184,135.061,132.6886,134.8228,1100884
2017-07-12,135.607,136.5401,135.2745,136.0339,841397
2017-07-13,135.7559,136.56,135.3688,135.8452,484268
2017-07-14,137.0265,139.0218,136.8776,138.8927,1164712
2017-07-17,139.389,139.7563,138.0787,139.1905,870023
2017-07-18,140.2427,142.3273,140.0938,142.1983,1252232
2017-07-19,147.5288,149.7126,146.8738,149.5241,2528756
2017-07-20,151.1223,153.2168,150.2487,152.6907,2971549
2017-07-21,151.966,153.2168,151.5292,153.1572,938449
2017-07-24,152.7502,153.3657,151.9362,152.6112,1272858
2017-07-25,153.2168,153.2465,151.4399,151.6087,974605
2017-07-26,151.8767,153.5642,151.7873,153.3954,768752
2017-07-27,153.7627,154.5866,150.3678,152.1149,1019396
2017-07-28,150.5862,151.7576,150.5366,151.4101,539053
2017-07-31,150.6259,151.2226,148.8094,149.2263,874730
2017-08-01,150.8344,150.9833,149.4645,149.8119,391582
2017-08-02,151.4498,151.7675,149.2064,149.9112,855206
2017-08-03,151.5392,151.7079,150.3479,151.0528,924664
2017-08-04,151.4895,151.9362,150.8344,151.8171,491180
2017-08-07,152.2241,153.5245,152.2142,153.2862,476133
2017-08-08,153.3458,154.0598,151.7873,152.0057,491419
2017-08-09,151.5392,152.6013,151.2314,152.4326,547136
2017-08-10,151.3406,151.3803,148.988,149.0774,844821
2017-08-11,148.2932,150.2289,147.8564,150.08,416941
2017-08-14,149.7524,152.1745,149.7325,151.4895,552581
2017-08-15,150.3381,151.5094,150.2289,151.3406,376849
2017-08-16,151.0825,152.9984,150.9237,152.5418,518955
2017-08-17,151.7377,152.0603,149.4943,149.5439,485999
2017-08-18,150.884,151.4895,149.8715,151.1421,688797
2017-08-21,151.0428,151.1815,149.8318,150.477,562571
2017-08-22,150.7848,153.6734,150.755,153.2366,839074
2017-08-23,152.7701,153.0679,152.0057,152.2737,532284
2017-08-24,152.1645,152.7657,151.5888,152.3234,400185
2017-08-25,152.6112,153.6635,152.4226,153.0877,535322
2017-08-28,152.5418,153.2267,152.2638,152.9885,261439
2017-08-29,152.502,154.3831,152.373,154.0109,575519
2017-08-30,152.7105,154.1598,152.2936,153.6734,834155
2017-08-31,153.7826,155.5197,153.455,155.1624,787636
2017-09-01,156.0061,156.4131,155.2319,156.1252,739695
2017-09-05,154.7653,155.3113,152.3383,153.6734,493383
2017-09-06,155.1624,156.1252,154.7355,155.3311,496424
2017-09-07,157.8425,159.7584,157.1576,159.679,1027833
2017-09-08,159.0734,159.9172,157.922,158.5473,659432
2017-09-11,159.9271,161.6841,159.7584,161.5849,698228
2017-09-12,160.6815,160.9099,159.6743,160.1654,439352
2017-09-13,159.4209,159.8179,158.8253,158.8948,613937
2017-09-14,159.5201,160.7014,159.1132,160.2448,525541
2017-09-15,161.843,161.9323,160.9595,161.2176,632294
2017-09-18,163.6,165.9823,163.461,165.764,1293984
2017-09-19,167.4018,167.4515,166.439,167.0544,992848
2017-09-20,166.6871,166.7665,162.5319,163.9772,990565
2017-09-21,164.3147,164.8805,162.9647,164.5529,1066002
2017-09-22,163.9871,165.2279,163.868,164.7415,303614
2017-09-25,163.6695,163.9772,159.9668,160.8205,849425
2017-09-26,160.4929,161.7238,159.7683,161.6643,1180758
2017-09-27,162.0018,166.6673,161.8727,165.7143,1253877
2017-09-28,167.0346,169.7445,166.9055,169.2383,1477730
2017-09-29,168.8511,170.2706,168.3747,169.943,1677090
2017-10-02,169.139,170.4989,168.5335,169.4467,585737
2017-10-03,169.2085,169.3772,168.3151,169.2085,454400
2017-10-04,168.7221,170.1714,168.2754,169.9331,861199
2017-10-05,168.3052,168.5732,166.6276,167.2827,422380
2017-10-06,166.7665,169.6601,166.4687,168.196,1224152
2017-10-09,168.2158,169.3971,168.057,168.8908,352911
2017-10-10,169.0199,169.9232,167.6798,169.9232,522316
2017-10-11,170.1019,171.7894,169.8239,171.6306,859053
2017-10-12,170.7967,173.606,170.6875,172.3354,1302029
2017-10-13,175.2736,175.5753,174.2909,175.0056,809522
2017-10-16,174.5192,175.3034,174.1221,175.2935,743193
2017-10-17,174.7177,175.3927,173.2089,175.0453,1055281
2017-10-18,174.549,174.678,167.382,170.4692,2715860
2017-10-19,172.7523,174.9957,172.1462,174.7277,1120103
2017-10-20,174.7177,174.9262,173.4074,173.9335,1091296
2017-10-23,176.6435,177.9637,175.9883,176.7626,1240673
2017-10-24,176.4996,177.1795,175.9486,177.12,614351
2017-10-25,177.1895,177.6659,174.4299,176.0578,560151
2017-10-26,176.2266,177.2292,175.5714,176.5144,428073
2017-10-27,176.9413,177.9439,175.8295,177.6163,703837
2017-10-30,176.981,177.527,175.9883,176.6236,1268261
2017-10-31,178.3409,179.6364,178.3112,179.4229,526466
2017-11-01,181.3388,181.6366,178.2218,180.0682,942043
2017-11-02,180.0086,181.1005,179.5619,180.9119,553712
2017-11-03,182.2024,183.2943,181.2445,183.2248,470231
2017-11-06,182.6292,184.0289,181.5869,183.5623,503206
2017-11-07,181.7755,182.6292,181.7259,182.1726,611828
2017-11-08,180.7134,181.448,179.8399,180.1774,677197
2017-11-09,177.1696,177.6659,174.9272,176.7031,685139
2017-11-10,177.3979,178.3806,176.8817,178.2814,692084
2017-11-13,176.7031,177.8645,176.4847,177.5369,415658
2017-11-14,178.5792,179.1549,177.3334,179.0159,382835
2017-11-15,176.5343,177.3784,175.2538,176.6038,494385
2017-11-16,178.3509,180.5843,178.1821,180.4553,1853691
2017-11-17,179.9391,180.0384,178.4501,179.006,554103
2017-11-20,178.6189,181.0211,178.47,180.1972,996713
2017-11-21,181.3288,184.0884,181.3288,184.009,846225
2017-11-22,183.5325,183.8303,181.0112,181.6564,527060
2017-11-24,184.148,185.0017,184.009,185.0017,311379
2017-11-27,184.4656,184.5748,183.195,183.3638,864477
2017-11-28,183.5127,183.6914,182.123,182.9369,788290
2017-11-29,181.1303,181.1799,170.8216,171.1739,2544837
2017-11-30,174.5688,175.2538,172.5041,174.2313,1584585
2017-12-01,172.7324,172.9434,169.953,171.164,1143284
2017-12-04,173.9038,174.0229,167.114,168.0868,1446152
2017-12-05,168.2952,171.71,167.4614,169.2482,737754
2017-12-06,168.0371,170.0919,167.0643,169.4169,869467
2017-12-07,169.1787,171.5611,169.1787,170.9059,989734
2017-12-08,172.5537,173.2585,170.5089,170.7173,487002
2017-12-11,171.2633,174.1221,170.9953,173.8442,1572068
2017-12-12,172.0276,172.3056,170.5386,170.896,1129584
2017-12-13,172.0773,173.2585,171.1144,172.0872,828923
2017-12-14,172.1269,173.0898,170.35,170.6478,935511
2017-12-15,170.6677,172.8615,169.5956,172.524,3118474
2017-12-18,174.1817,175.7501,173.6754,175.0751,1207853
2017-12-19,174.8468,176.1869,174.3207,175.7302,708746
2017-12-20,175.76,176.1819,173.2784,173.8839,528421
2017-12-21,174.4398,174.678,172.7672,173.2585,393445
2017-12-22,172.9806,174.1023,172.4346,173.9335,286025
2017-12-26,172.3751,172.4247,170.1217,171.8192,281368
2017-12-27,171.9284,173.4074,171.6504,172.7622,334756
2017-12-28,172.8317,173.4273,172.385,172.921,402134
2017-12-29,173.328,173.5861,172.4445,172.5438,195087
2018-01-02,172.8615,176.5343,172.7026,176.4251,818602
2018-01-03,176.4251,178.2615,176.3755,177.7652,1054850
2018-01-04,179.1648,180.4354,178.0828,179.4229,915869
2018-01-05,179.5123,182.1031,179.4229,181.5274,516070
2018-01-08,181.845,183.1057,181.4678,182.4803,763915
2018-01-09,182.7186,182.8178,179.9093,181.4976,854396
2018-01-10,180.0582,180.2171,178.0119,179.3832,669201
2018-01-11,178.7579,178.9068,176.6038,177.2391,831917
2018-01-12,179.7803,180.1376,178.6189,179.5421,710316
2018-01-16,186.3219,187.116,183.8998,185.0116,1518915
2018-01-17,193.5584,199.7228,193.3301,197.7176,2653357
2018-01-18,200.6956,204.0706,200.3283,201.8669,3618702
2018-01-19,203.7133,204.5173,201.6783,204.0111,1123103
2018-01-22,202.9986,204.0309,201.8075,204.0309,1002342
2018-01-23,202.9191,204.4081,202.5519,203.9217,559919
2018-01-24,202.0158,202.5122,198.9981,200.7651,670467
2018-01-25,205.6192,207.0486,199.1768,199.3555,1380191
2018-01-26,202.5419,205.1526,202.2342,204.9938,1069211
2018-01-29,202.8397,203.0879,200.4474,202.5221,1064510
2018-01-30,201.3706,201.9265,198.5614,198.7599,744903
2018-01-31,200.9041,202.1647,200.5179,201.4699,701847
2018-02-01,200.5963,201.9017,198.9386,199.9412,741503
2018-02-02,197.8764,198.0353,193.0422,193.1415,917344
2018-02-05,191.9205,195.1268,185.1903,185.3094,912604
2018-02-06,185.3193,192.868,184.4756,192.6848,2881188
2018-02-07,189.6969,190.1933,185.627,185.7759,1275462
2018-02-08,185.5079,185.9943,176.8917,178.5792,1767151
2018-02-09,180.7332,183.5524,174.5887,182.3215,2070909
2018-02-12,181.984,186.0142,181.7259,184.9719,1563418
2018-02-13,183.9197,184.8726,182.4803,183.88,496260
2018-02-14,182.3612,190.6697,182.2024,189.9352,930584
2018-02-15,191.7915,193.7668,189.5679,193.469,1125936
2018-02-16,191.444,193.8661,190.64,190.8186,738917
2018-02-20,190.5804,195.9408,190.5606,194.0845,764024
2018-02-21,195.2955,196.5264,192.8437,192.9826,703375
2018-02-22,194.2929,194.5907,191.1065,191.8709,796493
2018-02-23,192.526,195.643,192.2381,195.3749,741726
2018-02-26,198.6309,199.5243,196.9036,199.3654,1172167
2018-02-27,197.5191,199.0577,195.9904,195.9904,861135
2018-02-28,196.7647,197.2809,193.5633,193.9554,623664
2018-03-01,191.7418,193.479,187.6421,190.5208,901900
2018-03-02,189.1013,192.4565,187.7017,192.1488,695995
2018-03-05,193.2904,198.1246,192.9529,196.8937,730709
2018-03-06,198.5614,201.8967,197.8268,201.3507,1538988
2018-03-07,202.8794,204.9045,201.3507,204.5372,1308314
2018-03-08,205.4306,205.7085,202.8,203.5147,458351
2018-03-09,205.8773,208.349,205.4107,207.8725,645118
2018-03-12,209.3516,211.188,208.7758,209.7486,788773
2018-03-13,211.2078,212.0317,205.5993,206.4927,656860
2018-03-14,210.7909,210.91,207.7534,209.9769,733383
2018-03-15,212.7266,213.8979,211.188,212.8656,700532
2018-03-16,211.9722,213.0046,210.9994,212.4884,821954
2018-03-19,212.4288,212.5281,208.488,211.188,1063277
2018-03-20,209.0041,212.7266,208.9347,211.0391,790377
2018-03-21,211.5255,214.4141,210.7909,212.1608,465429
2018-03-22,208.5376,210.4633,202.9589,203.2169,1008317
2018-03-23,204.0111,204.7556,197.5687,197.6481,1148964
2018-03-26,203.5048,206.0063,200.6063,205.9269,776788
2018-03-27,205.6589,206.3935,197.4198,198.8195,681947
2018-03-28,196.04,197.6978,191.7617,193.1018,2776641
2018-03-29,194.4121,198.9485,193.3946,197.1022,1193191
2018-04-02,196.0202,197.6978,189.2304,191.6326,705154
2018-04-03,196.1492,198.6209,194.958,197.9658,1165627
2018-04-04,190.2528,196.854,190.0841,196.8044,1704940
2018-04-05,197.9757,199.4548,195.8216,197.2213,861228
2018-04-06,196.04,197.8119,192.5856,193.201,837891
2018-04-09,196.5562,201.0827,195.4444,197.0724,774051
2018-04-10,202.9191,205.5497,200.5169,204.0409,886008
2018-04-11,202.6412,205.1824,202.3831,204.0409,855456
2018-04-12,204.3585,205.7979,203.5644,204.7258,1044524
2018-04-13,204.3188,205.6281,203.3261,204.1401,526032
