date,open,high,low,close,volume
2017-01-03,166.3,169.66,165.82,168.3,2314669
2017-01-04,169.74,173.26,168.3,171.96,2033163
2017-01-05,172.65,177.84,172.5,177.47,2733032
2017-01-06,176.28,177.28,173.25,176.38,2254733
2017-01-09,178.0,179.72,176.82,177.16,1760353
2017-01-10,179.83,183.0,178.3,180.31,2922259
2017-01-11,179.57,180.18,176.8,179.32,1929935
2017-01-12,178.8,179.47,175.66,177.57,2680211
2017-01-13,178.0,178.71,176.36,176.48,1412152
2017-01-17,175.58,178.28,174.49,176.96,2073222
2017-01-18,178.59,180.78,174.73,176.54,2004995
2017-01-19,176.84,176.84,174.43,176.09,1430469
2017-01-20,175.3,176.455,173.13,173.44,2049233
2017-01-23,173.94,176.18,173.28,175.97,2100583
2017-01-24,177.7,179.0,175.5,176.05,1600396
2017-01-25,177.4,179.0,176.25,176.61,2123523
2017-01-26,177.65,177.67,174.65,174.95,2194244
2017-01-27,175.0,175.0,173.22,174.1,1575709
2017-01-30,173.16,174.97,171.72,174.72,1358907
2017-01-31,173.68,176.18,173.01,175.07,1325773
2017-02-01,176.73,176.73,172.55,173.82,1216389
2017-02-02,173.51,175.18,172.46,173.4,962577
2017-02-03,174.96,176.59,173.56,175.17,1578073
2017-02-06,175.79,179.0795,175.15,177.81,2320900
2017-02-07,179.58,179.6,176.75,178.17,1535153
2017-02-08,179.16,182.41,177.53,181.5,2114234
2017-02-09,181.23,183.46,181.06,181.5,1743656
2017-02-10,182.58,184.16,181.21,183.99,2149763
2017-02-13,184.5,185.44,183.33,184.31,2428530
2017-02-14,184.01,185.66,182.28,182.77,1932010
2017-02-15,183.65,185.14,182.81,183.58,1203410
2017-02-16,183.62,186.75,182.77,184.94,2301972
2017-02-17,183.92,185.21,183.33,185.17,1623035
2017-02-21,185.23,185.93,183.3122,185.62,3465443
2017-02-22,185.0,187.98,184.97,186.01,2698616
2017-02-23,187.89,188.54,183.9101,184.64,3812898
2017-02-24,181.0,181.75,173.91,175.17,7533961
2017-02-27,175.17,176.28,171.73,172.97,3521219
2017-02-28,172.8,175.9199,172.8,174.13,2391959
2017-03-01,176.44,176.79,175.13,175.33,1799147
2017-03-02,175.33,176.49,172.97,174.48,2108826
2017-03-03,174.53,175.705,173.28,173.79,1116088
2017-03-06,174.15,174.15,172.38,173.3,1223564
2017-03-07,172.77,174.0,171.24,173.74,1366521
2017-03-08,173.81,175.3,173.3,173.87,1228548
2017-03-09,174.03,175.2,172.94,173.32,1943441
2017-03-10,173.55,173.91,171.93,172.74,1802656
2017-03-13,172.89,174.11,172.5,173.25,1549438
2017-03-14,173.0,173.4999,172.01,172.84,1015521
2017-03-15,173.01,173.31,170.42,172.04,2651259
2017-03-16,173.54,177.55,173.4,176.57,4043595
2017-03-17,176.89,178.86,176.18,176.62,2017421
2017-03-20,177.1,177.86,174.59,176.13,1829136
2017-03-21,177.5,177.7,170.27,171.4,3351286
2017-03-22,169.82,169.82,167.75,169.56,3482635
2017-03-23,168.75,170.02,167.25,169.61,2847655
2017-03-24,170.39,170.47,167.85,168.26,2157618
2017-03-27,166.23,170.67,166.0,168.93,2047843
2017-03-28,168.93,170.67,168.58,169.79,2059211
2017-03-29,170.0,172.1,169.34,170.66,1510553
2017-03-30,171.71,172.62,171.17,172.36,2381167
2017-03-31,171.46,173.95,171.46,172.52,2537027
2017-04-03,173.0,175.9,173.0,175.0,2352436
2017-04-04,174.76,176.662,174.13,175.2,1899157
2017-04-05,175.35,176.31,172.46,172.92,2187201
2017-04-06,173.8,174.73,173.04,173.38,2057916
2017-04-07,173.68,173.94,171.17,172.44,1963451
