date,open,high,low,close,volume
2017-01-03,83.3,86.57,83.0,85.84,1298938
2017-01-04,86.96,87.52,85.51,86.87,1340560
2017-01-05,87.0,87.67,84.93,86.29,1083846
2017-01-06,87.19,87.97,86.13,86.85,776503
2017-01-09,89.79,92.2,87.51,91.03,2091598
2017-01-10,91.31,92.0,88.51,90.4,1146553
2017-01-11,89.84,90.37,84.66,86.07,2063706
2017-01-12,85.47,87.569,84.445,86.16,1309558
2017-01-13,86.16,88.1299,85.91,86.92,1037735
2017-01-17,86.34,86.545,84.43,85.21,1167409
2017-01-18,86.19,87.25,85.69,87.16,944658
2017-01-19,86.9,87.34,85.88,86.15,875623
2017-01-20,86.7,87.5,84.36,84.62,1030818
2017-01-23,84.62,85.41,82.99,83.3,750495
2017-01-24,83.27,84.42,82.57,84.34,838504
2017-01-25,84.44,84.98,83.46,83.85,1116101
2017-01-26,84.0,85.48,83.88,85.28,1198818
2017-01-27,85.99,87.0,85.31,86.56,964701
2017-01-30,86.49,86.89,84.38,85.54,868872
2017-01-31,84.9,88.1,84.0,87.63,1129571
2017-02-01,87.79,89.1467,87.445,88.59,1267894
2017-02-02,88.5,89.01,87.375,88.38,1008783
2017-02-03,89.23,89.81,88.32,88.81,954550
2017-02-06,88.57,88.94,87.98,88.74,893323
2017-02-07,90.0,90.2,88.12,88.91,857292
2017-02-08,88.7,91.23,87.8305,90.9,1050754
2017-02-09,90.89,92.19,90.62,91.15,810037
2017-02-10,91.23,91.27,89.37,90.13,617451
2017-02-13,90.33,90.94,90.03,90.89,486325
2017-02-14,90.46,91.6,90.09,91.19,787167
2017-02-15,91.39,91.74,90.15,91.48,1037528
2017-02-16,91.77,92.42,89.87,90.53,1706495
2017-02-17,90.5,91.29,89.2,89.87,1290223
2017-02-21,90.24,90.4512,89.42,90.24,1344772
2017-02-22,90.46,90.96,89.69,89.79,960492
2017-02-23,89.76,90.62,88.87,89.29,1175190
2017-02-24,87.99,88.82,85.88,87.51,2390386
2017-02-27,87.26,91.74,87.26,91.62,1340772
2017-02-28,91.6,94.05,91.21,93.93,2354269
2017-03-01,94.5,95.48,92.84,93.81,1974119
2017-03-02,93.5,95.79,93.02,93.42,1229117
2017-03-03,93.19,94.28,91.82,93.95,927901
2017-03-06,93.32,93.91,91.76,91.9,926075
2017-03-07,90.56,91.6934,89.04,89.23,1070413
2017-03-08,89.24,90.7,89.0,90.4,940949
2017-03-09,90.18,91.16,89.79,90.96,537230
2017-03-10,91.09,92.6,90.57,92.53,874656
2017-03-13,92.68,93.4599,91.9,93.12,759471
2017-03-14,92.77,92.77,90.7,91.65,710356
2017-03-15,91.42,92.6,90.93,92.5,893480
2017-03-16,92.77,93.16,90.18,90.96,1798659
2017-03-17,91.07,91.4,89.8,90.9,1003472
2017-03-20,90.97,91.05,89.44,90.0,890847
2017-03-21,90.19,90.4999,86.86,87.03,1120126
2017-03-22,87.28,88.0,86.28,87.42,991890
2017-03-23,87.31,87.9,86.69,86.84,792355
2017-03-24,87.52,87.93,86.82,87.37,1121370
2017-03-27,86.83,88.36,86.71,88.23,679753
2017-03-28,88.18,89.59,88.0,89.1,919604
2017-03-29,89.15,89.85,89.01,89.58,690076
2017-03-30,89.76,89.77,87.2,89.12,978825
2017-03-31,88.93,89.0699,87.64,87.78,974250
2017-04-03,87.56,88.69,86.55,86.62,1052972
2017-04-04,86.63,87.27,85.49,86.03,998141
2017-04-05,86.25,87.04,85.8,86.12,1227817
2017-04-06,85.45,86.96,85.45,86.89,1250066
2017-04-07,86.93,88.3,86.6,87.95,942487
2017-04-10,87.64,88.96,87.335,88.23,983126
2017-04-11,88.59,88.88,87.61,88.53,726038
2017-04-12,88.94,89.19,87.84,88.38,741799
2017-04-13,88.72,90.5,87.78,89.91,857272
2017-04-17,89.91,90.99,89.39,90.7,559294
2017-04-18,92.45,92.45,90.06,90.95,940783
2017-04-19,91.21,91.695,89.8,90.17,868878
2017-04-20,90.61,90.89,89.45,90.23,825515
2017-04-21,90.31,90.31,87.38,88.47,1456569
2017-04-24,90.48,94.94,90.24,93.52,3006366
2017-04-25,94.0,94.93,92.69,94.19,1366459
2017-04-26,94.65,96.21,93.955,96.07,1368444
2017-04-27,95.72,98.95,95.01,96.26,2471293
2017-04-28,96.93,97.0,95.0,95.84,1240163
2017-05-01,96.03,97.79,95.7191,97.61,948914
2017-05-02,96.74,97.6,95.1548,95.93,1152158
2017-05-03,96.0,96.49,94.76,95.95,1053168
2017-05-04,96.36,98.0,95.97,97.78,1250717
2017-05-05,99.0,100.51,94.05,94.23,2403010
2017-05-08,93.17,94.35,90.36,90.72,1914766
2017-05-09,90.8,91.49,90.09,91.15,1264957
2017-05-10,91.12,91.12,89.67,90.02,750843
2017-05-11,90.0,90.22,88.36,89.31,750939
2017-05-12,89.23,90.46,88.81,89.85,734791
2017-05-15,89.62,92.01,89.55,91.5,1992498
2017-05-16,91.5,92.94,90.88,92.45,930597
2017-05-17,91.73,92.49,89.61,89.77,709769
2017-05-18,90.19,91.26,89.06,89.99,1192983
2017-05-19,90.89,90.9,89.15,89.23,700160
2017-05-22,89.27,90.726,88.81,90.49,731641
2017-05-23,90.71,90.71,88.14,88.36,881456
2017-05-24,88.38,88.54,87.15,88.03,1336637
2017-05-25,89.15,89.15,87.15,87.33,835481
2017-05-26,87.65,88.65,87.65,88.0,933838
2017-05-30,88.18,88.51,87.5,87.89,869331
