date,open,high,low,close,volume
2017-01-03,84.73,85.24,84.014,84.57,1318079
2017-01-04,84.52,85.2701,84.0,84.92,1896696
2017-01-05,84.68,86.73,84.6,86.66,1144867
2017-01-06,86.66,87.75,85.61,87.24,1876180
2017-01-09,87.33,87.64,86.895,87.2,1104937
2017-01-10,87.19,88.9284,87.05,88.21,1681453
2017-01-11,88.48,89.27,88.28,88.49,2276146
2017-01-12,88.35,89.25,87.7,89.19,1131071
2017-01-13,89.46,92.23,89.43,90.71,3289086
2017-01-17,90.57,90.89,89.82,90.39,1588644
2017-01-18,90.9,90.9,88.91,89.61,2929728
2017-01-19,95.0,97.92,94.5,96.34,7119767
2017-01-20,96.99,97.89,96.3,97.79,2354085
2017-01-23,97.27,98.25,96.64,97.79,1941583
2017-01-24,98.07,99.36,97.36,98.89,2012990
2017-01-25,99.74,99.74,96.25,96.63,2345616
2017-01-26,96.6,98.49,96.6,98.15,1555187
2017-01-27,98.0,99.69,97.5,99.46,2338333
2017-01-30,99.21,99.21,97.74,98.45,1345603
2017-01-31,98.54,99.38,98.24,98.77,1059399
2017-02-01,98.56,98.86,97.31,97.91,1281962
2017-02-02,97.33,98.71,97.26,98.43,972488
2017-02-03,98.69,99.57,98.202,99.4,1399580
2017-02-06,98.82,99.27,98.3,98.96,1661492
2017-02-07,100.52,100.87,99.13,100.27,2215108
2017-02-08,100.45,100.63,98.98,99.56,1521362
2017-02-09,99.68,100.525,99.58,100.45,1378837
2017-02-10,100.25,101.63,100.15,101.19,1057629
2017-02-13,101.77,101.77,100.272,100.94,782946
2017-02-14,100.38,101.47,100.3,100.97,678287
2017-02-15,101.0,101.31,100.3,100.85,1107626
2017-02-16,100.7,101.35,100.6,101.0,869555
2017-02-17,100.57,101.73,100.17,101.21,922119
2017-02-21,101.31,101.36,100.43,101.11,1535617
2017-02-22,101.12,101.32,100.53,100.56,783096
2017-02-23,100.94,101.06,99.7,99.81,1324437
2017-02-24,99.2,99.76,98.51,99.45,1773646
2017-02-27,99.53,99.95,98.25,99.22,1385847
2017-02-28,99.2,99.43,98.59,98.91,1005374
2017-03-01,98.98,99.915,98.25,99.34,1299183
2017-03-02,99.56,99.57,98.76,99.17,950521
2017-03-03,99.2,99.76,98.8,99.36,873540
2017-03-06,98.84,99.555,98.6,98.96,692509
2017-03-07,98.63,99.49,98.54,98.68,738033
2017-03-08,98.59,100.08,98.5,99.8,909426
2017-03-09,99.65,99.78,98.52,98.8,762897
2017-03-10,99.41,100.0393,98.86,99.92,732527
2017-03-13,99.97,100.46,99.64,100.4,815233
2017-03-14,99.9,100.395,99.47,99.54,698717
2017-03-15,99.47,100.85,99.33,100.73,644783
2017-03-16,100.9,102.13,100.51,101.92,1228347
2017-03-17,102.09,102.24,101.27,101.42,1330723
2017-03-20,101.61,102.05,101.3,101.69,836562
2017-03-21,101.8,102.05,101.06,101.11,1366208
2017-03-22,100.95,103.25,100.6776,102.84,1344474
2017-03-23,102.8,103.93,102.43,103.4,1129462
2017-03-24,103.87,104.35,103.15,103.38,1164260
2017-03-27,102.56,103.99,102.15,103.71,858628
2017-03-28,103.89,104.2,103.36,103.79,880850
2017-03-29,103.66,104.2,103.0,103.42,708184
2017-03-30,103.4,103.99,102.92,103.12,526512
2017-03-31,102.98,103.08,102.45,102.66,950799
2017-04-03,102.74,103.305,102.17,103.21,1530593
2017-04-04,103.01,103.5,102.71,102.8,474299
2017-04-05,103.14,103.755,102.6034,102.87,738394
2017-04-06,102.93,103.16,102.28,102.6,620841
2017-04-07,102.85,103.35,102.55,103.16,561804
2017-04-10,103.23,103.62,102.88,103.3,485071
2017-04-11,103.35,103.63,102.1801,103.36,489554
2017-04-12,103.94,104.41,103.54,104.0,946626
2017-04-13,103.85,104.64,103.2605,103.53,888785
2017-04-17,103.35,104.06,102.87,103.1,1253959
2017-04-18,104.45,104.45,102.27,102.47,1625976
2017-04-19,102.91,103.01,102.5,102.82,1127040
2017-04-20,102.87,102.925,102.06,102.64,778083
2017-04-21,103.1,103.54,102.72,103.41,1035638
2017-04-24,104.87,105.725,103.45,104.38,1041587
2017-04-25,104.7,105.71,104.56,105.36,914461
2017-04-26,105.01,105.35,103.78,104.22,2060751
2017-04-27,103.0,105.2,102.0,104.39,1603395
2017-04-28,105.19,105.48,103.11,104.01,1121975
2017-05-01,104.04,104.39,103.4,103.81,1232444
2017-05-02,104.11,105.04,103.7,104.44,747236
2017-05-03,104.7,104.82,104.05,104.38,671444
2017-05-04,104.87,106.28,104.6,106.25,909872
2017-05-05,106.1,106.37,105.29,106.0,720353
2017-05-08,105.67,106.375,105.5,106.32,735680
2017-05-09,106.18,106.33,106.0,106.04,656591
2017-05-10,106.04,106.21,105.62,106.05,707405
2017-05-11,105.57,106.32,105.2,105.72,633570
2017-05-12,106.01,107.61,105.76,107.6,963293
2017-05-15,110.5,110.86,108.26,110.36,2616970
2017-05-16,110.84,111.24,109.625,110.47,1180779
2017-05-17,109.86,110.3,108.3,108.38,971472
2017-05-18,108.37,109.16,107.39,108.69,838537
2017-05-19,108.65,109.16,108.24,108.43,871831
2017-05-22,108.59,109.85,108.59,109.57,695745
2017-05-23,109.88,110.29,109.01,109.62,675854
2017-05-24,109.85,110.02,109.38,109.95,864470
2017-05-25,110.21,112.04,110.21,111.4,873259
2017-05-26,111.16,111.87,110.78,111.21,642615
2017-05-30,111.3,112.17,110.8,111.42,1469886
2017-05-31,112.0,112.83,110.675,112.05,2068720
2017-06-01,112.35,112.57,110.57,111.59,1626585
2017-06-02,112.13,113.3199,112.0,112.86,961366
2017-06-05,113.92,114.02,112.85,113.47,630082
2017-06-06,113.53,114.0364,113.2,113.71,849442
2017-06-07,114.42,115.13,113.71,114.95,1076865
2017-06-08,115.36,115.87,114.15,115.47,722539
2017-06-09,115.26,115.55,109.45,110.8,1338728
2017-06-12,110.16,110.3,107.26,109.66,1865095
2017-06-13,110.03,111.07,109.68,111.06,947851
2017-06-14,111.62,112.32,110.08,111.09,1009358
2017-06-15,109.98,110.5,109.05,110.18,690771
2017-06-16,110.07,110.71,109.4,110.0,1384208
2017-06-19,110.51,111.925,110.44,111.77,759532
2017-06-20,111.91,112.51,111.12,111.17,760483
2017-06-21,111.35,112.82,111.0,112.57,837318
2017-06-22,113.2,113.83,112.08,113.51,1365889
2017-06-23,113.24,114.28,112.66,113.95,895430
2017-06-26,114.62,114.84,112.36,112.57,752918
2017-06-27,112.35,112.54,110.44,111.22,1026155
2017-06-28,111.8,112.48,111.3,112.4,969422
2017-06-29,111.87,112.1199,108.8,109.59,967056
2017-06-30,110.26,110.37,109.03,109.08,1019660
2017-07-03,109.2,110.26,108.07,108.1,574183
2017-07-05,109.5,110.83,108.94,110.34,962481
2017-07-06,109.48,110.14,108.7,109.86,941974
2017-07-07,109.21,112.1277,109.21,111.44,895400
2017-07-10,111.68,112.93,111.37,111.85,859730
2017-07-11,112.04,113.17,111.69,113.03,987096
2017-07-12,113.95,114.79,113.5,114.49,872070
2017-07-13,114.51,114.625,113.51,114.01,658311
2017-07-14,113.84,114.38,113.34,114.08,866106
2017-07-17,113.96,114.37,113.07,114.32,601153
2017-07-18,114.52,114.71,113.41,114.65,1004563
