date,open,high,low,close,volume
2017-01-03,290.24,291.44,282.54,285.77,1697792
2017-01-04,286.98,292.08,284.23,291.55,1632480
2017-01-05,289.75,297.13,289.73,296.17,1711872
2017-01-06,296.12,298.79,294.46,298.16,1101253
2017-01-09,297.2,297.94,294.71,296.26,1719599
2017-01-10,296.66,300.15,293.46,298.2,1510062
2017-01-11,297.45,300.04,296.1,299.54,1237962
2017-01-12,298.05,298.235,294.56,297.19,1415481
2017-01-13,297.31,300.07,296.89,298.43,1023551
2017-01-17,294.02,306.37,292.84,306.14,3908041
2017-01-18,306.15,307.32,302.09,303.69,1220621
2017-01-19,302.93,307.76,301.28,306.13,1140409
2017-01-20,307.64,309.18,306.16,308.44,1327003
2017-01-23,307.2,309.85,306.17,308.7,1763048
2017-01-24,309.74,310.21,307.0101,308.35,1058864
2017-01-25,309.15,311.2,307.16,310.31,1120498
2017-01-26,333.37,341.5,324.81,333.15,12359709
2017-01-27,332.92,334.1219,316.96,323.55,2748909
2017-01-30,323.48,325.26,316.99,324.8,2104052
2017-01-31,322.65,325.27,321.03,323.95,1005911
2017-02-01,323.85,327.0099,321.94,326.85,944235
2017-02-02,325.64,326.84,324.19,324.41,842630
2017-02-03,325.43,329.1,324.12,328.71,1105797
2017-02-06,327.83,328.28,319.18,322.6,2395678
2017-02-07,322.98,325.39,321.33,323.37,1892097
2017-02-08,323.55,327.5,323.2,325.73,982675
2017-02-09,325.84,326.46,321.24,325.07,1224596
2017-02-10,325.07,325.98,321.61,324.56,1035139
2017-02-13,325.0,325.12,319.4,323.02,1708519
2017-02-14,321.91,323.78,320.26,322.0,1091534
2017-02-15,321.85,326.18,320.02,325.18,1380220
2017-02-16,320.0,327.33,317.02,324.46,2050804
2017-02-17,323.87,327.1,319.72,326.55,1532231
2017-02-21,324.3,326.97,321.51,325.15,1283794
2017-02-22,323.3,326.12,322.46,325.14,1475398
2017-02-23,326.09,326.1,321.17,324.43,1530162
2017-02-24,324.38,327.31,322.72,326.75,1160153
2017-02-27,326.92,328.7,324.91,326.73,918701
2017-02-28,326.03,326.78,320.25,323.06,1292888
2017-03-01,325.76,328.1,321.66,325.17,1492977
2017-03-02,324.68,324.68,321.83,323.95,897024
2017-03-03,323.57,323.57,320.51,322.32,1130975
2017-03-06,321.26,324.54,319.45,323.77,765471
2017-03-07,323.91,327.04,322.36,323.24,1093502
2017-03-08,323.17,325.08,321.675,322.6,1030004
2017-03-09,322.87,326.1,321.43,323.14,921449
2017-03-10,325.57,325.81,322.74,323.48,729054
2017-03-13,323.19,325.56,323.0,324.34,732495
2017-03-14,323.69,326.16,323.63,324.64,551632
2017-03-15,324.84,326.892,323.82,325.38,1124998
2017-03-16,324.69,326.8199,323.34,323.72,724981
2017-03-17,324.95,326.27,322.48,325.81,1450970
2017-03-20,326.06,326.31,322.43,324.99,752794
2017-03-21,325.23,326.27,319.98,320.66,801099
2017-03-22,321.44,322.26,318.93,321.2,803912
2017-03-23,320.5,326.75,319.5,323.62,1001453
2017-03-24,324.94,327.74,323.64,325.35,1442045
2017-03-27,323.74,325.76,319.61,323.14,1168924
2017-03-28,322.05,325.73,320.595,324.08,1190400
2017-03-29,323.9,327.115,323.28,325.94,810841
2017-03-30,325.13,328.55,322.575,328.12,850636
2017-03-31,326.73,330.91,326.03,327.32,1050238
2017-04-03,327.5,330.81,325.02,328.27,1121558
2017-04-04,328.4,334.0,326.96,331.52,1618863
2017-04-05,332.21,338.75,329.55,331.99,1535056
2017-04-06,331.75,336.96,330.55,336.8,1638123
2017-04-07,337.67,338.51,330.55,330.65,1494521
2017-04-10,330.45,333.15,329.56,331.37,965591
2017-04-11,330.42,332.66,328.0,332.3,877273
2017-04-12,331.01,335.69,330.54,334.57,1061588
2017-04-13,335.28,335.7,329.65,330.0,705184
2017-04-17,331.73,332.71,329.08,330.36,730304
2017-04-18,329.62,331.0,325.95,328.18,1392556
2017-04-19,330.01,335.96,328.31,333.61,1011041
2017-04-20,335.28,337.05,333.18,335.59,887984
2017-04-21,336.44,339.64,335.74,338.48,1092173
2017-04-24,340.03,342.1417,338.74,340.36,1138235
2017-04-25,341.98,345.3,340.89,344.5,1405590
2017-04-26,345.51,350.38,344.85,345.4,1495368
2017-04-27,346.1,350.35,346.1,348.8,865528
2017-04-28,349.83,349.99,342.78,345.16,1251677
2017-05-01,346.29,347.25,341.87,344.14,1528264
2017-05-02,338.89,340.13,333.2,337.69,2490997
2017-05-03,335.4,337.48,321.435,324.49,4124340
2017-05-04,324.89,327.4,322.25,322.6,1782282
2017-05-05,324.61,334.87,324.51,334.78,1988962
2017-05-08,329.52,331.0,321.72,323.81,3222049
2017-05-09,323.3,327.83,320.12,325.52,1476522
2017-05-10,324.53,327.18,323.09,325.58,940339
2017-05-11,325.28,327.12,323.2,324.61,1071121
2017-05-12,324.8,326.6,321.8,322.0,1523690
2017-05-15,322.24,324.3,320.631,321.07,1944126
2017-05-16,322.36,324.05,319.21,320.01,1459293
2017-05-17,319.14,320.36,312.49,313.11,2390074
2017-05-18,314.16,317.87,312.56,315.88,1797353
2017-05-19,315.01,318.4,313.92,315.78,1920804
2017-05-22,315.78,318.51,315.52,316.42,1841655
2017-05-23,317.34,320.48,314.5,318.79,1444073
2017-05-24,320.2,332.28,318.3006,329.04,1900052
2017-05-25,329.59,336.28,329.0,333.76,2180025
2017-05-26,334.38,338.91,333.01,337.44,926728
2017-05-30,336.49,340.0,334.85,338.92,1062379
2017-05-31,340.0,345.85,338.73,345.55,2012018
2017-06-01,346.5,354.05,339.465,346.39,2390020
2017-06-02,348.11,353.37,347.5,353.03,1586335
2017-06-05,355.0,355.0,343.72,344.43,1478954
2017-06-06,344.46,345.52,341.71,342.83,1042019
2017-06-07,343.66,347.01,341.64,345.88,966002
2017-06-08,344.9,345.24,333.38,337.45,1990826
2017-06-09,338.51,340.125,329.97,332.84,1442806
2017-06-12,330.9,339.24,329.0418,338.65,1395664
2017-06-13,335.99,344.22,335.99,341.81,1106276
2017-06-14,342.83,344.17,336.13,338.33,1276585
2017-06-15,336.81,340.57,333.5,338.34,1318677
2017-06-16,337.18,340.99,331.08,340.22,2406080
2017-06-19,342.0,345.19,339.97,340.26,1883721
2017-06-20,337.95,339.93,329.43,333.61,2161121
2017-06-21,333.85,335.505,332.25,333.88,1045865
2017-06-22,333.93,340.235,333.54,334.13,1116002
2017-06-23,334.79,335.43,326.4,330.8,3100580
2017-06-26,331.68,333.64,330.17,332.65,941893
2017-06-27,330.75,332.2939,327.14,329.87,1448187
2017-06-28,330.56,340.95,329.24,340.3,1513322
2017-06-29,339.38,340.185,332.13,335.74,2025164
2017-06-30,338.29,338.41,332.4,336.85,1394645
2017-07-03,338.26,339.45,328.65,328.67,793720
2017-07-05,329.23,335.24,328.8,335.11,1341912
2017-07-06,334.01,335.52,331.06,332.18,1251939
2017-07-07,332.08,334.43,330.58,332.43,870484
2017-07-10,333.13,338.4,332.1,336.6,1015974
2017-07-11,337.12,339.85,334.44,337.85,953620
2017-07-12,340.79,344.83,339.045,342.65,1071590
2017-07-13,343.07,343.23,338.0,339.04,930153
2017-07-14,340.8,344.51,335.79,342.8,1085969
2017-07-17,342.09,345.28,341.95,342.31,967082
2017-07-18,340.98,345.42,338.4,344.63,895173
2017-07-19,345.02,347.26,342.97,346.61,1256276
2017-07-20,346.47,349.67,344.315,345.3,1244759
2017-07-21,345.3,351.87,345.3,350.07,1340981
2017-07-24,349.79,350.43,345.2501,348.08,1473727
2017-07-25,349.47,350.885,346.5757,348.0,881657
2017-07-26,348.8,351.68,346.03,348.77,2265786
2017-07-27,354.0,370.96,353.02,366.9,3552388
2017-07-28,365.39,372.3655,361.0,370.26,1600282
2017-07-31,399.42,399.95,385.36,391.91,6272653
2017-08-01,392.84,392.965,383.726,387.42,2274005
2017-08-02,386.39,388.25,381.7,385.54,1370412
2017-08-03,384.54,387.41,383.29,384.3,1006645
2017-08-04,385.0,386.0,380.56,384.63,698514
2017-08-07,384.65,386.45,380.77,381.02,1309008
2017-08-08,380.02,393.24,378.2569,389.75,1913093
2017-08-09,387.89,408.83,386.38,400.9,3978134
2017-08-10,398.69,404.06,396.72,398.68,2069989
2017-08-11,400.08,402.45,392.6,394.49,2399848
2017-08-14,398.78,405.33,397.0,401.08,2439869
2017-08-15,401.05,403.36,395.92,397.73,2258066
2017-08-16,399.35,402.49,397.1801,400.78,1727324
2017-08-17,401.0,401.65,393.17,393.36,1595960
2017-08-18,391.53,396.27,390.71,392.97,1304255
2017-08-21,392.75,396.9,391.38,396.45,970803
2017-08-22,398.15,399.99,395.0,397.05,994184
2017-08-23,396.29,396.29,390.26,390.33,1280580
2017-08-24,390.09,391.53,384.24,389.23,1401056
2017-08-25,391.42,392.53,387.51,388.79,758648
2017-08-28,390.88,391.2,385.94,389.23,988045
2017-08-29,386.6,390.17,385.56,388.82,1118780
2017-08-30,388.22,395.16,388.22,393.37,953889
2017-08-31,394.54,398.8811,392.66,398.54,1921821
2017-09-01,398.93,399.34,391.87,392.48,1240566
2017-09-05,392.26,395.68,388.01,393.32,1189306
2017-09-06,393.58,403.65,389.295,402.5,1664541
2017-09-07,404.04,404.72,387.89,395.64,2802025
2017-09-08,394.63,395.6,387.0,392.9,2141667
2017-09-11,394.93,397.39,380.69,381.01,2090660
2017-09-12,380.92,386.16,374.7,381.57,2719881
2017-09-13,381.48,386.0,379.48,385.13,1616688
2017-09-14,382.17,384.76,375.76,376.0,2338034
2017-09-15,375.91,377.41,367.69,369.47,5270018
2017-09-18,370.2,371.51,365.9,368.17,1870865
2017-09-19,368.39,369.84,360.43,364.02,3302164
2017-09-20,365.99,371.5,363.5,367.01,2156826
2017-09-21,365.88,366.4,359.093,361.08,2374202
2017-09-22,359.54,363.33,358.75,360.3,2078451
2017-09-25,358.24,360.04,356.11,357.58,1773023
2017-09-26,359.51,361.01,356.58,359.04,2090921
2017-09-27,359.59,365.5,356.875,362.85,2280071
2017-09-28,359.5,362.54,357.26,360.95,1198951
2017-09-29,359.77,365.01,357.68,363.42,1317440
2017-10-02,364.52,366.52,362.87,364.11,1295181
2017-10-03,363.94,370.25,363.23,369.51,1272032
2017-10-04,368.61,371.7583,367.6,371.09,920374
2017-10-05,371.54,374.99,369.51,369.72,1801631
2017-10-06,370.42,370.85,366.6,367.4,1238972
2017-10-09,368.1,368.69,364.64,366.05,1241484
2017-10-10,365.99,368.16,362.86,364.92,1111015
2017-10-11,364.06,366.97,361.03,365.12,1432621
2017-10-12,363.0,363.0,352.51,355.71,2582612
2017-10-13,354.62,360.22,347.54,357.4,2710259
2017-10-16,358.06,362.78,357.61,362.6,1144270
2017-10-17,362.59,362.59,356.685,357.84,1178036
2017-10-18,357.04,357.5,350.76,352.07,1326746
2017-10-19,351.52,353.59,348.43,351.67,2007014
2017-10-20,353.84,355.4999,350.24,350.76,1317407
2017-10-23,350.15,351.02,344.155,345.07,1831874
2017-10-24,345.0,345.23,339.53,340.26,2176487
2017-10-25,338.69,345.51,336.57,344.91,3518363
2017-10-26,322.0,328.0856,312.41,316.29,8927655
2017-10-27,314.83,321.91,308.3,319.76,3539039
2017-10-30,318.47,329.7202,316.76,323.98,3404061
2017-10-31,324.34,339.42,321.82,334.17,3727421
2017-11-01,335.62,340.74,335.465,338.22,2324198
2017-11-02,341.32,341.67,334.65,337.66,2074841
2017-11-03,334.59,340.58,328.0,335.43,2226149
2017-11-06,338.0,361.28,336.63,348.4,3956652
2017-11-07,350.04,353.99,342.29,343.01,1721025
2017-11-08,342.58,343.84,335.5124,337.9,1372574
2017-11-09,335.79,342.34,333.055,341.2,1364222
2017-11-10,338.49,343.4,337.21,338.44,870133
2017-11-13,338.5,343.91,337.065,343.72,908984
2017-11-14,341.3,344.0,333.97,336.81,1452275
2017-11-15,337.33,337.66,330.5,334.22,1937529
2017-11-16,333.94,340.92,328.5,340.63,1513190
2017-11-17,341.38,349.54,338.955,341.54,1250464
2017-11-20,341.0,348.38,337.96,338.37,2286872
2017-11-21,339.24,344.85,337.64,338.42,1952084
2017-11-22,337.84,339.49,332.44,334.27,961096
2017-11-24,333.64,335.44,326.2,328.98,769024
2017-11-27,327.69,327.69,319.5,321.84,2092355
2017-11-28,321.95,327.965,317.93,325.89,2749801
2017-11-29,326.6,332.015,324.19,331.67,2320815
2017-11-30,328.35,330.91,320.995,326.21,4063661
2017-12-01,321.94,340.55,321.94,336.27,2168126
2017-12-04,330.2,347.48,329.1918,334.0,2629759
2017-12-05,333.27,338.92,330.46,330.95,1529683
2017-12-06,330.96,334.67,321.35,322.64,1536710
2017-12-07,322.0,330.44,320.65,325.22,2064063
2017-12-08,327.82,329.46,320.7,324.5,2024956
2017-12-11,326.79,332.99,323.84,331.49,2022227
2017-12-12,332.07,332.99,326.6,329.99,1966085
2017-12-13,331.35,334.15,323.77,329.0,2059077
2017-12-14,328.56,330.92,323.39,328.68,1603684
2017-12-15,331.98,331.98,321.31,322.31,3537952
2017-12-18,324.47,326.99,321.55,323.23,1985493
2017-12-19,322.65,324.34,316.43,316.97,1726273
2017-12-20,317.06,317.28,312.53,316.38,1949744
2017-12-21,317.86,336.83,316.78,332.94,1866449
2017-12-22,331.49,341.11,331.49,338.2,1460343
2017-12-26,336.84,340.5,336.1,340.4,1123774
2017-12-27,341.4,341.5,332.31,333.25,2044745
2017-12-28,334.45,339.775,333.0,338.03,764615
2017-12-29,335.14,342.02,333.82,335.96,846786
2018-01-02,338.43,352.82,337.77,348.97,2789254
2018-01-03,354.06,364.38,349.59,353.03,2500770
2018-01-04,356.75,358.0,346.97,349.79,1176448
2018-01-05,352.02,354.4,349.08,350.88,1960497
2018-01-08,354.47,360.19,351.63,356.55,1485897
2018-01-09,356.66,358.77,354.15,354.76,938935
2018-01-10,354.02,356.46,347.53,350.83,1092374
2018-01-11,350.28,356.19,348.32,355.27,1191089
2018-01-12,357.39,359.56,353.08,354.0,644642
2018-01-16,352.18,356.54,349.8692,352.93,1112560
2018-01-17,358.59,359.99,352.065,357.84,1119462
2018-01-18,356.49,365.25,356.49,365.25,1534564
2018-01-19,366.73,370.0,362.8,366.05,1453378
2018-01-22,366.37,371.0,366.0,370.25,1821955
2018-01-23,367.81,372.0,366.16,369.25,1043114
2018-01-24,370.45,377.06,367.27,376.18,1758310
2018-01-25,376.23,378.38,371.7,375.14,981775
2018-01-26,375.83,378.14,374.31,377.0,1228545
2018-01-29,375.24,376.615,370.71,374.5,925630
2018-01-30,376.37,377.98,371.84,376.57,1241633
2018-01-31,374.81,379.325,373.21,377.25,2152768
2018-02-01,376.11,380.255,371.14,371.18,1928171
2018-02-02,380.0,396.64,375.495,387.5,4374876
2018-02-05,391.6,395.0,371.47,372.57,2872626
2018-02-06,366.08,370.96,360.1221,369.75,4492123
2018-02-07,367.11,370.52,360.061,363.55,1554983
2018-02-08,362.1,363.04,346.13,348.65,1769875
2018-02-09,351.41,355.56,343.15,349.43,1908166
2018-02-12,350.26,360.38,350.0,357.88,855081
2018-02-13,354.46,357.49,353.41,355.68,772400
2018-02-14,354.06,359.285,352.0123,358.94,915515
2018-02-15,359.29,365.92,355.63,363.67,1096707
2018-02-16,364.03,370.09,361.49,365.66,751952
2018-02-20,364.98,365.23,358.67,358.77,803193
2018-02-21,359.34,367.38,356.5055,360.97,878277
2018-02-22,361.02,365.26,355.02,356.75,601081
2018-02-23,359.73,368.09,356.27,365.06,613542
2018-02-26,365.32,368.37,357.29,358.02,770171
2018-02-27,357.76,359.75,351.12,351.22,947161
2018-02-28,352.94,353.04,341.71,341.93,1065747
2018-03-01,342.72,349.65,337.6121,339.41,1363473
2018-03-02,336.86,339.73,331.8055,332.75,1986250
2018-03-05,330.51,349.53,328.925,346.6,2740423
2018-03-06,349.17,349.2299,336.29,337.96,1188438
2018-03-07,337.5,339.73,334.16,338.67,1058854
2018-03-08,339.51,343.49,338.04,341.19,1058330
2018-03-09,342.05,349.3918,340.26,347.59,940926
2018-03-12,349.56,369.51,349.56,359.22,2001269
2018-03-13,361.05,362.84,348.19,350.01,823326
2018-03-14,351.35,352.17,339.8,340.96,1298800
