date,open,high,low,close,volume
2017-01-03,151.0218,151.3415,149.0101,150.157,2099205
2017-01-04,150.2228,150.8714,149.4143,150.1852,2163631
2017-01-05,151.3039,153.56,151.003,153.1464,2880900
2017-01-06,152.9208,153.184,151.4731,153.0712,2167715
2017-01-09,152.6012,152.7422,151.0876,151.3227,2318383
2017-01-10,150.956,152.6764,150.8902,151.9713,1477863
2017-01-11,151.7927,152.6482,150.7398,151.8585,1378330
2017-01-12,151.6799,152.2533,151.0406,152.1687,1297557
2017-01-13,152.2815,152.4131,151.6799,152.1593,1250214
2017-01-17,152.1499,154.4061,151.9807,153.9925,2430482
2017-01-18,153.842,154.5283,152.8456,154.4249,1834736
2017-01-19,154.3403,154.9231,153.7574,153.889,1980659
2017-01-20,154.5377,154.8949,153.4472,154.3967,1897120
2017-01-23,154.2181,154.5001,152.4507,153.2404,1421632
2017-01-24,153.4472,154.0019,153.1932,153.8608,1347570
2017-01-25,154.3591,154.8761,154.0771,154.3027,1299357
2017-01-26,154.4907,154.5847,153.607,154.2369,1180784
2017-01-27,154.6975,154.7163,151.0782,152.3473,2341141
2017-01-30,152.3191,153.5036,150.9748,153.466,2149765
2017-01-31,152.7516,154.1711,152.62,154.1241,1796595
2017-02-01,154.0207,154.1241,152.1123,152.1593,2219682
2017-02-02,156.8409,158.7586,156.1969,158.0723,5816346
2017-02-03,157.6681,158.721,157.1332,158.2322,3227690
2017-02-06,158.1006,158.1006,156.7187,157.0195,2172824
2017-02-07,157.4895,158.0065,156.5494,157.4801,2732596
2017-02-08,157.8854,158.894,157.8854,158.7526,2089921
2017-02-09,158.7809,161.5757,158.5169,161.1468,2606898
2017-02-10,161.7972,162.3816,160.4964,162.1271,2070000
2017-02-13,162.589,162.589,160.9771,162.0894,2272213
2017-02-14,161.8066,163.6729,161.7029,163.6635,2245114
2017-02-15,163.2393,164.9549,163.1263,164.9549,2346540
2017-02-16,165.0491,165.7372,164.4883,165.6618,2206751
2017-02-17,165.3979,166.3688,164.4647,165.7655,2425236
2017-02-21,166.4159,166.8401,165.8975,166.7835,2317024
2017-02-22,166.9061,166.9249,165.0209,166.3782,1815426
2017-02-23,166.3876,166.8778,165.1528,165.7561,2600432
2017-02-24,165.1623,167.5093,165.068,167.3679,1684258
2017-02-27,167.1511,167.6413,166.4159,167.4245,2340564
2017-02-28,166.7929,167.6601,165.4073,167.0097,2992097
2017-03-01,167.1888,168.4519,167.0474,167.6507,2352299
2017-03-02,167.3114,168.0183,166.3782,167.7638,3190310
2017-03-03,160.9017,162.0234,160.1476,160.487,10399047
2017-03-06,159.6857,160.5529,156.5752,157.1596,5793596
2017-03-07,156.9805,158.9411,156.9805,157.4141,2811856
2017-03-08,157.4141,157.8005,156.6223,156.6977,2375904
2017-03-09,156.8485,157.2161,155.642,156.2547,1993723
2017-03-10,156.9334,156.9428,155.51,155.8776,2164241
2017-03-13,155.3875,155.6281,154.8691,155.1047,2127879
2017-03-14,154.7842,155.8305,154.6805,155.7551,1974401
2017-03-15,156.0662,156.9805,155.3686,156.9805,2079730
2017-03-16,157.2067,158.0456,156.7166,157.4706,2726624
2017-03-17,158.4132,158.6866,157.4801,158.1776,3975994
2017-03-20,158.1305,158.63,157.2256,157.8288,1603258
2017-03-21,157.8948,159.1108,157.0842,157.2067,2241868
2017-03-22,157.7157,158.3284,157.4518,158.0551,1534161
2017-03-23,158.3567,158.7526,156.8768,157.3198,1430521
2017-03-24,157.7628,157.8485,156.151,156.4903,1410390
2017-03-27,156.0285,156.7731,155.8305,156.6129,1212535
2017-03-28,156.5752,157.4612,155.6703,157.1973,1446649
2017-03-29,156.7354,157.8665,156.6129,157.8194,1216734
2017-03-30,157.6969,158.5264,157.1879,158.253,1034268
2017-03-31,157.9702,158.5122,157.5366,158.0645,1720611
2017-04-03,158.1116,158.6395,156.8485,157.1313,1547889
2017-04-04,157.037,157.7157,156.5752,157.6497,1322382
2017-04-05,157.6874,158.7337,157.1502,157.4141,1715970
2017-04-06,159.9402,162.2308,159.5881,160.2607,3313816
2017-04-07,159.9591,161.1845,159.7046,160.8263,1510007
2017-04-10,160.4304,161.7218,160.1005,161.3919,2002257
2017-04-11,160.9865,161.5992,159.8931,160.8357,1191415
2017-04-12,161.5898,161.6087,159.9497,160.4021,1422322
2017-04-13,160.289,160.8263,159.1108,159.1485,1422469
2017-04-17,159.0825,160.0062,159.0259,159.9591,1504237
2017-04-18,160.289,160.5435,159.7423,160.3644,1542663
2017-04-19,161.0714,161.1185,160.0722,160.2984,1441284
2017-04-20,160.5529,161.3541,160.1948,160.3833,1933622
2017-04-21,161.6746,162.0179,160.8451,160.9677,2257925
2017-04-24,162.1271,162.7021,161.4955,162.4381,1906902
2017-04-25,162.9848,163.1074,162.4004,162.768,1503041
2017-04-26,167.8298,168.0372,165.3508,166.6516,4591294
2017-04-27,167.1417,167.5847,166.2932,167.2642,2148728
2017-04-28,167.8487,167.8487,166.7741,167.3302,2364453
2017-05-01,168.254,168.254,167.1511,167.6507,3327999
2017-05-02,168.4614,168.664,167.7261,168.3388,2505281
2017-05-03,168.4802,170.1015,168.4425,169.4982,2900509
2017-05-04,169.715,172.6653,169.6679,171.9772,3762176
2017-05-05,172.2789,172.4203,169.4417,169.8564,3713637
2017-05-08,171.2883,171.3275,168.2873,169.3073,3537972
2017-05-09,170.2585,170.5625,168.9836,169.3465,2662097
2017-05-10,169.199,169.2531,167.8516,168.5302,2554451
2017-05-11,167.9696,168.7269,167.3008,168.4417,2106222
2017-05-12,168.4712,169.022,167.5172,168.068,1586827
2017-05-15,167.4975,169.1499,167.4975,168.7466,1734244
2017-05-16,169.1302,169.1302,167.8221,168.186,1129191
2017-05-17,167.8516,168.6778,166.2779,166.3664,2202200
2017-05-18,167.2811,168.2057,166.8975,167.9106,1589679
2017-05-19,168.5302,169.5924,167.9991,168.8154,1871760
2017-05-22,169.4056,170.3891,168.8056,169.5629,1594088
2017-05-23,170.1236,170.6842,169.4843,169.6318,1788090
2017-05-24,170.1039,170.2809,168.9728,170.1629,1426542
2017-05-25,170.6153,172.1693,170.4481,171.8546,2726932
2017-05-26,177.2838,177.3723,174.5987,174.9331,4471282
2017-05-30,174.7561,176.4385,174.579,175.9756,2086293
2017-05-31,176.2904,177.5001,175.8379,177.4608,2456666
2017-06-01,177.8345,178.1198,176.9002,177.6575,2028321
2017-06-02,177.6083,178.2673,176.91,177.9919,2239915
2017-06-05,178.1198,179.2115,177.628,179.0836,1561084
2017-06-06,178.7099,179.7082,178.0313,178.464,2248876
2017-06-07,178.4542,179.241,178.1542,179.2017,1246183
2017-06-08,178.9263,179.4967,177.864,178.4247,1823550
2017-06-09,178.7197,178.9361,176.9592,177.4116,2167587
2017-06-12,176.6248,177.8936,175.8478,176.6838,2395166
2017-06-13,176.9395,177.8149,176.0838,177.5395,1745411
2017-06-14,177.8542,178.9656,177.2641,178.6804,1440439
2017-06-15,177.4215,178.346,175.4347,177.0969,1754352
2017-06-16,167.5959,167.7926,162.2847,164.36,24232985
2017-06-19,164.301,164.6282,159.7177,161.6356,13809120
2017-06-20,162.7765,162.7765,159.757,160.2193,7337590
2017-06-21,160.7996,161.075,160.0717,160.4652,3421726
2017-06-22,160.4848,160.6127,156.3933,157.1605,8043063
2017-06-23,156.7769,157.1703,153.9836,154.5442,9506672
2017-06-26,155.5474,158.3407,155.4983,157.5637,6473925
2017-06-27,158.0161,158.8915,156.5802,156.6392,5533814
2017-06-28,156.9637,157.8588,156.8752,157.5342,3234405
2017-06-29,157.5735,157.8293,155.2032,156.0687,3664213
2017-06-30,156.9736,157.8971,156.1769,157.2981,4755064
2017-07-03,157.5735,157.8883,156.0786,156.2064,1995074
2017-07-05,156.3146,156.8752,155.2622,155.4196,3770401
2017-07-06,158.4587,158.6948,154.4655,154.5049,6963416
2017-07-07,154.7704,154.9573,151.5543,151.5739,7688368
2017-07-10,150.9838,151.0723,148.4758,148.5151,8999843
2017-07-11,148.9577,150.5707,148.4463,148.6233,6275636
2017-07-12,148.9675,150.3838,148.9282,149.2528,5112183
2017-07-13,150.7084,151.3949,150.1084,151.0723,5673513
2017-07-14,151.7215,151.7313,150.3838,150.4822,4368387
2017-07-17,150.4822,150.915,150.0101,150.3248,3096922
2017-07-18,150.0986,150.3248,148.4522,149.0069,3256881
2017-07-19,149.3118,149.656,148.4168,148.7512,4099995
2017-07-20,148.9774,149.6855,148.3971,148.5053,3207388
2017-07-21,148.4561,148.7413,147.5316,147.9643,4078020
2017-07-24,147.9742,148.9774,147.6398,148.5151,3655550
2017-07-25,148.9184,151.1706,148.9085,150.6494,4605705
2017-07-26,150.8854,150.974,149.0561,149.5872,3017166
2017-07-27,149.5085,150.4674,148.9479,150.0101,3637864
2017-07-28,150.1576,150.7773,149.6068,150.374,2779452
2017-07-31,150.5609,156.049,150.5117,155.9015,6937092
2017-08-01,153.9246,154.9868,152.7837,154.3672,2612545
2017-08-02,156.5113,158.8915,155.8327,158.6259,5486333
2017-08-03,158.9505,159.6783,154.4754,155.3114,5562577
2017-08-04,155.7343,155.8317,153.2656,153.8656,3117944
2017-08-07,153.9246,154.9868,152.7837,154.3672,2629519
2017-08-08,154.5147,156.8162,154.4459,155.154,2569248
2017-08-09,154.5541,154.977,153.6295,154.2787,2157557
2017-08-10,153.6,154.977,152.8132,154.0623,2764579
2017-08-11,153.9344,155.2032,153.8361,154.0721,1886996
2017-08-14,154.9967,155.5966,153.9639,155.3114,2028894
2017-08-15,155.3999,155.7766,154.2069,154.2983,1869104
2017-08-16,155.1863,157.7517,155.0186,157.6333,3381849
2017-08-17,156.3704,157.8208,155.5411,156.4592,2649982
2017-08-18,155.877,156.5776,154.8311,154.989,2747925
2017-08-21,155.0975,156.0645,153.879,154.9791,1857308
2017-08-22,155.433,157.3275,155.433,156.5874,2204553
2017-08-23,156.5085,157.3176,155.6797,157.2485,1731439
2017-08-24,157.8701,158.5213,149.0787,149.3155,10301697
2017-08-25,150.3417,150.9041,148.0624,150.4206,5703470
2017-08-28,149.878,151.2396,149.1873,150.5193,3776438
2017-08-29,150.3516,151.9401,149.4438,151.5159,2446201
2017-08-30,151.6639,152.6801,150.8449,152.3841,2493492
2017-08-31,154.1404,155.1666,151.9007,154.6535,4567709
