date,open,high,low,close,volume
2017-01-03,113.8091,114.4839,113.3592,113.7602,859079
2017-01-04,113.6819,115.1196,113.5353,114.7284,623437
2017-01-05,114.3176,115.1196,113.4766,113.7211,598668
2017-01-06,113.946,114.3861,113.2321,114.1318,429729
2017-01-09,113.9069,113.9069,112.5084,112.9387,524713
2017-01-10,112.6844,112.88,112.215,112.2541,894918
2017-01-11,112.2736,113.0169,112.1269,112.7822,466048
2017-01-12,112.5573,112.704,110.7186,111.8824,586191
2017-01-13,111.7651,112.3519,111.2859,112.0389,448983
2017-01-17,111.3054,111.7553,110.8174,111.1685,305606
2017-01-18,111.4717,111.6184,110.7382,111.4619,424677
2017-01-19,111.4521,111.7602,110.7382,111.237,382433
2017-01-20,111.7455,111.8629,110.8164,111.3739,371920
2017-01-23,111.2663,111.5499,110.4741,111.3348,267494
2017-01-24,111.2467,113.0169,111.2467,112.968,609270
2017-01-25,113.2027,114.4154,112.8458,114.1807,1081475
2017-01-26,114.3079,115.3543,114.0829,114.8066,435501
2017-01-27,114.748,115.012,114.1709,114.7088,478162
2017-01-30,114.5426,114.5426,112.7626,113.6428,388371
2017-01-31,113.5841,113.9656,112.6257,113.5548,647259
2017-02-01,113.2516,114.7382,112.0096,112.3225,774562
2017-02-02,111.9705,112.9299,111.7357,112.6844,591012
2017-02-03,113.1343,114.1123,111.814,113.5548,384602
2017-02-06,113.2223,113.3005,112.1856,112.4301,490557
2017-02-07,112.7822,112.8018,111.8531,112.2639,562828
2017-02-08,112.0096,112.4106,111.2859,111.8335,427150
2017-02-09,112.0291,112.9387,111.8824,112.8213,474225
2017-02-10,112.9485,114.4252,112.6355,114.1514,722930
2017-02-13,114.6599,115.0609,114.0634,114.4154,448570
2017-02-14,113.9949,114.4448,113.545,114.4448,362307
2017-02-15,114.1709,115.99,113.902,115.8042,507677
2017-02-16,115.8238,116.88,115.4423,116.88,464133
2017-02-17,116.3519,116.7528,115.4912,115.9998,1435535
2017-02-21,116.0487,116.5866,115.4326,115.8335,451355
2017-02-22,115.5206,116.2247,115.0511,116.1856,491566
2017-02-23,116.4008,116.4008,115.0022,115.8238,395234
2017-02-24,115.4717,116.4497,114.6818,116.4497,394581
2017-02-27,116.2736,116.6257,115.9411,116.4888,248953
2017-02-28,116.3714,116.3714,115.2565,115.413,413478
2017-03-01,116.078,117.3494,115.9118,116.9973,585913
2017-03-02,116.6746,116.6844,115.726,115.9313,418173
2017-03-03,116.0389,116.2198,115.2712,115.8042,421959
2017-03-06,115.4717,116.0976,114.8653,115.9998,287025
2017-03-07,115.6086,116.3714,115.1978,115.6673,418007
2017-03-08,115.5206,116.1465,115.3739,115.7553,326109
2017-03-09,115.9802,116.1465,114.6306,115.2761,332944
2017-03-10,116.0291,116.6453,115.6477,116.4106,449896
2017-03-13,116.2639,116.7528,116.1563,116.5083,336694
2017-03-14,116.3714,116.655,115.2565,115.8433,323433
2017-03-15,116.2345,116.9387,115.8531,116.8311,415405
2017-03-16,117.0267,117.3592,116.3128,116.6159,301092
2017-03-17,119.6184,123.1587,118.1709,122.122,2220852
2017-03-20,122.0634,122.6795,120.9778,121.5744,1030545
2017-03-21,122.259,122.924,120.8995,121.056,998217
2017-03-22,121.3592,122.4448,120.9873,121.633,853498
2017-03-23,121.5939,126.0144,120.0389,123.1783,1414359
