date,open,high,low,close,volume
2017-01-03,55.6915,55.8193,55.0623,55.5637,3149600
2017-01-04,55.5243,56.4288,55.2491,56.3501,3572394
2017-01-05,56.3796,56.4878,56.0159,56.124,5166417
2017-01-06,56.1732,57.0186,55.426,56.8908,6091157
2017-01-09,56.6254,56.7729,55.4948,55.6227,7006285
2017-01-10,55.4752,55.9667,54.9886,55.7013,4710677
2017-01-11,55.5047,56.124,55.3179,56.0454,6377133
2017-01-12,56.2027,56.2027,55.2048,56.0257,3599464
2017-01-13,55.8783,56.1535,55.3179,55.5637,6223342
2017-01-17,55.544,55.9176,55.367,55.6227,3470151
2017-01-18,55.6718,56.6598,55.6423,56.3895,3970503
2017-01-19,56.2813,56.4583,55.5342,55.6915,3147465
2017-01-20,55.9077,56.1486,55.5047,55.8881,4485278
2017-01-23,55.9176,55.9864,54.728,55.2196,4443992
2017-01-24,55.2982,55.7652,54.8067,55.6521,3613844
2017-01-25,55.8586,56.5959,55.6227,56.5762,5277630
2017-01-26,56.4976,56.704,55.3031,55.3179,3406222
2017-01-27,55.3474,55.6718,55.1016,55.1803,3010853
2017-01-30,54.2955,54.3152,52.6243,52.7521,9261818
2017-01-31,51.1496,52.2409,50.6483,51.7002,10176811
2017-02-01,51.7886,52.0147,51.071,51.5625,7478443
2017-02-02,51.8083,51.9263,50.7073,50.8056,7972346
2017-02-03,51.189,51.651,50.7859,51.6117,6176824
2017-02-06,52.5751,52.5751,51.5527,51.8673,7776859
2017-02-07,51.8181,53.2534,51.7444,52.8799,7606698
2017-02-08,56.0355,56.5173,53.8334,55.4948,20858317
2017-02-09,56.0355,57.4217,55.3376,57.0186,13235505
2017-02-10,57.0186,57.3529,56.3993,56.4288,6935534
2017-02-13,56.7729,57.0186,56.5566,56.6647,6744771
2017-02-14,56.3206,56.7139,56.2125,56.3895,10115420
2017-02-15,56.1044,57.4119,56.1044,57.1464,5636202
2017-02-16,57.2644,57.4905,56.7729,57.1169,4158165
2017-02-17,57.0285,57.4512,56.6451,56.9793,3777629
2017-02-21,56.94,57.6969,56.6845,57.6281,4275120
2017-02-22,57.2447,57.8051,56.936,57.7559,3238914
2017-02-23,57.8051,58.3015,57.6281,58.1492,3676991
2017-02-24,57.9624,58.4932,57.7559,58.4932,3169397
2017-02-27,58.4834,58.6604,58.1098,58.5719,4908486
2017-02-28,58.2966,58.5719,58.1197,58.2671,5466257
2017-03-01,58.6997,59.3682,58.4834,59.2306,5163273
2017-03-02,58.9455,59.3092,58.6604,59.1519,2850845
2017-03-03,58.9356,59.2355,58.68,58.8668,5101464
2017-03-06,58.4441,58.5424,57.5003,57.8346,5801207
2017-03-07,57.8247,58.2917,56.7925,56.8613,5336508
2017-03-08,56.7925,57.0088,56.183,56.5173,5617903
2017-03-09,56.6254,56.7729,56.0355,56.6942,4193560
2017-03-10,57.2644,58.277,57.1268,57.7461,5171881
2017-03-13,57.5986,58.3359,57.5003,58.2475,3775030
2017-03-14,58.7587,58.7685,57.9231,58.159,3696925
2017-03-15,58.1885,58.4441,57.7658,58.2573,3216822
2017-03-16,58.739,58.9848,58.2573,58.4048,3559970
2017-03-17,58.8275,58.8766,57.2054,57.5691,6738370
2017-03-20,57.5691,58.3999,57.4512,57.982,4487733
2017-03-21,58.1098,58.3949,57.4119,57.5397,3243219
2017-03-22,57.5495,58.4982,57.5298,58.4539,4385295
2017-03-23,58.2475,58.3359,57.3824,57.7658,4737701
2017-03-24,58.0115,58.2868,57.5495,57.6281,2988236
2017-03-27,57.1464,57.8592,57.0777,57.7166,3187782
2017-03-28,57.5003,58.3359,57.3234,58.041,3814462
2017-03-29,57.8936,58.1983,57.4315,58.0803,3267800
2017-03-30,58.1983,58.3163,57.9083,58.2376,1771215
2017-03-31,58.0902,58.8078,58.0214,58.5129,3463580
2017-04-03,58.5424,58.9356,57.1857,57.2644,5459727
2017-04-04,57.0088,57.4512,56.6352,57.2251,3772944
2017-04-05,57.2349,58.0951,56.9449,57.0776,4115186
2017-04-06,57.0776,57.4315,56.7434,57.1563,3085473
2017-04-07,57.4217,57.6773,57.0432,57.4413,3234869
2017-04-10,57.3037,58.1,57.2152,57.9722,4501007
2017-04-11,57.7363,58.1934,57.4168,57.8837,3612932
2017-04-12,57.9427,58.0115,57.4905,57.6675,2590719
2017-04-13,57.7756,58.0607,57.3067,57.3627,3872285
2017-04-17,57.638,57.8247,57.52,57.7068,2931828
2017-04-18,57.3627,57.4217,56.6745,56.8908,5333546
2017-04-19,56.9891,57.3381,56.881,56.9891,4071255
2017-04-20,57.0285,57.2496,56.5271,56.8023,5152199
2017-04-21,56.999,56.999,56.6647,56.8712,4882033
2017-04-24,57.6478,58.1885,57.461,57.8936,4201668
2017-04-25,57.9329,58.3654,57.7658,58.0902,3112331
2017-04-26,58.0509,58.6407,57.9722,58.4146,3920733
2017-04-27,58.4441,58.7144,58.3065,58.6899,3230201
2017-04-28,58.7292,59.378,58.4343,59.2109,4694358
2017-05-01,59.378,59.7221,59.1421,59.3289,5007155
2017-05-02,59.3092,59.7811,59.1814,59.4665,3963254
2017-05-03,59.6926,59.7712,59.1912,59.5353,3562530
2017-05-04,59.7319,60.1153,59.5353,59.7221,5479645
2017-05-05,60.6462,62.2683,60.4594,62.1503,8224676
2017-05-08,62.1208,63.3398,61.934,63.1924,6847989
2017-05-09,62.4354,63.2513,62.3174,63.0842,3534020
2017-05-10,62.9073,63.212,62.5829,62.8876,3430070
2017-05-11,62.5239,63.2317,62.5239,63.1629,3053031
2017-05-12,63.2317,63.5856,62.9564,63.3005,4268792
2017-05-15,63.3103,63.6249,63.045,63.3988,6625291
2017-05-16,63.5463,64.146,63.1727,64.087,3239812
2017-05-17,63.6446,63.9002,63.2022,63.4086,3892923
2017-05-18,63.2214,64.3596,63.0244,64.0689,4029632
2017-05-19,64.1576,64.5616,63.9506,64.463,3559680
2017-05-22,64.4433,64.8966,64.2167,64.8276,3313689
2017-05-23,65.0345,65.3301,64.6995,65.0444,4913145
2017-05-24,65.202,65.6356,64.8867,65.5174,3141783
2017-05-25,65.6947,66.0544,65.5666,65.9017,4639756
2017-05-26,66.148,66.148,65.7243,65.813,2559411
2017-05-30,65.7144,65.7144,65.3203,65.5174,5077526
2017-05-31,65.6652,66.1135,65.4582,65.9312,3848403
2017-06-01,65.9312,66.4535,65.6849,66.4042,3770282
2017-06-02,66.5126,66.5717,65.6849,66.483,6530984
2017-06-05,66.5027,66.887,66.3254,66.5717,2297745
2017-06-06,66.3057,66.7786,66.1677,66.4239,5665664
2017-06-07,66.0593,66.4042,65.5272,65.9805,4746594
2017-06-08,65.4385,65.9361,65.3301,65.8918,3341458
2017-06-09,66.148,66.148,64.867,65.34,4296053
2017-06-12,64.9458,65.3597,64.6305,65.3203,4236225
2017-06-13,65.4582,65.6652,64.8375,65.4582,4601221
2017-06-14,65.4681,65.9509,64.9754,65.4977,3198388
2017-06-15,65.1429,65.5716,64.8276,65.4188,4005733
