date,open,high,low,close,volume
2017-01-03,111.8703,111.9684,109.7465,110.3007,2244824
2017-01-04,110.8206,112.3411,110.5558,111.576,2892317
2017-01-05,111.576,112.6551,110.752,112.5079,2167631
2017-01-06,114.205,115.6372,113.9205,114.2344,3362698
2017-01-09,115.647,115.7549,113.9303,115.0683,3212436
2017-01-10,113.6949,116.0002,113.4987,115.3822,2656780
2017-01-11,115.9217,115.9511,114.0382,114.9702,1545925
2017-01-12,114.7838,115.8727,114.1952,115.7647,1353304
2017-01-13,115.7647,118.1485,115.5686,116.5495,2414069
2017-01-17,117.0204,118.1289,116.0002,116.3239,1320016
2017-01-18,116.6869,117.2362,115.6666,117.0694,998654
2017-01-19,117.4422,117.5501,116.1571,116.579,991525
2017-01-20,117.4716,118.0014,116.422,117.6384,1485728
2017-01-23,117.7169,118.4036,116.7163,117.7071,1369900
2017-01-24,118.0798,118.2613,117.0008,117.9327,1454478
2017-01-25,118.6684,119.1197,118.1093,118.5605,1058334
2017-01-26,119.0216,119.414,118.276,118.9235,1110402
2017-01-27,119.1001,119.7573,118.6194,119.6788,945510
2017-01-30,119.0902,119.4826,117.3343,119.2178,1621892
2017-01-31,119.1491,119.3355,117.7561,119.2766,1130574
2017-02-01,119.463,119.6298,117.9916,118.4722,1128568
2017-02-02,118.1583,118.9235,117.7365,118.2957,1260834
2017-02-03,118.4134,119.3061,118.1976,119.2178,1245675
2017-02-06,118.8156,119.7377,118.2074,119.7279,1346827
2017-02-07,120.1693,120.7383,119.4336,120.0124,1949238
2017-02-08,119.6788,120.7383,118.8352,120.5028,1705905
2017-02-09,120.8069,121.5819,119.3845,120.905,3165247
2017-02-10,122.6316,124.0049,118.335,120.3165,6466857
2017-02-13,120.7187,120.7187,116.9517,117.2264,3833325
2017-02-14,116.9027,117.8109,116.5593,117.3932,2930254
2017-02-15,117.2656,119.5807,117.0891,118.5801,2251437
2017-02-16,118.4526,119.1099,117.3735,117.5697,2008430
2017-02-17,117.0891,117.4814,116.2945,117.1381,1685049
2017-02-21,116.5593,117.6482,116.1277,117.1283,1955786
2017-02-22,116.9517,118.5311,116.7065,118.2662,1419680
2017-02-23,118.8058,118.8058,117.1087,117.3539,1215921
2017-02-24,117.0694,117.3637,116.1571,116.8929,1031079
2017-02-27,116.422,117.0891,116.0885,116.4318,1033353
