date,open,high,low,close,volume
2017-01-03,27.1382,27.5393,26.9448,27.3926,2938360
2017-01-04,27.3926,27.7644,27.3926,27.6372,2740956
2017-01-05,27.5198,27.8084,27.2948,27.7252,4393701
2017-01-06,27.7839,28.2633,27.598,28.2242,2005112
2017-01-09,28.1752,28.2633,27.9307,28.1459,1827309
2017-01-10,28.0872,28.6546,27.9405,28.2926,2829212
2017-01-11,28.2633,28.8111,28.1948,28.8014,3484244
2017-01-12,28.7035,28.772,28.3416,28.4492,3124030
2017-01-13,28.3905,28.6742,28.2926,28.6155,1912909
2017-01-17,28.5079,28.7035,28.4638,28.6155,1804773
2017-01-18,28.684,28.9188,28.5666,28.8796,1983365
2017-01-19,28.8796,28.9677,28.4492,28.5764,2026413
2017-01-20,28.7622,28.909,28.5274,28.909,2532322
2017-01-23,28.8503,28.9677,28.6155,28.8698,1523378
2017-01-24,28.9677,29.1633,28.7427,29.1438,1667930
2017-01-25,29.2416,29.3296,29.0753,29.1536,2568601
2017-01-26,29.2025,30.2982,29.1731,29.9264,3083025
2017-01-27,30.034,30.2884,29.7601,30.1808,1815080
2017-01-30,30.1612,30.3177,29.8677,30.308,2027296
2017-01-31,30.1612,30.4057,29.9802,30.3373,2274168
2017-02-01,30.3569,30.621,30.2688,30.5623,2918255
2017-02-02,30.533,30.5525,30.2639,30.4841,1929127
2017-02-03,30.621,30.621,30.2003,30.4156,1658307
2017-02-06,30.2688,30.4449,30.0194,30.0536,2339490
2017-02-07,29.7895,30.4097,29.1536,29.5057,5893165
2017-02-08,29.4275,29.5351,28.9383,29.1731,3864297
2017-02-09,29.3003,29.447,28.997,29.0655,1932516
2017-02-10,29.1536,29.2025,28.8894,29.0068,3051973
2017-02-13,29.2025,29.2123,28.6253,28.8405,3461498
2017-02-14,28.8601,29.4275,28.7133,29.3688,2676206
2017-02-15,29.1536,29.6721,29.1247,29.6721,2194068
2017-02-16,29.6525,29.6525,29.3003,29.4275,1984041
2017-02-17,29.3981,29.4666,29.1046,29.2709,2438244
2017-02-21,29.3003,29.6231,29.134,29.4079,2645449
2017-02-22,29.3199,29.5742,29.3101,29.496,1681656
2017-02-23,29.5057,29.6623,29.1389,29.3492,2604962
2017-02-24,29.5057,29.584,29.2807,29.5742,2689559
2017-02-27,29.4373,29.6231,29.134,29.359,2232394
2017-02-28,29.3101,29.3296,28.6937,28.7133,5615077
2017-03-01,28.8698,29.4275,28.8698,29.2123,3895249
2017-03-02,29.1242,29.2123,28.8698,29.0655,2360594
2017-03-03,29.0655,29.3394,28.8503,29.3003,1888147
2017-03-06,29.2416,29.8188,29.134,29.5449,2573741
2017-03-07,29.3688,29.5547,29.1242,29.4568,2752302
2017-03-08,29.4373,29.5057,29.2318,29.3296,2257992
2017-03-09,29.3492,29.7014,29.3492,29.6036,3041348
2017-03-10,29.6134,29.7405,29.1829,29.3101,3588970
2017-03-13,29.4774,29.5758,29.379,29.4774,1585948
2017-03-14,29.4085,29.566,29.3101,29.4479,1254621
2017-03-15,29.5758,29.9498,29.4479,29.8416,2329074
2017-03-16,29.7727,29.8219,29.5266,29.7235,2141831
2017-03-17,29.9301,29.999,29.5857,29.7923,3243312
2017-03-20,29.7923,29.9794,29.5857,29.6152,1010655
2017-03-21,29.753,29.8514,29.5463,29.6152,2703347
2017-03-22,29.6939,30.0482,29.5463,29.94,2250647
2017-03-23,29.9203,30.4567,29.7923,30.2648,3010282
2017-03-24,30.3534,30.6929,30.1565,30.3927,2496218
