date,open,high,low,close,volume
2017-01-03,74.3187,75.9742,74.3187,75.9267,1750046
2017-01-04,75.7839,77.5917,75.7839,77.0113,1881571
2017-01-05,76.7354,80.1036,75.4604,79.6469,3326729
2017-01-06,79.4946,79.8181,77.8581,78.8476,2195587
2017-01-09,78.9618,79.3519,78.1816,78.5907,1331273
2017-01-10,78.8001,79.1615,78.4956,78.8381,982708
2017-01-11,78.5432,78.9501,77.782,78.4766,1339334
2017-01-12,78.2673,79.8467,77.3634,79.3995,1320811
2017-01-13,79.5898,79.8657,79.2282,79.7896,1155075
2017-01-17,79.6374,81.0836,79.5051,81.036,1653940
2017-01-18,81.1787,81.2073,80.037,80.4461,1828063
2017-01-19,80.7886,81.1312,79.5327,79.704,918996
2017-01-20,79.9704,80.5983,79.5708,79.9133,950530
2017-01-23,80.0465,80.4937,79.5612,79.8467,969619
2017-01-24,79.9704,81.4927,79.9704,81.3024,1131670
2017-01-25,81.9304,82.8818,81.8257,82.5488,1473757
2017-01-26,77.1826,78.115,76.3263,77.5537,4222847
2017-01-27,77.468,78.6183,77.4395,78.5812,1649486
2017-01-30,78.5046,79.9177,78.093,79.8162,1336400
2017-01-31,79.4046,79.6248,78.5142,78.9929,1828514
2017-02-01,78.9642,79.0695,78.3132,78.6291,1264981
2017-02-02,78.5717,79.0527,78.0642,78.9259,963763
2017-02-03,79.261,79.6822,78.7153,79.1078,1856379
2017-02-06,90.0984,92.2334,89.323,90.2899,12332733
2017-02-07,90.2612,93.4109,89.2847,90.9313,6446334
2017-02-08,91.1037,92.6068,90.9505,92.5014,2509516
2017-02-09,92.4057,94.0715,92.3148,93.5737,1775528
2017-02-10,93.5641,93.8226,92.9035,93.4684,1378553
2017-02-13,94.0715,94.5502,93.813,93.9471,1766449
2017-02-14,94.1673,94.3827,93.3822,93.6311,1978689
2017-02-15,93.2961,93.8801,93.2176,93.6694,1010601
2017-02-16,93.7269,94.0141,93.1429,93.478,894664
2017-02-17,93.3439,94.4353,92.6929,94.3013,1562528
2017-02-21,94.7704,95.0959,94.0811,94.6651,1563634
2017-02-22,94.6077,94.7417,94.1194,94.6077,1134534
2017-02-23,94.397,94.7608,92.7982,92.9131,1038017
2017-02-24,92.7408,93.6216,92.3866,93.612,1110256
2017-02-27,93.2386,93.4588,92.5397,93.3726,1082775
2017-02-28,93.3631,93.7747,92.6738,92.7408,1310162
2017-03-01,92.9897,94.3827,92.7504,93.7556,1502166
2017-03-02,93.7077,94.4066,93.1381,93.3726,1055930
2017-03-03,93.3248,93.7269,92.9035,93.5833,1027939
2017-03-06,93.3535,93.6503,92.8748,92.9035,867270
2017-03-07,92.6642,93.6024,92.6642,93.0567,1022252
2017-03-08,93.0854,93.5641,92.7887,93.229,835992
2017-03-09,93.5163,93.6982,92.8605,93.2003,1001137
2017-03-10,93.7077,93.7077,93.0855,93.3152,949805
2017-03-13,93.2578,93.7269,93.1237,93.5258,913552
2017-03-14,93.7077,94.5196,93.3344,93.9949,943475
2017-03-15,94.129,95.5746,93.7556,95.2682,1267114
2017-03-16,95.4119,95.8714,94.7896,95.0098,953711
2017-03-17,94.7704,96.2639,94.4832,95.9767,1341255
2017-03-20,95.948,96.7713,95.2874,96.2639,1355341
2017-03-21,96.4267,96.6947,94.5119,94.5502,818593
2017-03-22,94.4449,94.9427,93.8513,94.5694,1492796
2017-03-23,94.9236,95.9576,94.78,95.6703,998237
2017-03-24,95.7469,96.1778,95.4693,95.7086,887424
2017-03-27,95.0481,95.4501,94.5406,94.8279,1171478
2017-03-28,94.8374,95.7278,94.0907,95.1629,925242
2017-03-29,94.8279,95.4406,94.6268,95.4023,819505
2017-03-30,95.1246,95.4597,94.8757,95.3353,665058
2017-03-31,95.3544,96.2543,95.2012,95.565,840430
2017-04-03,95.6416,96.0724,95.0002,95.3448,1323234
2017-04-04,95.0002,95.5555,93.4492,93.679,865428
2017-04-05,93.8322,94.0237,92.2238,92.444,2022976
2017-04-06,92.377,92.7504,91.9462,92.3195,1598245
2017-04-07,92.5685,92.645,91.4675,91.6685,971092
2017-04-10,91.7834,92.0419,90.7207,91.6972,805230
2017-04-11,91.3622,92.2238,90.826,92.1855,849003
2017-04-12,92.1089,92.8557,91.568,92.3483,946335
2017-04-13,92.0132,92.4153,91.3909,91.4292,916033
2017-04-17,91.6589,92.0893,91.0175,91.7451,709445
2017-04-18,91.6781,92.0898,91.3382,91.6111,673677
2017-04-19,92.061,92.3961,90.9313,91.4388,982623
2017-04-20,91.927,92.444,91.4435,91.9174,1018419
2017-04-21,90.7973,92.4057,90.7515,91.9366,1997742
2017-04-24,97.9202,99.7009,95.431,97.3649,5714965
2017-04-25,96.8575,98.418,96.6277,97.2404,1713536
2017-04-26,97.049,97.6425,96.5942,96.733,1129647
2017-04-27,97.0604,97.2818,96.0205,96.7811,1284740
2017-04-28,96.5693,96.6271,94.8363,95.4236,1475383
2017-05-01,95.7798,95.7798,94.3645,95.1059,1317028
2017-05-02,95.7028,96.3045,95.3032,95.9628,977336
2017-05-03,95.9435,96.2035,94.9999,95.3947,826468
2017-05-04,95.6065,96.0013,95.231,95.6739,786829
2017-05-05,95.8954,96.4923,95.4332,96.473,488540
2017-05-08,96.7137,97.0218,95.9435,96.0398,430467
2017-05-09,95.8954,97.4358,95.7317,97.4262,1094170
2017-05-10,97.3588,98.0713,96.9737,98.0328,1090782
2017-05-11,97.5032,97.7439,96.7137,97.6091,588692
2017-05-12,97.3011,97.7728,97.0989,97.5995,472651
2017-05-15,97.4647,98.0328,97.1277,97.5225,502724
2017-05-16,97.3684,97.4455,96.8582,97.2625,650743
2017-05-17,96.81,97.3203,95.7076,95.7702,713145
2017-05-18,95.6547,96.1168,94.9518,95.828,668988
2017-05-19,95.8665,97.8017,94.6114,97.2914,748920
2017-05-22,96.9352,98.2831,96.7619,97.4936,782736
2017-05-23,97.8691,97.9461,96.7686,97.224,608387
2017-05-24,97.9461,100.2376,97.7584,100.0932,1171370
2017-05-25,100.4976,100.9212,100.1124,100.2954,954325
2017-05-26,100.5072,100.8923,99.8621,100.3339,637496
2017-05-30,100.2569,100.7479,99.8525,100.3628,503571
2017-05-31,100.565,101.47,100.1413,101.3448,665011
2017-06-01,101.4026,102.4713,101.0079,102.0284,746053
2017-06-02,102.1728,104.0214,101.6722,103.1742,1058117
2017-06-05,103.0586,103.8674,102.6351,103.7904,1048067
2017-06-06,103.5882,104.8013,102.789,103.9829,674720
2017-06-07,104.1562,104.5125,103.7807,104.368,634249
2017-06-08,104.0888,104.6569,103.6844,104.4739,524875
2017-06-09,105.3405,105.7063,103.6652,103.8866,722866
2017-06-12,103.4726,104.7243,103.1356,104.4065,708704
2017-06-13,104.4932,106.4958,103.877,106.0048,930835
2017-06-14,106.1974,106.3707,104.8687,105.2442,868457
2017-06-15,104.7628,106.881,104.3295,104.9361,1711985
2017-06-16,104.1851,106.2455,104.1851,105.5619,1322217
2017-06-19,107.2083,107.6151,106.1589,107.1602,690743
2017-06-20,107.0061,107.6705,106.5825,107.2372,706199
2017-06-21,107.4298,107.7667,106.4381,107.0831,542707
2017-06-22,107.6993,107.6993,106.13,106.361,486794
2017-06-23,109.2687,109.2687,106.2263,107.7475,1470212
2017-06-26,107.9882,108.0623,106.8136,107.6801,813403
2017-06-27,107.3912,107.9208,106.1877,106.3129,936750
2017-06-28,106.6114,107.7956,106.1203,106.698,612915
2017-06-29,106.5729,106.7654,104.888,105.9663,846825
2017-06-30,106.8521,107.9112,106.361,107.3624,768236
2017-07-03,107.9208,108.1615,106.1203,106.621,381852
2017-07-05,106.3129,108.7969,106.1396,107.8341,741833
2017-07-06,107.1217,108.1615,106.2359,106.9869,643744
2017-07-07,107.4009,108.0171,107.0158,107.7667,463515
2017-07-10,107.863,108.5562,106.9385,107.9593,427843
2017-07-11,108.2674,108.3155,107.035,108.123,528967
2017-07-12,108.9991,109.0569,108.0171,108.7681,414712
2017-07-13,108.5755,109.1917,107.5646,107.5838,695585
2017-07-14,108.0652,109.1917,107.8534,108.9317,453747
2017-07-17,109.0954,109.1724,108.4214,108.6429,466378
2017-07-18,108.6621,109.4504,108.1133,109.1821,466938
2017-07-19,109.4035,110.27,108.7488,109.7983,584224
2017-07-20,110.0101,110.7226,108.1575,110.6263,640443
2017-07-21,110.5396,111.8779,110.453,111.6372,1321097
2017-07-24,107.0254,107.4394,99.8236,101.0945,5715778
2017-07-25,103.3956,103.6122,100.4399,102.3654,3151481
2017-07-26,101.8551,102.7313,101.2004,102.1536,1141461
2017-07-27,102.3365,102.6831,101.0955,102.6735,968513
2017-07-28,102.6832,102.8477,101.7926,102.3541,1305443
2017-07-31,102.3153,102.6057,101.8296,102.4896,1344825
2017-08-01,102.6832,103.3801,102.1508,102.5573,1214409
2017-08-02,102.1217,103.1284,99.9535,101.4151,1540321
