date,open,high,low,close,volume
2017-01-03,77.12,78.185,75.505,77.965,1717296
2017-01-04,78.19,78.595,77.69,78.275,836586
2017-01-05,78.14,78.315,77.405,77.855,580720
2017-01-06,77.86,78.245,77.34,78.09,828600
2017-01-09,78.07,78.685,77.5,78.625,864880
2017-01-10,78.695,79.68,78.425,79.045,1325466
2017-01-11,78.8,79.37,77.8675,78.88,1237138
2017-01-12,78.43,78.716,77.655,78.565,890138
2017-01-13,78.525,79.55,78.525,79.525,911244
2017-01-17,79.31,79.675,79.0355,79.39,696636
2017-01-18,79.68,79.93,79.17,79.845,723304
2017-01-19,79.645,79.785,78.755,78.865,649002
2017-01-20,79.075,79.335,77.985,78.45,1371976
2017-01-23,78.45,78.815,77.38,77.675,756090
2017-01-24,77.8,78.605,77.18,78.46,774732
2017-01-25,78.7,80.245,78.46,80.145,1045766
2017-01-26,79.975,80.095,79.195,79.61,983090
2017-01-27,79.815,79.86,79.125,79.825,700588
2017-01-30,79.69,79.88,78.83,79.16,1030694
2017-01-31,79.115,79.97,78.67,79.93,1023662
2017-02-01,79.995,80.2,79.1825,79.93,913430
2017-02-02,79.78,80.705,79.39,80.61,808810
2017-02-03,81.06,81.465,80.451,81.33,691152
2017-02-06,81.005,81.335,80.505,81.295,796468
2017-02-07,81.37,82.03,81.11,81.99,1438010
2017-02-08,81.815,82.3149,81.555,81.805,1276902
2017-02-09,81.74,82.745,81.41,82.425,952916
2017-02-10,82.235,82.86,80.9947,82.535,556160
2017-02-13,82.96,83.075,82.165,82.555,974808
2017-02-14,82.625,83.56,82.56,83.325,959956
2017-02-15,83.005,84.01,82.9,83.95,1009144
2017-02-16,83.895,84.135,83.2,83.625,1433002
2017-02-17,83.45,84.065,82.7501,84.055,1801522
2017-02-21,85.5,88.25,85.0,86.505,2549586
2017-02-22,86.525,87.46,86.31,86.32,1330482
2017-02-23,86.425,86.6,85.755,85.96,1247006
2017-02-24,85.855,86.79,85.535,86.765,823248
2017-02-27,86.835,87.16,86.56,86.77,775836
2017-02-28,86.405,86.45,85.24,85.78,1601396
2017-03-01,86.225,86.4125,85.57,86.0,1405312
2017-03-02,85.44,85.805,85.075,85.515,1301958
2017-03-03,85.49,85.935,85.3075,85.785,752900
2017-03-06,85.215,85.75,84.945,85.45,830496
2017-03-07,85.24,85.675,84.94,85.53,829608
2017-03-08,85.53,85.9375,85.265,85.445,718878
2017-03-09,85.445,85.885,85.215,85.47,534668
2017-03-10,85.825,86.365,85.23,86.085,941908
2017-03-13,86.005,86.19,85.4425,86.11,727238
2017-03-14,86.04,86.04,85.22,85.625,556090
2017-03-15,85.755,86.565,85.335,86.36,679236
2017-03-16,86.25,86.445,85.085,85.585,1180848
2017-03-17,85.82,86.0,85.095,85.625,1818248
2017-03-20,85.43,86.25,84.9803,85.705,733584
2017-03-21,86.0,86.45,85.26,85.4,933014
2017-03-22,85.68,86.13,84.91,85.925,646144
2017-03-23,85.9,86.75,85.54,85.73,682980
2017-03-24,85.885,86.305,85.385,85.625,551082
2017-03-27,85.145,86.01,85.07,85.63,527486
2017-03-28,85.525,85.78,85.31,85.545,776898
2017-03-29,85.685,85.8025,85.035,85.445,621190
2017-03-30,85.21,85.57,85.15,85.415,382174
2017-03-31,85.175,85.375,84.855,84.985,594888
2017-04-03,85.11,85.575,84.375,84.525,892550
2017-04-04,84.615,84.855,84.09,84.41,622510
2017-04-05,84.34,85.37,84.005,84.095,1048904
2017-04-06,84.225,84.525,83.65,84.45,710520
2017-04-07,84.475,84.71,83.73,83.775,687336
2017-04-10,83.855,84.72,83.6775,84.46,769672
2017-04-11,84.285,85.15,84.285,85.03,799050
2017-04-12,83.11,84.715,83.11,84.365,914872
2017-04-13,84.55,84.555,83.865,83.925,435298
2017-04-17,84.14,84.615,83.8,84.435,504710
2017-04-18,84.22,84.235,83.39,83.85,623256
2017-04-19,84.185,84.425,83.43,83.99,562710
2017-04-20,84.08,84.88,83.465,84.7,1010634
2017-04-21,84.78,84.93,83.81,84.055,596232
2017-04-24,84.99,85.105,84.26,84.9,679744
2017-04-25,85.095,85.5,84.825,85.11,803874
2017-04-26,85.175,86.68,85.1034,86.59,1215060
2017-04-27,86.735,87.345,86.615,87.0875,716504
2017-04-28,86.88,87.22,86.615,86.9,712230
2017-05-01,86.925,87.035,86.375,86.8,485038
2017-05-02,86.76,87.815,86.76,87.71,622274
2017-05-03,87.625,88.145,87.5925,87.845,919922
