date,open,high,low,close,volume
2017-01-03,111.8257,112.7646,111.591,112.2267,1434186
2017-01-04,112.1876,113.0873,111.7866,112.4516,871728
2017-01-05,112.256,113.1949,111.9822,113.146,1051677
2017-01-06,113.3913,114.7939,112.9989,114.6272,997199
2017-01-09,114.6566,114.7449,113.5776,114.2839,706442
2017-01-10,114.2152,114.4016,113.0578,113.8915,925509
2017-01-11,113.8817,114.4604,113.2736,114.1564,838513
2017-01-12,114.019,114.9116,113.1657,114.8037,708052
2017-01-13,114.7939,115.0294,114.2839,114.8626,616349
2017-01-17,114.7253,115.0686,113.3815,113.8719,754380
2017-01-18,114.3722,114.6272,113.4158,113.5776,843087
2017-01-19,113.8523,114.176,112.8714,113.7346,961792
2017-01-20,114.2544,114.9705,113.5678,114.8626,1376842
2017-01-23,114.8136,115.2059,114.0092,114.8626,1053798
2017-01-24,115.4708,116.5792,115.0294,116.4811,964560
2017-01-25,117.3541,118.2467,116.8048,117.717,1442658
2017-01-26,117.7072,117.8151,116.1181,116.1966,1041571
2017-01-27,116.844,116.9813,115.9514,116.3241,703010
2017-01-30,116.226,116.2849,115.0686,116.2653,808377
2017-01-31,116.1574,116.3143,115.3707,116.3143,1207227
2017-02-01,116.226,116.7165,115.1471,115.4609,922747
2017-02-02,114.9705,115.9318,114.2054,115.5787,743836
2017-02-03,116.2751,116.9715,116.0593,116.1083,828160
2017-02-06,115.8337,115.9122,115.0392,115.6375,757166
2017-02-07,115.9808,116.3241,114.9607,115.2353,790924
2017-02-08,109.762,115.4119,109.762,114.3231,2964334
2017-02-09,114.3918,115.0294,113.5874,113.8719,1718336
2017-02-10,114.3329,115.304,113.6757,115.2844,1428133
2017-02-13,115.9318,116.4124,114.9705,116.1378,1357838
2017-02-14,115.9023,116.5988,115.2893,116.5694,1475192
2017-02-15,116.2751,116.6871,115.6767,116.6773,1031135
2017-02-16,116.7263,117.049,116.1083,116.9617,874967
2017-02-17,116.9617,117.5797,115.9367,117.5699,2113438
2017-02-21,117.1383,118.2369,116.5399,117.5797,1505708
2017-02-22,117.4816,117.8641,116.8342,117.1481,1254804
2017-02-23,117.2069,118.6685,116.7852,118.3938,1635059
2017-02-24,124.083,125.9957,121.5032,125.5641,3478488
2017-02-27,124.5244,125.1424,122.9746,123.4454,2245847
2017-02-28,123.3179,123.4552,122.0176,123.0433,1932311
2017-03-01,123.4847,123.4847,121.8073,122.1506,2503414
2017-03-02,121.5719,123.0236,121.4934,122.7784,1543117
2017-03-03,122.9844,124.2498,122.3272,124.034,1500620
2017-03-06,123.3375,124.132,123.0334,123.6906,1045487
2017-03-07,124.0241,124.0732,122.8961,123.004,1121920
2017-03-08,122.6607,123.2492,122.4645,123.2002,1469691
2017-03-09,123.5239,123.5926,121.8956,122.3762,1294830
2017-03-10,123.2885,123.2885,122.2782,122.5528,1282107
2017-03-13,122.3861,122.6901,122.0722,122.5626,2094595
2017-03-14,122.494,122.6411,121.4836,121.9348,2018531
2017-03-15,122.543,122.9648,121.8024,122.288,1358309
2017-03-16,122.2585,122.5528,121.5327,121.9741,1259890
2017-03-17,122.1212,122.2487,121.3267,121.5523,1668084
2017-03-20,121.209,121.8171,120.4243,121.0422,1380501
2017-03-21,121.1697,121.4335,118.639,118.7371,1754168
2017-03-22,118.9431,119.1687,118.5083,118.8058,1571485
2017-03-23,118.9824,119.7376,117.6091,117.6974,1485320
2017-03-24,118.129,118.3301,116.8244,117.4325,1890141
2017-03-27,116.5792,116.7852,115.5394,116.1868,2110567
2017-03-28,116.4811,116.6282,115.3874,115.7454,2695308
2017-03-29,115.5787,115.8827,114.5389,115.6277,4294900
2017-03-30,115.304,115.5394,113.2245,113.4109,2093390
2017-03-31,113.2932,114.1662,113.097,113.7738,4699786
2017-04-03,113.8327,114.2937,112.6065,113.9504,4074497
2017-04-04,113.4795,114.5487,113.4795,113.813,1718284
2017-04-05,114.3427,115.0392,113.8327,114.3231,1881654
2017-04-06,114.1558,115.9463,113.6836,115.8971,3653592
2017-04-07,116.0742,117.0284,115.8971,116.5366,2561839
2017-04-10,116.6251,117.3629,116.1234,116.694,2147198
2017-04-11,116.4382,116.8169,115.4741,116.753,1673345
