date,open,high,low,close,volume
2017-01-03,25.95,26.11,25.64,25.82,8275311
2017-01-04,26.05,26.085,25.585,25.85,7862762
2017-01-05,26.15,26.8,26.05,26.3,10205559
2017-01-06,26.3,26.41,25.92,26.27,6234331
2017-01-09,26.64,26.95,26.14,26.26,8072075
2017-01-10,26.3,27.1,26.25,26.9,20417379
2017-01-11,26.76,27.18,26.445,26.77,5498066
2017-01-12,26.83,26.83,26.48,26.61,4867676
2017-01-13,26.77,26.9,26.52,26.84,5929707
2017-01-17,26.82,27.65,26.71,27.21,7717468
2017-01-18,27.34,27.5,26.86,27.16,5974390
2017-01-19,27.3,27.84,27.13,27.75,10279738
2017-01-20,27.96,28.14,27.54,27.6,7141958
2017-01-23,27.5,28.27,27.46,28.18,9972357
2017-01-24,28.5,28.91,28.22,28.54,13843192
2017-01-25,28.77,28.84,28.3538,28.59,7484578
2017-01-26,28.8,28.8,28.18,28.32,6052070
2017-01-27,28.35,28.5,28.12,28.36,3107023
2017-01-30,28.17,28.64,28.06,28.56,3595494
2017-01-31,28.32,28.46,28.01,28.4,4381726
2017-02-01,28.59,28.59,28.02,28.13,4109167
2017-02-02,28.0,28.21,27.88,28.17,4403282
2017-02-03,28.28,28.4,28.08,28.32,3671480
2017-02-06,28.64,28.8,28.35,28.54,3919297
2017-02-07,28.66,28.94,28.46,28.81,4834574
2017-02-08,28.81,29.06,28.63,28.98,3769446
2017-02-09,28.96,29.2,28.76,29.01,6234699
2017-02-10,29.21,29.525,29.01,29.38,4491403
2017-02-13,29.52,29.65,29.105,29.52,6084490
2017-02-14,29.48,29.74,29.28,29.43,3330771
2017-02-15,29.5,30.25,29.4,30.14,8001239
2017-02-16,30.32,30.57,30.03,30.23,7706227
2017-02-17,29.57,30.27,29.51,29.85,7080140
2017-02-21,30.0,30.285,29.81,30.23,5131397
2017-02-22,30.27,30.67,30.1,30.47,6604605
2017-02-23,30.75,30.88,30.23,30.61,9921265
2017-02-24,30.5,30.52,30.03,30.27,4641515
2017-02-27,30.3,30.91,30.25,30.8,5946260
2017-02-28,30.97,31.16,30.36,30.57,8639465
2017-03-01,30.83,30.99,30.56,30.67,7942571
2017-03-02,31.74,32.47,30.48,30.93,22176037
2017-03-03,31.32,31.58,30.87,30.93,9199263
2017-03-06,30.97,30.98,30.24,30.41,8109765
2017-03-07,30.2,30.94,29.96,30.75,7488251
2017-03-08,30.61,31.64,30.6,31.34,8226569
2017-03-09,31.15,31.51,30.96,31.2,5546220
2017-03-10,31.35,31.55,30.945,31.06,6038544
2017-03-13,31.27,31.82,31.15,31.69,6473455
2017-03-14,31.46,31.59,31.11,31.37,4364713
2017-03-15,31.35,31.53,31.08,31.38,4368827
2017-03-16,31.87,32.21,31.44,31.54,6367450
2017-03-17,31.77,31.77,31.34,31.56,6464095
2017-03-20,31.57,31.87,31.54,31.72,4270760
2017-03-21,31.88,31.93,30.14,30.32,9364436
2017-03-22,30.18,30.61,29.88,30.58,6790040
2017-03-23,30.85,31.35,30.61,31.29,8940535
2017-03-24,31.42,31.84,31.1,31.26,5826837
2017-03-27,31.0,31.55,30.76,31.38,4055379
2017-03-28,31.33,32.0,31.21,31.46,5862345
2017-03-29,31.5,31.67,31.425,31.58,3152826
2017-03-30,31.5,31.89,31.47,31.56,4907678
2017-03-31,31.4,31.56,31.085,31.11,5975227
2017-04-03,31.43,32.1,31.27,31.92,7934878
2017-04-04,31.8,31.89,31.23,31.44,4927524
2017-04-05,31.58,32.06,31.44,31.53,5368448
2017-04-06,31.69,32.26,31.49,32.23,5840730
2017-04-07,32.2,32.25,31.57,32.01,5623881
2017-04-10,32.16,32.92,32.15,32.67,8303755
2017-04-11,32.7,33.281,32.22,32.3,8054205
2017-04-12,32.31,32.88,32.31,32.71,6817951
2017-04-13,32.74,32.87,32.45,32.47,3029646
2017-04-17,32.67,33.0899,32.58,32.72,4383267
2017-04-18,32.67,33.005,32.55,32.84,4273453
2017-04-19,33.16,34.0,33.1,33.36,10268606
2017-04-20,34.04,34.14,33.45,33.97,7963522
2017-04-21,34.14,34.725,34.0,34.35,11713477
2017-04-24,34.78,34.94,34.36,34.57,9606789
2017-04-25,35.0,35.07,34.88,34.96,6890089
2017-04-26,35.06,35.075,34.8,34.94,6069918
2017-04-27,35.05,35.32,34.97,35.3,4982978
2017-04-28,35.5,35.5,34.73,35.07,4759964
2017-05-01,35.14,35.45,35.02,35.34,5712699
2017-05-02,35.35,35.565,34.87,35.45,5194750
2017-05-03,35.53,35.53,34.51,35.15,7920871
2017-05-04,35.26,35.495,34.9578,35.4,10001587
2017-05-05,35.5,35.9,35.16,35.78,9033875
2017-05-08,37.88,39.09,37.69,38.55,31389643
2017-05-09,38.84,38.99,38.28,38.53,16211102
2017-05-10,38.55,39.36,38.42,39.32,16745122
2017-05-11,39.15,40.0,38.75,39.76,13039746
2017-05-12,39.82,40.72,39.77,40.56,13923142
2017-05-15,40.99,41.0118,39.91,40.23,12498618
2017-05-16,40.28,41.0,40.23,40.77,14975910
2017-05-17,40.2,40.96,39.96,40.04,10284555
2017-05-18,39.025,40.395,38.59,40.16,12521356
2017-05-19,40.47,41.72,40.42,41.06,12501170
2017-05-22,41.61,41.97,41.2,41.66,11472038
2017-05-23,41.96,41.97,40.32,40.72,11557421
2017-05-24,40.86,40.91,39.77,40.44,10724131
2017-05-25,41.0,41.35,40.715,41.02,9737561
2017-05-26,40.93,41.1,40.615,40.99,6780278
2017-05-30,41.1,41.1,40.37,40.79,7109914
2017-05-31,40.72,40.79,39.69,40.03,14503580
2017-06-01,40.2,40.47,39.98,40.29,10061442
2017-06-02,40.32,40.37,39.86,40.23,8721058
2017-06-05,40.32,40.53,40.07,40.32,5543313
2017-06-06,40.2,40.55,40.07,40.18,6317790
2017-06-07,40.3,41.43,40.15,41.18,7187410
2017-06-08,43.41,43.8,41.22,41.92,23897036
