date,open,high,low,close,volume
2017-01-03,81.8279,81.9397,80.4773,81.5298,3104614
2017-01-04,81.5205,81.9397,80.943,81.0641,2274880
2017-01-05,80.943,81.3156,80.1792,80.5984,3037390
2017-01-06,80.5984,80.6913,79.9464,80.3935,2450244
2017-01-09,80.3376,80.5472,79.7228,80.1699,2482512
2017-01-10,79.965,80.3842,79.5552,80.0209,2539939
2017-01-11,80.2165,81.0734,80.142,80.8126,2754510
2017-01-12,80.8778,81.7534,80.5704,81.4274,2484719
2017-01-13,81.4274,81.4367,80.6426,81.0641,1799100
2017-01-17,80.766,81.9443,80.766,81.8931,2304841
2017-01-18,81.7813,82.5172,81.7813,82.2936,2881765
2017-01-19,82.1353,82.3681,81.5485,81.8279,1690802
2017-01-20,82.2936,82.8991,81.9769,82.8525,2795514
2017-01-23,82.5824,82.8525,82.1539,82.7128,2654131
2017-01-24,82.8152,83.076,82.2657,82.6103,2171124
2017-01-25,82.8339,83.1506,82.3495,82.75,2267495
2017-01-26,83.3555,83.7374,82.6336,83.281,3092073
2017-01-27,82.8618,83.6163,82.6941,83.2996,1842940
2017-01-30,82.9829,83.3648,82.5544,82.9736,2233590
2017-01-31,82.8059,83.4207,82.7454,83.1692,2650528
2017-02-01,82.7966,83.2111,82.254,82.3495,1816784
2017-02-02,82.4427,82.9922,82.2657,82.5358,1826675
2017-02-03,83.0947,83.2251,82.5637,83.1506,2205056
2017-02-06,83.1785,83.2716,82.5637,82.6196,1359780
2017-02-07,82.6289,82.9177,82.4333,82.7221,2599297
2017-02-08,82.7221,83.1878,82.7035,83.076,3300398
2017-02-09,83.1506,84.1938,82.9363,83.6256,2708309
2017-02-10,83.4579,84.3335,83.2158,84.0168,1882092
2017-02-13,84.1193,84.3894,83.5464,84.3708,1812547
2017-02-14,84.3614,84.8202,83.9237,84.585,2323242
2017-02-15,84.8831,85.0414,84.0727,84.8505,3083858
2017-02-16,82.9922,83.6815,80.4307,81.297,10584747
2017-02-17,85.6934,91.0679,85.5537,90.0247,30007660
2017-02-21,85.5258,88.9349,85.088,88.3667,14423224
2017-02-22,88.348,88.4878,86.6156,86.9602,5000119
2017-02-23,86.895,87.2024,86.0194,86.569,2901140
2017-02-24,87.0999,87.37,86.2243,86.6994,2670483
2017-02-27,86.2523,86.5038,84.1379,84.3987,6085677
2017-02-28,84.4639,85.6748,84.1565,85.237,4267732
2017-03-01,86.0434,86.1746,84.9933,85.7246,2858644
2017-03-02,85.7902,85.9684,85.1151,85.5839,2552714
2017-03-03,85.5558,85.7902,85.1433,85.7902,1653039
2017-03-06,85.3402,85.7996,85.1245,85.4714,2044942
2017-03-07,85.1433,85.734,85.0589,85.1339,1490968
2017-03-08,85.012,85.4808,84.7964,85.2277,2034763
2017-03-09,85.1058,85.8699,84.9651,85.8183,2108524
2017-03-10,86.334,86.3443,85.5652,85.7996,2277111
2017-03-13,85.6683,85.7902,85.3402,85.4902,2182943
2017-03-14,85.4714,85.6496,85.012,85.3777,2097343
2017-03-15,85.8746,86.3903,85.4058,86.109,2076292
2017-03-16,86.9528,87.4498,86.409,86.981,4139046
2017-03-17,87.7592,87.8248,86.0902,86.2403,5655915
2017-03-20,86.2871,87.1497,86.1559,86.5966,2062998
2017-03-21,86.5497,86.9903,85.8746,86.1653,2373303
2017-03-22,86.4934,86.9622,86.2965,86.5309,1540330
2017-03-23,86.3059,86.9903,86.1653,86.2684,1833318
2017-03-24,86.484,86.6341,85.6214,85.959,1703782
2017-03-27,85.7902,85.8746,85.407,85.5558,1699017
2017-03-28,85.1151,85.9449,85.1151,85.7058,2223337
2017-03-29,85.5089,85.884,85.3777,85.7808,1462578
2017-03-30,85.7246,85.9496,85.3589,85.4152,1143400
2017-03-31,85.2089,85.4996,84.9183,85.1433,2205051
2017-04-03,85.1339,85.5839,84.9745,85.3777,3414988
2017-04-04,85.0401,85.5558,84.637,85.5277,2193999
2017-04-05,85.4152,86.6528,85.3495,85.7152,2694733
2017-04-06,85.7808,86.0621,84.9933,85.2745,2096946
2017-04-07,85.4808,85.7808,85.012,85.0401,2000272
2017-04-10,84.9933,85.3214,84.5338,85.2183,3496948
2017-04-11,85.2183,85.387,84.7471,85.162,1396543
2017-04-12,85.3495,86.3903,85.3308,86.1934,2007448
2017-04-13,86.3059,86.3059,85.7716,85.7902,1816348
2017-04-17,86.0715,86.2215,85.3495,85.8652,1803779
2017-04-18,85.8277,86.8497,85.6308,86.7278,2135091
2017-04-19,86.6622,86.6809,85.9684,86.1184,1978523
2017-04-20,86.3622,86.6341,85.8371,86.2965,1787936
2017-04-21,86.3809,86.484,85.8465,85.884,1969817
