date,open,high,low,close,volume
2017-01-03,75.0258,76.4319,74.5603,75.4439,1330860
2017-01-04,75.2444,75.5009,74.5128,75.1779,1165699
2017-01-05,74.8263,75.3109,73.9713,74.5033,1317168
2017-01-06,74.7028,75.2159,74.0283,75.1779,942696
2017-01-09,75.2539,76.0994,75.2159,75.6149,1040649
2017-01-10,75.6244,75.7194,74.8928,75.3679,561899
2017-01-11,75.2824,76.4414,75.0781,76.2609,1208074
2017-01-12,76.1754,76.2039,75.5009,76.0994,903990
2017-01-13,76.1279,77.5055,76.1089,77.3725,1148201
2017-01-17,77.3155,77.3155,75.2444,76.0044,1198991
2017-01-18,76.3274,77.61,76.0329,77.553,1297461
2017-01-19,77.591,77.8,76.7835,77.097,911245
2017-01-20,76.9545,77.7905,76.6504,77.4865,965097
2017-01-23,77.61,78.009,77.325,77.9995,1029770
2017-01-24,78.123,78.9021,77.7905,78.6646,1135093
2017-01-25,79.4246,80.8877,78.9781,80.4412,2007413
2017-01-26,80.4222,80.5837,78.8261,79.0921,2715731
2017-01-27,81.6762,83.5668,80.9732,81.8567,3253500
2017-01-30,81.6952,82.2368,80.9257,81.9422,1635158
2017-01-31,81.9232,81.9232,80.3462,80.8592,1492809
2017-02-01,81.2677,81.7617,80.6597,81.7427,1399605
2017-02-02,81.6477,83.1963,81.0682,82.9968,1612911
2017-02-03,83.5193,83.7189,82.8258,83.2153,1298064
2017-02-06,82.9113,83.5098,82.5598,82.6548,1160861
2017-02-07,82.5503,83.3388,82.5503,83.2818,1256964
2017-02-08,83.3768,83.4433,82.5313,82.5313,1031752
2017-02-09,82.5123,82.9303,82.1703,82.4078,811672
2017-02-10,82.6168,82.8828,82.0183,82.3128,1422066
2017-02-13,82.982,83.6321,82.9055,83.3835,698770
2017-02-14,83.3262,83.4505,82.5614,83.1636,1408884
2017-02-15,83.1636,83.9954,82.8768,83.8233,743737
2017-02-16,84.0432,84.6837,83.331,84.6359,1936323
2017-02-17,84.3778,84.5785,83.5652,84.569,1431179
2017-02-21,84.7984,86.5193,84.416,86.4715,1301332
2017-02-22,86.1847,86.4237,85.6206,86.2994,836588
2017-02-23,86.3759,86.8825,85.4103,85.9456,808626
2017-02-24,85.525,86.3759,85.1904,86.3185,762448
2017-02-27,86.481,86.481,85.5728,86.2516,437144
2017-02-28,86.2898,86.481,85.8309,86.156,989938
2017-03-01,86.6722,87.6187,85.9074,87.4179,1314195
2017-03-02,87.3319,87.5518,86.6627,86.7391,1091305
2017-03-03,86.9303,87.0164,85.917,86.4428,751666
2017-03-06,86.0699,87.0546,85.6623,86.8252,774930
2017-03-07,86.5384,87.4084,85.5824,87.0355,879071
2017-03-08,87.2554,87.8481,86.7965,87.5231,1089434
2017-03-09,87.7334,87.8767,87.0547,87.7525,1022122
2017-03-10,88.5173,89.1196,87.8481,89.1005,1386573
2017-03-13,88.8806,89.2439,88.3452,88.7754,1113696
2017-03-14,88.7754,89.2821,88.0011,88.785,712250
2017-03-15,89.0049,89.5307,88.5651,89.4925,784871
2017-03-16,89.4925,90.4963,89.415,90.0565,843595
2017-03-17,90.2764,91.0794,89.8557,90.525,1982335
2017-03-20,90.8404,92.1024,90.4485,90.936,1013585
2017-03-21,91.1464,91.5288,89.1387,90.0469,1110306
2017-03-22,90.372,91.4332,89.8557,91.3662,1076846
2017-03-23,91.3758,91.7731,90.6779,91.0412,766765
2017-03-24,91.8251,92.6473,91.1081,91.5096,514617
2017-03-27,91.1368,91.8777,90.4485,91.5861,572022
2017-03-28,91.5766,91.9685,91.0221,91.4427,732954
2017-03-29,91.242,91.4642,90.8596,91.2515,637231
2017-03-30,91.5288,91.8921,91.2611,91.4332,395735
2017-03-31,91.1846,92.1877,90.5728,90.8882,772359
2017-04-03,91.1464,92.1406,90.6397,91.7487,963438
2017-04-04,91.7487,92.4083,91.6531,92.2171,967115
2017-04-05,92.2267,93.2018,91.3567,91.5192,1122973
2017-04-06,91.5192,91.959,90.7066,91.9399,980730
2017-04-07,92.0068,92.4083,91.8538,92.2936,1128126
2017-04-10,92.4943,92.7047,91.6339,92.0928,1472725
2017-04-11,91.9207,91.959,89.4925,91.2993,1406113
2017-04-12,91.5479,91.763,90.5632,91.0221,1041037
2017-04-13,90.8022,92.0737,90.0756,91.1368,1134903
2017-04-17,90.3624,91.5288,90.1808,91.2993,1542877
2017-04-18,90.764,91.6339,90.1712,90.4389,1416702
2017-04-19,91.481,93.3643,91.3615,93.2974,1563146
2017-04-20,93.6894,94.4733,93.3261,94.1769,1021989
2017-04-21,94.2343,94.3108,93.3739,94.0431,799113
2017-04-24,95.3241,96.5383,94.8461,96.3949,1419037
2017-04-25,96.6721,97.3318,96.022,97.2362,1007736
2017-04-26,97.3031,97.3031,96.2037,96.3662,791110
2017-04-27,96.8346,99.6358,96.8346,99.0335,2706251
2017-04-28,95.8691,99.4063,93.5364,93.8997,3066458
2017-05-01,94.3681,95.1234,93.1827,94.8079,1802029
2017-05-02,94.9991,95.4006,94.1387,95.3337,1483879
2017-05-03,95.2955,95.6205,94.7266,95.0756,1019348
2017-05-04,95.7926,96.414,95.2094,96.3758,903485
2017-05-05,97.0067,97.3222,95.4102,96.5,986052
2017-05-08,96.567,96.5813,95.8404,96.0794,968398
2017-05-09,96.2706,97.0067,96.1846,96.3758,787807
2017-05-10,96.6912,96.8346,95.9838,96.328,1155040
2017-05-11,96.3952,96.8181,95.7032,96.3664,867054
2017-05-12,96.4913,97.0776,95.6359,96.1549,907509
2017-05-15,96.203,97.8562,96.203,97.3179,1506266
2017-05-16,97.7216,98.3944,97.5246,98.356,1158191
2017-05-17,97.4813,97.5871,95.9531,96.0011,1343637
2017-05-18,95.7801,97.193,95.3091,96.9335,1387697
2017-05-19,97.4237,98.5771,97.1738,97.8273,970966
2017-05-22,98.231,98.8846,97.6832,98.7212,902316
2017-05-23,98.9711,99.0769,98.0773,98.5098,952108
2017-05-24,99.1057,99.6151,98.6251,99.2691,681357
2017-05-25,99.4806,101.0567,99.3364,100.7781,691938
2017-05-26,100.682,100.7301,99.8698,100.6724,566490
2017-05-30,100.7781,101.5663,100.4609,100.4802,1062827
2017-05-31,101.0184,101.0664,99.3652,99.9611,2005765
2017-06-01,99.9611,101.0179,99.9611,100.682,1386188
2017-06-02,101.4125,101.8162,100.7493,101.7681,1840943
2017-06-05,101.7874,102.6428,101.4317,102.2679,1227529
2017-06-06,102.2583,104.0749,101.5945,103.6136,1413914
2017-06-07,103.8058,104.6997,103.4694,104.4498,1099122
2017-06-08,104.6997,104.9723,103.7097,104.6997,899181
2017-06-09,105.0073,105.334,96.6547,98.0196,1888164
2017-06-12,96.6355,97.9619,94.3191,97.2122,2494886
2017-06-13,98.01,98.9135,96.2607,97.4813,1064318
2017-06-14,97.5006,98.7164,93.8385,94.7228,1590058
2017-06-15,93.4541,94.5498,92.887,93.3003,1603613
2017-06-16,93.6751,94.9775,93.1121,93.9058,1720718
2017-06-19,94.915,97.4813,94.6699,97.0969,1604604
2017-06-20,96.9431,97.2728,93.6943,93.7905,1395791
2017-06-21,93.9731,94.4777,93.2426,94.2038,1038042
2017-06-22,94.1461,94.7526,92.6082,92.9158,778734
2017-06-23,92.9254,94.2518,92.8677,94.1461,1595330
2017-06-26,94.5017,94.8766,92.1661,92.291,1239141
2017-06-27,92.0027,92.2334,90.0611,90.2245,1347091
2017-06-28,90.907,92.2526,89.3403,92.0219,1593879
2017-06-29,91.6567,91.6567,87.5525,88.9174,1615783
2017-06-30,89.8689,89.8689,87.7159,87.9562,1320074
2017-07-03,88.7155,89.321,87.2449,87.9946,748064
2017-07-05,88.1773,88.9366,87.168,88.7059,1660634
2017-07-06,88.283,89.2538,87.3891,88.8885,1222347
2017-07-07,89.5902,91.3972,89.3499,90.8974,1181004
2017-07-10,91.0031,92.07,90.2149,91.9162,1184643
2017-07-11,91.9258,93.6463,91.4452,93.1657,1172745
2017-07-12,93.9154,95.2642,93.0696,93.9058,753381
2017-07-13,94.1941,94.8093,93.3291,93.8097,827433
2017-07-14,94.1461,95.8474,93.925,95.7705,937242
2017-07-17,96.1165,96.2765,94.5113,95.2803,791511
2017-07-18,95.213,96.0011,94.3383,95.9531,709515
2017-07-19,96.7316,97.7168,96.5682,97.4525,1088351
2017-07-20,97.7312,97.7985,96.5691,97.7505,571675
2017-07-21,97.0488,97.6063,95.2803,96.0107,978219
2017-07-24,96.078,96.9911,95.9627,96.3183,776183
2017-07-25,96.0973,96.4529,95.0688,95.2707,1108988
2017-07-26,94.6651,96.9623,94.6651,96.9431,854882
