date,open,high,low,close,volume
2017-01-03,30.99,31.32,30.43,30.65,2515374
2017-01-04,30.73,31.35,30.73,31.35,1733020
2017-01-05,31.27,32.33,31.23,32.32,2271711
2017-01-06,32.52,33.385,32.3,33.34,2588923
2017-01-09,33.43,33.96,32.9,33.79,1841809
2017-01-10,33.9,34.06,33.37,34.01,2069401
2017-01-11,33.94,34.935,33.865,34.91,2495278
2017-01-12,34.92,34.99,34.45,34.92,3127026
2017-01-13,34.99,35.45,34.855,34.98,2264535
2017-01-17,34.74,35.0498,34.51,34.69,2150073
2017-01-18,34.78,34.81,34.1602,34.53,1939193
2017-01-19,34.51,35.48,34.47,34.94,2569717
2017-01-20,35.26,35.36,34.57,34.87,1283881
2017-01-23,34.73,35.14,34.51,34.93,1343713
2017-01-24,35.07,35.2,34.56,34.96,1404129
2017-01-25,34.98,35.41,34.845,35.23,2693560
2017-01-26,35.17,36.02,35.11,35.92,3008614
2017-01-27,36.03,36.64,35.94,36.62,2403864
2017-01-30,36.6,36.705,36.105,36.62,1750147
2017-01-31,36.69,36.78,36.16,36.48,1732310
2017-02-01,36.6,36.67,36.015,36.23,1611309
2017-02-02,36.13,36.54,36.02,36.29,860522
2017-02-03,36.5,36.64,36.33,36.52,776071
2017-02-06,36.42,36.62,36.0661,36.13,912717
2017-02-07,36.09,36.09,35.46,35.54,1798136
2017-02-08,35.53,35.72,35.24,35.4,1156429
2017-02-09,35.3,35.38,34.81,35.19,1997483
2017-02-10,35.35,35.6,35.19,35.36,1785935
2017-02-13,35.52,35.655,35.27,35.46,1264395
2017-02-14,35.36,35.6,35.23,35.51,1574438
2017-02-15,35.32,35.95,35.31,35.83,2216029
2017-02-16,36.61,37.69,35.5,35.91,3950529
2017-02-17,35.86,36.85,35.85,36.75,2554762
2017-02-21,36.79,37.5,36.01,37.45,3028286
2017-02-22,37.24,37.32,36.61,36.63,2576641
2017-02-23,36.535,36.77,36.085,36.43,3231962
2017-02-24,36.4,37.0,36.08,36.99,1607847
2017-02-27,37.0,37.32,36.84,37.3,1862322
2017-02-28,37.06,37.33,35.35,35.7,5751851
2017-03-01,35.87,36.11,34.945,35.2,3922341
2017-03-02,35.15,35.15,34.465,34.79,4330471
2017-03-03,34.7,34.96,34.41,34.88,1616865
2017-03-06,34.92,35.63,34.575,35.24,1845019
