date,open,high,low,close,volume
2017-01-03,30.21,30.46,29.58,29.8,3098192
2017-01-04,29.89,30.33,29.85,30.32,2531661
2017-01-05,30.14,31.18,30.14,31.1,3503126
2017-01-06,31.2,32.165,31.12,32.1,3175487
2017-01-09,32.03,32.85,31.7,32.7,4375078
2017-01-10,32.71,32.81,32.24,32.71,3403782
2017-01-11,32.64,33.415,32.56,33.37,3255965
2017-01-12,33.38,33.48,32.94,33.4,4112537
2017-01-13,33.59,33.865,33.34,33.59,2649770
2017-01-17,33.59,33.64,33.16,33.37,2913955
2017-01-18,33.5,33.5,32.91,33.24,2385848
2017-01-19,33.15,34.065,33.15,33.66,3728662
2017-01-20,34.0,34.1,33.535,33.68,2097178
2017-01-23,33.56,33.905,33.35,33.75,2493531
2017-01-24,34.13,34.13,33.44,33.82,2515806
2017-01-25,33.98,34.23,33.52,34.14,2404332
2017-01-26,34.1,34.835,33.92,34.67,2545993
2017-01-27,34.84,35.31,34.66,35.28,3032111
2017-01-30,35.29,35.43,34.83,35.3,3510148
2017-01-31,35.14,35.3,34.855,35.13,2776222
2017-02-01,35.1,35.31,34.71,35.0,2458521
2017-02-02,34.9,35.32,34.57,35.06,2449819
2017-02-03,35.12,35.44,35.095,35.34,1521803
2017-02-06,35.21,35.37,34.86,34.87,1953972
2017-02-07,34.85,34.9,34.36,34.4,2488786
2017-02-08,34.45,34.61,34.16,34.3,2516941
2017-02-09,34.18,34.28,33.76,34.07,2837629
2017-02-10,34.18,34.43,34.1,34.25,1732650
2017-02-13,34.37,34.4601,34.12,34.4,1851256
2017-02-14,34.27,34.38,34.15,34.28,2428395
2017-02-15,33.97,34.86,33.97,34.79,3156955
2017-02-16,35.4,36.58,34.61,34.97,6029723
2017-02-17,34.91,35.665,34.91,35.58,3118308
2017-02-21,35.51,36.34,35.39,36.32,4137439
2017-02-22,36.1,36.13,35.65,35.75,3750219
2017-02-23,35.96,35.96,35.33,35.63,4185350
2017-02-24,35.77,36.23,35.31,36.2,2390455
2017-02-27,36.09,36.42,35.97,36.34,1962907
2017-02-28,36.16,36.4,34.62,35.09,6726816
2017-03-01,35.24,35.37,34.38,34.57,4338386
2017-03-02,34.37,34.4122,33.89,34.09,5533189
2017-03-03,34.16,34.215,33.79,34.1,2727789
2017-03-06,34.09,34.845,33.85,34.58,2514548
2017-03-07,34.46,34.74,34.31,34.64,2217983
2017-03-08,34.6,35.32,34.44,34.82,3090080
2017-03-09,34.93,35.01,34.48,34.75,2716925
2017-03-10,35.02,35.71,34.45,35.17,2998484
2017-03-13,35.06,35.48,34.87,35.4,2136093
2017-03-14,35.18,35.415,34.4,35.35,1980859
2017-03-15,35.44,37.0,34.48,36.24,5299900
2017-03-16,36.22,36.75,36.16,36.5,2237650
2017-03-17,36.63,36.7325,36.17,36.63,5011761
2017-03-20,36.67,36.79,35.94,35.94,1827436
2017-03-21,35.96,36.07,34.63,34.74,4512481
2017-03-22,34.93,35.04,33.97,34.33,4389839
2017-03-23,34.19,34.9,34.09,34.47,2804901
2017-03-24,34.71,34.95,34.3,34.44,3352111
2017-03-27,34.38,34.98,33.945,34.88,2237998
2017-03-28,34.39,34.93,33.02,34.63,4525399
2017-03-29,34.53,34.93,34.42,34.455,3156521
2017-03-30,34.37,35.15,34.32,35.08,2253413
2017-03-31,34.95,35.17,34.64,35.04,3332413
2017-04-03,35.05,35.27,34.11,34.12,2931429
2017-04-04,33.94,34.525,33.94,34.2,2624155
2017-04-05,34.19,35.065,34.11,34.46,2559370
2017-04-06,34.49,34.86,34.35,34.55,2195753
2017-04-07,34.7,34.93,34.54,34.63,1779656
2017-04-10,34.7,35.0,34.37,34.39,1697329
2017-04-11,34.25,34.42,33.69,33.97,3188790
2017-04-12,33.88,34.23,33.8,34.05,1847716
2017-04-13,34.15,34.18,33.67,33.68,2050669
2017-04-17,33.9,33.96,33.63,33.74,2163106
2017-04-18,33.73,33.73,33.29,33.5,3006377
2017-04-19,33.77,34.085,33.5,33.91,2886297
2017-04-20,34.12,34.39,33.98,33.98,2202260
2017-04-21,34.13,34.2,33.71,33.74,2520261
2017-04-24,33.97,34.58,33.925,33.96,3953995
2017-04-25,34.2,35.03,33.96,34.99,3833088
2017-04-26,35.11,35.405,35.02,35.08,2707713
2017-04-27,35.08,35.37,34.93,34.97,1798240
2017-04-28,35.11,35.22,34.535,34.61,2376499
2017-05-01,34.81,35.04,34.51,34.8,1630943
2017-05-02,34.91,35.1,34.34,34.76,2638120
2017-05-03,34.81,34.92,33.67,33.82,2960732
2017-05-04,33.91,34.08,33.16,33.22,2896970
2017-05-05,33.4,33.69,33.25,33.58,2789833
2017-05-08,32.48,32.54,30.815,31.07,8692091
2017-05-09,30.5,31.305,30.3,30.36,6839034
2017-05-10,30.27,30.34,29.65,29.67,4847161
2017-05-11,29.73,29.84,29.51,29.57,5376008
2017-05-12,29.65,29.91,29.5701,29.59,4726350
2017-05-15,29.54,29.78,29.45,29.49,3246596
2017-05-16,29.67,29.73,28.74,29.0,5883934
2017-05-17,28.87,29.42,28.59,28.77,5010741
2017-05-18,28.88,29.51,28.88,29.24,4538028
2017-05-19,29.47,29.87,29.24,29.44,4992920
2017-05-22,29.66,30.07,29.48,29.84,5925168
2017-05-23,29.83,30.18,29.83,29.98,7091982
2017-05-24,29.92,29.92,29.38,29.59,4646830
2017-05-25,29.63,30.08,29.62,29.92,3645420
2017-05-26,30.0,30.09,29.64,30.08,2217836
2017-05-30,30.03,30.2,29.84,29.9,2489838
2017-05-31,29.9,30.01,29.3987,29.72,6868831
2017-06-01,29.74,30.39,29.67,30.19,5606786
2017-06-02,30.39,30.72,30.18,30.6,3841131
2017-06-05,30.67,30.67,30.22,30.29,2026512
2017-06-06,30.21,30.21,29.16,29.18,2879873
2017-06-07,29.39,29.39,28.43,28.99,5515570
2017-06-08,28.88,29.15,28.66,28.88,3525462
2017-06-09,28.73,28.91,28.1,28.24,4343057
2017-06-12,28.2,28.78,28.1,28.38,4851837
2017-06-13,28.38,28.68,28.24,28.64,4485360
2017-06-14,28.68,28.77,28.13,28.26,5129029
2017-06-15,28.24,28.265,27.67,27.91,2459128
2017-06-16,27.74,28.27,27.36,28.19,4612426
2017-06-19,28.32,28.63,28.0,28.45,2210380
2017-06-20,28.29,28.29,27.86,27.95,2708271
2017-06-21,27.94,28.16,27.73,27.85,3969391
2017-06-22,27.85,28.25,27.68,28.03,4423793
2017-06-23,28.1,29.17,27.74,29.14,6472563
2017-06-26,29.29,29.99,29.22,29.39,4376869
2017-06-27,29.29,29.695,28.97,29.45,3744523
2017-06-28,29.49,30.64,29.49,30.5,3975251
2017-06-29,30.37,30.85,30.08,30.77,6053051
2017-06-30,31.25,31.52,30.725,31.18,4922237
2017-07-03,31.34,31.52,30.93,31.0,1470752
2017-07-05,31.05,31.35,30.835,30.99,1801680
2017-07-06,30.84,30.99,30.315,30.37,2311694
2017-07-07,30.35,30.65,30.22,30.53,1238788
2017-07-10,30.38,30.89,30.38,30.71,1316707
2017-07-11,30.72,31.09,30.41,30.59,2252938
2017-07-12,30.91,31.21,30.8,31.12,1691957
2017-07-13,31.24,31.81,31.0701,31.5,2034316
2017-07-14,31.72,31.99,31.66,31.89,2061180
2017-07-17,31.89,32.02,31.7,31.84,1262994
2017-07-18,31.88,31.925,31.58,31.64,1517067
2017-07-19,31.71,31.87,31.47,31.51,1707123
2017-07-20,31.49,32.17,31.49,31.92,3340673
2017-07-21,31.84,31.98,31.65,31.86,2106434
2017-07-24,31.8,31.89,31.63,31.7,1450646
2017-07-25,31.74,31.885,31.61,31.65,1983494
2017-07-26,31.76,32.16,31.75,32.04,1728463
2017-07-27,31.84,32.59,31.84,32.22,3000898
2017-07-28,32.06,32.66,32.05,32.62,2352768
2017-07-31,32.72,32.85,32.18,32.77,2397726
2017-08-01,32.86,33.29,32.82,33.25,3217532
2017-08-02,33.11,33.11,32.315,33.05,4381030
2017-08-03,33.05,33.37,32.96,33.15,2386570
2017-08-04,33.31,33.44,33.0,33.25,2212422
2017-08-07,33.32,33.35,32.92,33.1,2137376
2017-08-08,32.21,32.555,31.61,32.52,4461585
2017-08-09,32.1,33.315,32.1,33.13,2924663
2017-08-10,33.08,33.2,32.725,32.91,4227028
2017-08-11,32.79,33.01,32.52,32.9,2791841
2017-08-14,33.2,33.86,33.17,33.51,2782715
2017-08-15,33.29,33.42,33.0,33.25,3309692
2017-08-16,33.38,33.49,33.1,33.34,3041656
2017-08-17,33.2,33.38,32.42,32.44,3956478
2017-08-18,32.29,32.475,32.115,32.39,2614947
2017-08-21,32.35,32.77,32.31,32.69,1635728
2017-08-22,32.85,33.53,32.85,33.29,2236939
2017-08-23,33.15,33.2,32.56,32.62,2359007
2017-08-24,32.61,32.79,32.3,32.6,1999377
2017-08-25,32.65,32.96,32.62,32.74,1818384
2017-08-28,32.81,32.82,32.62,32.69,1350574
2017-08-29,32.52,32.69,32.355,32.59,1873434
2017-08-30,32.66,32.98,32.64,32.81,842758
2017-08-31,32.98,33.2,32.685,33.03,2969243
2017-09-01,33.15,33.18,32.95,33.0,2497727
2017-09-05,32.83,33.11,32.43,32.84,2409859
2017-09-06,32.9,33.42,32.83,33.3,1542189
2017-09-07,33.41,33.43,32.105,32.13,2781926
2017-09-08,32.04,32.05,31.21,31.56,2907264
2017-09-11,31.83,31.87,31.0,31.04,3344697
2017-09-12,31.13,31.96,30.99,31.89,2868814
2017-09-13,31.9,32.04,31.63,31.64,2328929
2017-09-14,31.6,31.77,31.32,31.58,2115425
2017-09-15,31.51,32.22,31.47,32.13,5898264
2017-09-18,32.14,32.43,31.9,32.29,3502015
2017-09-19,32.43,32.81,32.23,32.36,4110207
2017-09-20,32.42,33.025,32.42,32.65,5576404
