date,open,high,low,close,volume
2017-01-03,103.1398,104.9574,102.2793,103.7005,1937513
2017-01-04,104.0389,104.5175,103.3621,103.7585,1297398
2017-01-05,103.9519,105.1701,103.5168,103.5265,1634252
2017-01-06,103.3331,104.3,102.5597,104.0292,1203610
2017-01-09,104.2226,106.2046,104.2129,105.2474,1440082
2017-01-10,105.3538,105.3731,104.2033,104.8704,1318051
2017-01-11,105.0734,105.3828,104.1888,105.3731,1272368
2017-01-12,105.1314,105.1314,103.2558,104.5803,996443
2017-01-13,105.1024,107.4131,105.0251,106.8717,1498883
2017-01-17,106.6686,106.9297,104.8607,105.4795,1503122
2017-01-18,106.3109,107.5968,105.7018,107.5484,1715584
2017-01-19,107.6935,108.6796,106.833,107.1617,1870361
2017-01-20,108.1962,109.0857,107.6451,108.6216,1727459
2017-01-23,109.2597,110.3232,108.4863,109.0277,2520176
2017-01-24,109.3467,111.0386,109.3467,110.8356,1729333
2017-01-25,112.6726,113.3203,110.7196,113.04,3548501
2017-01-26,111.2127,112.3052,109.1147,110.5359,3789170
2017-01-27,111.7831,115.1863,111.5221,114.3161,3618045
2017-01-30,112.9046,113.1173,110.913,112.1505,2617258
2017-01-31,112.1118,112.4985,110.7196,111.0483,2384585
2017-02-01,112.0635,113.8521,111.6864,113.8327,2115526
2017-02-02,113.6007,114.0358,112.281,113.3397,1203518
2017-02-03,113.6007,114.2485,113.0303,113.7457,1128663
2017-02-06,114.0841,114.0841,112.9626,113.272,1138906
2017-02-07,113.9681,113.9681,112.2955,113.1173,3554808
2017-02-08,113.6007,113.6104,111.8604,112.0248,2334350
2017-02-09,112.5952,112.5952,111.8991,112.1505,1357250
2017-02-10,112.7016,112.7112,111.1353,112.1408,1542750
2017-02-13,113.1366,113.7651,112.3148,112.4019,943423
2017-02-14,112.1505,112.4115,110.884,111.7928,1214438
2017-02-15,112.0441,112.5058,111.2127,112.368,1344366
2017-02-16,112.9239,112.9529,109.4417,110.7679,3108717
2017-02-17,110.4972,111.087,109.8785,111.087,2112082
2017-02-21,111.087,114.0454,111.0067,113.9101,2375687
2017-02-22,113.7264,114.6545,113.127,114.6449,1610695
2017-02-23,115.3216,115.3506,112.6532,113.8231,1351388
2017-02-24,112.7596,114.8672,111.8604,114.8479,1268125
2017-02-27,114.3452,115.4377,113.8617,115.3313,1631259
2017-02-28,115.0799,115.457,114.2291,114.6062,2334321
2017-03-01,115.0219,115.9307,114.379,115.6987,2329210
2017-03-02,114.9929,115.5537,114.1782,114.5482,1103186
2017-03-03,114.4032,114.8962,113.6104,114.6835,1008509
2017-03-06,113.8295,114.9553,112.9658,114.868,1405891
2017-03-07,114.8777,115.392,113.7131,113.9654,1437214
2017-03-08,114.2954,114.8,113.7946,114.2566,826718
2017-03-09,114.0333,114.6059,113.4899,114.0819,722907
2017-03-10,114.8777,117.3136,114.8777,117.0419,1899069
2017-03-13,117.0419,119.0314,116.4596,118.7888,1804014
2017-03-14,118.4685,118.9344,117.5951,118.7403,1256137
2017-03-15,118.9247,120.8171,118.6432,120.5066,2620312
2017-03-16,120.8268,122.4864,120.5066,122.2535,2150441
2017-03-17,123.1269,123.6801,122.4378,122.7484,1972439
2017-03-20,122.9037,123.8936,122.6028,123.1172,1413397
2017-03-21,123.5054,123.8742,120.3416,120.6036,1854519
2017-03-22,120.4192,121.7294,120.3028,121.7003,1223221
2017-03-23,121.5547,122.5506,121.1374,121.6517,1162258
2017-03-24,123.4083,125.5337,122.9813,123.7092,1998301
2017-03-27,122.302,124.5972,121.943,124.0295,1343295
2017-03-28,123.7286,124.7573,123.3889,123.9809,1239955
2017-03-29,123.9809,124.2236,123.4083,124.1071,967172
2017-03-30,124.1265,125.3396,124.1265,124.9029,926804
2017-03-31,124.505,125.1941,124.2333,124.5729,1275573
2017-04-03,124.8253,125.1747,123.7868,124.6312,1149053
2017-04-04,124.2042,125.1261,123.8742,125.0873,995983
2017-04-05,125.6793,126.2907,123.9033,124.0003,1375384
2017-04-06,123.9227,125.1067,123.0947,125.0582,1310233
2017-04-07,125.0291,125.985,124.4177,125.4852,695745
2017-04-10,125.262,125.9219,124.5632,125.0,1026435
2017-04-11,124.5729,124.9828,121.6323,123.4763,1566918
