date,open,high,low,close,volume
2017-01-03,65.94,67.87,65.72,66.85,2871567
2017-01-04,66.97,69.99,66.88,69.41,4938572
2017-01-05,68.43,69.38,67.36,68.73,2286766
2017-01-06,68.74,69.71,67.86,68.27,2185802
2017-01-09,67.21,68.535,67.15,68.19,2240164
2017-01-10,68.77,70.5,68.5,69.9,2784445
2017-01-11,69.96,70.247,68.33,69.4,1946230
2017-01-12,68.66,69.34,68.31,68.62,1372497
2017-01-13,68.9,69.25,67.6,67.92,1074019
2017-01-17,68.04,69.28,68.04,68.78,1274371
2017-01-18,69.12,69.12,67.91,68.5,772062
2017-01-19,67.92,68.18,66.64,66.99,1366580
2017-01-20,67.31,67.8,67.02,67.32,1252199
2017-01-23,66.99,67.22,66.01,66.86,1010210
2017-01-24,67.16,68.15,67.16,67.77,1278604
2017-01-25,68.4,68.87,68.04,68.82,857647
2017-01-26,68.69,69.04,67.61,67.64,1010385
2017-01-27,67.74,67.74,66.04,66.82,1264643
2017-01-30,66.64,66.9597,65.6702,66.89,1180589
2017-01-31,65.09,67.78,65.09,67.51,1584209
2017-02-01,67.87,67.89,66.08,66.4,1220384
2017-02-02,67.0,67.39,66.41,66.52,925073
2017-02-03,65.67,66.78,65.5,66.39,1413473
2017-02-06,66.24,66.64,66.0,66.47,815618
2017-02-07,66.68,66.74,65.84,66.14,936200
2017-02-08,66.0,67.32,65.92,67.17,1058820
2017-02-09,67.25,67.9,66.86,67.0,1091081
2017-02-10,67.56,67.87,66.94,67.62,1240274
2017-02-13,68.07,68.23,66.84,66.99,1376601
2017-02-14,66.83,67.93,66.29,67.76,930907
2017-02-15,67.53,67.88,66.82,67.16,1014436
2017-02-16,67.23,67.49,65.38,65.97,1630873
2017-02-17,65.89,66.98,65.59,66.73,1213795
2017-02-21,67.22,67.24,66.23,66.72,842228
2017-02-22,66.89,67.22,66.55,67.0,533850
2017-02-23,67.33,67.38,64.81,64.84,1708666
2017-02-24,64.55,65.76,64.01,65.32,1814142
2017-02-27,65.38,66.79,65.32,66.43,1205178
2017-02-28,66.4,66.4,65.03,65.26,947773
2017-03-01,66.1,66.17,64.53,65.39,1093526
2017-03-02,65.55,66.97,65.28,66.53,1633157
2017-03-03,66.37,66.56,65.35,65.7,2133641
2017-03-06,65.51,65.705,64.77,64.93,1014289
2017-03-07,64.7,65.39,64.7,65.14,1097733
2017-03-08,65.42,66.43,65.0901,66.25,1370265
2017-03-09,65.6,65.96,64.8,65.0,1747351
2017-03-10,65.1,65.77,64.67,65.08,1142175
2017-03-13,65.45,65.45,63.65,63.79,1452383
2017-03-14,63.5,64.17,63.32,63.67,994225
2017-03-15,64.0,64.1,62.78,63.94,1768993
2017-03-16,64.21,64.66,63.75,63.84,1139936
2017-03-17,64.24,64.24,63.23,64.04,2102264
2017-03-20,64.13,64.22,63.35,63.79,1268311
2017-03-21,63.9,64.32,62.57,62.93,2958597
2017-03-22,61.8,62.92,61.681,62.82,2340768
2017-03-23,63.19,63.78,62.49,63.08,1817014
2017-03-24,63.01,63.8563,62.52,63.69,1425796
2017-03-27,63.36,65.04,62.95,64.11,2637985
2017-03-28,64.25,64.33,63.12,63.68,2608250
2017-03-29,64.27,66.34,64.01,66.3,9431071
2017-03-30,51.99,52.9,50.5,50.76,49620275
2017-03-31,51.23,51.99,50.52,51.87,16826885
2017-04-03,52.11,52.18,50.87,50.92,7589839
2017-04-04,50.5,50.96,49.43,49.76,6232668
2017-04-05,49.89,50.54,49.4001,49.43,4784066
2017-04-06,49.6,50.92,49.57,50.78,5038769
2017-04-07,50.87,51.18,50.505,50.63,3507542
2017-04-10,50.85,52.69,50.85,52.26,7674575
2017-04-11,52.16,52.33,51.49,51.7,2778888
2017-04-12,52.71,53.345,51.85,52.08,5521587
2017-04-13,52.0,52.2499,51.2001,51.22,2238185
2017-04-17,51.56,52.075,51.4,52.0,2698587
2017-04-18,51.83,52.03,51.44,51.93,1942887
2017-04-19,51.93,52.83,51.8139,52.2,3950772
2017-04-20,52.48,54.0,52.42,53.61,5489739
2017-04-21,53.66,53.96,53.06,53.08,3011552
2017-04-24,53.55,53.82,52.42,52.75,3284166
2017-04-25,52.75,53.09,51.99,52.46,2733152
2017-04-26,52.61,53.21,52.43,52.72,2826632
2017-04-27,52.91,52.98,51.89,52.77,2746213
2017-04-28,52.81,52.88,51.48,52.0,4233362
2017-05-01,52.07,52.18,51.38,51.59,2129832
2017-05-02,51.87,52.67,51.76,52.46,2613960
2017-05-03,52.6,52.7,51.9,52.21,1476165
2017-05-04,52.05,52.54,51.59,51.74,1564740
2017-05-05,51.93,52.04,51.17,51.95,2106600
2017-05-08,52.09,52.4,51.42,51.69,1911469
2017-05-09,51.75,52.32,51.4,52.05,2896768
2017-05-10,51.95,53.28,51.87,53.14,2083069
2017-05-11,54.66,55.64,53.8033,54.62,6398488
2017-05-12,54.48,54.52,52.92,53.12,3044016
2017-05-15,53.06,53.06,51.39,51.49,3750493
2017-05-16,51.0,51.18,49.56,50.04,4429844
2017-05-17,49.66,49.7903,48.61,49.14,3325148
2017-05-18,49.07,49.6,48.74,49.23,2047965
2017-05-19,49.35,49.76,48.1,49.29,3919450
2017-05-22,49.65,50.12,49.3,49.51,1913626
2017-05-23,49.58,49.68,48.46,48.8,2651718
2017-05-24,48.8,49.15,48.43,48.78,3253690
2017-05-25,49.19,49.83,48.65,48.69,2364955
2017-05-26,48.52,48.76,48.03,48.23,3020873
2017-05-30,48.39,48.59,47.64,47.91,3877879
2017-05-31,48.02,48.422,47.26,48.27,4010790
2017-06-01,48.27,49.2,47.73,48.67,8408376
2017-06-02,56.41,56.85,54.06,54.29,22797746
2017-06-05,54.0,54.09,52.7262,52.9,6271442
2017-06-06,52.38,52.62,51.52,52.05,3972344
2017-06-07,52.11,52.67,51.92,52.25,2330988
2017-06-08,52.24,53.0,51.7,51.72,1843763
2017-06-09,51.67,52.19,51.3,51.7,3143923
2017-06-12,51.54,52.3,51.3,51.9,2176356
2017-06-13,52.13,52.585,51.79,52.39,2148915
2017-06-14,53.25,53.92,52.87,53.09,2953242
2017-06-15,52.77,53.3,52.3,53.13,1829011
2017-06-16,52.97,53.31,52.305,52.97,2483825
