date,open,high,low,close,volume
2017-01-03,81.3237,81.8115,79.7235,80.4943,3277092
2017-01-04,80.7285,81.3676,80.2504,80.3382,4016215
2017-01-05,80.0748,81.0505,79.6748,79.7918,2828243
2017-01-06,79.8016,81.0017,79.3479,80.2992,2306221
2017-01-09,80.0553,80.6895,79.6162,80.2504,2643139
2017-01-10,80.0943,80.4163,79.6748,79.9382,2167964
2017-01-11,80.2797,81.392,79.8114,80.8261,2888140
2017-01-12,80.6797,80.748,79.0698,79.8992,2281641
2017-01-13,79.9382,80.6407,79.9382,80.6309,1671459
2017-01-17,80.5626,80.8846,80.2114,80.3773,2113874
2017-01-18,80.4065,81.0749,80.0748,80.9822,1467468
2017-01-19,81.6847,83.2165,81.6847,82.475,3465151
2017-01-20,82.8067,83.6751,82.114,82.3286,2449777
2017-01-23,82.1042,82.475,81.7823,82.3189,1451988
2017-01-24,82.2994,82.9043,81.9774,82.4555,1455829
2017-01-25,82.7287,83.6165,82.1903,83.5287,2094732
2017-01-26,83.7044,84.1434,83.4604,83.7531,2148312
2017-01-27,83.88,84.2215,83.4507,83.9873,1693432
2017-01-30,83.7434,83.7434,82.5287,83.1872,2251945
2017-01-31,83.1677,83.1677,82.3091,82.5433,2461976
2017-02-01,82.436,83.1385,82.2213,82.5823,2241740
2017-02-02,82.3481,82.7482,81.7725,82.4457,1803821
2017-02-03,82.7092,83.4409,82.7092,83.3726,1386686
2017-02-06,83.3824,83.6458,83.1315,83.5678,1224274
2017-02-07,83.4799,84.2361,83.4702,83.7239,1547704
2017-02-08,83.6361,84.3776,83.297,84.2605,1869495
2017-02-09,84.7386,84.8557,84.1629,84.68,2460783
2017-02-10,84.8752,84.8752,84.3386,84.3483,1866767
2017-02-13,84.7288,85.2947,84.48,85.2557,1504163
2017-02-14,85.1874,85.7728,84.9435,85.7533,2366781
2017-02-15,85.4411,87.2851,85.1484,87.2851,3447087
2017-02-16,86.9339,88.856,86.3485,87.2656,3415883
2017-02-17,87.1095,87.4803,85.1191,87.1876,5275189
2017-02-21,86.3875,86.7192,85.6069,85.8509,3637138
2017-02-22,85.8606,86.1837,85.7725,85.841,1986798
2017-02-23,85.9781,86.1445,85.1361,85.1753,2013454
2017-02-24,85.2047,85.7529,84.9795,85.2536,2521731
2017-02-27,85.1459,85.8117,84.9305,85.6159,1885192
2017-02-28,85.4788,85.9086,85.0676,85.1655,2587163
2017-03-01,85.6648,87.0648,85.5473,86.6341,2589460
2017-03-02,86.3501,86.3697,85.3907,85.6844,2968450
2017-03-03,85.5082,85.8544,84.6075,84.9697,2061637
2017-03-06,84.7641,85.2059,84.255,84.9012,2106979
2017-03-07,84.8424,85.0187,84.1277,84.3431,1909110
2017-03-08,84.1473,84.8914,83.834,84.5781,2709189
2017-03-09,84.627,85.283,84.2452,84.4998,1906347
2017-03-10,85.1557,85.1949,84.2256,84.8033,2187416
2017-03-13,84.7739,85.2536,84.6075,85.2047,2236158
2017-03-14,85.0382,85.0382,84.441,84.4606,2058875
2017-03-15,84.862,86.2424,84.8522,85.9781,2012080
2017-03-16,85.9781,86.6438,85.518,86.2131,1846420
2017-03-17,86.5361,86.6341,86.0466,86.4774,3015187
2017-03-20,86.4872,87.3585,86.4578,86.8201,2198055
2017-03-21,88.132,89.6495,86.8103,87.2313,5486131
2017-03-22,87.3977,90.325,87.1823,90.2075,4540146
2017-03-23,90.2075,91.725,90.1488,91.1865,4658424
2017-03-24,91.539,91.8914,91.2942,91.539,2274870
2017-03-27,91.0397,91.5683,90.5134,91.2159,2151673
2017-03-28,91.2159,92.9977,91.0495,92.5082,2256913
2017-03-29,92.0383,92.7138,91.8914,92.6061,1663239
2017-03-30,92.4201,93.4187,92.4201,92.6551,2078584
2017-03-31,92.6159,92.983,92.0187,92.2047,2269717
2017-04-03,92.3026,92.5474,90.1488,90.8047,3635615
2017-04-04,90.7264,91.0397,89.997,90.5306,3098026
2017-04-05,90.8537,91.2693,89.6299,90.0313,2686769
2017-04-06,89.9725,90.2173,89.1599,89.8453,2516244
2017-04-07,89.8061,89.8061,88.3571,89.297,2954694
2017-04-10,89.1306,89.7963,88.7585,89.1502,2152901
2017-04-11,89.2481,89.669,88.8858,89.483,2732256
2017-04-12,90.0509,90.0704,88.9739,89.8257,3416608
2017-04-13,89.7767,90.1879,89.4047,89.6299,2244914
2017-04-17,89.9823,90.046,89.6788,90.0215,1283993
2017-04-18,89.669,90.3152,88.1124,90.09,3102398
2017-04-19,90.1585,90.4816,89.2676,89.5711,2025848
2017-04-20,90.0313,91.0299,88.7683,90.8243,2792852
2017-04-21,90.8243,91.0005,90.3054,90.5306,2521386
2017-04-24,91.6858,91.9306,91.1963,91.5586,2085013
2017-04-25,92.0187,92.7823,91.7837,92.5865,1637835
2017-04-26,92.5767,94.7893,92.3809,94.2802,3614491
2017-04-27,94.2998,94.4075,93.4187,93.732,3655294
2017-04-28,93.8984,94.0061,91.7348,92.4397,2859976
2017-05-01,92.7334,94.0453,92.4788,93.5753,1676123
2017-05-02,93.9082,95.132,93.732,95.0635,2483021
2017-05-03,95.1614,95.2691,94.5348,94.9558,2387155
2017-05-04,95.1516,95.3376,94.6425,94.8481,2571053
2017-05-05,95.181,95.181,94.711,95.0145,3038497
2017-05-08,95.0537,95.504,93.8788,94.3488,3955061
2017-05-09,99.0775,101.0551,97.2663,100.3502,6721578
2017-05-10,100.1936,101.2607,99.5768,101.0747,2611129
2017-05-11,100.918,101.4467,100.4187,100.6635,1622696
2017-05-12,100.6145,100.9376,99.9096,100.3013,1958021
2017-05-15,100.2523,102.1516,100.1055,101.8775,2416747
2017-05-16,102.3181,102.3278,101.2607,101.809,2406077
2017-05-17,101.2295,101.2589,100.2375,100.2866,1944119
2017-05-18,100.3062,101.858,99.9232,100.6991,3512895
2017-05-19,100.7384,101.4062,100.542,100.9839,1977317
2017-05-22,101.092,102.467,100.8562,102.3589,2016397
2017-05-23,102.2607,103.6455,102.0201,103.6062,2867818
2017-05-24,104.058,104.2054,103.6259,103.9893,1655647
2017-05-25,104.1071,105.5312,104.1071,104.6277,5163088
2017-05-26,104.7848,105.5804,104.6473,104.9911,1794734
2017-05-30,104.7455,105.325,104.5098,104.8339,2129136
2017-05-31,105.0991,105.7571,104.4902,105.7277,3013585
2017-06-01,106.0714,107.0437,105.7277,106.7393,1778314
2017-06-02,106.9455,108.5366,106.8179,108.0946,2886773
2017-06-05,108.1339,108.3795,105.875,106.258,2194144
