date,open,high,low,close,volume
2017-01-03,62.2606,62.7142,60.9673,61.6236,2553895
2017-01-04,61.836,61.8939,61.2376,61.5947,2230320
2017-01-05,61.3244,61.6043,60.0408,60.4076,2712415
2017-01-06,60.562,61.7009,60.34,61.4596,1368553
2017-01-09,61.392,62.5598,61.392,62.1738,1953684
2017-01-10,62.1738,62.7142,61.8842,62.5888,1158323
2017-01-11,62.4343,64.1909,62.251,64.1619,3248988
2017-01-12,64.0461,64.3067,63.1871,64.1619,2440938
2017-01-13,64.297,64.3743,63.9206,64.0268,1382101
2017-01-17,63.718,63.8203,62.4247,62.6853,1485877
2017-01-18,62.9362,64.326,62.7654,64.1812,3159702
2017-01-19,63.9882,64.8472,63.3126,63.3995,1595269
2017-01-20,63.6601,64.6348,63.5539,64.5962,1952148
2017-01-23,64.3936,64.8567,64.0558,64.6927,1758848
2017-01-24,64.9919,65.5903,64.7217,65.5324,1752435
2017-01-25,66.015,66.6134,65.8702,66.4203,2127920
2017-01-26,66.5361,66.5361,65.2236,65.2718,2653948
2017-01-27,65.5807,66.3817,65.4649,66.3624,1420391
2017-01-30,66.2563,66.6809,65.4069,66.652,1652640
2017-01-31,66.43,66.4589,64.519,65.0016,2398735
2017-02-01,65.349,66.1308,65.0209,66.0246,1937986
2017-02-02,65.4649,66.43,65.0885,66.3817,1760664
2017-02-03,66.8064,67.2986,66.1018,67.0091,1849592
2017-02-06,66.7388,67.0091,66.43,66.7581,2244125
2017-02-07,66.8643,67.2214,66.623,67.1924,2322197
2017-02-08,73.8325,73.8325,70.4739,71.2267,11809394
2017-02-09,69.5377,70.9371,68.1576,68.4568,30441149
2017-02-10,68.0804,68.5436,67.3276,68.4278,17639819
2017-02-13,68.5629,69.0358,67.9549,68.1962,7496230
2017-02-14,68.1672,68.8283,67.7302,68.312,5396933
2017-02-15,68.4857,69.5425,68.2541,69.3929,5638432
2017-02-16,69.4036,69.5976,68.841,69.5588,3261731
2017-02-17,69.3939,69.5491,68.9284,69.5297,2295182
2017-02-21,69.7334,70.3542,69.5976,70.3057,3901027
2017-02-22,70.3348,70.9361,70.0729,70.8489,4322987
2017-02-23,70.8489,70.9071,70.1699,70.5288,4276506
2017-02-24,70.0729,70.718,69.6849,70.6452,2793551
2017-02-27,70.5288,70.9556,70.2475,70.9362,3338946
2017-02-28,70.7519,71.0235,69.9371,70.3445,5667408
2017-03-01,71.0429,71.5861,70.0663,71.4309,5526434
2017-03-02,71.1108,71.6152,70.5676,70.8198,3085181
2017-03-03,70.9265,71.169,70.5288,71.1011,2373561
2017-03-06,70.684,71.9741,70.4415,71.7025,3590023
2017-03-07,71.6346,72.2457,71.1981,71.6249,4417168
2017-03-08,71.8965,72.3912,71.1884,71.3242,3535920
2017-03-09,71.2272,71.412,70.8295,71.2757,1715395
2017-03-10,71.8868,72.1584,71.5376,71.7316,1530945
2017-03-13,71.8577,72.3427,71.654,72.2651,1616403
2017-03-14,72.0808,72.0808,71.4988,71.7704,1786644
2017-03-15,71.945,72.4106,71.4697,72.2845,2247355
2017-03-16,72.5076,72.6531,71.6298,71.8965,1696804
2017-03-17,72.2457,72.6143,71.9159,72.0517,3404495
2017-03-20,72.1681,72.5367,71.9838,72.1196,1430613
2017-03-21,72.3912,72.5755,70.0633,70.1699,2579338
2017-03-22,70.3348,71.4817,70.1796,71.2951,2236946
2017-03-23,71.1787,71.1787,70.3057,70.5676,1786447
2017-03-24,71.3824,71.9014,70.7616,70.9556,2015657
2017-03-27,70.4221,71.2175,69.7237,70.6355,1899805
2017-03-28,70.6258,71.8189,70.4367,71.2951,2031243
2017-03-29,70.9459,71.6637,70.8198,71.4697,2546298
2017-03-30,71.4212,72.139,71.2951,71.6637,1326106
2017-03-31,71.4988,72.1002,70.8101,71.5667,2373069
2017-04-03,71.7219,72.2263,70.2863,71.0138,2101700
2017-04-04,71.5473,72.3573,71.0429,71.2466,2198898
2017-04-05,71.3242,72.2359,70.626,70.8295,1945676
2017-04-06,70.7131,71.5958,69.9565,71.3145,2064997
2017-04-07,71.3533,72.0323,71.072,71.8383,2489022
2017-04-10,71.8383,72.139,71.0817,71.2078,1908303
2017-04-11,70.8489,70.9362,69.2591,70.4803,3510998
2017-04-12,70.4512,70.5191,69.5588,69.9856,3231723
2017-04-13,69.8595,70.7034,69.7528,70.0729,2721986
2017-04-17,70.3736,70.9847,70.1893,70.8295,1431066
2017-04-18,70.4221,72.0808,70.3833,71.9062,2330433
2017-04-19,72.3039,73.1672,72.236,72.6143,3279068
2017-04-20,73.2448,73.6813,72.8956,73.3612,3209247
2017-04-21,72.5173,72.7501,71.654,72.1972,2963886
2017-04-24,73.2157,73.8171,72.8568,73.6716,1611895
2017-04-25,73.7201,74.4961,73.4873,74.4282,2741204
2017-04-26,74.4282,74.501,73.4776,73.8656,2319241
2017-04-27,74.2536,75.0005,74.1663,74.4476,2070403
2017-04-28,74.4185,74.4185,73.1478,73.3127,2217785
2017-05-01,73.6425,73.9723,72.7986,73.8753,1240874
2017-05-02,73.8171,73.8656,72.8665,73.4194,2194353
2017-05-03,73.2642,73.4872,72.721,72.9926,2452097
2017-05-04,73.0799,73.3758,72.5852,72.7598,2306903
2017-05-05,73.109,73.109,72.3136,72.915,2147977
2017-05-08,73.0702,73.5552,72.6143,73.1963,2215013
2017-05-09,73.1963,74.1857,72.9247,74.1566,3838349
2017-05-10,77.4934,77.7941,75.3421,76.1548,6538264
2017-05-11,76.0384,77.1733,75.631,76.6689,3706226
2017-05-12,76.6301,76.8945,76.2615,76.6301,1922280
2017-05-15,76.6883,77.7359,76.601,77.7262,2269525
2017-05-16,77.5225,79.2782,77.3188,79.1812,2588862
2017-05-17,78.4731,78.7835,75.8929,75.9899,2899599
2017-05-18,76.0384,77.3576,75.5389,76.9599,2616604
2017-05-19,77.4486,78.3646,77.3414,78.1307,1766677
2017-05-22,78.2379,79.2367,78.1307,79.0369,1689956
2017-05-23,79.1928,79.8457,78.5789,79.2708,1922465
2017-05-24,79.4462,79.719,79.0077,79.5729,1871277
2017-05-25,79.9042,80.255,79.495,79.6801,2383756
2017-05-26,79.4072,79.6995,78.9833,79.6118,1806639
2017-05-30,79.7288,80.7422,79.6118,80.4011,2492738
2017-05-31,80.9663,81.8531,80.3719,81.171,2576514
2017-06-01,81.4828,81.8336,81.093,81.2976,2015403
2017-06-02,81.5997,82.467,80.7714,82.1844,2300666
2017-06-05,82.389,83.3634,82.2526,82.35,2618493
2017-06-06,82.1649,83.4122,81.4243,83.0126,3241291
2017-06-07,83.3732,84.2989,83.1393,84.0943,2767690
2017-06-08,84.3671,84.6789,83.4511,84.64,1735882
2017-06-09,85.02,85.2539,79.6313,81.3464,4307351
2017-06-12,79.7385,80.9761,78.2476,80.9566,4120940
2017-06-13,81.4925,82.3403,79.9529,81.3951,3267193
2017-06-14,81.7556,81.9505,79.3,80.1965,2260485
2017-06-15,78.9882,79.7483,78.6471,79.4852,2465053
2017-06-16,79.719,80.0786,78.7056,79.1539,4066842
2017-06-19,79.8652,80.9176,79.719,80.4986,2474089
2017-06-20,80.596,80.7227,78.2184,78.2963,2330812
2017-06-21,78.6082,79.1003,77.8481,78.7641,4794165
2017-06-22,78.7154,79.032,77.9748,78.0235,2748330
2017-06-23,78.1697,79.6216,77.7604,79.5047,2712752
2017-06-26,79.5144,80.596,78.1697,78.2476,1675122
2017-06-27,78.004,78.3646,76.6495,76.6983,2479360
2017-06-28,77.0296,77.9358,75.5679,77.7896,3231011
2017-06-29,77.2245,77.3089,74.3596,75.4023,3254801
2017-06-30,75.8408,76.2695,74.993,75.2074,2424756
2017-07-03,75.7433,75.9967,73.8626,73.8724,1132364
2017-07-05,74.077,76.1136,74.077,75.9479,3103157
2017-07-06,75.1294,76.1818,74.5447,75.1489,1657014
2017-07-07,75.4997,76.9906,75.2366,76.3572,1851207
2017-07-10,76.3864,77.0539,75.9577,76.747,1767306
2017-07-11,76.747,77.5948,76.6008,77.088,1382926
2017-07-12,77.8871,79.1733,77.5071,78.1112,3132131
2017-07-13,78.3256,78.5253,77.3219,77.4583,2239016
2017-07-14,77.8384,78.9444,77.6922,78.7738,1417519
2017-07-17,78.8323,79.2708,78.3061,78.959,1455586
2017-07-18,78.7446,79.5241,78.3353,79.4852,1193296
2017-07-19,79.9724,80.3719,79.6216,80.2063,2099340
2017-07-20,80.4011,81.2489,79.9529,80.9176,1711597
2017-07-21,79.9042,79.9529,78.5984,78.8128,2633420
2017-07-24,78.9297,79.1636,78.3256,78.4912,1802556
2017-07-25,78.4425,79.3049,78.0722,78.8713,1502517
2017-07-26,79.4657,81.1125,79.3195,80.5765,2228735
2017-07-27,80.8591,81.0638,77.7604,78.8615,2084047
2017-07-28,78.6082,78.8323,78.0235,78.6374,1252166
2017-07-31,78.9297,79.2805,77.9066,77.9943,1862580
2017-08-01,78.5497,78.7348,77.9845,78.2769,1197485
2017-08-02,78.6179,79.0272,77.1173,77.7799,1839392
2017-08-03,77.8286,78.9297,77.5363,78.6179,3092612
2017-08-04,79.3487,81.6874,78.7446,81.3561,5018898
2017-08-07,81.4438,82.8665,80.8981,82.808,2338952
2017-08-08,82.7593,83.7435,82.0772,82.4572,2631837
2017-08-09,81.7751,82.0577,80.9858,81.4633,1381204
2017-08-10,80.8299,81.132,79.0369,79.1636,2287035
2017-08-11,79.3195,80.6058,79.2903,80.1088,1407163
2017-08-14,81.2489,82.311,80.8981,81.8725,2065042
2017-08-15,81.9115,82.2818,81.1612,82.1356,1688083
2017-08-16,82.2331,82.6034,81.5217,82.009,1336262
2017-08-17,81.6097,81.7565,79.8579,79.9068,1795291
2017-08-18,80.171,80.6114,79.5936,79.8383,1349171
2017-08-21,80.1025,80.171,79.1924,79.7894,913190
2017-08-22,80.1417,81.1594,80.1417,80.9442,1329939
2017-08-23,80.2591,81.3454,80.0536,81.1301,1242481
2017-08-24,81.179,81.7075,80.5919,80.9246,1456730
2017-08-25,81.0518,81.4433,80.6897,80.8659,770343
2017-08-28,81.2867,82.1381,80.9442,81.9718,1156223
2017-08-29,81.1203,82.2066,81.091,82.0403,1519881
2017-08-30,82.2066,83.9193,82.1968,83.8508,2855081
2017-08-31,84.0073,85.1132,83.7235,84.9468,2108496
2017-09-01,85.1034,86.1212,84.8588,85.9744,1700898
2017-09-05,85.1328,85.8961,83.655,84.6435,2143325
2017-09-06,84.3107,84.6924,83.1853,84.2814,2154314
2017-09-07,84.345,85.6319,83.8801,85.5243,1509293
2017-09-08,85.4362,85.7396,84.526,84.7218,1622017
2017-09-11,85.9255,86.591,85.021,86.4931,1946013
2017-09-12,86.728,86.9922,85.8766,86.5616,1545924
2017-09-13,86.1506,86.6497,85.9549,86.454,1439069
2017-09-14,86.3267,87.8143,86.2974,87.3348,3188852
2017-09-15,87.8632,88.6364,87.4228,87.7066,4076926
2017-09-18,88.0785,89.2921,88.01,89.067,2328442
2017-09-19,89.1648,89.8695,88.47,89.0376,2196567
2017-09-20,88.881,88.9691,84.9175,86.4344,3303915
2017-09-21,86.5812,86.8748,85.5243,86.4931,1771957
2017-09-22,86.2093,87.873,86.2093,87.7752,1296538
2017-09-25,87.1488,87.4718,85.7201,86.1897,1605163
2017-09-26,86.9042,87.3837,85.3285,85.8864,1781286
2017-09-27,86.6008,87.6088,86.3562,87.0216,1770105
2017-09-28,86.7378,87.3739,86.405,87.2369,1935634
2017-09-29,87.2075,88.0687,86.9727,87.8632,2194082
2017-10-02,88.4406,89.2823,88.2253,88.6168,1954893
2017-10-03,88.6168,89.0083,88.333,88.7832,1720884
2017-10-04,88.7342,89.6542,88.0991,89.6444,2559229
2017-10-05,89.8499,89.8597,88.8125,89.3508,1834299
2017-10-06,88.9691,89.6346,88.3623,89.5954,1349550
2017-10-09,89.889,90.026,89.3116,89.5367,1098871
2017-10-10,90.0358,90.3588,89.155,89.9575,1097457
2017-10-11,89.7716,90.1631,89.4193,89.9673,1122045
2017-10-12,89.5171,90.4273,89.5171,89.8205,1119525
