date,open,high,low,close,volume
2017-01-03,158.5407,162.3917,157.5829,160.6458,524307
2017-01-04,161.863,165.4945,160.3166,165.4346,559742
2017-01-05,166.3325,172.3884,165.6741,170.8819,905216
2017-01-06,170.7622,172.598,170.7622,171.7599,390470
2017-01-09,172.2089,175.152,172.2089,173.7054,456048
2017-01-10,174.4836,178.4443,173.5507,177.3768,498848
2017-01-11,177.9355,180.3,173.7852,176.3392,508891
2017-01-12,176.3392,177.0975,172.6279,172.7875,315406
2017-01-13,172.7177,176.4889,172.7177,176.0399,291652
2017-01-17,176.5986,178.2947,174.3738,177.6362,713704
2017-01-18,177.9954,178.4044,174.2242,174.8527,346430
2017-01-19,175.1021,176.1933,173.9249,174.4935,253295
2017-01-20,175.3615,176.0,172.4483,175.7606,447851
2017-01-23,176.3891,179.4719,175.9202,178.3047,438770
2017-01-24,178.8035,183.2831,178.8035,182.884,484133
2017-01-25,183.7021,185.3582,181.5072,182.9538,247102
2017-01-26,183.6622,184.0612,180.7993,182.9439,160484
2017-01-27,183.1334,183.2232,181.2977,182.2056,149804
2017-01-30,183.4726,185.0689,179.8012,184.6898,315031
2017-01-31,183.6722,185.7573,183.1833,184.9592,329821
2017-02-01,184.7995,188.6206,182.7543,188.1417,401430
2017-02-02,188.1417,191.3243,186.8148,188.1816,422948
2017-02-03,189.728,190.2568,188.6007,189.7081,186598
2017-02-06,188.7204,191.5239,188.7104,191.2944,215737
2017-02-07,191.6835,193.2349,189.9974,191.1647,362354
2017-02-08,191.4241,192.5864,190.0274,191.4041,301959
2017-02-09,190.7856,192.9904,190.1371,191.2645,368421
2017-02-10,191.3044,195.0157,190.7457,194.8262,477396
2017-02-13,195.5445,196.4873,193.9582,194.6665,337370
2017-02-14,194.048,197.3204,192.2123,196.612,311571
2017-02-15,196.4025,200.1637,195.6542,199.4654,332114
2017-02-16,199.8046,200.6925,196.3426,197.5498,226401
2017-02-17,195.7141,199.2858,195.7141,197.9689,325979
2017-02-21,199.9642,199.9642,196.4225,198.0387,647338
2017-02-22,197.9489,200.5129,196.2977,199.9443,348567
2017-02-23,201.9396,201.9396,196.1431,199.3556,562459
2017-02-24,200.5329,207.3071,189.6283,207.3071,1003893
2017-02-27,207.5465,208.3447,203.6706,207.7461,481297
2017-02-28,207.2971,210.3799,205.3965,210.3799,519713
2017-03-01,212.505,216.1964,209.5419,210.6792,524509
2017-03-02,210.1704,211.7268,208.2649,208.3148,240220
2017-03-03,208.644,212.5349,206.5788,212.2655,276217
2017-03-06,212.3254,213.1734,208.6939,210.2802,295925
2017-03-07,209.7315,213.5625,209.2476,210.8089,394908
2017-03-08,210.0806,211.7941,208.195,208.644,287947
2017-03-09,208.6739,211.9164,208.225,208.8934,261538
2017-03-10,210.5296,211.2579,208.5243,210.799,247431
2017-03-13,211.3078,212.7444,209.512,212.2456,506545
2017-03-14,212.3055,213.378,209.063,211.8066,276294
2017-03-15,212.515,214.8495,210.4198,214.63,305097
2017-03-16,215.2187,215.4581,210.9885,211.0683,335095
2017-03-17,211.1681,212.1733,209.083,210.799,464359
2017-03-20,212.2356,218.2416,211.193,215.6078,457343
2017-03-21,217.0245,218.1369,204.8628,205.222,622142
2017-03-22,205.2918,209.9908,202.8874,209.1428,379199
2017-03-23,208.5442,211.1182,205.5512,207.6962,560707
2017-03-24,207.6962,212.5948,207.6962,210.37,405761
2017-03-27,208.8136,212.6945,206.9961,211.0783,297443
2017-03-28,212.076,212.3354,210.5895,211.0185,244248
2017-03-29,212.7856,216.3498,211.9369,215.9404,370407
2017-03-30,216.7092,216.7741,211.258,212.2165,285596
2017-03-31,212.7057,213.1749,210.8687,211.1282,315989
2017-04-03,210.4394,221.6213,210.4394,219.5945,939484
2017-04-04,219.6544,221.3617,215.3514,215.571,431679
2017-04-05,216.0003,218.4264,214.5926,214.9321,373477
2017-04-06,214.7524,218.6061,214.2981,217.3681,410709
2017-04-07,217.1784,219.6445,216.6694,218.7459,315704
2017-04-10,219.6544,219.8042,217.2084,218.706,217903
2017-04-11,218.706,219.9539,215.9904,219.4248,264645
2017-04-12,219.5646,220.9923,215.3115,215.9604,562893
2017-04-13,216.4396,217.2184,213.6541,215.1118,371465
2017-04-17,217.7176,220.1636,215.6509,220.1237,503551
2017-04-18,219.6445,219.7044,216.859,217.478,143759
2017-04-19,217.8873,220.1436,217.0387,218.4763,259001
2017-04-20,220.5729,225.8444,219.305,223.0489,301920
2017-04-21,223.5381,224.6364,221.6512,223.4583,231293
2017-04-24,225.2254,226.8827,223.5731,225.5349,233698
2017-04-25,226.6631,231.066,225.4451,230.2573,652623
2017-04-26,229.2988,230.1175,225.8145,227.9111,380754
2017-04-27,230.437,234.2808,229.2888,229.838,336100
2017-04-28,231.9146,231.9146,228.1407,228.5401,200567
2017-05-01,230.2173,235.4888,228.7198,234.7101,314763
2017-05-02,235.1094,237.166,230.1275,234.3806,279439
2017-05-03,233.7516,236.617,229.8381,234.5903,372547
2017-05-04,235.2991,240.94,233.8015,236.1278,545223
2017-05-05,256.0755,275.1047,253.8391,274.7153,1735880
2017-05-08,274.5556,276.5224,272.5887,274.5156,602714
2017-05-09,274.5556,283.2215,273.058,281.3146,550517
2017-05-10,284.1301,284.2399,277.7154,281.8038,707462
2017-05-11,283.1417,284.4895,276.8818,280.4161,1173490
2017-05-12,281.5542,291.8675,281.5542,286.8157,527885
2017-05-15,289.3217,295.8511,288.0367,295.7612,574280
2017-05-16,290.1304,297.4685,286.6061,296.7397,611876
2017-05-17,290.0505,292.5265,277.401,278.0998,1026859
2017-05-18,250.3148,275.4441,247.7989,270.3723,2765901
2017-05-19,276.6122,279.3378,270.7218,272.1295,629586
2017-05-22,275.0548,280.2364,273.2077,274.925,651967
2017-05-23,276.732,281.7839,275.0947,281.3446,480626
2017-05-24,282.343,287.5445,279.1381,285.8173,575412
2017-05-25,288.5928,295.0224,285.5677,291.9474,584213
2017-05-26,294.0141,294.7529,285.9172,286.4862,488282
2017-05-30,287.5346,287.9738,276.4435,279.5275,778069
2017-05-31,281.1848,282.5426,272.2343,274.6654,999186
2017-06-01,276.5623,280.5259,271.6702,279.9468,519925
2017-06-02,279.7971,282.2631,277.0515,279.9169,342530
2017-06-05,276.9816,280.6457,275.6538,278.4393,346222
2017-06-06,278.0499,285.0486,277.3411,279.5874,465234
2017-06-07,280.5758,286.9455,280.1665,284.789,392748
2017-06-08,287.6444,289.1819,281.7639,287.6544,454783
2017-06-09,289.0221,292.8559,267.9962,274.6255,642337
2017-06-12,273.5272,274.4677,263.8229,270.2925,830333
2017-06-13,266.5186,275.1895,264.5967,272.5588,534471
2017-06-14,273.4274,274.5256,264.3421,264.5717,547444
2017-06-15,260.6481,263.6732,254.7376,262.8745,940100
2017-06-16,262.6249,266.5485,260.4883,263.0242,1543202
2017-06-19,267.9163,275.0847,267.477,273.8767,596464
2017-06-20,273.8966,275.1945,269.5636,270.8316,588737
2017-06-21,268.0062,276.9517,264.382,276.5423,563564
2017-06-22,276.9117,279.8869,272.6986,275.3044,577033
2017-06-23,270.8416,277.2812,268.1559,274.7852,483600
2017-06-26,275.6438,278.2396,267.2674,267.5669,406556
2017-06-27,265.1608,265.1608,255.2468,255.5164,739121
2017-06-28,259.732,262.9587,250.082,262.0396,917005
2017-06-29,259.5822,262.4292,247.2249,252.1698,764081
2017-06-30,253.8381,254.2177,248.8702,250.6214,475029
2017-07-03,253.7682,254.7072,248.2738,250.4216,236652
2017-07-05,250.1319,253.5684,245.9462,248.7234,789835
2017-07-06,245.7564,252.03,245.247,250.8412,614081
2017-07-07,251.98,257.6342,251.9201,255.3365,577123
2017-07-10,256.7251,261.2005,252.8891,259.5522,597309
2017-07-11,258.3035,263.1185,256.2007,262.1395,594385
2017-07-12,267.2642,274.4069,265.7908,274.0672,805060
2017-07-13,273.1182,275.7155,269.5219,271.2601,728444
2017-07-14,273.1282,273.8874,268.3113,273.298,475955
2017-07-17,273.7176,278.7123,272.4789,275.8354,787225
2017-07-18,274.7165,280.8103,273.0216,279.9511,463524
2017-07-19,279.7114,281.1898,277.9432,280.2708,518596
2017-07-20,280.8003,283.7173,279.0376,281.7892,504366
2017-07-21,280.9102,281.8092,279.0421,279.9711,403430
2017-07-24,280.6804,282.968,280.111,282.0889,435365
2017-07-25,281.2198,282.2088,275.6156,278.9722,708532
2017-07-26,279.3418,285.7352,278.2229,285.7252,693634
2017-07-27,286.7042,290.6921,279.7613,286.3446,1422509
2017-07-28,285.6053,290.4903,284.3149,288.5723,742296
2017-07-31,291.1396,292.5981,286.0748,288.1227,752658
2017-08-01,288.2126,290.4403,287.5933,288.5822,781341
2017-08-02,293.3873,293.5616,281.1,286.3046,863984
2017-08-03,286.7042,292.9078,286.4744,292.0786,955540
2017-08-04,262.0296,271.8095,257.8539,260.2015,4299601
2017-08-07,257.794,265.2263,252.5894,255.906,1543773
2017-08-08,255.906,258.9029,250.7912,251.6603,854096
2017-08-09,249.3427,251.8901,244.8673,251.2607,1309598
2017-08-10,249.7423,251.1708,231.9307,232.4002,1908899
2017-08-11,233.9286,240.6367,232.3902,239.9125,1296824
2017-08-14,242.9493,242.9493,234.3082,236.6958,876371
2017-08-15,236.9255,237.6848,234.3582,235.8267,579731
2017-08-16,238.6438,242.3999,236.466,241.6507,623700
2017-08-17,240.1522,241.8155,233.7089,233.9486,801999
2017-08-18,233.8487,238.0943,232.4801,235.8966,672753
2017-08-21,235.0475,242.3899,235.0475,241.7006,733751
2017-08-22,241.7106,244.5679,241.5008,243.0392,756151
2017-08-23,241.7506,244.5377,241.1212,243.289,325762
2017-08-24,244.3179,244.9173,240.3874,243.3689,528766
2017-08-25,249.5825,249.6924,244.6226,246.156,667971
2017-08-28,246.4157,248.0241,241.4209,242.29,452542
2017-08-29,239.7526,243.4988,238.0044,240.6517,612116
2017-08-30,242.0602,246.8753,239.9025,246.4907,1344872
2017-08-31,248.7334,259.1326,247.0351,258.2036,948343
2017-09-01,257.7441,258.4633,251.1109,251.6503,513564
2017-09-05,252.3396,257.4943,251.2508,256.3655,596049
2017-09-06,257.4044,259.0827,251.6603,257.6142,466366
2017-09-07,258.6531,260.681,255.896,258.4134,432031
2017-09-08,257.9439,261.9797,257.9439,259.712,342537
2017-09-11,264.8068,286.3645,264.7968,284.966,1285203
2017-09-12,283.8771,295.3752,281.5895,290.4903,1106144
2017-09-13,289.7011,293.0077,287.2736,291.9088,381019
2017-09-14,290.2705,292.1386,287.2436,287.6232,465362
2017-09-15,287.2137,289.1267,280.9901,282.4186,811096
2017-09-18,282.6584,290.6701,281.4596,289.4114,606784
2017-09-19,288.8919,289.9508,284.7062,289.6711,463611
2017-09-20,289.0318,296.0445,286.7641,289.9009,720500
2017-09-21,290.9997,291.5492,279.3168,281.5795,581476
2017-09-22,279.7813,283.3876,278.9821,279.1719,507328
2017-09-25,279.4417,279.5316,261.9597,269.9415,1102948
2017-09-26,271.2301,273.3779,264.8367,268.9925,547073
2017-09-27,269.8016,275.0062,266.565,267.1244,499444
2017-09-28,266.0349,268.6137,259.9478,261.8669,585636
2017-09-29,263.4761,265.775,257.7188,258.8083,657237
2017-10-02,258.7983,266.8545,258.7983,263.5261,612123
2017-10-03,262.4466,264.4856,256.1496,264.2358,646014
2017-10-04,264.2358,270.8426,259.8878,263.686,679150
2017-10-05,265.5551,271.4074,263.706,270.103,590949
2017-10-06,268.2239,272.5818,264.9054,268.6937,427680
2017-10-09,268.6937,272.122,267.874,269.7931,390000
2017-10-10,272.1021,275.9157,269.2434,273.5114,651898
2017-10-11,274.0211,275.7803,271.9321,274.361,572879
2017-10-12,258.8783,259.8778,241.5964,246.1443,3157432
2017-10-13,245.7544,251.0619,241.3915,244.7849,1306895
2017-10-16,244.9948,248.783,228.6325,232.8905,2235296
2017-10-17,232.0609,237.3984,230.7615,234.6796,1097214
2017-10-18,239.9472,243.6854,237.1085,242.2961,1233773
2017-10-19,241.7963,241.7963,233.0904,235.8891,859001
2017-10-20,236.8886,237.5383,233.6901,235.6192,782966
2017-10-23,227.453,232.3907,223.1151,226.2436,1239363
2017-10-24,226.3935,230.7415,221.9956,225.3141,1099162
2017-10-25,224.3445,228.0228,216.958,221.4059,860950
2017-10-26,226.1936,229.8919,222.6353,228.8924,1045029
2017-10-27,231.2912,238.7078,228.8624,235.9391,872304
2017-10-30,231.911,237.3884,229.5221,234.3898,694452
2017-10-31,236.129,240.8168,233.3953,240.1971,436503
2017-11-01,242.386,243.7754,233.4702,238.9077,689139
2017-11-02,240.367,240.367,234.5597,235.8891,1014948
2017-11-03,256.1296,273.6513,251.8519,267.2243,2935334
2017-11-06,265.5052,274.321,262.9364,268.4038,773393
2017-11-07,269.1834,269.2234,259.388,265.5052,608112
2017-11-08,263.8859,267.874,258.8883,259.9778,563973
2017-11-09,253.8606,268.4738,250.7121,266.2848,1243846
2017-11-10,264.4756,273.6213,261.4171,270.7427,839308
2017-11-13,265.1053,273.5464,262.6165,266.9545,497543
2017-11-14,264.2657,266.9445,259.0532,262.3666,383608
2017-11-15,260.1777,266.8345,257.9387,263.4161,361086
2017-11-16,263.3662,267.7541,258.9782,262.3566,705109
2017-11-17,265.0454,270.4728,258.9982,269.6032,676413
2017-11-20,268.4738,271.8522,263.4461,265.7151,508849
2017-11-21,266.3747,270.2329,265.7151,268.6337,371665
2017-11-22,267.6142,268.8806,263.3062,265.765,313853
2017-11-24,265.6351,272.4719,265.2103,271.2525,243074
2017-11-27,272.252,277.7594,270.8926,272.4919,648620
2017-11-28,270.6627,272.0321,263.5861,269.7132,498648
2017-11-29,269.6032,272.292,266.0849,267.5742,830087
2017-11-30,271.3124,276.3501,270.2329,275.0107,866176
2017-12-01,273.4114,282.4172,270.373,272.7817,727361
2017-12-04,274.8707,281.2178,271.3924,271.6023,864934
2017-12-05,272.6718,278.559,269.6432,270.6727,910698
2017-12-06,269.6732,274.261,266.8845,272.0821,573869
