date,open,high,low,close,volume
2017-01-03,36.4941,36.8525,36.1405,36.4187,1614289
2017-01-04,36.4376,36.8148,36.2961,36.8053,1892258
2017-01-05,36.8619,36.9091,36.1641,36.249,2142102
2017-01-06,36.2584,37.5692,36.0038,37.4749,2377656
2017-01-09,37.4749,38.3896,37.324,38.333,3124483
2017-01-10,38.3613,38.6913,38.1548,38.5593,2443496
2017-01-11,38.5122,38.531,38.2104,38.3801,1297274
2017-01-12,38.333,38.333,37.4843,38.1633,2135639
2017-01-13,38.2481,39.4457,38.1351,39.1063,3088140
2017-01-17,38.9271,38.9803,38.3188,38.4084,1579166
2017-01-18,38.4367,39.0215,38.3896,38.8705,2229590
2017-01-19,38.8328,39.0874,38.135,38.267,3116845
2017-01-20,38.5499,39.2854,38.5499,39.0308,3433827
2017-01-23,38.8705,39.1534,38.7291,39.0308,2032158
2017-01-24,38.6913,39.6909,38.6913,39.6343,2410781
2017-01-25,39.8889,40.219,39.5023,39.8229,3419945
2017-01-26,39.8512,39.8889,39.2854,39.5778,2588731
2017-01-27,42.1144,42.6897,41.7278,42.1616,7456120
2017-01-30,42.0201,42.4681,40.6245,42.4445,3314327
2017-01-31,42.303,42.303,41.7066,41.9447,2424874
2017-02-01,42.171,42.4162,41.7655,42.2087,2253771
2017-02-02,41.907,42.105,41.5251,42.0013,1742609
2017-02-03,42.171,42.1899,41.9117,42.1239,1556425
2017-02-06,42.0578,42.3313,41.8598,42.2842,2598838
2017-02-07,42.3313,42.9443,42.2464,42.8783,2573784
2017-02-08,42.9537,42.982,42.5293,42.5671,2667927
2017-02-09,42.4916,42.8641,42.2276,42.3219,1905666
2017-02-10,42.4445,42.6755,41.8174,42.5011,1915370
2017-02-13,42.6425,42.8405,42.3643,42.4633,1504414
2017-02-14,42.3125,42.5576,42.0296,42.0861,1327163
2017-02-15,42.2087,42.4633,41.8692,42.435,2288851
2017-02-16,42.3125,42.8122,42.2653,42.4633,1109377
2017-02-17,42.3596,42.5482,42.0767,42.5388,1593389
