date,open,high,low,close,volume
2017-01-03,215.2005,216.1029,211.5219,214.0037,798082
2017-01-04,215.8086,216.976,212.7618,214.5334,1120458
2017-01-05,215.6615,226.3146,215.6125,224.8432,2168621
2017-01-06,225.0492,225.8634,220.9782,222.636,782655
2017-01-09,223.4699,231.9845,223.1265,230.4248,1133124
2017-01-10,233.4167,239.322,232.1022,235.408,1233707
2017-01-11,232.9262,237.1443,231.1409,234.7115,665003
2017-01-12,234.3486,234.5938,227.7174,230.9447,954250
2017-01-13,232.2788,234.9273,229.1693,233.1518,686409
2017-01-17,234.9077,239.3122,231.2193,238.4489,1171832
2017-01-18,237.0266,239.3024,229.0514,231.288,1207658
2017-01-19,231.8079,235.8102,231.5823,234.427,637621
2017-01-20,234.6527,239.7438,234.6527,237.723,961106
2017-01-23,237.4778,245.345,237.3993,243.854,1096640
2017-01-24,248.1701,252.7708,243.9619,249.6023,1307448
2017-01-25,251.113,251.1228,245.9336,246.7968,684439
2017-01-26,247.199,247.6502,241.1465,247.1401,818640
2017-01-27,246.5123,248.3467,244.5308,248.072,355600
2017-01-30,245.5902,247.0617,243.5597,245.7178,400049
2017-01-31,244.8447,249.2492,243.5891,249.0628,453654
2017-02-01,251.5054,251.8682,246.0709,248.9843,670127
2017-02-02,247.5914,251.4269,245.3754,251.113,682460
2017-02-03,251.9664,252.1037,248.8328,250.1418,565981
2017-02-06,249.4061,258.3131,248.1898,253.7419,1091018
2017-02-07,255.0858,255.851,250.6421,253.1141,671710
2017-02-08,254.3305,261.0794,253.3103,260.4614,1237837
2017-02-09,256.4493,260.7753,251.7898,252.6531,2342132
2017-02-10,256.2531,256.4493,251.3092,252.5157,1397072
2017-02-13,253.8498,256.675,247.7336,255.8117,1127744
2017-02-14,255.5861,256.311,249.1609,251.2405,1094575
2017-02-15,254.0558,258.0385,251.3288,256.8613,1239607
2017-02-16,277.991,293.9706,273.4884,293.0387,3737276
2017-02-17,290.1057,292.254,283.8668,291.5869,1960172
2017-02-21,290.655,291.8321,284.4947,287.8495,1264624
2017-02-22,287.9476,301.9261,286.5939,298.277,2242170
2017-02-23,299.1893,299.6013,282.0325,293.2938,2423448
2017-02-24,291.3417,300.7783,289.9782,294.2158,1727086
2017-02-27,291.891,300.9403,291.8462,296.011,1055998
2017-02-28,297.1489,302.6226,296.2562,299.2481,1163758
2017-03-01,302.6609,303.7825,291.5296,297.799,1451396
2017-03-02,293.7835,295.2598,280.0047,284.8076,2312687
2017-03-03,283.9415,290.0829,282.662,288.8329,1028939
2017-03-06,289.3546,289.4038,282.7211,287.6617,902438
2017-03-07,286.1166,289.8467,284.4926,287.4649,905283
2017-03-08,289.9451,291.8151,286.1953,286.835,850272
2017-03-09,285.4178,287.7897,284.0202,286.6677,746072
2017-03-10,286.6972,287.0122,283.4494,284.8272,678270
2017-03-13,286.3528,286.3921,281.3668,285.2701,996472
2017-03-14,282.0715,285.3686,281.6089,284.8666,744885
2017-03-15,284.3942,284.8568,279.9162,282.3274,808430
2017-03-16,283.843,283.8824,278.4454,278.7941,879594
2017-03-17,281.6483,287.3862,280.5066,286.8941,1373184
2017-03-20,286.8941,292.0611,286.4512,289.4727,1295033
2017-03-21,291.2738,293.6777,277.1899,278.2036,1143602
2017-03-22,279.1681,283.2919,275.881,281.668,1083378
2017-03-23,282.042,285.6146,279.8669,281.7467,946609
2017-03-24,282.5439,286.2839,281.4514,284.4139,878653
2017-03-27,281.0479,288.0062,280.5361,284.6796,880579
2017-03-28,287.1401,288.1834,284.3056,284.778,675931
2017-03-29,285.2505,285.5851,278.2922,278.8433,973798
2017-03-30,279.8177,281.9731,277.6721,277.8886,1018027
2017-03-31,277.5442,281.1759,275.9202,279.5126,795714
2017-04-03,278.863,282.3471,278.8246,280.7133,861625
2017-04-04,280.2704,281.7762,267.279,268.775,1649231
2017-04-05,270.8418,277.8886,268.214,272.0917,1466832
2017-04-06,273.2432,274.7589,268.6864,271.6488,791106
2017-04-07,270.6449,275.5758,269.1883,272.8397,781596
2017-04-10,273.4893,274.503,267.2111,268.027,918679
2017-04-11,268.2435,271.5208,263.3816,263.7654,1269341
2017-04-12,264.5035,267.5939,260.1731,261.236,972808
2017-04-13,260.8128,263.1231,258.5688,261.482,959768
2017-04-17,261.8167,263.917,261.1179,262.0135,547032
2017-04-18,261.9151,263.7654,257.25,260.0254,1088485
2017-04-19,259.307,260.8029,251.6007,258.7263,1406591
2017-04-20,260.3207,262.3186,257.87,261.9348,749741
2017-04-21,263.8736,265.2811,261.2655,264.7201,977820
2017-04-24,268.3813,271.1961,267.5644,269.8084,1282585
2017-04-25,271.8161,274.4095,270.0249,273.568,1058683
2017-04-26,274.1782,274.3947,260.8817,261.2065,1680184
2017-04-27,262.6828,266.9542,260.6106,261.4919,1134726
2017-04-28,262.4859,262.6335,257.1811,261.1966,819561
2017-05-01,261.1671,266.7574,261.1671,265.5468,572391
2017-05-02,267.7317,268.1451,260.7242,261.3935,962594
2017-05-03,261.8364,265.1137,260.8522,264.1295,726401
2017-05-04,266.7081,266.7081,260.1435,261.1474,842412
2017-05-05,260.8128,262.2399,254.9666,260.3207,1059502
2017-05-08,259.3365,265.5173,257.8602,264.7004,909096
2017-05-09,265.7338,271.1567,265.7338,267.6038,1369220
2017-05-10,270.9205,277.4162,269.9855,274.6408,2255614
2017-05-11,283.3313,285.1225,267.0526,272.387,3548731
2017-05-12,272.8692,275.0542,266.0389,267.0034,1618254
2017-05-15,268.1648,282.1404,267.0034,279.7586,1732367
2017-05-16,280.4869,290.6636,279.5126,285.1225,1847552
2017-05-17,281.2841,282.2683,274.0995,278.5481,2329952
2017-05-18,276.5304,284.5615,271.8358,278.2725,1649270
2017-05-19,280.4968,286.3675,279.0849,282.2191,1335199
2017-05-22,285.0339,292.1891,283.3706,289.0396,1764303
2017-05-23,292.0021,297.051,286.4315,287.6617,1420401
2017-05-24,288.2719,290.0688,280.1617,285.1009,1399428
2017-05-25,288.2521,293.006,286.474,289.8327,1482690
2017-05-26,289.8919,293.9075,288.3708,288.7954,718364
2017-05-30,288.4694,290.6723,282.5527,284.9527,921608
2017-05-31,285.012,286.1186,278.8133,281.3175,1208786
2017-06-01,281.7225,285.1009,280.3395,285.0614,787258
2017-06-02,283.955,288.2225,282.6708,288.1237,602512
2017-06-05,289.0029,295.819,288.4596,289.9611,1002937
2017-06-06,290.1586,301.2916,289.9611,299.1974,1815402
2017-06-07,299.3159,311.1602,297.3501,310.8342,1936403
2017-06-08,316.455,319.1715,304.512,309.8266,2616283
2017-06-09,311.2589,316.5044,293.6457,299.9284,2166747
2017-06-12,297.8638,305.6085,292.895,302.7339,1390566
2017-06-13,306.1024,306.7544,296.8562,298.0219,1296356
2017-06-14,301.2916,302.2399,288.1336,291.186,1064950
2017-06-15,288.6374,290.9192,281.9596,289.1115,1109023
2017-06-16,290.4254,293.4679,287.7088,293.3593,1023500
2017-06-19,296.1647,309.6191,294.9694,309.1252,1495346
2017-06-20,307.3965,314.1336,307.2878,312.6518,1470411
2017-06-21,312.7506,323.281,310.6939,319.7939,1035785
2017-06-22,317.8874,322.6523,314.1434,321.325,1084166
2017-06-23,316.1092,329.7217,315.1225,329.5044,1358598
2017-06-26,329.6229,333.4459,315.3288,316.7415,1502736
2017-06-27,317.7293,317.7293,306.2308,307.7126,1226131
2017-06-28,308.8091,313.8965,304.4231,313.5705,1195067
2017-06-29,310.6662,312.6419,295.5226,298.4269,1438378
2017-06-30,301.3213,303.85,294.4162,296.9748,978532
2017-07-03,298.901,300.6199,291.2848,293.221,759951
2017-07-05,290.6723,294.11,286.5728,290.5735,1558252
2017-07-06,289.4474,296.9106,288.7263,293.1913,1217142
2017-07-07,294.3866,295.8289,290.1685,292.1936,740017
2017-07-10,293.8927,297.8243,291.759,297.3403,948976
2017-07-11,298.8813,305.1738,297.3403,304.8874,1290484
