date,open,high,low,close,volume
2017-01-03,103.7054,105.6623,98.7188,101.3314,37549876
2017-01-04,102.7121,104.7981,100.8545,103.6955,29980506
2017-01-05,103.8346,105.116,100.3777,101.0631,24607382
2017-01-06,102.1658,103.5564,100.5267,102.4141,20571416
2017-01-09,102.8114,107.2815,102.8114,106.5663,22906225
2017-01-10,107.0928,108.4636,104.9273,105.7617,22022969
2017-01-11,105.2948,105.4935,103.4571,104.4604,13141588
2017-01-12,103.5366,104.0035,100.9439,102.7518,15640414
2017-01-13,102.9108,104.3015,102.3744,102.7419,11445543
2017-01-17,102.3148,102.5134,99.9009,100.4373,14515259
2017-01-18,99.5731,102.5432,98.4506,102.2651,16360615
2017-01-19,102.3843,105.7517,102.2949,104.4604,16121778
2017-01-20,105.3743,106.0895,102.434,103.318,12300557
2017-01-23,103.1094,105.1955,103.0101,104.3909,9247639
2017-01-24,104.7981,106.8643,104.2021,106.616,10701271
2017-01-25,108.3245,108.5729,105.6272,107.0729,13084499
2017-01-26,107.1822,109.2185,105.9901,108.9205,11469970
2017-01-27,109.1987,111.1456,108.1258,111.0264,11799929
2017-01-30,110.1821,110.2715,107.1927,109.2881,12400084
2017-01-31,108.2252,109.3179,107.4802,108.4536,9068865
2017-02-01,109.8443,113.3608,109.1291,113.1919,14750082
2017-02-02,112.5462,114.97,111.3145,114.6223,12081040
2017-02-03,114.6819,115.1289,113.1422,113.6191,9318633
2017-02-06,113.2416,116.5456,113.2416,116.5296,12669205
2017-02-07,117.9103,120.1155,117.1156,118.3375,18655567
2017-02-08,117.6123,118.5163,115.6058,117.8209,11239487
2017-02-09,118.0692,118.2679,114.8309,115.6058,21064178
2017-02-10,119.1321,119.897,111.8509,112.8641,41277341
2017-02-13,112.6356,113.2217,107.4802,107.659,29518071
2017-02-14,107.2716,109.4172,105.5829,108.0563,21265787
2017-02-15,108.1755,109.0695,107.0431,108.2748,9325512
2017-02-16,108.6623,108.7119,104.9571,106.5365,16179386
