date,open,high,low,close,volume
2017-01-03,97.6808,97.6808,96.9848,97.0942,2392843
2017-01-04,97.1041,97.7901,97.0843,97.7305,3949710
2017-01-05,97.9094,98.2176,97.6112,97.8299,2181845
2017-01-06,98.1282,98.1505,97.4223,97.641,2849128
2017-01-09,97.6808,97.8995,97.4024,97.5416,2189584
2017-01-10,97.9691,98.2176,97.6907,98.0586,2767909
2017-01-11,97.9194,98.0387,97.7106,97.9094,1727308
2017-01-12,97.9194,98.0089,97.6907,97.7305,1574853
2017-01-13,97.641,98.0486,97.4024,97.81,2074849
2017-01-17,97.9293,98.0486,97.0445,97.0544,5503282
2017-01-18,97.5217,97.7703,97.293,97.4422,1936800
2017-01-19,97.5714,97.6907,97.2433,97.4919,2464636
2017-01-20,97.6311,97.7355,97.1141,97.2334,2744224
2017-01-23,96.9351,97.134,95.4438,95.4438,9077842
2017-01-24,95.6725,96.7562,95.5035,96.1398,4201211
2017-01-25,96.269,97.2433,96.269,96.9351,3860287
2017-01-26,96.8655,97.0544,96.5474,96.6965,3113378
2017-01-27,96.8357,97.4223,96.7363,97.3129,2484538
2017-01-30,97.4819,97.6311,96.6866,97.4521,2971901
2017-01-31,97.1837,97.6012,96.8904,97.2831,2699390
2017-02-01,97.82,98.0089,97.1837,97.1837,4620993
2017-02-02,97.5316,98.7645,97.5316,98.4364,3450411
2017-02-03,98.4264,98.9235,98.327,98.8838,1840348
2017-02-06,99.2715,100.6634,99.182,99.4703,12649562
2017-02-07,100.0669,100.6932,99.8581,100.6833,2716584
2017-02-08,100.8821,101.5632,100.4546,101.4886,3419412
2017-02-09,101.409,101.5781,100.9626,101.0114,1995669
2017-02-10,101.1704,101.7173,101.1605,101.3991,2131363
2017-02-13,101.5085,101.8962,101.2599,101.6675,1460372
2017-02-14,101.409,101.8962,101.3196,101.6874,2149155
2017-02-15,101.6576,102.1448,101.6576,101.9857,1725068
2017-02-16,102.0553,102.1448,101.8167,101.8962,1069978
2017-02-17,101.7173,102.1845,101.588,101.8067,1335362
2017-02-21,101.6178,102.1547,101.6178,102.0056,1530121
2017-02-22,102.0056,102.2939,101.8067,102.0553,1576878
2017-02-23,102.0553,102.2939,101.8664,101.9956,1368286
2017-02-24,101.6079,102.2641,101.5979,102.2342,2153608
2017-02-27,101.9857,102.2939,101.9757,102.2144,881055
2017-02-28,102.0553,102.5822,101.7073,102.2144,1650151
2017-03-01,102.6021,102.8407,102.3635,102.6021,1797903
2017-03-02,102.5226,103.1887,102.453,103.0097,4282410
2017-03-03,103.1191,103.3378,102.8407,103.2583,1484471
2017-03-06,102.9501,103.4969,102.7015,103.2881,1535542
2017-03-07,103.2583,103.5068,102.96,103.1688,2881801
2017-03-08,103.0793,103.4273,103.0495,103.2682,5757303
2017-03-09,103.1589,103.4173,103.1489,103.3179,3101443
2017-03-10,103.4969,103.6261,103.298,103.6162,3012899
2017-03-13,103.4969,103.8449,103.1986,103.3875,3592655
2017-03-14,103.298,103.3776,103.1091,103.1986,1669486
2017-03-15,103.1986,103.3676,103.1191,103.1489,2702330
2017-03-16,103.2782,103.3676,102.6816,102.8009,3891490
2017-03-17,102.6021,102.7811,102.3138,102.6717,3096574
2017-03-20,102.6518,102.8954,102.5574,102.7313,1158180
2017-03-21,102.6021,102.9103,102.0553,102.3436,3273643
2017-03-22,102.2342,102.3933,102.0056,102.1348,2040718
2017-03-23,102.1448,102.3784,102.0255,102.105,1720618
2017-03-24,102.2144,102.5623,102.0056,102.3933,2153518
2017-03-27,102.3237,102.7612,102.105,102.622,1182206
2017-03-28,102.4728,102.9304,102.3734,102.5822,1246296
2017-03-29,102.5623,103.0694,102.5524,103.0197,1622946
2017-03-30,102.7313,103.6858,102.5424,103.1489,1697023
2017-03-31,103.3378,103.3975,102.7811,102.9004,3326854
2017-04-03,103.0793,103.815,102.9004,103.6659,2955064
2017-04-04,104.1431,104.6502,103.7405,104.4414,7817404
2017-04-05,104.8689,104.8689,104.0039,104.1928,3961319
2017-04-06,104.342,104.3917,103.7355,103.7951,3719165
2017-04-07,103.8946,104.1928,103.8449,103.9443,4128575
2017-04-10,103.8946,104.0735,103.5665,103.5665,2051221
2017-04-11,103.4472,103.8349,103.2682,103.3676,2272051
2017-04-12,103.3179,103.3875,103.0594,103.0893,3112463
2017-04-13,103.0992,103.298,102.5922,102.6319,2698248
2017-04-17,102.9004,103.0893,102.5723,102.5723,1998950
2017-04-18,102.6021,102.9849,102.5623,102.7115,1495281
2017-04-19,102.9004,103.815,102.791,103.6261,3463244
2017-04-20,103.8449,103.8995,103.298,103.825,2904526
2017-04-21,103.8449,103.8449,103.5068,103.7554,1813228
2017-04-24,103.8946,104.3022,103.8051,104.163,1644757
2017-04-25,104.2525,104.67,104.1928,104.6005,2253253
2017-04-26,104.501,104.9882,104.501,104.8589,2824838
2017-04-27,104.8888,104.9683,104.6899,104.8391,1981043
2017-04-28,104.7893,105.187,104.6899,105.1373,2050052
2017-05-01,105.2865,105.54,104.9882,105.3461,1946758
2017-05-02,105.3859,105.5748,105.0578,105.1473,2297848
2017-05-03,105.3859,105.4853,104.9882,105.1771,1199183
2017-05-04,105.1473,106.3503,105.1174,106.1614,4468089
2017-05-05,105.9526,106.3403,105.7637,105.9625,2512702
2017-05-08,105.9128,106.3498,105.8333,106.2807,2710936
2017-05-09,106.0421,106.4,106.0321,106.1514,2152035
2017-05-10,106.1017,106.2707,105.9625,106.0619,3242967
2017-05-11,105.9327,106.3204,105.7836,106.2409,2924493
2017-05-12,106.1514,106.2906,105.883,106.2508,4860589
2017-05-15,106.1614,106.5789,106.052,106.4198,1854824
2017-05-16,106.3503,107.1307,106.3105,107.076,6256903
2017-05-17,106.6386,107.2053,106.6286,106.7678,5324608
2017-05-18,106.6585,106.8772,106.5193,106.6485,3252767
2017-05-19,106.8275,107.2003,106.8275,107.1257,2773353
