date,open,high,low,close,volume
2017-01-03,280.0,281.07,278.06,280.82,967683
2017-01-04,280.82,282.8,279.3,282.11,492577
2017-01-05,280.84,283.12,280.22,282.81,643996
2017-01-06,282.81,283.969,281.34,281.78,472643
2017-01-09,280.76,281.98,278.79,279.4,524792
2017-01-10,279.67,283.18,278.84,281.3,443671
2017-01-11,281.78,283.82,279.27,281.33,477059
2017-01-12,280.12,281.98,279.21,281.58,464952
2017-01-13,281.87,282.83,278.88,279.15,468198
2017-01-17,278.5,281.71,276.273,278.76,660194
2017-01-18,280.16,281.16,278.5,280.81,574077
2017-01-19,280.04,281.5,274.8,275.05,561625
2017-01-20,276.76,277.41,273.37,274.01,980105
2017-01-23,269.5,269.5,263.13,264.99,1418437
2017-01-24,265.56,268.75,265.23,267.46,1017499
2017-01-25,268.33,268.675,265.72,266.07,990329
2017-01-26,265.48,267.42,262.83,263.0,971968
2017-01-27,263.57,265.28,261.66,263.79,972657
2017-01-30,262.0,263.975,259.15,261.89,1496008
2017-01-31,261.46,263.35,259.19,262.27,915020
2017-02-01,262.19,263.0,254.21,254.35,1648902
2017-02-02,254.19,258.1958,253.54,256.69,998377
2017-02-03,258.39,261.84,257.16,259.84,970659
2017-02-06,259.05,261.07,257.8,258.4,1182267
2017-02-07,259.36,263.29,259.09,262.19,2041304
2017-02-08,263.2,273.84,259.94,271.65,2786225
2017-02-09,275.35,277.4,271.12,274.78,1783312
2017-02-10,273.75,275.44,269.58,271.8,1267490
2017-02-13,272.46,272.63,268.19,268.48,867937
2017-02-14,268.49,270.26,267.66,269.52,917229
2017-02-15,268.72,271.16,268.72,270.62,665015
2017-02-16,270.67,270.98,266.555,266.85,756579
2017-02-17,266.85,268.16,264.47,268.12,738614
2017-02-21,269.11,272.64,267.16,268.7,1048196
2017-02-22,269.1,269.367,266.3,268.09,776077
2017-02-23,269.18,269.18,265.31,265.94,921407
2017-02-24,265.74,269.279,264.3741,268.73,719193
2017-02-27,267.63,269.73,264.56,268.25,550983
2017-02-28,267.97,271.93,267.3,271.71,1345795
2017-03-01,273.24,274.4,271.125,271.52,1006899
2017-03-02,270.9,272.27,269.71,271.98,799857
2017-03-03,272.05,273.03,268.39,270.65,1141759
2017-03-06,270.26,271.49,268.45,268.86,811939
2017-03-07,269.05,270.17,268.225,269.82,821679
