date,open,high,low,close,volume
2017-01-03,57.3206,57.883,56.8144,57.2362,1922270
2017-01-04,57.4706,57.733,57.2175,57.4518,1610098
2017-01-05,57.2925,57.6299,56.8205,57.0394,1646510
2017-01-06,57.0394,57.6955,56.7582,57.4331,1271373
2017-01-09,57.3956,57.5549,57.0863,57.1987,1429824
2017-01-10,57.255,57.4518,56.8894,57.0019,1392941
2017-01-11,57.2831,57.5362,56.9925,57.3206,1424554
2017-01-12,57.1519,57.5643,56.9082,57.4987,1070209
2017-01-13,57.48,57.8268,57.4237,57.6206,938987
2017-01-17,57.4893,57.6206,56.8425,57.0394,1357477
2017-01-18,57.18,57.3112,56.9175,57.2175,1145814
2017-01-19,57.2175,57.2831,56.9831,57.0863,1173448
2017-01-20,57.2737,57.8362,57.1331,57.6206,1517933
2017-01-23,57.5174,57.6393,57.1612,57.2831,1716851
2017-01-24,57.3487,58.0799,57.3487,57.9955,1472049
2017-01-25,58.1267,58.2767,57.5503,57.7612,1529386
2017-01-26,57.6862,57.7518,57.4143,57.6018,1053615
2017-01-27,57.6955,57.7049,57.1612,57.3393,1009834
2017-01-30,57.3582,57.6038,57.0654,57.4338,1272935
2017-01-31,57.0938,57.3866,56.7544,56.9427,1684077
2017-02-01,56.1965,56.1965,55.1859,55.2709,4522152
2017-02-02,55.167,55.5448,54.8931,55.2993,2649473
2017-02-03,55.6298,55.8848,54.5059,54.7515,4003329
2017-02-06,54.7987,55.1529,54.1659,54.4209,4610225
2017-02-07,54.4492,54.7704,53.9015,54.3737,2810298
2017-02-08,54.2887,54.6192,53.9959,54.4492,1671210
2017-02-09,54.487,55.4126,54.4587,55.2426,2017717
2017-02-10,55.3654,55.7148,55.1765,55.2143,1303093
2017-02-13,55.4882,55.9386,55.4457,55.7621,1471217
2017-02-14,55.6109,56.036,55.5634,55.9793,1113730
2017-02-15,56.036,56.2201,55.5826,56.0832,1526344
2017-02-16,56.1682,56.2815,55.8093,56.1871,1276209
2017-02-17,56.1587,56.1587,55.4787,55.8471,1708140
2017-02-21,55.9415,56.0549,55.4882,55.8187,2218893
