date,open,high,low,close,volume
2017-01-03,98.8068,98.948,98.1194,98.5337,3741206
2017-01-04,98.9668,99.4565,98.6655,98.722,3029654
2017-01-05,98.4113,98.9763,98.1007,98.5902,5087216
2017-01-06,98.8444,99.0139,98.0347,98.449,4109653
2017-01-09,98.0724,98.1618,97.2156,97.4133,5603540
2017-01-10,97.2815,97.2815,95.8032,96.0104,5399235
2017-01-11,95.888,96.3776,95.4831,95.8597,4650289
2017-01-12,95.7656,96.5282,95.6432,95.888,3126043
2017-01-13,95.9256,96.1422,95.3042,95.6149,3478642
2017-01-17,95.163,96.3399,95.1535,96.2175,3745757
2017-01-18,96.4152,96.9802,96.3399,96.7354,4340388
2017-01-19,96.3022,96.9802,96.1987,96.3776,3923119
2017-01-20,96.7824,97.2815,96.453,97.2061,4750772
2017-01-23,96.886,98.1289,96.8201,97.9311,4584802
2017-01-24,97.9217,98.7974,97.7146,98.5902,4992265
2017-01-25,98.5902,99.0422,98.4302,98.4961,3566079
2017-01-26,98.4019,98.6091,97.9876,98.0535,3634560
2017-01-27,98.2795,98.3078,97.385,97.4321,4248230
2017-01-30,96.9896,97.6581,96.9802,97.6298,3462554
2017-01-31,97.1779,98.0818,97.1779,97.7146,3846647
2017-02-01,97.5545,97.7146,96.9613,96.9896,3515578
2017-02-02,97.6957,98.2889,97.2532,97.95,3213734
2017-02-03,98.336,99.5836,97.9782,98.9668,4287147
2017-02-06,98.9574,99.0892,98.4207,98.4584,4355238
2017-02-07,98.5149,99.7107,98.5149,99.4376,3980353
2017-02-08,99.3341,100.0214,99.0987,99.5129,3407089
2017-02-09,99.2587,100.2662,98.8821,99.7766,4012387
2017-02-10,99.6448,100.1297,99.4158,99.899,2475506
2017-02-13,100.2756,100.4545,99.6918,100.2944,3464318
2017-02-14,99.9649,100.7464,99.4941,100.6711,5665028
2017-02-15,99.1928,100.9818,98.6467,100.4922,7617151
2017-02-16,100.8876,101.8574,100.1061,101.8009,5559903
2017-02-17,101.0194,101.9704,100.9441,101.8292,5498432
2017-02-21,101.7538,103.1003,101.6409,102.9685,5370662
2017-02-22,102.9779,103.3639,102.7848,103.0155,3815267
2017-02-23,102.7425,103.571,102.7425,103.1379,3382733
2017-02-24,103.1003,103.4957,102.9402,103.411,3991764
2017-02-27,103.2792,103.4581,102.8461,102.8837,3475121
2017-02-28,102.6766,104.136,102.6766,103.9288,4684747
2017-03-01,103.9027,104.5853,103.4951,104.026,4750734
2017-03-02,104.1018,104.5853,103.7416,104.3862,3880791
2017-03-03,104.3767,104.9171,103.9501,104.8128,4130942
2017-03-06,104.0923,104.4621,103.7416,103.9312,4491045
2017-03-07,103.4856,104.0639,103.3339,103.6373,4361109
2017-03-08,103.4951,103.6468,102.8315,103.6183,5244494
2017-03-09,103.8648,103.9122,103.2486,103.3529,4066952
2017-03-10,103.8838,104.007,103.5994,103.8932,3488905
2017-03-13,103.6373,104.0877,103.3624,103.7226,3131237
2017-03-14,103.5994,104.026,103.4477,103.6562,3630038
2017-03-15,103.8648,105.448,103.8079,105.3342,4973393
2017-03-16,105.3153,105.4196,104.7844,105.3627,4580674
2017-03-17,105.6841,105.7229,105.1636,105.5997,6444384
2017-03-20,105.3722,105.6471,105.0498,105.3722,3382089
2017-03-21,105.7419,106.4719,105.6755,105.9599,5587739
2017-03-22,106.4719,106.5382,105.7703,106.1969,3882237
2017-03-23,106.1306,106.4908,105.8651,105.9694,3208362
2017-03-24,106.159,106.4102,105.9789,106.2917,3913223
2017-03-27,106.0547,106.4529,105.7703,106.0168,3514557
2017-03-28,105.9978,106.8985,105.8367,106.6046,3945393
2017-03-29,106.2349,106.6852,106.1495,106.5856,2683678
2017-03-30,106.4529,106.6994,106.178,106.3486,2104918
2017-03-31,106.4719,106.6235,106.0168,106.0452,3744389
2017-04-03,106.1306,106.5193,105.6659,106.0452,3587129
2017-04-04,106.1685,106.3865,105.8272,106.2538,2360663
2017-04-05,106.2159,106.7373,105.8841,106.1211,2991960
2017-04-06,106.2917,106.4434,105.6281,105.7798,2740631
2017-04-07,105.8936,106.1401,105.6479,105.8082,2799610
2017-04-10,105.8936,106.3154,105.6187,106.1969,2873249
2017-04-11,105.903,106.2538,105.5618,105.922,3031468
2017-04-12,106.2254,107.8512,106.0832,107.7043,6260257
2017-04-13,107.363,107.4862,106.7942,106.8226,3257297
2017-04-17,106.8795,107.4294,106.8226,107.4294,2917688
2017-04-18,107.5431,108.6476,107.5097,108.3395,4574200
2017-04-19,108.4722,108.5385,107.581,107.7138,3044737
2017-04-20,107.619,108.0456,107.4957,107.6853,2972962
2017-04-21,107.6474,107.8844,107.382,107.5336,3885269
2017-04-24,108.4153,108.5291,107.9887,108.3774,3221543
2017-04-25,108.2731,108.6144,108.074,108.2257,3643622
2017-04-26,105.941,107.8465,105.5523,107.4388,5343923
2017-04-27,107.2208,107.5431,106.6615,106.7847,4096239
2017-04-28,106.5003,107.5336,106.3589,107.3914,4872033
2017-05-01,107.0596,107.2303,106.4339,106.4434,4074291
2017-05-02,106.889,107.0217,106.2443,106.4529,3082363
2017-05-03,106.5477,106.8511,105.8957,105.9789,3342585
2017-05-04,106.3391,107.126,105.9978,107.0881,3488798
2017-05-05,107.1639,107.3914,106.8771,107.3346,3046064
2017-05-08,107.3156,107.5336,106.9174,107.3346,3097181
2017-05-09,107.3535,107.5147,106.6994,106.8605,2708153
2017-05-10,106.8416,107.0027,106.633,106.9743,2160149
2017-05-11,106.7847,107.2113,106.6804,107.1639,2277166
2017-05-12,107.0596,107.4104,106.8605,107.0407,2383496
2017-05-15,107.0312,108.074,106.9079,108.0171,3500274
2017-05-16,108.1309,108.6997,107.6853,107.8749,2444255
2017-05-17,107.5621,108.3489,107.4294,107.8275,2999270
2017-05-18,107.8654,108.3395,107.399,108.1024,3439503
2017-05-19,108.2352,108.548,107.5573,107.7801,5750075
2017-05-22,107.7801,109.022,107.7801,108.7376,3323959
2017-05-23,108.7471,109.4392,108.7471,109.0694,3261263
2017-05-24,109.3159,110.2829,109.1358,110.0269,2863357
2017-05-25,110.3113,111.5627,110.1122,111.4205,3596188
2017-05-26,111.1551,111.8703,111.1077,111.7808,3104759
2017-05-30,111.6196,111.9798,111.3921,111.8756,3231598
2017-05-31,111.5939,112.5771,111.5557,111.5557,5232886
2017-06-01,111.4889,111.928,110.7826,111.8994,4404853
2017-06-02,112.1189,112.348,111.718,112.3194,3162869
2017-06-05,112.0521,112.6057,111.7276,112.5198,2969490
2017-06-06,112.4244,112.5771,112.1189,112.348,2643156
2017-06-07,111.8421,112.2239,111.508,111.7276,3681102
2017-06-08,111.5462,111.7562,110.3339,110.6203,3956710
2017-06-09,110.4008,110.8494,110.1144,110.668,3197723
2017-06-12,110.9448,111.3171,110.6489,110.9448,3492098
2017-06-13,110.2194,111.2885,110.2194,111.0307,2760749
2017-06-14,111.5939,112.6916,111.5176,112.033,3597242
2017-06-15,111.6798,112.138,111.2121,111.8803,3372664
2017-06-16,112.032,112.0616,111.0117,111.5462,5156209
2017-06-19,111.6989,111.9566,110.9448,111.9566,2436611
2017-06-20,111.9566,112.7635,111.8516,112.5866,3703498
2017-06-21,112.4244,112.8634,111.9089,112.0807,3767106
2017-06-22,111.9948,112.0712,110.773,110.8685,3288149
2017-06-23,110.9258,112.033,110.8112,111.6416,3453406
2017-06-26,112.0807,112.4721,111.7371,111.7944,2704461
2017-06-27,111.9089,112.0425,110.668,110.668,2884276
2017-06-28,111.2217,111.5557,110.9162,111.088,3110592
2017-06-29,110.7921,110.9162,109.6659,109.9426,3474360
2017-06-30,110.2767,110.8335,110.0571,110.2385,3313250
2017-07-03,110.2958,110.7253,110.0953,110.1908,2250824
2017-07-05,110.248,110.2958,109.6562,110.0571,4023052
2017-07-06,109.7421,110.1717,109.6276,109.8949,4006999
2017-07-07,110.1621,110.4007,109.6085,110.2576,3972488
2017-07-10,110.6489,110.7253,109.0071,109.074,5771230
2017-07-11,108.1863,108.7972,107.1458,108.5681,6368474
2017-07-12,109.284,109.7517,109.0835,109.5512,3885229
2017-07-13,109.723,109.809,108.7399,108.8353,3089432
2017-07-14,109.0644,109.8805,109.0549,109.704,2956439
2017-07-17,109.7135,109.9235,109.6164,109.704,2481948
2017-07-18,109.6276,109.914,109.1885,109.7803,2694840
2017-07-19,109.7803,110.1049,109.4176,110.0953,2578212
2017-07-20,110.0953,110.7778,109.8758,110.2576,3518141
2017-07-21,110.5153,111.3648,110.1335,111.3267,3476448
2017-07-24,111.2026,111.3648,110.8112,110.8494,3681323
2017-07-25,111.3267,111.4698,110.8589,111.1548,3075078
2017-07-26,111.0117,112.0807,110.8685,111.8612,3305595
2017-07-27,111.9948,112.6916,111.3171,112.0044,2954845
2017-07-28,111.9757,112.1285,110.9162,111.3076,3276278
2017-07-31,111.2312,111.5462,110.8971,111.3076,3098647
2017-08-01,110.4676,110.7053,109.9044,110.353,2619119
2017-08-02,110.4676,110.7053,109.9044,110.353,2626447
2017-08-03,110.4676,111.3553,110.4199,111.0117,2986158
2017-08-04,111.0307,111.193,110.5964,111.0785,2955165
2017-08-07,111.1548,111.8898,111.088,111.6416,2569552
2017-08-08,111.4889,111.6321,111.0785,111.403,2412582
2017-08-09,111.193,111.3935,110.6871,111.3267,2513820
2017-08-10,111.0594,111.5271,110.8017,111.088,2236003
2017-08-11,111.4412,111.9185,111.0594,111.2121,2759739
2017-08-14,112.0235,112.8062,111.6932,112.4816,3191713
2017-08-15,112.5198,113.7321,112.4912,113.5602,2749754
2017-08-16,113.5507,113.9368,113.4171,113.6843,2373919
2017-08-17,113.5889,113.9612,112.873,113.0066,3096948
2017-08-18,112.9112,113.0448,112.0616,112.2525,3776515
2017-08-21,112.4434,113.0734,112.2,112.8825,2119494
2017-08-22,112.873,113.3025,112.3003,112.558,2313692
2017-08-23,112.5389,112.7489,111.8994,111.9566,2616268
2017-08-24,111.928,111.9662,110.7539,110.9353,4760021
2017-08-25,111.4317,111.5844,110.5344,110.5821,3443198
2017-08-28,110.8398,111.0021,109.8471,110.2862,2932692
2017-08-29,110.2958,110.8208,110.2576,110.5726,2348661
2017-08-30,110.6639,110.9426,110.4524,110.6831,2491784
2017-08-31,110.7696,111.3463,110.4716,111.2406,4709458
2017-09-01,110.9042,111.589,110.6831,111.3463,2591863
2017-09-05,111.4521,111.5578,110.933,111.3752,2711444
2017-09-06,111.6635,111.9519,111.1541,111.8365,2617480
2017-09-07,112.1249,112.7401,111.875,112.4517,2623792
2017-09-08,111.8846,111.9615,110.1256,110.5774,4818344
2017-09-11,110.6158,111.3944,110.3082,111.2021,3247937
2017-09-12,111.2021,111.4521,110.4043,110.5389,2998543
2017-09-13,110.4139,110.7023,109.5777,110.0102,5141488
2017-09-14,110.0006,110.1064,109.2893,109.7603,3456869
2017-09-15,110.289,110.5197,109.6834,110.3947,5543002
2017-09-18,110.7023,110.76,110.2313,110.5293,2441253
2017-09-19,110.5966,110.6543,109.9237,110.0487,2568270
2017-09-20,109.9045,110.2025,108.3618,109.174,4059794
2017-09-21,108.8183,109.4047,108.1743,108.4242,3630921
2017-09-22,108.1936,108.4915,107.4727,107.5111,3746257
2017-09-25,107.6937,107.7899,107.0978,107.5976,3884965
2017-09-26,107.8764,107.9436,107.3958,107.4727,2953814
2017-09-27,107.3861,107.5351,106.0597,106.7902,4016154
2017-09-28,107.0497,108.357,106.8767,107.3092,11581059
2017-09-29,107.5303,107.6841,106.8959,107.1074,5122348
2017-10-02,105.6464,106.2327,104.7332,104.887,8306410
2017-10-03,105.1754,105.3964,104.6659,104.8966,6064370
2017-10-04,102.7916,105.8867,102.0707,105.0985,9092379
2017-10-05,105.4061,106.6845,105.3003,106.1654,5670385
2017-10-06,105.8963,106.3769,105.656,106.1174,3240259
2017-10-09,106.3,106.6268,105.531,105.7425,1977771
2017-10-10,106.002,106.5595,106.002,106.4826,3032284
2017-10-11,106.598,107.4727,106.473,107.1843,4051052
2017-10-12,107.1843,108.1455,107.0593,108.0878,3287194
2017-10-13,108.357,108.5973,107.8283,108.2512,3090451
2017-10-16,108.5492,109.2221,108.3185,109.1644,2675935
2017-10-17,108.828,109.1548,107.3285,107.8379,3825150
2017-10-18,107.6072,108.0782,107.4438,107.6072,2590474
2017-10-19,107.29,108.4146,107.2708,108.2993,2673739
2017-10-20,108.6261,108.6357,107.0593,107.2804,3772276
2017-10-23,107.3092,108.0878,107.0786,107.3573,2263178
2017-10-24,107.5015,107.5263,106.002,106.4538,3351128
2017-10-25,106.1462,106.2413,104.9447,105.8098,3109974
2017-10-26,106.3769,106.9248,106.127,106.4345,2864970
2017-10-27,106.127,106.5475,105.6656,106.3096,3343218
2017-10-30,106.0789,106.0885,105.1177,105.3964,2206123
2017-10-31,105.9636,106.4682,105.6848,105.9539,4379361
2017-11-01,105.5022,106.3865,105.358,105.8578,2822423
2017-11-02,105.6464,105.9059,105.2907,105.7809,2169838
2017-11-03,105.8674,106.3577,105.7329,105.9443,1725671
2017-11-06,105.704,105.7329,104.9543,105.0216,3331780
2017-11-07,104.9158,106.2904,104.9158,106.1846,3882026
2017-11-08,106.2808,107.6937,106.2135,107.6553,3685289
2017-11-09,107.0305,108.0782,106.7133,107.1555,2825031
2017-11-10,107.117,108.5925,106.992,108.3762,3699459
2017-11-13,108.3185,109.7603,108.2705,109.6161,3194459
2017-11-14,109.2797,111.6827,109.1836,111.2694,4998865
2017-11-15,111.1637,111.4328,109.8757,110.635,3861487
2017-11-16,110.9138,111.3415,110.4812,110.76,3058092
2017-11-17,110.2794,110.6735,110.0871,110.2313,2646372
2017-11-20,110.2986,111.3559,110.2602,110.4524,3594344
2017-11-21,110.5293,111.8173,110.5101,111.5482,3179259
2017-11-22,111.279,111.5001,109.8468,110.6158,3598467
2017-11-24,111.1637,111.7885,110.9474,111.404,1183004
2017-11-27,111.5001,111.8846,111.1733,111.3559,2818867
2017-11-28,111.75,112.2979,110.8273,112.2402,3600399
2017-11-29,112.3075,112.8266,111.7789,112.3075,3276286
2017-11-30,112.777,113.4448,112.3511,112.777,5983960
2017-12-01,112.7576,113.0964,111.3445,113.0286,4956550
2017-12-04,113.2416,114.403,112.8738,113.6868,4403025
2017-12-05,113.8513,114.1514,113.4158,113.8126,3198612
2017-12-06,114.0449,115.0902,113.861,115.0805,3203561
2017-12-07,114.7127,114.8289,112.806,112.9802,5409520
2017-12-08,112.777,112.8544,112.1769,112.8254,3127499
2017-12-11,112.5931,113.6626,111.8478,113.619,2429359
2017-12-12,113.8223,114.5675,113.3577,113.6287,2664632
2017-12-13,113.7352,114.4127,113.7061,114.0159,3193861
2017-12-14,114.2094,114.7902,113.9433,114.2288,4057799
2017-12-15,114.8821,115.5257,114.645,115.3902,7173530
2017-12-18,115.5257,115.8935,114.2094,114.2578,3472719
2017-12-19,114.9063,115.5499,114.432,114.7998,3942543
2017-12-20,114.8482,115.2935,113.7836,115.1967,4273447
2017-12-21,115.6129,115.729,114.0546,114.4611,2790002
2017-12-22,114.7902,114.9353,114.374,114.7902,2045573
2017-12-26,114.6063,115.4096,114.6063,115.0708,2156768
2017-12-27,115.0515,115.5645,114.9837,115.4677,2465123
2017-12-28,115.4967,115.6903,115.2257,115.5161,1999330
2017-12-29,115.6225,116.6969,115.5838,116.0678,3116358
2018-01-02,116.0774,116.3194,114.1369,114.2675,4165804
2018-01-03,114.1175,114.6643,113.861,113.9675,4224441
2018-01-04,114.0159,115.2838,113.8223,114.5288,3146952
2018-01-05,114.6063,115.2644,114.4466,114.8579,2714157
2018-01-08,114.4127,114.9257,113.89,114.1998,5730359
2018-01-09,114.4611,115.158,114.161,114.2869,4573557
2018-01-10,114.3353,114.5579,112.9512,113.7061,3363949
2018-01-11,113.861,114.0643,112.6415,113.1254,3685198
2018-01-12,113.1932,114.2191,113.0964,113.6093,4335547
2018-01-16,113.4351,114.5482,113.2706,114.0739,4936457
2018-01-17,114.4901,116.3097,114.4127,115.3515,4554561
2018-01-18,115.2644,115.7774,114.8386,115.2257,6221784
