date,open,high,low,close,volume
2017-01-03,53.6473,53.6857,52.8125,53.11,7809307
2017-01-04,53.3115,53.9208,53.1388,53.7241,7796290
2017-01-05,53.8104,54.2422,53.5513,54.175,7602321
2017-01-06,54.3382,54.9523,53.8104,54.8179,8587812
2017-01-09,54.9427,55.9742,54.9331,55.8446,12640515
2017-01-10,55.8638,55.9022,55.4896,55.5376,6672024
2017-01-11,55.4608,55.7679,55.2593,55.7487,6027960
2017-01-12,55.6527,55.7775,55.3073,55.6815,4733015
2017-01-13,55.6815,55.7487,55.3169,55.5088,4745840
2017-01-17,55.2881,55.8926,55.0866,55.6527,5734666
2017-01-18,55.9598,56.2092,55.6815,56.0845,7375725
2017-01-19,55.9502,56.0845,55.3793,55.5472,7850480
2017-01-20,55.7871,55.8446,55.0866,55.3265,7651562
2017-01-23,55.0962,55.5568,54.8371,55.4224,6814368
2017-01-24,55.5856,56.1325,55.4224,56.0749,10704103
2017-01-25,56.2956,56.5451,56.0845,56.3244,7124547
2017-01-26,56.3244,56.6122,55.9022,56.0941,12382416
2017-01-27,53.4938,54.2998,53.3978,53.8488,28884899
2017-01-30,53.7337,53.9639,53.3307,53.6377,13322010
2017-01-31,53.5418,53.6089,52.659,52.9852,14307985
2017-02-01,53.2443,53.2539,51.6323,51.7186,18796871
2017-02-02,51.853,52.1888,51.6707,51.6899,15289650
2017-02-03,52.0161,52.8701,51.8242,52.8317,14161693
2017-02-06,52.7837,53.4938,52.6782,53.4746,13029829
2017-02-07,53.7734,53.8216,53.1855,53.2433,9910498
2017-02-08,53.1951,53.4897,53.1083,53.224,11681938
2017-02-09,53.2336,54.0915,53.2144,53.7927,11106757
2017-02-10,53.7156,54.3565,53.5517,54.1878,11178950
2017-02-13,54.4577,54.6119,54.0047,54.0818,8027939
2017-02-14,53.9951,54.5637,53.9951,54.5348,8865947
2017-02-15,54.5156,54.824,54.2698,54.8047,6967179
2017-02-16,54.9011,54.93,54.4866,54.6794,8524519
2017-02-17,54.7469,55.489,54.6601,55.277,11008366
2017-02-21,55.3348,55.7204,55.3252,55.4601,8289185
2017-02-22,55.4409,55.7589,55.277,55.489,7876599
2017-02-23,55.518,55.7011,55.3155,55.5565,7178627
2017-02-24,55.5276,55.624,55.0794,55.4023,7806190
2017-02-27,55.171,55.2288,54.6119,54.7276,7702400
2017-02-28,54.6601,54.9975,54.5059,54.8143,8750655
2017-03-01,55.1999,55.3252,54.8818,55.0746,7197973
2017-03-02,55.0071,55.1228,54.7951,55.0553,6595418
2017-03-03,54.6505,55.1902,54.6505,55.036,7738064
2017-03-06,54.7276,54.7565,54.2939,54.6312,9159983
2017-03-07,54.5348,54.6987,53.9951,54.1686,10890313
2017-03-08,54.1204,54.3131,53.5324,53.7252,13061632
2017-03-09,53.7348,53.783,52.8288,53.1951,17844248
2017-03-10,53.3878,53.3975,52.4481,52.5589,13886431
2017-03-13,52.5975,52.9008,52.4336,52.6553,9090230
2017-03-14,52.6457,52.7613,52.2312,52.3083,7892888
