date,open,high,low,close,volume
2017-01-03,4.4232,4.4419,4.3345,4.3739,34124349
2017-01-04,4.3936,4.4823,4.387,4.4626,26824624
2017-01-05,4.4921,4.5709,4.4921,4.5709,36249771
2017-01-06,4.5808,4.5808,4.4921,4.4921,25179385
2017-01-09,4.4921,4.5414,4.4675,4.5315,33707872
2017-01-10,4.5315,4.5955,4.502,4.5611,20563047
2017-01-11,4.5512,4.5611,4.4823,4.5217,32473085
2017-01-12,4.5217,4.5414,4.4527,4.5118,20030042
2017-01-13,4.5118,4.5709,4.5117,4.5414,25423720
2017-01-17,4.5217,4.5364,4.4921,4.502,13021562
2017-01-18,4.5217,4.5315,4.4724,4.5315,20555141
2017-01-19,4.5118,4.5315,4.4823,4.5217,14409570
2017-01-20,4.5315,4.5414,4.502,4.5217,15345144
2017-01-23,4.5315,4.5512,4.5118,4.5217,15005907
2017-01-24,4.5118,4.5611,4.5118,4.5611,20400619
2017-01-25,4.5808,4.63,4.5758,4.6054,16501211
2017-01-26,4.6202,4.6891,4.6103,4.6793,22979803
2017-01-27,4.7187,4.7285,4.6694,4.6793,22676120
2017-01-30,4.6596,4.6891,4.6202,4.6891,23972083
2017-01-31,4.7187,4.7187,4.6399,4.6497,20486227
2017-02-01,4.6694,4.7088,4.6497,4.699,28270838
2017-02-02,4.7482,4.7482,4.6596,4.6793,28321767
2017-02-03,4.6892,4.7385,4.6892,4.7385,15099553
2017-02-06,4.7484,4.7484,4.704,4.7138,15205183
2017-02-07,4.7188,4.7286,4.6497,4.6546,18467049
2017-02-08,4.6793,4.6793,4.6102,4.6398,16709418
2017-02-09,4.6595,4.6793,4.6299,4.6447,20447778
2017-02-10,4.6497,4.6793,4.6299,4.6694,17518211
2017-02-13,4.6793,4.699,4.6595,4.699,13661223
2017-02-14,4.7089,4.7188,4.6694,4.6793,21646112
2017-02-15,4.7681,4.857,4.699,4.8175,38959643
2017-02-16,4.8767,4.9359,4.8175,4.8471,31892389
2017-02-17,4.8965,4.8965,4.857,4.8767,24734513
2017-02-21,4.9261,5.0051,4.8866,4.9754,24486825
2017-02-22,5.1235,5.1531,5.0347,5.084,44246686
2017-02-23,5.1038,5.1136,4.9853,5.0051,22439026
2017-02-24,5.0149,5.0643,4.9853,5.0544,15519907
2017-02-27,5.0643,5.1136,5.0544,5.1136,24265233
2017-02-28,5.1235,5.1235,5.0149,5.0248,31917052
2017-03-01,5.0643,5.1136,5.0593,5.0988,17826982
2017-03-02,5.0742,5.084,5.0347,5.0643,24661144
2017-03-03,5.0445,5.0742,5.0149,5.0396,16033978
2017-03-06,5.0248,5.0347,4.9952,5.0248,16144722
2017-03-07,5.0248,5.0742,5.0149,5.0544,17325655
2017-03-08,5.0643,5.1038,5.0544,5.0939,18605729
2017-03-09,5.0939,5.1136,5.0347,5.084,18787020
2017-03-10,5.0742,5.1235,5.0643,5.1235,25657718
2017-03-13,5.1334,5.4592,5.1186,5.3703,64034207
2017-03-14,5.3308,5.3703,5.2519,5.321,30020468
2017-03-15,5.3407,5.3802,5.2321,5.2321,32033986
2017-03-16,5.2025,5.2815,5.1729,5.2617,19257089
2017-03-17,5.3111,5.321,5.2025,5.2913,37674654
2017-03-20,5.2716,5.3012,5.2222,5.242,13595645
2017-03-21,5.2617,5.2716,5.1038,5.1235,33384047
2017-03-22,5.0742,5.084,4.9952,5.0347,32553291
2017-03-23,5.0149,5.0939,4.9952,5.0643,26404475
2017-03-24,5.084,5.084,4.9952,5.0347,25606808
2017-03-27,4.9952,5.0742,4.9754,5.0347,19520373
2017-03-28,5.0544,5.1136,5.0248,5.0445,25445659
2017-03-29,5.0643,5.0742,5.0248,5.0742,17380379
2017-03-30,5.0742,5.1531,5.0643,5.1433,13840954
2017-03-31,5.1235,5.1531,5.0742,5.084,13604019
2017-04-03,5.0939,5.1235,4.9853,5.0347,22411391
2017-04-04,5.0051,5.0791,5.0051,5.0544,18324458
2017-04-05,5.0742,5.1433,5.0347,5.0445,24344875
2017-04-06,5.0544,5.0988,5.0347,5.0643,12840849
2017-04-07,5.084,5.1136,5.0544,5.0939,17353760
2017-04-10,5.0939,5.1038,5.0347,5.0347,16337141
2017-04-11,5.0445,5.0445,4.9853,4.9952,20427231
2017-04-12,4.9952,5.0544,4.9853,5.0248,20892389
2017-04-13,5.0544,5.0643,4.9952,5.0347,21715787
2017-04-17,5.0544,5.0643,4.9754,4.9853,16404196
2017-04-18,4.9952,5.0347,4.9557,4.9952,20346146
2017-04-19,4.9359,5.0149,4.8866,5.0051,50429810
2017-04-20,5.0149,5.0544,4.9063,5.0051,38430907
2017-04-21,5.0149,5.0544,4.9359,5.0051,79330638
2017-04-24,5.0149,5.0643,4.9656,5.0643,58074153
2017-04-25,5.0742,5.1433,5.0643,5.1383,27229024
2017-04-26,5.1235,5.1334,5.0051,5.0445,34773127
2017-04-27,4.9458,4.9853,4.8372,4.9557,60646136
2017-04-28,4.9754,4.9754,4.8274,4.8866,40927197
2017-05-01,4.8866,4.9162,4.8175,4.8965,38089846
2017-05-02,4.9063,4.9162,4.6892,4.778,58874401
2017-05-03,4.778,4.8471,4.7484,4.7879,28376340
2017-05-04,4.8076,4.8076,4.7484,4.7731,16014536
2017-05-05,4.7977,4.8471,4.778,4.8274,14496797
2017-05-08,4.8323,4.8669,4.8026,4.8471,19786077
2017-05-09,4.8471,4.8917,4.7878,4.8175,27200306
2017-05-10,4.8076,4.8373,4.768,4.7977,18227979
2017-05-11,4.7779,4.7977,4.7284,4.7779,19255030
2017-05-12,4.7977,4.7977,4.7383,4.7581,15995095
2017-05-15,4.7383,4.7977,4.7087,4.7284,23660727
2017-05-16,4.7383,4.768,4.7284,4.7383,12754876
2017-05-17,4.7284,4.7383,4.679,4.679,24757735
2017-05-18,4.6889,4.8966,4.679,4.8076,32711100
2017-05-19,4.7779,4.8966,4.7779,4.857,17732546
2017-05-22,4.8471,4.9263,4.8471,4.8867,12134683
2017-05-23,4.9164,4.9757,4.8867,4.9164,14907553
2017-05-24,4.9461,5.0648,4.9362,5.0549,24117788
2017-05-25,5.0549,5.0944,5.0054,5.0648,19560274
2017-05-26,5.0549,5.2923,5.0549,5.2329,41273975
2017-05-30,5.2428,5.3071,5.1637,5.1736,26032097
2017-05-31,5.1934,5.2181,5.1538,5.1934,35947415
2017-06-01,5.1934,5.4209,5.1538,5.4011,52595757
2017-06-02,5.3813,5.4407,5.3566,5.4258,27855615
2017-06-05,5.4308,5.4308,5.322,5.322,24388719
2017-06-06,5.322,5.3269,5.134,5.2329,42330284
2017-06-07,5.223,5.3071,5.1736,5.2626,15543460
2017-06-08,5.2329,5.3566,5.1835,5.3417,27457356
2017-06-09,5.3417,5.3615,5.0747,5.1439,38629819
2017-06-12,5.1241,5.2132,5.0549,5.1439,24844663
2017-06-13,5.1241,5.2033,5.1142,5.1835,15087977
2017-06-14,5.2033,5.2033,5.0944,5.1043,16500798
2017-06-15,5.0944,5.1241,5.0351,5.1241,16248633
2017-06-16,5.0944,5.1538,5.0648,5.1192,27687884
2017-06-19,5.1439,5.223,5.1241,5.1835,18065637
2017-06-20,5.1637,5.2132,5.1241,5.1241,23572388
2017-06-21,5.1241,5.2428,5.1043,5.1835,20598550
2017-06-22,5.1934,5.2428,5.1538,5.1835,13906842
2017-06-23,5.1934,5.3319,5.1835,5.2923,41967640
2017-06-26,5.3121,5.3764,5.2428,5.2428,17493222
2017-06-27,5.2329,5.3121,5.2033,5.2033,18407240
2017-06-28,5.2132,5.3516,5.2132,5.3417,17127591
2017-06-29,5.3417,5.3813,5.223,5.3022,27956303
2017-06-30,5.3615,5.4308,5.2873,5.411,33095174
2017-07-03,5.4407,5.4407,5.3121,5.322,10342963
2017-07-05,5.3121,5.3912,5.3121,5.3615,17231816
2017-07-06,5.3615,5.3665,5.2824,5.2923,14858200
2017-07-07,5.2923,5.3615,5.2824,5.3121,13662289
2017-07-10,5.3022,5.3417,5.2626,5.2824,24026124
2017-07-11,5.2923,5.3417,5.2626,5.3319,12586757
2017-07-12,5.3516,5.3813,5.322,5.3467,17006511
2017-07-13,5.3319,5.411,5.3319,5.3714,17455565
2017-07-14,5.4011,5.4209,5.3714,5.4209,13135207
2017-07-17,5.4011,5.4209,5.3863,5.4011,10163553
2017-07-18,5.3912,5.411,5.3319,5.3516,18019973
2017-07-19,5.3516,5.4011,5.3319,5.3813,15806457
2017-07-20,5.3813,5.4308,5.3714,5.411,11318294
2017-07-21,5.3912,5.411,5.3319,5.411,16958345
2017-07-24,5.411,5.4209,5.3121,5.322,24112167
2017-07-25,5.322,5.3912,5.322,5.3319,18087257
2017-07-26,5.3615,5.4308,5.3319,5.3319,37756398
2017-07-27,5.4901,5.8265,5.4901,5.7671,73178057
2017-07-28,5.7176,5.8067,5.688,5.7473,20817984
2017-07-31,5.7968,5.8265,5.7473,5.7968,16526650
2017-08-01,5.8265,5.8265,5.6583,5.7275,25178196
2017-08-02,5.6979,5.7275,5.5495,5.6187,18436772
2017-08-03,5.5989,5.6781,5.5643,5.5792,17392182
2017-08-04,5.5891,5.6138,5.4901,5.5,18920206
2017-08-07,5.4901,5.5495,5.4901,5.5396,14017098
2017-08-08,5.5297,5.5891,5.4801,5.5,21649178
2017-08-09,5.4801,5.5297,5.4306,5.5,18584299
2017-08-10,5.4504,5.49,5.4405,5.4504,17003008
2017-08-11,5.4207,5.5545,5.4108,5.5198,18492509
2017-08-14,5.5693,5.609,5.5396,5.5792,14798731
2017-08-15,5.5693,5.5842,5.4702,5.5495,21277529
2017-08-16,5.5594,5.5743,5.5,5.5396,11220947
2017-08-17,5.5099,5.5297,5.4207,5.4306,19012388
2017-08-18,5.4009,5.4702,5.3909,5.4405,12530064
2017-08-21,5.4405,5.4801,5.4207,5.4702,10409328
2017-08-22,5.4801,5.6189,5.4801,5.6189,23528240
2017-08-23,5.5792,5.609,5.5099,5.5099,17516414
2017-08-24,5.5198,5.5495,5.4702,5.5297,11338766
2017-08-25,5.5396,5.5693,5.5099,5.5297,10271052
2017-08-28,5.5396,5.5594,5.5,5.5297,10288212
2017-08-29,5.49,5.5792,5.4702,5.5792,10801152
2017-08-30,5.5594,5.6982,5.5594,5.6486,16586089
2017-08-31,5.6585,5.6982,5.6288,5.6982,13920316
2017-09-01,5.6882,5.6982,5.6238,5.6387,13011517
2017-09-05,5.6288,5.6486,5.5148,5.5396,19906204
2017-09-06,5.5297,5.5792,5.5,5.5495,14721446
2017-09-07,5.5495,5.5792,5.4603,5.5,15572467
2017-09-08,5.49,5.49,5.3513,5.4306,24806472
2017-09-11,5.4702,5.49,5.4108,5.4801,19588104
2017-09-12,5.4702,5.5396,5.4405,5.5396,19144972
2017-09-13,5.5198,5.5297,5.3216,5.3711,26896740
2017-09-14,5.3711,5.4108,5.3414,5.3909,16790223
2017-09-15,5.381,5.4603,5.3711,5.4603,30136475
2017-09-18,5.4405,5.4801,5.4009,5.4306,18027544
2017-09-19,5.4207,5.4603,5.4108,5.4207,10605362
2017-09-20,5.4108,5.4702,5.4009,5.4504,20284333
2017-09-21,5.4405,5.4801,5.4207,5.4405,7364526
2017-09-22,5.4207,5.49,5.4207,5.49,8285263
2017-09-25,5.4801,5.5,5.4405,5.4504,12806767
2017-09-26,5.4504,5.4801,5.3711,5.3909,14119865
2017-09-27,5.4207,5.49,5.4009,5.4801,16052940
2017-09-28,5.4504,5.4801,5.3909,5.3909,11714551
2017-09-29,5.4108,5.5198,5.4009,5.4702,15775666
2017-10-02,5.4702,5.5,5.4306,5.4504,16043793
2017-10-03,5.4504,5.5495,5.4504,5.5495,17327020
2017-10-04,5.5792,5.6882,5.5495,5.6783,22476707
2017-10-05,5.6585,5.7378,5.6486,5.6882,17100009
2017-10-06,5.6982,5.718,5.6189,5.6783,10781747
2017-10-09,5.6882,5.7279,5.6585,5.6684,7199353
2017-10-10,5.6684,5.6783,5.5991,5.5991,10084730
2017-10-11,5.6189,5.6982,5.5891,5.6684,14164122
2017-10-12,5.6783,5.7279,5.5891,5.6585,20327637
2017-10-13,5.6982,5.6982,5.6387,5.6585,8675665
2017-10-16,5.6585,5.6684,5.6387,5.6486,7866109
2017-10-17,5.6288,5.6783,5.6189,5.6585,8786625
2017-10-18,5.6486,5.718,5.6387,5.6982,11458522
2017-10-19,5.6684,5.7081,5.6486,5.6882,8774821
2017-10-20,5.7279,5.7279,5.6783,5.7031,8287823
2017-10-23,5.718,5.7279,5.6288,5.6486,20151271
2017-10-24,5.6387,5.7279,5.6387,5.6684,27157240
2017-10-25,5.609,5.6486,5.4108,5.5099,29248040
2017-10-26,5.5693,5.5693,5.49,5.5297,12876529
2017-10-27,5.5,5.5099,5.3909,5.49,30516344
2017-10-30,5.4801,5.5099,5.4108,5.4603,19660920
2017-10-31,5.4702,5.4712,5.381,5.3909,19511316
2017-11-01,5.4207,5.4702,5.3315,5.3909,23138645
2017-11-02,5.3612,5.381,5.2522,5.2918,20639369
2017-11-03,5.2522,5.2918,5.2126,5.2522,16733068
2017-11-06,5.2423,5.3513,5.2423,5.3018,12428118
2017-11-07,5.3018,5.3513,5.2621,5.2918,12812747
2017-11-08,5.273,5.3425,5.273,5.3226,15844167
2017-11-09,5.3028,5.3624,5.2432,5.273,15184279
2017-11-10,5.2432,5.3723,5.2432,5.3028,18671543
2017-11-13,5.2829,5.4617,5.2829,5.4617,24647033
2017-11-14,5.4418,5.4517,5.263,5.3127,23927039
2017-11-15,5.3127,5.3524,5.263,5.3425,14497696
2017-11-16,5.3226,5.4021,5.3127,5.3624,17047069
2017-11-17,5.3822,5.4517,5.3425,5.4219,11915928
2017-11-20,5.4319,5.4517,5.3772,5.3921,11537848
2017-11-21,5.4219,5.4716,5.407,5.4219,13265319
2017-11-22,5.4219,5.4517,5.3822,5.4021,14091240
2017-11-24,5.3921,5.4319,5.3772,5.4021,7844231
2017-11-27,5.3723,5.4319,5.3624,5.4021,15891099
2017-11-28,5.3921,5.412,5.3624,5.3921,15124289
2017-11-29,5.3921,5.5113,5.3921,5.4418,19204072
2017-11-30,5.412,5.5113,5.4021,5.4617,15930331
2017-12-01,5.4219,5.5312,5.412,5.5014,22300286
2017-12-04,5.5014,5.6305,5.4914,5.5709,20409561
2017-12-05,5.5808,5.7,5.561,5.7,26126433
2017-12-06,5.6901,5.7,5.5312,5.561,21147204
2017-12-07,5.551,5.6603,5.5312,5.5907,17854779
2017-12-08,5.6404,5.6503,5.5808,5.6007,10497290
2017-12-11,5.6007,5.6305,5.5709,5.6007,15172979
2017-12-12,5.6007,5.6801,5.5808,5.6503,12568608
2017-12-13,5.6503,5.6901,5.6354,5.6503,13319474
2017-12-14,5.6503,5.7,5.6205,5.6205,13491306
2017-12-15,5.6603,5.6702,5.1637,5.3326,95984929
2017-12-18,5.273,5.4418,5.273,5.3921,32605200
2017-12-19,5.3822,5.412,5.2829,5.2829,22413991
2017-12-20,5.2928,5.3127,5.2134,5.2233,19580453
2017-12-21,5.2233,5.263,5.2035,5.2333,24970148
2017-12-22,5.2233,5.3425,5.2233,5.3326,15247517
2017-12-26,5.3127,5.4716,5.3127,5.3822,14677358
2017-12-27,5.3822,5.4021,5.3425,5.3524,9565873
2017-12-28,5.3524,5.3624,5.3028,5.3425,8600614
2017-12-29,5.3326,5.3822,5.3127,5.3226,10635437
2018-01-02,5.2333,5.273,5.1538,5.1737,30568096
2018-01-03,5.1538,5.2432,5.134,5.1737,28964548
2018-01-04,5.1737,5.3226,5.1737,5.273,27002019
2018-01-05,5.2928,5.3127,5.2333,5.2928,17289989
2018-01-08,5.2531,5.3127,5.2531,5.273,16328351
2018-01-09,5.2928,5.3524,5.263,5.273,19410323
2018-01-10,5.3127,5.5411,5.3127,5.5163,54595143
2018-01-11,5.5312,5.551,5.412,5.4617,24973291
2018-01-12,5.4716,5.4815,5.4319,5.4418,15779522
2018-01-16,5.4517,5.4517,5.3326,5.3425,20692490
2018-01-17,5.3723,5.4617,5.3624,5.4021,19092506
2018-01-18,5.3822,5.5014,5.3724,5.4319,13486287
2018-01-19,5.5212,5.6007,5.4716,5.561,26329895
2018-01-22,5.5113,5.6851,5.5014,5.6106,21594307
2018-01-23,5.5808,5.6503,5.5411,5.6404,18499386
2018-01-24,5.6901,5.7198,5.6503,5.6901,20935055
2018-01-25,5.7198,5.7794,5.7,5.7298,18851353
2018-01-26,5.7298,6.2362,5.7198,5.9383,42598560
2018-01-29,6.0227,6.0376,5.8688,5.9383,34923253
2018-01-30,5.9482,5.9929,5.8589,5.9085,25551366
2018-01-31,5.8489,6.0972,5.8092,6.0674,29616631
2018-02-01,5.978,6.1369,5.978,6.0674,17693199
2018-02-02,6.0575,6.1766,6.0475,6.0674,20626344
2018-02-05,6.0873,6.2263,5.978,5.978,30004368
2018-02-06,5.9392,6.0686,5.8497,6.0188,35045455
2018-02-07,5.9691,6.0686,5.9392,5.9691,23116560
2018-02-08,5.9591,5.979,5.8049,5.8198,28943133
2018-02-09,5.8397,5.8696,5.6507,5.79,33658018
2018-02-12,5.7701,5.8994,5.7303,5.8198,15827769
2018-02-13,5.7801,5.9691,5.7751,5.9293,17024212
2018-02-14,5.9193,6.0785,5.8795,6.0586,19053811
2018-02-15,6.0387,6.1929,6.0288,6.1183,23449985
2018-02-16,6.1581,6.168,6.0487,6.0785,24615470
2018-02-20,6.0785,6.0984,6.0188,6.0785,11877921
2018-02-21,6.0984,6.1879,6.0785,6.0984,20611151
2018-02-22,6.1084,6.2377,6.0984,6.1183,24716054
2018-02-23,6.168,6.2675,6.1283,6.2377,15320471
2018-02-26,6.2576,6.3272,6.2377,6.2974,19820641
2018-02-27,6.3073,6.3471,6.2377,6.2576,18668835
