date,open,high,low,close,volume
2017-01-03,59.27,59.7,59.04,59.37,595847
2017-01-04,59.37,60.03,59.37,59.57,790253
2017-01-05,59.61,60.18,59.52,59.79,1081207
2017-01-06,59.73,60.32,59.41,60.0,647910
2017-01-09,59.82,60.37,59.6306,60.08,496049
2017-01-10,60.34,60.94,60.12,60.69,679097
2017-01-11,60.66,61.21,60.1301,60.91,492078
2017-01-12,60.61,60.93,59.85,60.88,356924
2017-01-13,61.12,61.44,60.87,61.34,397918
2017-01-17,61.05,61.24,60.44,60.74,504287
2017-01-18,60.82,61.0,60.51,60.76,580136
2017-01-19,60.77,61.39,60.67,60.91,602804
2017-01-20,60.89,61.5,60.74,60.77,565540
2017-01-23,60.58,60.91,60.41,60.83,315232
2017-01-24,61.1,62.55,61.1,62.41,878189
2017-01-25,62.58,62.84,62.4,62.68,769136
2017-01-26,62.7,62.95,62.01,62.2,541411
2017-01-27,62.17,62.51,62.15,62.5,261794
2017-01-30,62.03,62.62,61.56,62.62,596922
2017-01-31,62.72,62.92,62.12,62.89,814472
2017-02-01,63.06,63.19,62.24,62.62,658235
2017-02-02,62.7,64.22,62.7,64.18,1024228
2017-02-03,64.38,65.23,64.25,64.9,843294
2017-02-06,64.94,65.39,64.5346,65.17,944809
2017-02-07,65.3,65.57,65.05,65.2,572607
2017-02-08,65.22,65.28,64.75,64.79,755438
2017-02-09,65.0,65.61,64.8621,65.44,823702
2017-02-10,65.58,65.62,65.075,65.29,1168553
2017-02-13,65.57,66.1899,65.36,65.98,724631
2017-02-14,65.67,65.98,65.31,65.84,798537
2017-02-15,65.64,66.47,65.56,66.26,896217
2017-02-16,71.73,73.08,70.18,70.66,2392110
2017-02-17,70.03,70.8586,69.18,70.51,1576848
2017-02-21,70.05,71.04,68.79,70.98,1287050
2017-02-22,70.8,71.35,70.31,71.26,891575
2017-02-23,71.49,71.72,70.75,71.22,984613
2017-02-24,70.66,72.08,70.66,72.06,845561
2017-02-27,71.82,72.63,71.82,72.26,912780
2017-02-28,72.0,72.14,71.41,71.44,773379
2017-03-01,71.44,72.37,71.42,72.24,961468
2017-03-02,71.87,71.92,70.85,71.01,1096158
2017-03-03,70.84,71.27,70.5,71.03,827153
2017-03-06,70.7,71.1075,70.6,70.75,884243
2017-03-07,70.64,71.36,70.5,71.08,617507
2017-03-08,70.94,71.72,70.925,71.35,581238
2017-03-09,71.4,71.61,71.12,71.39,411630
2017-03-10,71.64,71.89,71.3,71.83,411270
2017-03-13,71.8,72.28,71.7038,72.09,555590
2017-03-14,72.05,72.05,70.37,70.76,2214852
2017-03-15,71.08,71.08,69.42,70.25,30294553
2017-03-16,70.6,71.49,70.6,70.76,2182750
2017-03-17,71.51,71.56,70.99,71.14,2542598
2017-03-20,71.13,71.75,70.96,71.52,998095
2017-03-21,71.52,72.14,70.42,70.61,1420224
2017-03-22,70.42,71.16,70.42,71.07,870282
2017-03-23,71.26,71.65,71.04,71.22,789745
2017-03-24,71.5,71.76,70.9,71.15,638903
2017-03-27,70.77,71.61,70.371,71.36,594306
2017-03-28,71.29,72.21,71.26,71.96,1223164
2017-03-29,71.71,72.35,71.71,72.25,1092521
2017-03-30,72.05,72.28,72.02,72.21,678034
2017-03-31,72.06,72.42,71.93,72.13,611698
2017-04-03,72.43,72.74,71.5705,72.2,1082391
2017-04-04,72.07,72.53,71.84,71.98,885490
2017-04-05,71.93,72.37,71.34,71.45,807282
2017-04-06,71.57,71.88,71.2,71.34,1233063
2017-04-07,71.25,71.55,71.13,71.46,743455
2017-04-10,71.38,71.77,71.2,71.34,886020
2017-04-11,71.25,71.44,70.97,71.44,1102706
2017-04-12,71.83,71.9,70.86,70.97,641729
2017-04-13,70.93,71.45,70.625,70.93,1032130
2017-04-17,71.11,71.38,70.89,71.13,1283973
2017-04-18,70.9,71.84,70.85,71.76,1208211
2017-04-19,71.87,72.45,71.77,72.23,1002075
2017-04-20,72.37,72.68,72.22,72.56,1084156
2017-04-21,72.51,72.69,72.3,72.6,677594
2017-04-24,73.24,74.22,73.15,73.85,1179702
2017-04-25,73.97,74.16,73.28,73.34,1109667
2017-04-26,73.53,73.53,73.09,73.25,827203
2017-04-27,73.35,74.04,73.35,73.66,737963
2017-04-28,73.69,73.77,73.34,73.7,1329773
2017-05-01,73.87,74.06,73.55,73.94,803186
2017-05-02,74.0,74.1692,73.61,73.75,816807
2017-05-03,73.6,73.92,73.46,73.82,878694
2017-05-04,74.09,74.28,73.79,74.0,820997
2017-05-05,74.03,74.3,73.88,74.28,775155
2017-05-08,74.2,74.3,73.485,73.8,626755
2017-05-09,73.94,74.4077,73.92,74.12,681433
2017-05-10,74.22,74.56,73.98,74.54,811639
2017-05-11,74.31,74.63,74.1,74.49,714648
2017-05-12,74.48,74.76,74.3,74.42,707892
2017-05-15,74.52,75.09,74.5,74.96,1144682
2017-05-16,75.08,75.19,74.7,75.12,1178311
2017-05-17,74.7,74.8389,73.39,73.395,2007229
2017-05-18,75.0,75.34,70.87,70.93,2952894
2017-05-19,71.0,71.49,70.55,70.99,2324633
2017-05-22,71.07,72.32,71.01,72.25,1573609
2017-05-23,72.48,73.11,72.04,72.6,1267061
2017-05-24,72.96,73.22,72.36,73.03,1416938
2017-05-25,73.13,73.71,72.91,73.53,1058590
2017-05-26,73.85,74.71,73.62,74.37,1368999
2017-05-30,74.31,74.74,74.0,74.7,1275537
2017-05-31,74.78,75.0,74.495,74.87,3856854
2017-06-01,75.03,75.41,74.53,74.93,1318707
2017-06-02,75.13,75.99,74.99,75.82,1289021
2017-06-05,75.61,76.25,75.61,75.76,905427
2017-06-06,75.71,76.43,75.41,75.81,940989
2017-06-07,76.23,76.33,75.58,76.07,921481
2017-06-08,76.12,76.45,75.72,76.12,889866
2017-06-09,75.95,76.57,74.43,74.93,1194026
2017-06-12,74.39,74.76,73.05,73.89,1554209
2017-06-13,74.12,74.67,73.95,74.66,1173314
2017-06-14,74.95,74.96,73.71,74.34,1011498
2017-06-15,74.11,74.11,73.13,74.02,1325344
2017-06-16,73.77,74.325,73.58,73.78,1360335
2017-06-19,73.73,75.175,73.72,74.71,1178294
2017-06-20,74.45,75.27,74.45,74.61,888969
2017-06-21,74.95,74.98,74.14,74.65,863109
2017-06-22,74.75,74.92,74.04,74.59,779274
2017-06-23,74.59,74.87,74.31,74.36,1971188
2017-06-26,74.36,74.935,74.26,74.52,905170
2017-06-27,74.39,74.815,73.61,73.65,840983
2017-06-28,73.98,74.46,73.65,74.26,734965
2017-06-29,74.04,74.25,72.4,72.97,901109
2017-06-30,73.02,73.35,72.755,72.93,779767
2017-07-03,73.37,73.44,72.08,72.12,530307
2017-07-05,72.43,72.99,72.0501,72.74,1081871
2017-07-06,72.48,72.655,71.94,72.53,1042928
2017-07-07,72.67,73.53,72.26,73.15,697848
2017-07-10,73.05,73.841,73.04,73.5,833020
2017-07-11,73.51,73.89,73.0358,73.54,732602
2017-07-12,74.0,75.25,73.4257,75.16,949898
2017-07-13,75.16,75.43,74.71,74.89,685511
2017-07-14,75.04,75.41,74.67,75.27,554760
2017-07-17,75.3,75.83,75.02,75.64,479958
2017-07-18,75.49,75.69,75.16,75.66,384840
2017-07-19,75.85,76.51,75.74,76.41,536670
2017-07-20,76.48,76.56,75.49,75.82,556472
2017-07-21,75.59,76.18,75.59,75.91,453358
2017-07-24,75.95,76.36,75.81,76.34,687691
2017-07-25,76.3,76.97,76.185,76.4,844991
2017-07-26,76.57,77.25,76.47,76.69,416973
2017-07-27,76.85,77.29,75.61,76.36,748165
2017-07-28,76.23,76.68,75.98,76.43,352122
2017-07-31,76.6,76.89,76.08,76.57,579661
2017-08-01,76.9,76.9,76.37,76.77,661020
2017-08-02,76.96,76.96,75.63,76.04,690006
2017-08-03,76.11,76.28,75.53,76.1,724882
2017-08-04,76.06,76.64,75.82,76.61,1125553
2017-08-07,76.69,77.22,76.48,77.15,506025
2017-08-08,77.13,77.55,76.75,76.82,871638
2017-08-09,76.45,77.05,76.2288,76.85,637227
2017-08-10,76.56,76.6952,75.59,75.65,1003312
2017-08-11,76.0,76.5,75.63,76.27,591969
2017-08-14,76.86,77.495,76.83,77.28,801067
2017-08-15,77.49,78.97,76.95,78.23,959561
2017-08-16,78.31,79.45,78.06,79.09,928556
2017-08-17,76.72,79.66,76.6125,76.76,1816428
2017-08-18,76.83,78.005,76.71,77.22,1174012
2017-08-21,77.32,78.015,77.16,77.95,812017
2017-08-22,78.22,78.94,77.89,78.84,741884
2017-08-23,78.57,78.94,78.51,78.53,639817
2017-08-24,78.68,78.78,77.91,78.55,586380
2017-08-25,78.75,79.36,78.43,78.49,873155
2017-08-28,78.83,79.03,78.47,78.79,751312
2017-08-29,78.14,78.9889,78.0,78.8,807812
2017-08-30,78.71,79.86,78.67,79.6,519793
2017-08-31,79.75,80.45,79.57,80.42,907816
2017-09-01,80.05,80.7,80.05,80.41,781964
2017-09-05,79.92,80.38,79.28,80.01,1406158
2017-09-06,80.07,80.1901,79.52,80.0,1203101
2017-09-07,80.12,80.55,79.78,79.79,844713
2017-09-08,79.78,79.96,79.33,79.54,675528
2017-09-11,79.93,80.49,79.34,79.6,1031784
2017-09-12,79.62,79.685,78.66,79.57,928272
2017-09-13,79.37,79.37,78.88,79.1,462562
2017-09-14,79.01,80.46,78.73,80.21,1848437
2017-09-15,80.13,80.48,79.52,79.8,1376201
2017-09-18,79.94,80.59,79.88,80.43,781177
2017-09-19,80.6,81.57,80.47,81.15,854344
2017-09-20,81.0,81.23,80.1,80.7,761988
2017-09-21,80.73,80.8,79.76,80.06,501186
2017-09-22,79.72,80.65,79.72,80.36,471250
2017-09-25,80.19,80.27,79.04,79.42,616820
2017-09-26,79.71,80.02,79.0,79.15,601213
2017-09-27,79.5,80.13,79.39,79.83,615941
2017-09-28,79.63,79.99,79.1501,79.88,481668
2017-09-29,79.94,80.55,79.69,80.53,802612
2017-10-02,80.67,81.54,80.67,81.18,984270
2017-10-03,81.27,81.53,81.04,81.27,635910
2017-10-04,81.13,81.93,80.94,81.89,475786
2017-10-05,82.0,82.16,81.52,82.07,513355
2017-10-06,82.03,82.545,81.52,82.48,575521
2017-10-09,82.48,82.84,82.401,82.71,355983
2017-10-10,82.57,82.74,82.18,82.68,618784
2017-10-11,82.66,83.41,82.65,82.86,1342688
2017-10-12,83.1,84.93,83.0,84.74,1146353
2017-10-13,84.96,85.0,84.3,84.61,831081
2017-10-16,84.6,84.995,84.05,84.07,642270
2017-10-17,83.77,84.0,83.47,83.72,523150
2017-10-18,83.7,83.725,82.72,83.18,502163
2017-10-19,82.69,83.39,82.44,83.38,739916
2017-10-20,83.72,84.55,83.64,84.32,662872
2017-10-23,84.53,84.98,84.18,84.28,507621
2017-10-24,84.31,84.95,83.92,84.77,752577
2017-10-25,85.45,86.81,85.22,85.69,1391811
2017-10-26,85.99,87.0,85.74,86.81,1067729
2017-10-27,87.12,87.47,86.13,87.19,811559
2017-10-30,86.87,87.18,86.05,86.26,852404
2017-10-31,86.58,86.69,86.14,86.52,871308
2017-11-01,87.07,87.21,85.71,86.12,765690
2017-11-02,86.16,87.01,86.05,86.95,686250
2017-11-03,86.76,87.52,86.56,86.92,801064
2017-11-06,86.96,87.47,86.02,87.22,1174469
2017-11-07,87.4,87.91,86.75,86.91,1448540
2017-11-08,86.89,87.24,86.8,87.07,902251
2017-11-09,86.48,86.955,85.68,86.9,785018
2017-11-10,86.41,87.34,86.28,87.28,1327242
2017-11-13,87.08,87.94,87.05,87.82,986116
2017-11-14,87.54,88.08,87.27,87.76,1201396
2017-11-15,87.36,88.08,87.08,87.63,936633
2017-11-16,88.06,89.23,87.912,89.04,1219396
