date,open,high,low,close,volume
2017-01-03,58.1,58.91,57.75,58.32,3004143
2017-01-04,58.36,59.46,58.035,58.82,5540609
2017-01-05,58.77,59.42,57.08,57.61,5427228
2017-01-06,57.87,58.1399,56.64,56.77,4776635
2017-01-09,56.57,56.99,56.27,56.67,3329740
2017-01-10,55.72,58.84,55.3,58.74,5458290
2017-01-11,58.54,58.94,57.28,57.46,4718211
2017-01-12,57.4,57.5,56.57,57.15,2286344
2017-01-13,57.25,57.85,56.69,57.19,1973738
2017-01-17,57.25,58.14,56.8901,57.05,4115157
2017-01-18,57.54,58.85,57.39,58.66,5317671
2017-01-19,58.52,60.64,58.44,60.07,6036421
2017-01-20,60.54,60.73,59.51,59.62,3911818
2017-01-23,60.77,60.86,60.11,60.24,3560521
2017-01-24,60.01,60.57,59.62,60.22,3903013
2017-01-25,60.2,60.99,59.84,60.74,4003285
2017-01-26,61.11,63.64,61.1,63.37,12440292
2017-01-27,63.68,63.68,61.68,62.42,6294873
2017-01-30,61.91,62.08,60.59,61.13,5359778
2017-01-31,61.25,62.62,61.19,62.27,4502211
2017-02-01,62.26,63.65,62.24,63.26,8937496
2017-02-02,62.89,62.96,60.42,61.15,6004409
2017-02-03,61.25,61.71,60.81,61.36,5141014
2017-02-06,61.13,61.38,60.89,60.96,3762045
2017-02-07,61.03,62.05,60.61,61.89,3369774
2017-02-08,61.5,62.62,61.33,61.89,5555094
2017-02-09,61.71,62.42,61.71,62.25,3171467
2017-02-10,62.16,62.535,61.4,62.39,3829662
2017-02-13,60.59,61.0,60.032,60.9,11670065
2017-02-14,61.24,62.84,59.51,61.6,17976424
2017-02-15,61.47,61.8,60.725,61.295,9362416
2017-02-16,61.19,61.4,60.32,60.61,3852075
2017-02-17,60.54,65.41,59.89,63.92,13430310
2017-02-21,63.41,63.61,62.33,63.2,5579085
2017-02-22,63.27,63.47,62.62,63.08,2655124
2017-02-23,63.22,63.35,61.95,62.07,5342185
2017-02-24,62.1,62.58,61.72,62.21,4570798
2017-02-27,61.31,62.18,60.791,62.17,6179957
2017-02-28,62.25,62.89,61.7,62.53,4297878
2017-03-01,62.66,62.97,62.185,62.34,3777302
2017-03-02,62.2,62.86,61.67,62.54,3688096
2017-03-03,62.22,63.61,62.0,63.56,4357562
2017-03-06,63.16,63.5,62.51,62.84,3363677
2017-03-07,62.53,62.87,61.375,61.63,3738761
2017-03-08,61.42,62.1991,61.36,61.41,4697206
2017-03-09,61.48,61.68,60.83,61.14,6050280
2017-03-10,61.58,61.865,60.88,61.48,4446033
2017-03-13,61.51,61.98,61.12,61.84,3604188
2017-03-14,61.8,62.04,61.14,61.35,2309579
2017-03-15,61.61,63.08,61.44,62.99,5470720
2017-03-16,63.09,63.19,62.07,62.39,2882741
2017-03-17,62.99,63.79,62.65,63.5,4563006
2017-03-20,63.39,63.55,62.75,63.11,2092661
2017-03-21,62.98,63.43,62.34,62.47,3416426
2017-03-22,62.68,63.58,62.49,63.27,4034534
2017-03-23,63.14,63.7,62.89,63.12,2169075
2017-03-24,63.54,64.76,63.26,64.17,4322745
2017-03-27,63.92,64.28,63.65,64.22,2595963
2017-03-28,64.0,64.42,63.64,64.23,3404197
2017-03-29,64.39,65.08,63.97,64.74,3681697
2017-03-30,64.75,65.21,64.29,65.13,2954193
2017-03-31,64.95,65.35,64.1825,64.59,4431770
2017-04-03,64.2,64.32,62.97,63.55,4087809
2017-04-04,63.32,63.94,63.2606,63.68,2605265
2017-04-05,63.76,64.0,63.38,63.5,2958458
2017-04-06,62.35,63.33,62.2232,63.24,6159983
2017-04-07,63.27,64.145,63.14,63.58,2507205
2017-04-10,63.89,64.26,62.38,63.89,2386227
2017-04-11,63.84,64.02,63.45,63.93,2524360
2017-04-12,63.77,64.0,63.5,63.92,1549193
2017-04-13,64.15,64.36,63.7,64.04,2275266
2017-04-17,64.5,64.97,64.21,64.94,2387784
2017-04-18,64.82,65.33,64.575,64.61,1977813
2017-04-19,65.05,65.51,64.82,65.13,3405602
2017-04-20,65.21,65.41,64.78,64.81,2612092
2017-04-21,65.24,65.24,64.53,64.7,4858289
2017-04-24,65.03,65.97,64.97,65.93,5564527
2017-04-25,66.0,67.45,65.26,67.35,6728291
2017-04-26,67.69,67.7609,67.14,67.58,4727299
2017-04-27,67.66,68.19,67.5,67.74,2909597
2017-04-28,67.79,67.87,66.97,67.27,3814203
2017-05-01,67.83,68.4,67.45,68.31,4259206
2017-05-02,68.56,68.88,66.57,66.94,3769179
2017-05-03,66.82,67.14,65.09,65.35,6369370
2017-05-04,65.48,65.63,64.91,65.48,3368642
2017-05-05,65.79,66.49,65.32,66.49,2707253
2017-05-08,66.84,67.072,65.83,66.15,3889730
2017-05-09,65.98,66.06,65.16,65.5,3383516
2017-05-10,66.94,67.63,65.94,66.0,6144725
2017-05-11,66.06,66.31,65.17,65.81,3044664
2017-05-12,66.83,66.87,65.25,65.55,3731406
2017-05-15,65.61,65.85,65.01,65.69,3484073
2017-05-16,65.65,66.28,65.5,65.91,3436892
2017-05-17,65.44,66.44,63.81,63.91,6304699
2017-05-18,63.75,66.27,63.63,65.72,4936294
2017-05-19,66.71,67.07,66.0,66.37,4974670
2017-05-22,66.33,67.24,66.25,67.22,2736843
2017-05-23,67.53,67.88,67.1,67.62,2099527
2017-05-24,67.82,67.94,67.05,67.89,2485272
2017-05-25,67.83,68.44,67.72,67.86,2221135
2017-05-26,67.88,68.045,67.52,67.8,3631285
2017-05-30,67.61,68.075,66.95,67.08,2841854
2017-05-31,67.08,67.56,66.776,67.42,5185749
2017-06-01,67.42,67.93,66.98,67.9,1979479
2017-06-02,67.93,68.42,67.77,68.32,1853735
2017-06-05,68.31,68.5,67.2903,67.4,3597428
2017-06-06,67.2,67.49,66.025,66.11,4351863
2017-06-07,66.35,66.43,65.4997,65.92,3027728
2017-06-08,66.04,66.25,65.0,65.69,5033436
2017-06-09,65.71,65.71,62.75,63.84,6337632
2017-06-12,63.56,64.78,63.52,64.67,3535119
2017-06-13,64.76,65.1,63.7,64.01,4712829
2017-06-14,63.91,64.1,62.85,63.27,2987174
2017-06-15,62.77,63.73,62.46,63.6,3883438
2017-06-16,63.27,63.81,62.47,63.13,7437718
2017-06-19,63.6,64.025,63.3,64.01,2978058
2017-06-20,63.8,64.53,62.76,63.98,6227655
2017-06-21,63.85,64.07,63.25,63.57,3203546
