date,open,high,low,close,volume
2017-01-03,49.35,50.04,48.58,49.22,1074899
2017-01-04,49.44,50.29,49.36,50.14,862294
2017-01-05,50.12,50.69,49.36,49.36,779278
2017-01-06,49.4,50.34,49.32,49.95,1131058
2017-01-09,49.87,50.67,49.59,50.46,1180622
2017-01-10,50.32,51.05,50.06,50.81,632602
2017-01-11,50.95,51.81,50.67,51.11,894927
2017-01-12,50.94,51.2,50.31,50.87,626608
2017-01-13,50.62,51.73,50.51,51.61,874557
2017-01-17,51.54,51.7,51.0,51.4,773654
2017-01-18,51.6,51.85,51.35,51.79,612995
2017-01-19,51.89,52.1,51.6,51.79,712979
2017-01-20,51.82,52.39,51.57,52.35,1043947
2017-01-23,52.21,52.56,52.09,52.16,922041
2017-01-24,52.25,53.33,51.83,53.18,894586
2017-01-25,53.66,53.96,53.2,53.88,1089477
2017-01-26,54.02,54.1963,53.65,53.75,847377
2017-01-27,54.16,54.16,53.21,53.69,951982
2017-01-30,53.51,53.65,52.88,53.49,736232
2017-01-31,53.6,53.8899,53.19,53.65,1058121
2017-02-01,53.66,55.47,53.35,54.36,1754103
2017-02-02,54.18,54.81,53.87,54.8,1055072
2017-02-03,55.0,55.47,53.8,53.93,1813752
2017-02-06,53.97,54.21,53.52,54.2,1354949
2017-02-07,54.56,54.66,53.35,53.7,1903954
2017-02-08,56.04,56.71,53.42,53.71,3101471
2017-02-09,54.06,56.13,53.84,56.02,2790372
2017-02-10,56.45,58.335,56.13,57.88,4130127
2017-02-13,57.82,58.76,57.375,58.42,2324454
2017-02-14,58.3,58.57,57.64,58.26,1530204
2017-02-15,58.16,59.56,57.85,59.44,1663641
2017-02-16,59.71,60.2,59.47,59.97,1998381
2017-02-17,60.02,60.16,58.89,59.69,4038174
2017-02-21,59.99,59.99,58.81,58.98,1747007
2017-02-22,58.74,58.74,57.96,58.44,1922683
2017-02-23,58.33,58.38,57.07,57.85,1895239
2017-02-24,57.35,57.88,57.19,57.56,1070464
2017-02-27,57.66,58.23,56.79,57.47,2042379
2017-02-28,57.28,57.73,56.96,56.98,1062073
2017-03-01,57.16,59.07,57.12,58.8,2071740
2017-03-02,58.71,58.74,57.77,57.88,705946
2017-03-03,57.87,58.37,57.41,58.12,826769
2017-03-06,58.12,59.05,58.0001,58.73,1144184
2017-03-07,59.12,59.5186,58.82,59.19,1296653
2017-03-08,59.35,59.79,59.17,59.31,1033536
2017-03-09,59.43,59.78,58.98,59.16,729084
2017-03-10,59.62,59.83,58.95,59.0,1672873
2017-03-13,59.42,59.96,59.24,59.51,1399139
