date,open,high,low,close,volume
2017-01-03,69.903,70.6445,69.4467,69.9505,4847913
2017-01-04,70.0171,70.3213,69.64,69.865,4507084
2017-01-05,69.6748,70.0646,69.2946,69.3231,4301121
2017-01-06,69.2851,70.616,68.8953,70.4924,5244559
2017-01-09,70.8347,71.5096,70.5067,70.6731,4782977
2017-01-10,70.9392,71.1389,70.4069,70.9202,3712482
2017-01-11,70.9583,71.4906,70.7871,71.4906,4361427
2017-01-12,71.3005,71.4336,70.4354,71.1579,4408340
2017-01-13,71.1389,71.5857,71.0438,71.3005,3372528
2017-01-17,70.9868,71.253,70.6255,70.8157,4413082
2017-01-18,71.0438,71.1484,70.5875,70.7111,5531370
2017-01-19,70.559,71.1199,70.2262,70.2357,4468534
2017-01-20,70.5019,71.1959,70.5019,71.0628,6661449
2017-01-23,71.1104,72.004,70.9583,71.9945,6895107
2017-01-24,72.4318,73.5061,72.1656,73.2779,8561560
2017-01-25,73.8863,74.837,73.3825,74.7039,8119910
2017-01-26,74.1715,75.55,74.162,75.3504,8991521
2017-01-27,75.6373,76.0105,74.3745,74.6519,9737561
2017-01-30,74.164,74.695,74.0014,74.5276,8355246
2017-01-31,74.0492,74.1832,71.9923,72.2697,11129400
2017-02-01,72.7672,73.5422,72.5759,72.9681,7815792
2017-02-02,72.3367,72.8055,72.0784,72.6046,4434547
2017-02-03,72.9873,73.2408,72.7385,73.1882,4546974
2017-02-06,73.0734,73.1643,72.5663,72.9203,4632971
2017-02-07,73.0638,73.4226,72.7481,72.882,4500917
2017-02-08,73.1786,73.236,72.6333,72.662,5864697
2017-02-09,72.9968,73.0447,72.0114,72.0401,6950510
2017-02-10,72.3463,72.3845,71.2939,71.9062,6289845
2017-02-13,72.2602,72.4611,72.1262,72.2506,5466207
2017-02-14,72.1932,72.3654,72.0401,72.3654,4000042
2017-02-15,72.375,72.528,71.6861,72.3941,5731485
2017-02-16,72.5185,73.016,72.2506,72.949,4882048
2017-02-17,72.8151,73.1308,72.3845,73.1308,3955507
2017-02-21,73.4656,73.7909,73.2743,73.7431,5104736
2017-02-22,73.8579,73.9344,73.4752,73.8866,4057056
2017-02-23,73.8866,74.0301,73.37,73.8005,4921742
2017-02-24,73.6091,73.8961,73.0925,73.8961,3516648
2017-02-27,73.9631,73.9918,73.4369,73.8483,3055990
2017-02-28,73.7239,73.8292,73.1499,73.303,4770485
2017-03-01,73.7909,74.7954,73.3604,74.7667,5332504
2017-03-02,74.9677,75.3503,74.5706,74.6998,7605753
2017-03-03,74.8146,74.8146,74.1066,74.4893,3994816
2017-03-06,74.3267,75.0585,74.0492,74.9198,4066406
2017-03-07,74.9581,76.8906,74.8241,75.6948,10556762
2017-03-08,76.0009,76.4793,75.733,75.9052,5386547
2017-03-09,76.0487,76.331,75.3886,75.7043,4255437
2017-03-10,76.2688,77.1394,75.867,76.8524,5118433
2017-03-13,76.8428,77.5795,76.7089,77.5125,6082583
2017-03-14,77.4455,77.6895,77.1298,77.5795,4271542
2017-03-15,77.8952,78.4022,77.4551,78.2779,3668808
2017-03-16,78.4405,78.6223,77.8569,78.1726,4195617
2017-03-17,78.6797,78.871,77.9143,78.6414,9232193
2017-03-20,78.4405,78.7084,78.01,78.0578,4383020
2017-03-21,78.3831,78.5302,76.2209,76.2975,6221003
2017-03-22,76.6228,77.2925,76.1348,77.1968,4307268
2017-03-23,77.1968,77.5316,76.7567,77.1776,3335343
