date,open,high,low,close,volume
2017-01-03,65.09,66.364,64.7407,65.5431,4479040
2017-01-04,65.6847,67.5728,65.6564,66.591,3653169
2017-01-05,67.0819,68.092,66.2039,66.6004,3638317
2017-01-06,66.5343,67.2046,66.0435,66.4399,3274293
2017-01-09,66.9308,68.2525,66.4871,67.8371,3909563
2017-01-10,67.7993,68.1581,66.8175,66.8742,3651239
2017-01-11,67.1857,68.4979,66.6193,67.45,4370652
2017-01-12,66.9591,67.0536,65.2316,66.7892,3451275
2017-01-13,66.6382,67.7993,66.6382,67.0252,2078365
2017-01-17,66.7798,68.2902,66.7703,67.6105,4505724
2017-01-18,67.9598,69.357,67.5728,69.1398,4413117
2017-01-19,68.0259,69.0171,67.62,67.6577,4121292
2017-01-20,68.3374,69.2931,68.2324,68.564,3513040
2017-01-23,68.8661,68.9133,67.1196,68.5829,4707168
2017-01-24,69.8667,72.2362,69.7912,71.7548,6509245
2017-01-25,75.3137,76.7108,74.6718,75.5403,13823802
2017-01-26,75.3703,77.0978,73.9732,74.077,9977845
2017-01-27,74.4452,75.5591,73.7655,75.0683,5244208
2017-01-30,74.8417,75.3892,74.1148,74.7851,3845936
2017-01-31,74.6812,75.4364,73.4445,75.2665,3617827
2017-02-01,75.9651,76.1822,74.0681,74.7284,3897756
2017-02-02,74.7473,75.4553,74.3886,74.7945,2982651
2017-02-03,74.9361,75.3798,74.5585,74.7001,2624911
2017-02-06,74.5774,75.1914,74.1526,74.5207,2307417
2017-02-07,74.8983,75.1343,74.247,74.6246,2629206
2017-02-08,73.3973,73.5264,71.8775,72.7649,4499223
2017-02-09,73.3879,74.1809,73.0197,73.6806,2884854
2017-02-10,73.8222,74.0582,72.5383,73.0292,2878201
2017-02-13,73.6334,74.2658,73.4445,74.077,2399929
2017-02-14,73.0197,73.133,71.7264,72.1324,5390393
2017-02-15,72.2173,72.6893,71.566,71.7548,3362142
2017-02-16,72.2173,73.3501,71.5376,71.6981,2946385
2017-02-17,71.5093,71.566,70.1027,70.7163,4790741
2017-02-21,70.7447,71.3205,70.4615,70.7069,3437549
2017-02-22,70.537,71.245,70.1027,70.301,2811394
2017-02-23,70.7163,71.1695,70.1405,70.4143,2888147
2017-02-24,69.0265,70.4803,68.6773,70.4709,4087518
2017-02-27,70.4143,71.9436,69.895,71.8397,4015522
2017-02-28,71.6509,73.2746,71.4621,72.5761,5078057
2017-03-01,73.7561,74.1054,72.3117,73.9354,4667790
2017-03-02,74.0393,74.7143,71.8208,72.0096,4867104
2017-03-03,72.3778,73.841,72.3684,73.1991,3223355
2017-03-06,72.661,73.2557,71.2073,72.5005,3854957
2017-03-07,72.5005,73.0481,71.6981,72.5005,2123187
2017-03-08,72.3872,72.8309,71.9908,72.1701,1649012
2017-03-09,71.802,71.8114,68.9793,70.1027,5024790
2017-03-10,70.8107,71.2544,70.3576,70.8013,2747248
2017-03-13,70.6786,71.7548,70.5464,71.4621,2104167
2017-03-14,71.0562,71.5565,70.3011,71.4621,2355044
2017-03-15,71.3299,72.6421,70.7069,72.425,3205768
2017-03-16,72.7365,73.5106,72.1796,72.8215,2516004
2017-03-17,72.9725,73.2708,72.3589,72.5666,3394316
2017-03-20,72.5855,73.2556,71.7548,72.1418,3514941
2017-03-21,72.5383,72.6988,69.0454,69.1209,5142627
2017-03-22,68.8944,70.8391,67.384,70.7352,3583856
2017-03-23,70.4709,72.0191,69.9045,71.9247,3575725
2017-03-24,75.2146,76.5589,73.2274,73.8033,8681926
2017-03-27,72.9065,74.6907,72.5194,74.1714,3534496
2017-03-28,74.313,76.4654,74.1903,76.05,4000358
2017-03-29,75.9931,77.4084,75.5656,77.3135,4498360
2017-03-30,77.0095,80.0552,76.848,79.5553,6704003
2017-03-31,79.4223,79.7927,78.2634,78.3964,4155102
2017-04-03,78.4629,78.7763,76.4775,78.0259,4051510
2017-04-04,77.7694,79.2323,77.4179,78.8333,2902385
2017-04-05,79.1943,80.4862,77.9499,78.5578,4093395
2017-04-06,78.6528,80.1062,78.3679,79.8782,3159979
2017-04-07,79.8497,81.0941,78.8951,80.9041,4231881
2017-04-10,81.1226,81.9395,79.8877,80.5337,5373590
2017-04-11,82.215,83.5924,80.4767,81.7401,7808986
2017-04-12,81.93,82.1485,79.4983,79.9922,5763896
2017-04-13,79.6027,80.5096,78.8618,79.3178,5045654
2017-04-17,79.3938,80.2202,78.9093,79.9447,3868341
2017-04-18,79.6217,79.9637,78.4154,78.7193,3798965
2017-04-19,79.2608,79.631,78.4913,78.6528,2625194
2017-04-20,79.2038,80.3532,79.0613,80.1822,2796432
2017-04-21,80.4102,80.5716,78.9473,78.9473,2670527
2017-04-24,80.3247,82.139,79.9447,81.4741,4009402
2017-04-25,82.6425,83.0889,80.8281,82.5285,3957563
2017-04-26,80.2677,81.0941,79.2703,80.3722,7984922
2017-04-27,80.8661,81.6831,79.5932,81.4171,6021592
2017-04-28,86.0907,86.4421,82.082,84.6088,17420550
2017-05-01,83.5924,84.0008,81.8171,83.3074,8368437
2017-05-02,83.4024,83.6969,81.816,82.9179,4849254
2017-05-03,82.671,84.8558,82.1495,84.7513,4382124
2017-05-04,84.8748,85.8248,84.1053,84.7038,3337761
2017-05-05,84.4758,86.1951,84.1718,86.1761,3056968
2017-05-08,85.8152,86.1097,85.0742,85.3972,3901328
2017-05-09,84.4758,85.9767,84.0008,84.4283,3841696
2017-05-10,84.4568,85.2975,84.3048,85.0553,2376690
2017-05-11,84.5613,85.3972,84.1528,85.1882,2124152
2017-05-12,85.2547,85.5872,84.6183,85.1597,1981186
2017-05-15,85.0553,85.2832,84.0768,84.5613,3022374
2017-05-16,84.5518,85.1027,84.2858,84.5043,2197195
2017-05-17,83.8394,83.9344,80.8756,80.9516,3965154
2017-05-18,81.4361,82.177,79.9162,81.797,3364679
2017-05-19,82.215,83.0984,82.082,82.3195,3026340
2017-05-22,84.1813,84.3428,82.443,83.5734,3235543
2017-05-23,83.6874,83.8926,81.9965,83.6209,2662355
2017-05-24,84.2383,86.2616,84.1148,85.2072,6147808
2017-05-25,85.7772,85.8437,84.1148,84.7988,3306897
2017-05-26,84.5613,85.5635,83.8774,85.5017,2939704
2017-05-30,85.5682,87.6531,85.3355,86.7176,3351280
2017-05-31,87.2116,87.2496,85.1882,85.5492,5531667
2017-06-01,85.4352,87.1736,85.2547,87.0026,3520300
2017-06-02,87.677,87.867,86.0717,86.9361,3191057
2017-06-05,86.8601,86.9171,84.7608,84.9413,4286051
2017-06-06,84.7798,85.6632,84.7133,85.4352,3626157
2017-06-07,85.4637,86.7176,85.2072,85.4257,2938024
2017-06-08,85.5492,86.5656,84.9318,86.4611,2649325
2017-06-09,86.5371,87.335,79.9732,81.7021,6027180
2017-06-12,80.5717,82.3765,78.0259,82.3005,5915051
2017-06-13,84.1053,85.9007,83.2979,85.5397,5038567
2017-06-14,85.7297,85.9387,82.576,83.4024,4226133
2017-06-15,81.9965,83.3264,81.3127,82.9369,2720203
2017-06-16,83.3644,84.0483,82.443,82.7565,4295000
2017-06-19,83.7254,84.4663,83.2694,84.2003,2520157
2017-06-20,84.2478,85.1027,83.7539,83.8109,4471560
2017-06-21,83.6494,87.2496,83.4713,86.4706,4349411
2017-06-22,86.6986,86.7271,85.2642,85.7297,2285343
2017-06-23,86.3756,90.2418,86.0717,88.6649,8322237
2017-06-26,89.2919,90.1562,87.905,88.019,3717886
2017-06-27,86.6796,88.2469,85.3117,87.2496,5356362
2017-06-28,87.326,89.4941,86.7817,89.4654,3692206
2017-06-29,89.0165,89.0482,86.7243,87.5361,5673341
2017-06-30,88.176,88.2524,84.3183,84.623,6614896
2017-07-03,85.0051,85.2438,81.4329,81.4616,4562275
2017-07-05,82.092,82.8561,80.6689,82.5313,5119810
2017-07-06,82.3021,82.6937,80.9363,82.2543,4143838
2017-07-07,82.6555,84.5466,82.2161,83.0375,3436767
2017-07-10,82.9707,85.492,82.4358,85.2629,4909453
2017-07-11,85.368,88.0232,85.2629,87.6316,5130831
2017-07-12,88.73,91.2229,88.453,89.9048,5555154
2017-07-13,89.3126,90.3728,88.453,88.6345,4140669
2017-07-14,89.1694,91.2037,89.0165,90.2009,3471195
2017-07-17,89.9239,90.6784,89.6374,90.325,2556959
2017-07-18,89.9334,90.5638,89.3986,90.0385,2211923
2017-07-19,90.1818,90.3632,89.2553,90.2391,2853119
2017-07-20,90.7357,91.2706,90.0003,90.7453,3358890
2017-07-21,90.4492,91.4712,90.2582,90.5638,2183634
2017-07-24,90.6784,91.3948,90.2391,90.3728,2254893
2017-07-25,86.9535,90.7835,86.6765,89.5419,5024732
2017-07-26,90.029,90.2497,88.3766,88.7873,2503806
2017-07-27,88.8351,90.0194,87.1254,87.7749,5241728
2017-07-28,84.05,84.05,80.325,81.156,11204406
2017-07-31,82.2543,82.837,80.6115,81.2992,5093550
2017-08-01,81.4616,82.474,81.0604,81.8245,4010041
2017-08-02,82.6077,82.665,80.2773,80.5829,3757481
2017-08-03,80.7071,81.1942,80.048,80.7166,3511134
2017-08-04,80.984,81.0127,76.0843,77.5265,10704292
2017-08-07,77.517,77.9674,76.7815,77.3355,4772003
2017-08-08,77.1636,79.0261,77.0445,77.6889,3590592
2017-08-09,77.0967,77.9563,76.9057,77.3546,2741231
2017-08-10,76.8962,76.9787,74.9286,75.6354,4290593
2017-08-11,75.5017,76.6287,74.7949,76.3135,3438715
2017-08-14,77.2973,79.4654,77.154,79.112,3899581
2017-08-15,79.303,80.2677,78.6097,80.0576,3158731
2017-08-16,80.4205,82.0824,80.2868,81.9965,4168680
2017-08-17,81.6431,81.7576,78.7682,78.7777,2968421
2017-08-18,78.7586,80.2199,77.8895,79.4654,3002888
2017-08-21,79.2553,80.2295,77.9945,80.0958,3525831
2017-08-22,80.688,83.0853,80.4587,82.7605,4423163
2017-08-23,82.5409,85.0051,82.197,84.346,4822994
