date,open,high,low,close,volume
2017-01-03,119.4901,120.9812,118.409,119.4998,790122
2017-01-04,119.7907,121.3228,119.1993,120.9737,477168
2017-01-05,120.3919,122.2149,120.2659,122.1373,583637
2017-01-06,123.136,123.9699,122.3409,122.9324,812195
2017-01-09,122.5252,123.5724,122.1082,122.1858,467811
2017-01-10,122.2052,123.1748,121.7494,122.3894,643716
2017-01-11,122.1373,122.7385,121.3858,121.9337,609579
2017-01-12,121.2743,123.4095,120.7992,121.9143,519350
2017-01-13,122.0306,122.5639,120.838,120.9446,635252
2017-01-17,120.6537,122.1131,119.7568,121.5264,778925
2017-01-18,122.0306,122.7676,121.507,122.3409,771643
2017-01-19,122.5542,122.5639,121.3228,121.6816,473086
2017-01-20,121.924,122.3118,120.8574,122.244,555848
2017-01-23,121.8464,122.37,121.1773,121.7979,539375
2017-01-24,121.73,122.6148,121.4004,122.3409,550867
2017-01-25,122.8451,123.8439,122.6997,123.6984,777237
2017-01-26,123.6112,124.0572,123.2621,123.7081,442791
2017-01-27,123.2427,123.2427,120.741,122.6027,664592
2017-01-30,122.1567,122.1858,120.2271,121.7591,542309
2017-01-31,122.0112,122.1664,120.8186,121.3325,710359
2017-02-01,121.9725,121.9725,120.3628,120.5277,670813
2017-02-02,120.2368,121.8076,120.0816,121.4391,544315
2017-02-03,122.0985,122.7967,121.1192,121.4488,1436584
2017-02-06,120.5083,121.0028,119.8441,119.9168,660467
2017-02-07,120.4986,120.9058,119.4611,119.6938,775345
2017-02-08,119.2186,119.6647,118.8211,119.2574,957399
2017-02-09,121.2064,122.1761,117.2008,118.8211,2461665
2017-02-10,118.7241,120.7604,117.5169,120.3047,909940
2017-02-13,120.5568,121.5458,120.3337,121.3422,715633
2017-02-14,121.4682,121.8949,120.421,121.3713,650573
2017-02-15,121.1773,121.9918,120.518,121.6234,490791
2017-02-16,121.6331,122.7094,121.6331,122.5639,524511
2017-02-17,122.1664,124.4645,121.924,124.4548,719057
2017-02-21,124.1154,125.2111,123.2233,123.873,781498
2017-02-22,123.0003,124.2027,122.7482,123.1457,531724
2017-02-23,123.3881,123.7566,122.4379,123.3009,582928
2017-02-24,122.913,124.2705,121.5846,124.2027,577631
2017-02-27,124.2414,124.8426,123.3881,124.3481,422852
2017-02-28,124.3966,124.9202,123.9215,124.5323,717181
2017-03-01,125.279,127.6061,124.9008,127.0631,876179
2017-03-02,126.8207,126.908,125.085,125.5893,805559
2017-03-03,125.405,126.2486,125.1238,126.0159,531211
2017-03-06,124.8038,125.599,124.4451,124.4548,640897
2017-03-07,124.1639,124.6681,122.787,123.7566,505210
2017-03-08,123.9699,124.1842,122.7094,122.8451,595929
2017-03-09,123.136,123.5045,122.4282,123.01,619391
2017-03-10,123.4657,124.1348,122.6124,124.096,735335
2017-03-13,124.0378,125.1529,123.9796,125.0172,493032
2017-03-14,124.4935,125.2887,124.2802,125.1044,641429
2017-03-15,125.5796,126.3844,124.9687,126.0256,781368
2017-03-16,125.9771,126.9371,125.2984,125.3759,807319
2017-03-17,125.5893,126.4425,123.9215,126.0159,968981
2017-03-20,125.5699,126.6365,125.3662,126.2389,655858
2017-03-21,126.4329,126.8595,125.0947,125.2693,924119
2017-03-22,125.4438,126.1226,124.6487,125.4244,637875
2017-03-23,125.3953,126.3844,124.8232,125.2596,629277
2017-03-24,125.3275,126.588,125.1335,125.9383,722301
2017-03-27,124.6293,126.268,124.2802,126.0741,444911
2017-03-28,125.5796,128.12,125.5796,127.9261,668330
2017-03-29,127.2251,127.7703,127.2251,127.488,563783
2017-03-30,127.0012,128.2668,126.8454,127.7022,537023
2017-03-31,127.4101,127.7703,127.0207,127.4296,628772
2017-04-03,127.4685,128.0283,125.4824,126.4949,1039614
2017-04-04,126.3684,126.9623,125.9011,126.8746,707375
2017-04-05,127.0109,127.9066,126.4268,126.5047,434234
2017-04-06,126.3684,126.8746,124.1158,126.2418,942490
2017-04-07,125.9887,126.2086,125.0151,125.0638,724621
2017-04-10,124.8788,125.4776,124.1876,124.3823,1081592
2017-04-11,123.769,124.1779,122.3865,123.7787,720486
2017-04-12,123.5353,123.6911,122.3378,122.9414,658026
2017-04-13,122.6688,124.0026,122.3378,123.1946,962012
2017-04-17,123.5061,125.3169,122.4541,125.2293,570721
2017-04-18,124.4699,125.3461,123.6424,124.7231,534802
2017-04-19,125.3559,125.5895,124.762,124.8594,543220
2017-04-20,125.3072,126.8795,124.6841,126.4268,489448
2017-04-21,126.3781,126.714,124.3823,124.6646,798149
2017-04-24,126.7578,127.0499,125.5019,126.641,859898
2017-04-25,127.0401,128.6173,127.0401,128.3058,505997
2017-04-26,128.0819,129.6493,128.0332,129.0262,819457
2017-04-27,129.1333,129.9024,128.4713,129.5325,610622
2017-04-28,129.7856,129.9316,128.9581,129.1138,1017535
2017-05-01,129.8635,130.1166,129.0067,129.7077,769981
2017-05-02,129.5617,130.1847,129.3475,130.175,883832
2017-05-03,129.7369,131.353,129.5909,130.4671,1619243
2017-05-04,132.4045,139.0734,132.4045,138.5769,2862985
2017-05-05,138.5866,140.3974,138.5866,140.3877,1696820
2017-05-08,140.6311,142.4322,140.0469,140.4753,2015886
2017-05-09,140.7284,141.4197,138.1874,138.3529,1405539
2017-05-10,138.3919,138.8884,137.2139,138.2069,1272124
2017-05-11,137.8369,138.9079,137.3015,138.6937,1434571
2017-05-12,138.2458,139.2194,137.8467,138.5574,937703
2017-05-15,138.5574,139.1805,138.2458,138.7034,1020069
2017-05-16,139.0247,139.7549,136.4448,138.8787,790116
2017-05-17,137.7493,138.2848,136.7758,136.9121,1340155
2017-05-18,136.2208,137.0192,135.6756,136.1527,1493679
2017-05-19,136.5421,137.4573,136.1137,136.3571,1366001
2017-05-22,136.6103,137.4573,136.0066,136.9607,794845
2017-05-23,136.8342,138.0609,136.6589,137.4865,673710
2017-05-24,137.3502,139.0734,136.8244,138.9857,689724
2017-05-25,139.2486,141.4586,138.6158,140.9718,948950
2017-05-26,141.2055,141.2877,139.4652,141.1665,957059
2017-05-30,140.339,141.4878,137.9246,141.2055,797761
2017-05-31,141.2152,143.2305,140.2319,142.7534,1238303
2017-06-01,142.734,144.0288,142.364,142.7534,1045523
2017-06-02,142.2277,143.6004,141.9259,143.2889,795687
2017-06-05,143.542,144.0872,143.0552,143.1623,592418
2017-06-06,142.5977,142.5977,141.3223,141.5462,524922
2017-06-07,141.6728,141.8091,140.6213,141.5267,613073
2017-06-08,141.2541,142.4906,140.9134,141.663,721320
2017-06-09,141.6923,142.5733,140.9231,141.8091,1042233
2017-06-12,142.179,142.8021,140.6213,142.3737,827693
2017-06-13,141.9162,143.8049,141.7409,143.2889,661200
2017-06-14,143.3181,144.4377,142.7826,144.0677,515625
2017-06-15,143.4349,144.759,141.9552,144.4961,451877
2017-06-16,145.1873,146.0246,143.6394,145.6936,1179964
2017-06-19,146.0343,146.4919,144.9537,145.6157,535035
2017-06-20,146.0149,146.3654,143.7173,145.6157,623293
2017-06-21,145.4015,145.9272,144.3598,144.6714,817915
2017-06-22,144.0483,144.4572,140.9621,141.2152,1189849
2017-06-23,141.848,141.8675,140.0956,141.517,7654178
2017-06-26,141.517,142.6269,140.6797,141.2444,829810
2017-06-27,141.2347,142.1401,140.7966,141.0789,767274
2017-06-28,141.8312,143.8539,141.1277,143.4826,864297
2017-06-29,143.3458,144.4206,142.2319,143.3556,895916
2017-06-30,143.3165,143.6683,141.9094,142.1342,653933
2017-07-03,143.1308,144.1177,142.31,143.0429,371634
2017-07-05,143.0038,143.2921,142.1244,142.1635,671866
2017-07-06,142.2612,144.3816,141.4306,141.714,687541
2017-07-07,141.9974,143.4044,141.4208,142.9745,508814
2017-07-10,142.2612,143.5217,140.8932,142.867,761636
2017-07-11,143.0233,143.1699,140.8248,141.1961,493755
2017-07-12,141.1961,142.2416,139.8281,142.0462,685410
2017-07-13,142.3296,142.7058,140.8541,142.3784,451848
2017-07-14,142.0071,143.7367,141.3134,143.1308,475846
2017-07-17,142.994,144.5965,142.5983,144.5379,658482
2017-07-18,143.5119,144.3132,141.6847,143.7562,502569
2017-07-19,143.6976,144.4011,142.8768,143.3751,352120
2017-07-20,143.6487,144.1764,143.1308,143.9712,441627
2017-07-21,142.9256,144.5477,142.9159,144.2448,437390
2017-07-24,144.3327,145.8961,144.0103,145.6714,507350
2017-07-25,146.5703,146.9905,145.8864,146.4433,376277
2017-07-26,146.4433,146.7071,144.6942,145.1144,455825
2017-07-27,145.6128,145.6812,143.1992,143.6683,597734
2017-07-28,143.6096,147.2641,143.3947,146.6876,552920
2017-07-31,146.8342,147.567,145.2317,145.476,890518
2017-08-01,146.1209,146.4629,143.6389,146.199,664796
2017-08-02,145.945,146.5019,144.6356,145.4662,891453
2017-08-03,144.6845,146.3847,141.4013,143.8735,1157408
2017-08-04,144.7822,146.4238,143.6194,146.2186,562331
2017-08-07,145.8277,146.9026,145.4686,146.16,649769
2017-08-08,146.0232,146.3798,145.6616,146.2381,860364
2017-08-09,145.9645,146.4726,145.6518,145.8277,1526041
2017-08-10,145.0362,146.1209,144.4988,144.5868,1022674
2017-08-11,145.3978,146.2674,145.0069,145.73,584935
2017-08-14,146.1502,148.1338,144.6845,147.8504,530780
2017-08-15,148.0556,148.5246,147.2543,147.4205,662364
2017-08-16,147.5475,147.7918,146.4238,146.5801,802945
2017-08-17,146.4042,146.7365,144.6552,144.6649,665817
2017-08-18,144.3522,146.4433,144.108,145.046,571736
2017-08-21,145.2317,146.4042,144.8701,145.5248,455754
