date,open,high,low,close,volume
2017-01-03,84.1359,84.8018,83.171,84.3867,2704248
2017-01-04,84.628,87.2813,84.628,87.1077,2598815
2017-01-05,87.6094,89.0856,87.455,88.2269,2507510
2017-01-06,87.8795,89.3751,87.619,89.1821,1858477
2017-01-09,90.5812,91.6618,89.3654,89.4909,2776249
2017-01-10,90.3785,92.1153,90.0794,91.4978,3056006
2017-01-11,91.0057,91.4302,88.7962,89.6645,2207316
2017-01-12,89.3751,89.5391,87.0498,88.7093,1904095
2017-01-13,89.2496,89.2496,87.3199,87.3489,1527135
2017-01-17,87.3199,89.925,86.4515,89.0953,2008589
2017-01-18,89.6163,89.6163,88.1401,88.7479,1202451
2017-01-19,88.6128,89.1049,87.3296,87.7348,1144071
2017-01-20,88.1015,88.9698,87.5901,87.6287,955216
2017-01-23,87.6962,90.3399,87.6962,89.3847,2323334
2017-01-24,89.6066,91.1215,89.2593,90.7259,1775754
2017-01-25,91.2759,93.8231,91.2759,93.0319,2881460
2017-01-26,92.6267,95.8589,91.8548,92.1442,5216124
2017-01-27,98.4158,100.3938,97.451,99.4579,7967416
2017-01-30,99.1105,100.7217,98.5123,98.9465,2483369
2017-01-31,98.5606,98.85,97.3448,97.8659,1827534
2017-02-01,96.0616,96.5729,94.3345,94.4213,3025417
2017-02-02,93.9099,94.6336,93.1708,93.9582,1698709
2017-02-03,94.2476,95.0388,93.3021,93.5143,1888810
2017-02-06,94.7976,95.8107,92.617,93.6108,2828753
2017-02-07,93.4661,93.8723,93.138,93.6012,1903166
2017-02-08,93.5722,93.8134,92.9451,93.7652,1061765
2017-02-09,94.1318,95.6853,93.881,95.4055,1764328
2017-02-10,96.0358,97.1705,95.5413,95.9098,2314945
2017-02-13,95.8904,96.414,95.2358,95.9777,1621225
2017-02-14,97.4711,97.6166,94.6491,94.7267,1876153
2017-02-15,94.4939,97.2577,93.9799,96.7729,1924887
2017-02-16,96.5789,96.5867,93.6502,93.7957,2812990
2017-02-17,93.3011,93.4272,92.1471,93.0102,1989132
2017-02-21,93.2914,93.466,92.1762,93.0684,1551028
2017-02-22,92.9908,93.0684,91.4585,91.8852,1975149
2017-02-23,92.2828,92.3992,90.77,91.0028,2079355
2017-02-24,90.4306,91.2161,89.8681,91.1676,1935303
2017-02-27,91.5846,93.3302,91.4295,92.6223,1694362
2017-02-28,92.341,94.7945,91.9434,93.2429,2094135
2017-03-01,96.8795,100.5743,96.608,99.6046,6088520
2017-03-02,99.5658,99.5658,96.7244,97.122,2754098
2017-03-03,96.9959,98.4506,96.0843,97.9851,1783573
2017-03-06,97.7329,98.0772,96.511,97.3353,1206049
2017-03-07,96.7632,97.1414,95.2794,96.4528,2462419
2017-03-08,96.3753,97.2771,95.774,96.2298,1205891
2017-03-09,95.8322,96.7243,95.4346,95.9971,1081649
2017-03-10,96.1716,97.4808,95.8322,96.5401,1485803
2017-03-13,98.8676,101.5441,98.4312,101.1465,3454131
2017-03-14,101.0495,102.6302,100.6131,101.5344,2777068
2017-03-15,101.6508,101.8106,100.0119,101.5829,2129438
2017-03-16,101.8253,105.3165,100.6422,102.96,4709989
2017-03-17,104.0267,106.9748,103.4739,106.8584,3913548
2017-03-20,106.6742,110.4078,106.6742,108.2646,5013333
2017-03-21,109.5738,110.5047,107.2075,108.3713,4163683
2017-03-22,108.4779,110.0877,107.9349,109.9229,2473009
